app_id,name,criticality,owner_role,system_of_record,ams_vendor,time_classification,business_function,deployment_model,annual_run_cost_usd
APP-0124,DCS Service 124,tier1,Director DCS,Amadeus,TCS,run,DCS,on_prem_mainframe,2098349
APP-0125,PSS Gateway 125,tier2,Director PSS,Oracle Fusion,Accenture,grow,PSS,azure,4940604
APP-0126,Finance Service 126,tier3,Director Finance,Salesforce,TCS,transform,Finance,gcp,2001747
APP-0127,Crew Gateway 127,tier1,Director Crew,ServiceNow,IBM Global Services,run,Crew,aws,5624594
APP-0128,DCS Engine 128,tier2,Director DCS,Snowflake,Capgemini,run,DCS,private_cloud,6873230
APP-0129,MRO Portal 129,tier2,Director MRO,Mainframe COBOL,Infosys,grow,MRO,private_cloud,7903717
APP-0130,Commercial Core 130,tier1,Director Commercial,ServiceNow,TCS,run,Commercial,saas,3280631
APP-0131,Procurement Core 131,tier1,Director Procurement,Salesforce,Infosys,transform,Procurement,gcp,947232
APP-0132,Procurement Manager 132,tier1,Director Procurement,Sabre,TCS,transform,Procurement,saas,8930551
APP-0133,Finance Manager 133,tier2,Director Finance,Snowflake,Wipro,run,Finance,aws,465595
APP-0134,DCS Core 134,tier3,Director DCS,Snowflake,TCS,run,DCS,saas,5611197
APP-0135,Flight Ops Portal 135,tier1,Director Flight Ops,Amadeus,Infosys,grow,Flight Ops,private_cloud,3871542
APP-0136,Finance Manager 136,tier2,Director Finance,Databricks,TCS,transform,Finance,on_prem_mainframe,1362823
APP-0137,HR Portal 137,tier2,Director HR,Salesforce,Wipro,run,HR,on_prem_distributed,8937588
APP-0138,Cargo Engine 138,tier3,Director Cargo,Custom Java,Wipro,grow,Cargo,on_prem_mainframe,9278645
APP-0139,Procurement Manager 139,tier3,Director Procurement,Amadeus,TCS,grow,Procurement,saas,6181359
APP-0140,DCS Gateway 140,tier2,Director DCS,Databricks,Infosys,transform,DCS,saas,1407281
APP-0141,Catering Manager 141,tier2,Director Catering,Workday,TCS,grow,Catering,private_cloud,5557494
APP-0142,Customer Hub 142,tier3,Director Customer,Workday,Wipro,grow,Customer,azure,906176
APP-0143,Ground Ops Gateway 143,tier1,Director Ground Ops,SAP S/4HANA,TCS,transform,Ground Ops,gcp,3875334
APP-0144,PSS Gateway 144,tier3,Director PSS,Custom Java,Wipro,run,PSS,on_prem_mainframe,319313
APP-0145,HR Service 145,tier2,Director HR,Salesforce,Internal,transform,HR,azure,3213728
APP-0146,Ground Ops Core 146,tier1,Director Ground Ops,Oracle Fusion,Capgemini,transform,Ground Ops,on_prem_mainframe,2669905
APP-0147,Flight Ops Core 147,tier1,Director Flight Ops,ServiceNow,Internal,grow,Flight Ops,private_cloud,3386779
APP-0148,Loyalty Service 148,tier1,Director Loyalty,Snowflake,Internal,transform,Loyalty,on_prem_mainframe,6507772
APP-0149,Procurement Ledger 149,tier2,Director Procurement,Sabre,Capgemini,grow,Procurement,saas,4720298
APP-0150,Customer Core 150,tier1,Director Customer,Oracle Fusion,Infosys,run,Customer,saas,1358712
APP-0151,Commercial Gateway 151,tier2,Director Commercial,Salesforce,Wipro,transform,Commercial,on_prem_distributed,2231013
APP-0152,Procurement Manager 152,tier2,Director Procurement,Salesforce,IBM Global Services,transform,Procurement,saas,414301
APP-0153,Network Planning Portal 153,tier1,Director Network Planning,Salesforce,Capgemini,run,Network Planning,azure,7167027
APP-0154,Network Planning Service 154,tier2,Director Network Planning,Sabre,Internal,grow,Network Planning,on_prem_mainframe,7455898
APP-0155,Crew Ledger 155,tier3,Director Crew,Databricks,Internal,transform,Crew,saas,2021855
APP-0156,Finance Gateway 156,tier2,Director Finance,Amadeus,Wipro,run,Finance,azure,7363143
APP-0157,HR Manager 157,tier2,Director HR,ServiceNow,Capgemini,transform,HR,on_prem_distributed,8275945
APP-0158,Flight Ops Portal 158,tier2,Director Flight Ops,Amadeus,Internal,transform,Flight Ops,gcp,5643055
APP-0159,Finance Manager 159,tier3,Director Finance,Mainframe COBOL,Infosys,run,Finance,on_prem_mainframe,5899460
APP-0160,Network Planning Portal 160,tier2,Director Network Planning,Amadeus,Infosys,grow,Network Planning,private_cloud,1588904
APP-0161,Finance Gateway 161,tier1,Director Finance,Workday,Internal,run,Finance,private_cloud,7761554
APP-0162,Safety Core 162,tier3,Director Safety,Snowflake,TCS,transform,Safety,on_prem_mainframe,7659443
APP-0163,Commercial Core 163,tier2,Director Commercial,SAP S/4HANA,IBM Global Services,grow,Commercial,aws,1135535
APP-0164,Commercial Engine 164,tier3,Director Commercial,Custom Java,IBM Global Services,run,Commercial,on_prem_mainframe,7496056
APP-0165,Network Planning Hub 165,tier1,Director Network Planning,Workday,Infosys,run,Network Planning,saas,8264883
APP-0166,Flight Ops Engine 166,tier2,Director Flight Ops,SAP S/4HANA,Infosys,run,Flight Ops,gcp,1133153
APP-0167,PSS Manager 167,tier1,Director PSS,Salesforce,Infosys,run,PSS,gcp,113036
APP-0168,Maintenance Ledger 168,tier1,Director Maintenance,ServiceNow,Wipro,transform,Maintenance,private_cloud,2687053
APP-0169,Commercial Core 169,tier3,Director Commercial,Mainframe COBOL,Wipro,transform,Commercial,private_cloud,6626679
APP-0170,DCS Core 170,tier2,Director DCS,Snowflake,TCS,grow,DCS,saas,6409939
APP-0171,Revenue Accounting Engine 171,tier2,Director Revenue Accounting,ServiceNow,Wipro,run,Revenue Accounting,gcp,1193957
APP-0172,Procurement Manager 172,tier1,Director Procurement,ServiceNow,Internal,transform,Procurement,on_prem_mainframe,817367
APP-0173,PSS Portal 173,tier2,Director PSS,Databricks,IBM Global Services,grow,PSS,on_prem_mainframe,2786856
APP-0174,Flight Ops Service 174,tier2,Director Flight Ops,SAP S/4HANA,Wipro,run,Flight Ops,on_prem_mainframe,1324831
APP-0175,Maintenance Engine 175,tier2,Director Maintenance,ServiceNow,IBM Global Services,grow,Maintenance,saas,1351053
APP-0176,Cargo Portal 176,tier1,Director Cargo,Salesforce,IBM Global Services,transform,Cargo,saas,3066430
APP-0177,Procurement Ledger 177,tier1,Director Procurement,Custom Java,Capgemini,grow,Procurement,aws,990728
APP-0178,Catering Manager 178,tier3,Director Catering,Snowflake,TCS,transform,Catering,on_prem_distributed,5951898
APP-0179,DCS Hub 179,tier1,Director DCS,Workday,Infosys,transform,DCS,azure,3609015
APP-0180,PSS Gateway 180,tier2,Director PSS,Snowflake,Capgemini,transform,PSS,aws,8538594
APP-0181,Flight Ops Manager 181,tier3,Director Flight Ops,SAP S/4HANA,Infosys,grow,Flight Ops,azure,1002292
APP-0182,Ground Ops Portal 182,tier1,Director Ground Ops,Databricks,Wipro,transform,Ground Ops,aws,4171254
APP-0183,MRO Gateway 183,tier1,Director MRO,ServiceNow,Infosys,transform,MRO,azure,2258661
APP-0184,Catering Ledger 184,tier1,Director Catering,Snowflake,Infosys,run,Catering,private_cloud,2597073
APP-0185,Ground Ops Gateway 185,tier1,Director Ground Ops,Workday,Wipro,run,Ground Ops,private_cloud,2732237
APP-0186,Ground Ops Core 186,tier2,Director Ground Ops,Amadeus,IBM Global Services,grow,Ground Ops,azure,8457685
APP-0187,Revenue Accounting Gateway 187,tier2,Director Revenue Accounting,Mainframe COBOL,Capgemini,grow,Revenue Accounting,gcp,6811030
APP-0188,Finance Ledger 188,tier2,Director Finance,Salesforce,Infosys,transform,Finance,aws,2915001
APP-0189,Revenue Accounting Service 189,tier1,Director Revenue Accounting,Snowflake,Infosys,transform,Revenue Accounting,aws,5241555
APP-0190,Maintenance Gateway 190,tier2,Director Maintenance,Amadeus,Wipro,run,Maintenance,gcp,1265790
APP-0191,Customer Core 191,tier2,Director Customer,Oracle Fusion,Accenture,transform,Customer,saas,5454825
APP-0192,Network Planning Ledger 192,tier1,Director Network Planning,Salesforce,Capgemini,transform,Network Planning,on_prem_mainframe,2703759
APP-0193,Procurement Engine 193,tier1,Director Procurement,Snowflake,Wipro,run,Procurement,on_prem_distributed,6110440
APP-0194,Finance Service 194,tier2,Director Finance,Custom Java,Wipro,run,Finance,aws,663032
APP-0195,Procurement Portal 195,tier2,Director Procurement,Custom Java,Accenture,transform,Procurement,on_prem_distributed,5717298
APP-0196,Revenue Accounting Ledger 196,tier1,Director Revenue Accounting,Custom Java,IBM Global Services,transform,Revenue Accounting,private_cloud,7933103
APP-0197,Commercial Engine 197,tier3,Director Commercial,Salesforce,IBM Global Services,grow,Commercial,gcp,4251399
APP-0198,Cargo Service 198,tier2,Director Cargo,Sabre,Infosys,run,Cargo,on_prem_mainframe,7872796
APP-0199,Customer Ledger 199,tier1,Director Customer,Workday,IBM Global Services,grow,Customer,on_prem_distributed,3853486
APP-0200,Flight Ops Gateway 200,tier2,Director Flight Ops,Snowflake,Accenture,grow,Flight Ops,private_cloud,2173520
APP-0201,Procurement Ledger 201,tier3,Director Procurement,Oracle Fusion,Infosys,grow,Procurement,aws,6599423
APP-0202,PSS Portal 202,tier2,Director PSS,ServiceNow,Capgemini,transform,PSS,on_prem_distributed,551603
APP-0203,HR Service 203,tier2,Director HR,SAP S/4HANA,Wipro,grow,HR,on_prem_distributed,5726217
APP-0204,Customer Hub 204,tier3,Director Customer,Snowflake,TCS,grow,Customer,on_prem_mainframe,1437373
APP-0205,Flight Ops Gateway 205,tier2,Director Flight Ops,Custom Java,Capgemini,transform,Flight Ops,azure,8232390
APP-0206,Catering Gateway 206,tier2,Director Catering,Sabre,Internal,run,Catering,aws,7085665
APP-0207,MRO Gateway 207,tier2,Director MRO,Workday,TCS,run,MRO,aws,6368697
APP-0208,Cargo Ledger 208,tier2,Director Cargo,Sabre,Accenture,transform,Cargo,saas,5204832
APP-0209,Safety Hub 209,tier2,Director Safety,Databricks,Infosys,transform,Safety,on_prem_mainframe,1332832
APP-0210,Procurement Gateway 210,tier3,Director Procurement,Salesforce,Internal,grow,Procurement,on_prem_mainframe,625084
APP-0211,Cargo Engine 211,tier1,Director Cargo,Databricks,IBM Global Services,transform,Cargo,private_cloud,5526751
APP-0212,Finance Manager 212,tier2,Director Finance,Amadeus,Accenture,transform,Finance,on_prem_mainframe,7281601
APP-0213,Procurement Hub 213,tier2,Director Procurement,ServiceNow,IBM Global Services,grow,Procurement,azure,9241231
APP-0214,Catering Portal 214,tier3,Director Catering,Workday,IBM Global Services,grow,Catering,private_cloud,613066
APP-0215,Loyalty Manager 215,tier1,Director Loyalty,Databricks,Wipro,run,Loyalty,on_prem_distributed,4285957
APP-0216,Ground Ops Gateway 216,tier2,Director Ground Ops,Snowflake,IBM Global Services,grow,Ground Ops,aws,4069563
APP-0217,Finance Portal 217,tier3,Director Finance,Snowflake,IBM Global Services,run,Finance,saas,3460201
APP-0218,MRO Gateway 218,tier1,Director MRO,ServiceNow,Accenture,grow,MRO,saas,7853522
APP-0219,DCS Gateway 219,tier1,Director DCS,Snowflake,IBM Global Services,run,DCS,private_cloud,2859999
APP-0220,Procurement Gateway 220,tier2,Director Procurement,Salesforce,IBM Global Services,transform,Procurement,on_prem_distributed,9194910
APP-0221,Network Planning Portal 221,tier2,Director Network Planning,Oracle Fusion,IBM Global Services,run,Network Planning,azure,2336057
APP-0222,Safety Core 222,tier2,Director Safety,Salesforce,IBM Global Services,transform,Safety,gcp,6149799
APP-0223,Maintenance Hub 223,tier1,Director Maintenance,Salesforce,Wipro,transform,Maintenance,on_prem_mainframe,2865944
APP-0224,HR Manager 224,tier2,Director HR,SAP S/4HANA,TCS,grow,HR,aws,763137
APP-0225,Network Planning Hub 225,tier1,Director Network Planning,Sabre,Capgemini,grow,Network Planning,private_cloud,3460769
APP-0226,Network Planning Portal 226,tier2,Director Network Planning,Salesforce,Wipro,grow,Network Planning,private_cloud,4258006
APP-0227,Flight Ops Gateway 227,tier1,Director Flight Ops,Mainframe COBOL,Internal,run,Flight Ops,aws,4948160
APP-0228,Revenue Accounting Hub 228,tier1,Director Revenue Accounting,Salesforce,Accenture,transform,Revenue Accounting,private_cloud,3044163
APP-0229,Catering Engine 229,tier2,Director Catering,Custom Java,Accenture,transform,Catering,aws,6329904
APP-0230,Ground Ops Engine 230,tier1,Director Ground Ops,Custom Java,TCS,run,Ground Ops,on_prem_distributed,3700673
APP-0231,Commercial Portal 231,tier1,Director Commercial,Salesforce,Infosys,grow,Commercial,azure,4887423
APP-0232,Ground Ops Service 232,tier1,Director Ground Ops,ServiceNow,Infosys,grow,Ground Ops,on_prem_distributed,5676638
APP-0233,Safety Core 233,tier3,Director Safety,ServiceNow,TCS,grow,Safety,on_prem_mainframe,1799198
APP-0234,Procurement Gateway 234,tier3,Director Procurement,Custom Java,Capgemini,transform,Procurement,on_prem_mainframe,7553636
APP-0235,Network Planning Portal 235,tier2,Director Network Planning,Sabre,Wipro,grow,Network Planning,gcp,4414824
APP-0236,Loyalty Manager 236,tier2,Director Loyalty,Mainframe COBOL,Infosys,run,Loyalty,gcp,8697072
APP-0237,Procurement Portal 237,tier2,Director Procurement,Custom Java,TCS,grow,Procurement,saas,8158216
APP-0238,Safety Portal 238,tier3,Director Safety,Oracle Fusion,TCS,run,Safety,on_prem_mainframe,1631167
APP-0239,HR Ledger 239,tier1,Director HR,Mainframe COBOL,Infosys,transform,HR,aws,4807225
APP-0240,Safety Service 240,tier3,Director Safety,Sabre,Wipro,grow,Safety,gcp,6389549
APP-0241,Cargo Portal 241,tier1,Director Cargo,SAP S/4HANA,Wipro,run,Cargo,gcp,2778922
APP-0242,Customer Engine 242,tier3,Director Customer,Databricks,Wipro,run,Customer,aws,8007982
APP-0243,Ground Ops Ledger 243,tier1,Director Ground Ops,Workday,Internal,grow,Ground Ops,private_cloud,4863191
APP-0244,Crew Portal 244,tier3,Director Crew,Snowflake,Internal,grow,Crew,on_prem_mainframe,9142425
APP-0245,Commercial Engine 245,tier1,Director Commercial,Snowflake,Capgemini,transform,Commercial,private_cloud,6276309
APP-0246,Network Planning Manager 246,tier2,Director Network Planning,Workday,TCS,run,Network Planning,gcp,2733701
