line_id,period,metric,value,currency_or_unit,segment,margin_bridge_driver,source_report
FIN-0035,FY2025 actual,it_spend,17050969,USD,Application Mgmt / Telecom,run,it_budget_book_fy26.xlsx
FIN-0036,FY2025 actual,it_spend,60871345,USD,Cloud / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0037,FY2025 actual,it_spend,86766605,USD,Cloud / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0038,FY2025 actual,it_spend,33058656,USD,Cloud / Hardware,run,it_budget_book_fy26.xlsx
FIN-0039,FY2025 actual,it_spend,32556277,USD,Cloud / Software & License,run,it_budget_book_fy26.xlsx
FIN-0040,FY2025 actual,it_spend,48452561,USD,Cloud / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0041,FY2025 actual,it_spend,31640404,USD,Cloud / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0042,FY2025 actual,it_spend,54817893,USD,Cloud / Telecom,run,it_budget_book_fy26.xlsx
FIN-0043,FY2025 actual,it_spend,4950521,USD,Security / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0044,FY2025 actual,it_spend,30288235,USD,Security / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0045,FY2025 actual,it_spend,11872184,USD,Security / Hardware,run,it_budget_book_fy26.xlsx
FIN-0046,FY2025 actual,it_spend,7090464,USD,Security / Software & License,run,it_budget_book_fy26.xlsx
FIN-0047,FY2025 actual,it_spend,11622561,USD,Security / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0048,FY2025 actual,it_spend,2355419,USD,Security / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0049,FY2025 actual,it_spend,8365493,USD,Security / Telecom,run,it_budget_book_fy26.xlsx
FIN-0050,FY2025 actual,it_spend,38661078,USD,Data & Analytics / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0051,FY2025 actual,it_spend,7923815,USD,Data & Analytics / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0052,FY2025 actual,it_spend,1939977,USD,Data & Analytics / Hardware,run,it_budget_book_fy26.xlsx
FIN-0053,FY2025 actual,it_spend,12255596,USD,Data & Analytics / Software & License,run,it_budget_book_fy26.xlsx
FIN-0054,FY2025 actual,it_spend,29640732,USD,Data & Analytics / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0055,FY2025 actual,it_spend,15160590,USD,Data & Analytics / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0056,FY2025 actual,it_spend,21455400,USD,Data & Analytics / Telecom,run,it_budget_book_fy26.xlsx
FIN-0057,FY2025 actual,it_spend,12584124,USD,End User Compute / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0058,FY2025 actual,it_spend,32667343,USD,End User Compute / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0059,FY2025 actual,it_spend,8268902,USD,End User Compute / Hardware,run,it_budget_book_fy26.xlsx
FIN-0060,FY2025 actual,it_spend,14243683,USD,End User Compute / Software & License,run,it_budget_book_fy26.xlsx
FIN-0061,FY2025 actual,it_spend,25260223,USD,End User Compute / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0062,FY2025 actual,it_spend,3924250,USD,End User Compute / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0063,FY2025 actual,it_spend,7422933,USD,End User Compute / Telecom,run,it_budget_book_fy26.xlsx
FIN-0064,FY2025 actual,it_spend,20224553,USD,Service Desk / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0065,FY2025 actual,it_spend,35599476,USD,Service Desk / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0066,FY2025 actual,it_spend,6937887,USD,Service Desk / Hardware,run,it_budget_book_fy26.xlsx
FIN-0067,FY2025 actual,it_spend,9485914,USD,Service Desk / Software & License,run,it_budget_book_fy26.xlsx
FIN-0068,FY2025 actual,it_spend,17926623,USD,Service Desk / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0069,FY2025 actual,it_spend,13889935,USD,Service Desk / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0070,FY2025 actual,it_spend,16199569,USD,Service Desk / Telecom,run,it_budget_book_fy26.xlsx
FIN-0071,FY2025 actual,it_spend,11205053,USD,Telecom / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0072,FY2025 actual,it_spend,19917173,USD,Telecom / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0073,FY2025 actual,it_spend,10879424,USD,Telecom / Hardware,run,it_budget_book_fy26.xlsx
FIN-0074,FY2025 actual,it_spend,16338142,USD,Telecom / Software & License,run,it_budget_book_fy26.xlsx
FIN-0075,FY2025 actual,it_spend,29966659,USD,Telecom / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0076,FY2025 actual,it_spend,14794795,USD,Telecom / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0077,FY2025 actual,it_spend,2864713,USD,Telecom / Telecom,run,it_budget_book_fy26.xlsx
FIN-0078,FY2025 actual,it_spend,15584878,USD,Integration / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0079,FY2025 actual,it_spend,8059226,USD,Integration / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0080,FY2025 actual,it_spend,15475275,USD,Integration / Hardware,run,it_budget_book_fy26.xlsx
FIN-0081,FY2025 actual,it_spend,13944469,USD,Integration / Software & License,run,it_budget_book_fy26.xlsx
FIN-0082,FY2025 actual,it_spend,19472924,USD,Integration / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0083,FY2025 actual,it_spend,19296862,USD,Integration / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0084,FY2025 actual,it_spend,11456773,USD,Integration / Telecom,run,it_budget_book_fy26.xlsx
FIN-0085,FY2026 budget,it_spend,61494720,USD,Mainframe / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0086,FY2026 budget,it_spend,39579286,USD,Mainframe / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0087,FY2026 budget,it_spend,3585717,USD,Mainframe / Hardware,run,it_budget_book_fy26.xlsx
FIN-0088,FY2026 budget,it_spend,43534732,USD,Mainframe / Software & License,run,it_budget_book_fy26.xlsx
FIN-0089,FY2026 budget,it_spend,23835735,USD,Mainframe / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0090,FY2026 budget,it_spend,36151211,USD,Mainframe / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0091,FY2026 budget,it_spend,20902202,USD,Mainframe / Telecom,run,it_budget_book_fy26.xlsx
FIN-0092,FY2026 budget,it_spend,15465084,USD,Compute / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0093,FY2026 budget,it_spend,20439053,USD,Compute / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0094,FY2026 budget,it_spend,2940306,USD,Compute / Hardware,run,it_budget_book_fy26.xlsx
FIN-0095,FY2026 budget,it_spend,4338061,USD,Compute / Software & License,run,it_budget_book_fy26.xlsx
FIN-0096,FY2026 budget,it_spend,35933748,USD,Compute / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0097,FY2026 budget,it_spend,9641102,USD,Compute / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0098,FY2026 budget,it_spend,13659658,USD,Compute / Telecom,run,it_budget_book_fy26.xlsx
FIN-0099,FY2026 budget,it_spend,8112834,USD,Storage / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0100,FY2026 budget,it_spend,47928052,USD,Storage / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0101,FY2026 budget,it_spend,18142818,USD,Storage / Hardware,run,it_budget_book_fy26.xlsx
FIN-0102,FY2026 budget,it_spend,21379677,USD,Storage / Software & License,run,it_budget_book_fy26.xlsx
FIN-0103,FY2026 budget,it_spend,28906894,USD,Storage / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0104,FY2026 budget,it_spend,2819384,USD,Storage / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0105,FY2026 budget,it_spend,7193386,USD,Storage / Telecom,run,it_budget_book_fy26.xlsx
FIN-0106,FY2026 budget,it_spend,6212794,USD,Network / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0107,FY2026 budget,it_spend,47073312,USD,Network / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0108,FY2026 budget,it_spend,13033618,USD,Network / Hardware,run,it_budget_book_fy26.xlsx
FIN-0109,FY2026 budget,it_spend,3637039,USD,Network / Software & License,run,it_budget_book_fy26.xlsx
FIN-0110,FY2026 budget,it_spend,21648137,USD,Network / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0111,FY2026 budget,it_spend,5278052,USD,Network / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0112,FY2026 budget,it_spend,21543149,USD,Network / Telecom,run,it_budget_book_fy26.xlsx
FIN-0113,FY2026 budget,it_spend,83015312,USD,Application Mgmt / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0114,FY2026 budget,it_spend,95532315,USD,Application Mgmt / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0115,FY2026 budget,it_spend,39266449,USD,Application Mgmt / Hardware,run,it_budget_book_fy26.xlsx
FIN-0116,FY2026 budget,it_spend,56963487,USD,Application Mgmt / Software & License,run,it_budget_book_fy26.xlsx
FIN-0117,FY2026 budget,it_spend,89189069,USD,Application Mgmt / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0118,FY2026 budget,it_spend,64035668,USD,Application Mgmt / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0119,FY2026 budget,it_spend,37865100,USD,Application Mgmt / Telecom,run,it_budget_book_fy26.xlsx
FIN-0120,FY2026 budget,it_spend,26734625,USD,Cloud / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0121,FY2026 budget,it_spend,14682239,USD,Cloud / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0122,FY2026 budget,it_spend,42312072,USD,Cloud / Hardware,run,it_budget_book_fy26.xlsx
FIN-0123,FY2026 budget,it_spend,42083010,USD,Cloud / Software & License,run,it_budget_book_fy26.xlsx
FIN-0124,FY2026 budget,it_spend,67499551,USD,Cloud / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0125,FY2026 budget,it_spend,12048711,USD,Cloud / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0126,FY2026 budget,it_spend,18979435,USD,Cloud / Telecom,run,it_budget_book_fy26.xlsx
FIN-0127,FY2026 budget,it_spend,17657333,USD,Security / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0128,FY2026 budget,it_spend,9352357,USD,Security / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0129,FY2026 budget,it_spend,3745478,USD,Security / Hardware,run,it_budget_book_fy26.xlsx
FIN-0130,FY2026 budget,it_spend,9560800,USD,Security / Software & License,run,it_budget_book_fy26.xlsx
FIN-0131,FY2026 budget,it_spend,40701468,USD,Security / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0132,FY2026 budget,it_spend,16576292,USD,Security / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0133,FY2026 budget,it_spend,19456581,USD,Security / Telecom,run,it_budget_book_fy26.xlsx
FIN-0134,FY2026 budget,it_spend,13016528,USD,Data & Analytics / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0135,FY2026 budget,it_spend,36368695,USD,Data & Analytics / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0136,FY2026 budget,it_spend,16068209,USD,Data & Analytics / Hardware,run,it_budget_book_fy26.xlsx
FIN-0137,FY2026 budget,it_spend,19357543,USD,Data & Analytics / Software & License,run,it_budget_book_fy26.xlsx
FIN-0138,FY2026 budget,it_spend,9303349,USD,Data & Analytics / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0139,FY2026 budget,it_spend,7670660,USD,Data & Analytics / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0140,FY2026 budget,it_spend,12038803,USD,Data & Analytics / Telecom,run,it_budget_book_fy26.xlsx
FIN-0141,FY2026 budget,it_spend,39033868,USD,End User Compute / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0142,FY2026 budget,it_spend,31234267,USD,End User Compute / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0143,FY2026 budget,it_spend,11541833,USD,End User Compute / Hardware,run,it_budget_book_fy26.xlsx
FIN-0144,FY2026 budget,it_spend,2310169,USD,End User Compute / Software & License,run,it_budget_book_fy26.xlsx
FIN-0145,FY2026 budget,it_spend,42488627,USD,End User Compute / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0146,FY2026 budget,it_spend,14124077,USD,End User Compute / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0147,FY2026 budget,it_spend,7399350,USD,End User Compute / Telecom,run,it_budget_book_fy26.xlsx
FIN-0148,FY2026 budget,it_spend,26328120,USD,Service Desk / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0149,FY2026 budget,it_spend,20565746,USD,Service Desk / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0150,FY2026 budget,it_spend,6984685,USD,Service Desk / Hardware,run,it_budget_book_fy26.xlsx
FIN-0151,FY2026 budget,it_spend,23113589,USD,Service Desk / Software & License,run,it_budget_book_fy26.xlsx
FIN-0152,FY2026 budget,it_spend,30390301,USD,Service Desk / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0153,FY2026 budget,it_spend,9328091,USD,Service Desk / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0154,FY2026 budget,it_spend,7931507,USD,Service Desk / Telecom,run,it_budget_book_fy26.xlsx
FIN-0155,FY2026 budget,it_spend,12092651,USD,Telecom / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0156,FY2026 budget,it_spend,9963271,USD,Telecom / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0157,FY2026 budget,it_spend,8634547,USD,Telecom / Hardware,run,it_budget_book_fy26.xlsx
FIN-0158,FY2026 budget,it_spend,22085482,USD,Telecom / Software & License,run,it_budget_book_fy26.xlsx
FIN-0159,FY2026 budget,it_spend,29675052,USD,Telecom / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0160,FY2026 budget,it_spend,13152337,USD,Telecom / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0161,FY2026 budget,it_spend,22270341,USD,Telecom / Telecom,run,it_budget_book_fy26.xlsx
FIN-0162,FY2026 budget,it_spend,30094210,USD,Integration / Labor (internal),run,it_budget_book_fy26.xlsx
FIN-0163,FY2026 budget,it_spend,24217281,USD,Integration / Vendor / MSP,managed_services,it_budget_book_fy26.xlsx
FIN-0164,FY2026 budget,it_spend,3957468,USD,Integration / Hardware,run,it_budget_book_fy26.xlsx
FIN-0165,FY2026 budget,it_spend,2320395,USD,Integration / Software & License,run,it_budget_book_fy26.xlsx
FIN-0166,FY2026 budget,it_spend,2750088,USD,Integration / Cloud,consumption,it_budget_book_fy26.xlsx
FIN-0167,FY2026 budget,it_spend,15214909,USD,Integration / Depreciation,run,it_budget_book_fy26.xlsx
FIN-0168,FY2026 budget,it_spend,21062819,USD,Integration / Telecom,run,it_budget_book_fy26.xlsx
