asset_name,asset_class,make_model,location,virtualization,cloud_account,capacity,owner,lifecycle
IBM-0035,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,aging
IBM-0036,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,medium,VP Infrastructure,current
IBM-0037,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,large,VP Infrastructure,current
IBM-0038,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,xlarge,VP Infrastructure,current
IBM-0039,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,small,VP Infrastructure,current
IBM-0040,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,large,VP Infrastructure,aging
IBM-0041,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,medium,VP Infrastructure,aging
IBM-0042,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,small,VP Infrastructure,aging
IBM-0043,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0044,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,large,VP Infrastructure,current
IBM-0045,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,medium,VP Infrastructure,current
IBM-0046,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,aging
IBM-0047,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,medium,VP Infrastructure,aging
IBM-0048,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,current
IBM-0049,IBM Z mainframe LPAR,IBM z16,Colo-Hub-A,PR/SM,,small,VP Infrastructure,aging
IBM-0050,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,medium,VP Infrastructure,current
IBM-0051,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,aging
IBM-0052,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,current
IBM-0053,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,current
IBM-0054,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,large,VP Infrastructure,current
IBM-0055,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,small,VP Infrastructure,current
IBM-0056,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,medium,VP Infrastructure,current
IBM-0057,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,xlarge,VP Infrastructure,current
IBM-0058,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,large,VP Infrastructure,current
IBM-0059,IBM Z mainframe LPAR,IBM z16,DC-East (primary),PR/SM,,small,VP Infrastructure,aging
IBM-0060,IBM Z mainframe LPAR,IBM z16,DC-West (DR),PR/SM,,small,VP Infrastructure,current
POWER-0061,Power system,IBM Power E1080,Colo-Hub-A,none,,medium,VP Infrastructure,aging
POWER-0062,Power system,IBM Power E1080,DC-West (DR),none,,xlarge,VP Infrastructure,aging
POWER-0063,Power system,IBM Power E1080,DC-East (primary),none,,small,VP Infrastructure,aging
POWER-0064,Power system,IBM Power E1080,DC-East (primary),none,,xlarge,VP Infrastructure,aging
POWER-0065,Power system,IBM Power E1080,DC-West (DR),none,,large,VP Infrastructure,aging
POWER-0066,Power system,IBM Power E1080,DC-East (primary),none,,xlarge,VP Infrastructure,current
POWER-0067,Power system,IBM Power E1080,DC-West (DR),none,,xlarge,VP Infrastructure,current
POWER-0068,Power system,IBM Power E1080,Colo-Hub-A,none,,xlarge,VP Infrastructure,aging
POWER-0069,Power system,IBM Power E1080,DC-West (DR),none,,small,VP Infrastructure,current
POWER-0070,Power system,IBM Power E1080,Colo-Hub-A,none,,large,VP Infrastructure,aging
POWER-0071,Power system,IBM Power E1080,DC-West (DR),none,,xlarge,VP Infrastructure,current
POWER-0072,Power system,IBM Power E1080,DC-East (primary),none,,small,VP Infrastructure,aging
POWER-0073,Power system,IBM Power E1080,DC-East (primary),none,,small,VP Infrastructure,current
POWER-0074,Power system,IBM Power E1080,Colo-Hub-A,none,,xlarge,VP Infrastructure,aging
POWER-0075,Power system,IBM Power E1080,DC-East (primary),none,,medium,VP Infrastructure,aging
POWER-0076,Power system,IBM Power E1080,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
POWER-0077,Power system,IBM Power E1080,Colo-Hub-A,none,,small,VP Infrastructure,aging
POWER-0078,Power system,IBM Power E1080,Colo-Hub-A,none,,large,VP Infrastructure,current
POWER-0079,Power system,IBM Power E1080,Colo-Hub-A,none,,medium,VP Infrastructure,current
POWER-0080,Power system,IBM Power E1080,Colo-Hub-A,none,,large,VP Infrastructure,current
POWER-0081,Power system,IBM Power E1080,Colo-Hub-A,none,,large,VP Infrastructure,current
POWER-0082,Power system,IBM Power E1080,DC-East (primary),none,,small,VP Infrastructure,aging
POWER-0083,Power system,IBM Power E1080,DC-East (primary),none,,xlarge,VP Infrastructure,current
POWER-0084,Power system,IBM Power E1080,Colo-Hub-A,none,,small,VP Infrastructure,current
POWER-0085,Power system,IBM Power E1080,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
POWER-0086,Power system,IBM Power E1080,DC-East (primary),none,,xlarge,VP Infrastructure,current
POWER-0087,Power system,IBM Power E1080,DC-East (primary),none,,small,VP Infrastructure,aging
POWER-0088,Power system,IBM Power E1080,DC-East (primary),none,,xlarge,VP Infrastructure,aging
POWER-0089,Power system,IBM Power E1080,Colo-Hub-A,none,,medium,VP Infrastructure,current
POWER-0090,Power system,IBM Power E1080,DC-East (primary),none,,medium,VP Infrastructure,current
POWER-0091,Power system,IBM Power E1080,Colo-Hub-A,none,,medium,VP Infrastructure,current
POWER-0092,Power system,IBM Power E1080,DC-West (DR),none,,small,VP Infrastructure,current
POWER-0093,Power system,IBM Power E1080,Colo-Hub-A,none,,large,VP Infrastructure,current
POWER-0094,Power system,IBM Power E1080,DC-West (DR),none,,small,VP Infrastructure,current
POWER-0095,Power system,IBM Power E1080,DC-East (primary),none,,large,VP Infrastructure,current
POWER-0096,Power system,IBM Power E1080,Colo-Hub-A,none,,xlarge,VP Infrastructure,aging
POWER-0097,Power system,IBM Power E1080,DC-East (primary),none,,xlarge,VP Infrastructure,aging
POWER-0098,Power system,IBM Power E1080,Colo-Hub-A,none,,large,VP Infrastructure,current
POWER-0099,Power system,IBM Power E1080,DC-East (primary),none,,small,VP Infrastructure,current
POWER-0100,Power system,IBM Power E1080,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0101,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0102,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0103,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0104,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0105,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0106,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0107,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0108,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0109,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0110,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0111,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,current
X86-0112,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,current
X86-0113,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0114,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0115,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,aging
X86-0116,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,current
X86-0117,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,current
X86-0118,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,aging
X86-0119,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0120,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0121,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0122,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0123,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0124,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,current
X86-0125,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0126,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,aging
X86-0127,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0128,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0129,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0130,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0131,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,aging
X86-0132,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0133,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0134,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,current
X86-0135,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0136,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0137,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0138,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,aging
X86-0139,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,aging
X86-0140,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,aging
X86-0141,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0142,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,current
X86-0143,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0144,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0145,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0146,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,aging
X86-0147,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0148,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0149,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,current
X86-0150,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,aging
X86-0151,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,aging
X86-0152,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,aging
X86-0153,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0154,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0155,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,aging
X86-0156,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0157,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0158,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0159,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0160,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0161,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0162,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0163,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,aging
X86-0164,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0165,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0166,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0167,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0168,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0169,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,aging
X86-0170,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,aging
X86-0171,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0172,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0173,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0174,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,aging
X86-0175,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0176,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,aging
X86-0177,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0178,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0179,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0180,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0181,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0182,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0183,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0184,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0185,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0186,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0187,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0188,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0189,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,aging
X86-0190,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,aging
X86-0191,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,aging
X86-0192,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0193,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,aging
X86-0194,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0195,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0196,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0197,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0198,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0199,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0200,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0201,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0202,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0203,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0204,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0205,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,aging
X86-0206,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0207,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0208,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0209,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,aging
X86-0210,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0211,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0212,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,aging
X86-0213,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,aging
X86-0214,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,aging
X86-0215,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,aging
X86-0216,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0217,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0218,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0219,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0220,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0221,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0222,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0223,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0224,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,aging
X86-0225,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0226,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0227,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0228,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0229,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0230,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0231,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,aging
X86-0232,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0233,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0234,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0235,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0236,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0237,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,aging
X86-0238,x86 server,Dell PowerEdge R760,DC-East (primary),none,,medium,VP Infrastructure,current
X86-0239,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0240,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0241,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0242,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,current
X86-0243,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0244,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,aging
X86-0245,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0246,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0247,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0248,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0249,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0250,x86 server,Dell PowerEdge R760,DC-West (DR),none,,large,VP Infrastructure,current
X86-0251,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,current
X86-0252,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0253,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0254,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0255,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0256,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,small,VP Infrastructure,current
X86-0257,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,aging
X86-0258,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0259,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,aging
X86-0260,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0261,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0262,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,xlarge,VP Infrastructure,current
X86-0263,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0264,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,aging
X86-0265,x86 server,Dell PowerEdge R760,DC-West (DR),none,,small,VP Infrastructure,aging
X86-0266,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
X86-0267,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0268,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,current
X86-0269,x86 server,Dell PowerEdge R760,DC-East (primary),none,,xlarge,VP Infrastructure,aging
X86-0270,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0271,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0272,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,large,VP Infrastructure,current
X86-0273,x86 server,Dell PowerEdge R760,DC-West (DR),none,,xlarge,VP Infrastructure,current
X86-0274,x86 server,Dell PowerEdge R760,DC-East (primary),none,,small,VP Infrastructure,current
X86-0275,x86 server,Dell PowerEdge R760,Colo-Hub-A,none,,medium,VP Infrastructure,current
X86-0276,x86 server,Dell PowerEdge R760,DC-East (primary),none,,large,VP Infrastructure,current
X86-0277,x86 server,Dell PowerEdge R760,DC-West (DR),none,,medium,VP Infrastructure,current
