edge_id,source_app_id,target_app_id,integration_type,latency_sla,kill_blocker_flag
INT-0153,APP-0116,APP-0307,Kafka,batch-daily,true
INT-0154,APP-0132,APP-0372,Kafka,realtime,true
INT-0155,APP-0093,APP-0360,DB link,batch-daily,false
INT-0156,APP-0174,APP-0346,SOAP,realtime,false
INT-0157,APP-0534,APP-0370,REST,batch-daily,false
INT-0158,APP-0548,APP-0437,ETL batch,batch-daily,false
INT-0159,APP-0225,APP-0035,ETL batch,batch-daily,false
INT-0160,APP-0069,APP-0477,REST,batch-daily,false
INT-0161,APP-0340,APP-0390,Kafka,realtime,false
INT-0162,APP-0159,APP-0217,SOAP,near-realtime,false
INT-0163,APP-0510,APP-0356,MQ,batch-hourly,false
INT-0164,APP-0483,APP-0377,MQ,batch-hourly,false
INT-0165,APP-0233,APP-0393,DB link,realtime,false
INT-0166,APP-0431,APP-0364,Kafka,near-realtime,false
INT-0167,APP-0518,APP-0248,DB link,realtime,false
INT-0168,APP-0518,APP-0116,Kafka,realtime,false
INT-0169,APP-0470,APP-0239,ETL batch,near-realtime,false
INT-0170,APP-0312,APP-0072,REST,batch-hourly,true
INT-0171,APP-0493,APP-0442,ETL batch,near-realtime,true
INT-0172,APP-0053,APP-0260,Kafka,batch-daily,false
INT-0173,APP-0581,APP-0498,MQ,near-realtime,true
INT-0174,APP-0452,APP-0372,Kafka,near-realtime,false
INT-0175,APP-0326,APP-0256,DB link,realtime,false
INT-0176,APP-0571,APP-0494,REST,batch-hourly,false
INT-0177,APP-0169,APP-0105,REST,near-realtime,false
INT-0178,APP-0310,APP-0275,file/SFTP,near-realtime,false
INT-0179,APP-0549,APP-0144,ETL batch,batch-daily,false
INT-0180,APP-0150,APP-0352,Kafka,realtime,false
INT-0181,APP-0065,APP-0504,REST,batch-hourly,false
INT-0182,APP-0094,APP-0356,MQ,realtime,false
INT-0183,APP-0217,APP-0474,DB link,realtime,false
INT-0184,APP-0317,APP-0465,DB link,realtime,false
INT-0185,APP-0113,APP-0146,SOAP,near-realtime,true
INT-0186,APP-0046,APP-0285,MQ,batch-daily,false
INT-0187,APP-0102,APP-0427,DB link,realtime,true
INT-0188,APP-0499,APP-0595,DB link,batch-hourly,false
INT-0189,APP-0236,APP-0344,ETL batch,realtime,false
INT-0190,APP-0464,APP-0305,DB link,near-realtime,true
INT-0191,APP-0460,APP-0483,MQ,realtime,false
INT-0192,APP-0063,APP-0007,DB link,near-realtime,false
INT-0193,APP-0437,APP-0445,file/SFTP,batch-hourly,false
INT-0194,APP-0462,APP-0350,MQ,batch-hourly,false
INT-0195,APP-0538,APP-0007,DB link,batch-hourly,false
INT-0196,APP-0510,APP-0543,SOAP,near-realtime,false
INT-0197,APP-0396,APP-0094,DB link,batch-hourly,false
INT-0198,APP-0408,APP-0333,DB link,realtime,false
INT-0199,APP-0390,APP-0311,MQ,realtime,true
INT-0200,APP-0565,APP-0596,SOAP,batch-daily,false
INT-0201,APP-0547,APP-0557,ETL batch,realtime,false
INT-0202,APP-0383,APP-0102,SOAP,near-realtime,false
INT-0203,APP-0129,APP-0568,REST,batch-daily,false
INT-0204,APP-0135,APP-0272,Kafka,near-realtime,false
INT-0205,APP-0110,APP-0083,ETL batch,batch-daily,true
INT-0206,APP-0490,APP-0497,ETL batch,realtime,false
INT-0207,APP-0556,APP-0437,Kafka,batch-hourly,true
INT-0208,APP-0573,APP-0462,MQ,realtime,false
INT-0209,APP-0008,APP-0568,MQ,batch-daily,false
INT-0210,APP-0161,APP-0254,DB link,batch-daily,true
INT-0211,APP-0421,APP-0129,MQ,realtime,false
INT-0212,APP-0153,APP-0425,MQ,batch-hourly,false
INT-0213,APP-0312,APP-0086,REST,batch-daily,false
INT-0214,APP-0512,APP-0070,ETL batch,near-realtime,true
INT-0215,APP-0569,APP-0185,SOAP,batch-hourly,false
INT-0216,APP-0528,APP-0095,MQ,realtime,false
INT-0217,APP-0415,APP-0038,SOAP,near-realtime,false
INT-0218,APP-0278,APP-0537,SOAP,near-realtime,false
INT-0219,APP-0163,APP-0568,DB link,batch-daily,false
INT-0220,APP-0525,APP-0031,MQ,near-realtime,false
INT-0221,APP-0249,APP-0532,MQ,near-realtime,true
INT-0222,APP-0036,APP-0358,MQ,batch-daily,false
INT-0223,APP-0095,APP-0263,SOAP,batch-hourly,false
INT-0224,APP-0574,APP-0580,Kafka,near-realtime,false
INT-0225,APP-0091,APP-0355,MQ,realtime,false
INT-0226,APP-0235,APP-0324,SOAP,near-realtime,false
INT-0227,APP-0449,APP-0491,Kafka,realtime,false
INT-0228,APP-0152,APP-0118,SOAP,batch-hourly,false
INT-0229,APP-0339,APP-0516,file/SFTP,realtime,false
INT-0230,APP-0126,APP-0294,file/SFTP,batch-daily,false
INT-0231,APP-0177,APP-0301,DB link,batch-daily,false
INT-0232,APP-0305,APP-0058,REST,batch-hourly,false
INT-0233,APP-0069,APP-0433,SOAP,near-realtime,false
INT-0234,APP-0143,APP-0116,ETL batch,realtime,false
INT-0235,APP-0463,APP-0115,Kafka,batch-daily,false
INT-0236,APP-0103,APP-0095,ETL batch,batch-hourly,false
INT-0237,APP-0476,APP-0041,file/SFTP,batch-daily,true
INT-0238,APP-0211,APP-0017,REST,near-realtime,false
INT-0239,APP-0295,APP-0164,Kafka,realtime,false
INT-0240,APP-0450,APP-0217,DB link,realtime,false
INT-0241,APP-0546,APP-0437,DB link,near-realtime,false
INT-0242,APP-0266,APP-0597,REST,batch-hourly,true
INT-0243,APP-0217,APP-0320,MQ,realtime,false
INT-0244,APP-0491,APP-0156,ETL batch,near-realtime,true
INT-0245,APP-0343,APP-0417,DB link,batch-hourly,true
INT-0246,APP-0274,APP-0482,ETL batch,realtime,false
INT-0247,APP-0330,APP-0160,DB link,realtime,true
INT-0248,APP-0013,APP-0582,ETL batch,batch-hourly,false
INT-0249,APP-0545,APP-0430,REST,batch-daily,false
INT-0250,APP-0140,APP-0141,file/SFTP,batch-daily,true
INT-0251,APP-0498,APP-0471,Kafka,batch-hourly,false
INT-0252,APP-0099,APP-0551,DB link,realtime,false
INT-0253,APP-0201,APP-0510,DB link,batch-hourly,false
INT-0254,APP-0408,APP-0049,Kafka,near-realtime,false
INT-0255,APP-0564,APP-0491,MQ,batch-hourly,false
INT-0256,APP-0420,APP-0520,ETL batch,batch-daily,false
INT-0257,APP-0317,APP-0299,ETL batch,near-realtime,false
INT-0258,APP-0476,APP-0353,Kafka,near-realtime,false
INT-0259,APP-0234,APP-0084,REST,realtime,true
INT-0260,APP-0378,APP-0079,MQ,batch-hourly,false
INT-0261,APP-0300,APP-0520,REST,near-realtime,false
INT-0262,APP-0471,APP-0491,Kafka,near-realtime,false
INT-0263,APP-0050,APP-0531,ETL batch,batch-hourly,true
INT-0264,APP-0257,APP-0363,SOAP,realtime,false
INT-0265,APP-0448,APP-0471,DB link,near-realtime,false
INT-0266,APP-0484,APP-0533,file/SFTP,batch-daily,true
INT-0267,APP-0048,APP-0232,MQ,batch-daily,false
INT-0268,APP-0410,APP-0194,MQ,batch-hourly,false
INT-0269,APP-0575,APP-0444,MQ,batch-hourly,false
INT-0270,APP-0231,APP-0524,REST,batch-hourly,false
INT-0271,APP-0052,APP-0352,SOAP,batch-hourly,false
INT-0272,APP-0190,APP-0598,SOAP,batch-daily,false
INT-0273,APP-0559,APP-0180,file/SFTP,near-realtime,true
INT-0274,APP-0399,APP-0427,REST,batch-daily,false
INT-0275,APP-0591,APP-0046,DB link,realtime,false
INT-0276,APP-0540,APP-0347,SOAP,batch-hourly,false
INT-0277,APP-0439,APP-0236,MQ,near-realtime,false
INT-0278,APP-0250,APP-0584,SOAP,near-realtime,false
INT-0279,APP-0279,APP-0548,file/SFTP,batch-hourly,false
INT-0280,APP-0339,APP-0541,DB link,near-realtime,false
INT-0281,APP-0027,APP-0232,Kafka,batch-daily,false
INT-0282,APP-0222,APP-0270,SOAP,realtime,false
INT-0283,APP-0353,APP-0096,file/SFTP,realtime,false
INT-0284,APP-0208,APP-0128,SOAP,near-realtime,false
INT-0285,APP-0028,APP-0564,file/SFTP,batch-hourly,false
INT-0286,APP-0026,APP-0380,ETL batch,realtime,false
INT-0287,APP-0176,APP-0570,ETL batch,realtime,false
INT-0288,APP-0239,APP-0388,ETL batch,batch-hourly,true
INT-0289,APP-0329,APP-0532,SOAP,near-realtime,false
INT-0290,APP-0273,APP-0125,Kafka,near-realtime,false
INT-0291,APP-0425,APP-0292,Kafka,near-realtime,false
INT-0292,APP-0279,APP-0228,Kafka,realtime,false
INT-0293,APP-0568,APP-0353,DB link,batch-daily,false
INT-0294,APP-0600,APP-0388,ETL batch,near-realtime,false
INT-0295,APP-0291,APP-0530,DB link,realtime,false
INT-0296,APP-0115,APP-0538,SOAP,batch-hourly,false
INT-0297,APP-0364,APP-0432,MQ,realtime,false
INT-0298,APP-0065,APP-0170,file/SFTP,batch-daily,true
INT-0299,APP-0429,APP-0215,file/SFTP,batch-daily,false
INT-0300,APP-0160,APP-0290,Kafka,realtime,false
INT-0301,APP-0558,APP-0065,Kafka,near-realtime,false
INT-0302,APP-0165,APP-0332,file/SFTP,realtime,false
INT-0303,APP-0079,APP-0080,DB link,realtime,false
INT-0304,APP-0318,APP-0138,SOAP,batch-hourly,false
INT-0305,APP-0167,APP-0153,SOAP,realtime,false
INT-0306,APP-0537,APP-0332,REST,realtime,false
INT-0307,APP-0529,APP-0488,ETL batch,batch-daily,false
INT-0308,APP-0552,APP-0356,REST,batch-hourly,false
INT-0309,APP-0081,APP-0542,Kafka,near-realtime,false
INT-0310,APP-0343,APP-0291,REST,near-realtime,true
INT-0311,APP-0504,APP-0018,REST,realtime,false
INT-0312,APP-0235,APP-0279,SOAP,realtime,false
INT-0313,APP-0591,APP-0021,DB link,batch-hourly,false
INT-0314,APP-0089,APP-0340,Kafka,batch-daily,false
INT-0315,APP-0126,APP-0397,file/SFTP,batch-hourly,false
INT-0316,APP-0393,APP-0123,DB link,near-realtime,false
INT-0317,APP-0137,APP-0158,MQ,batch-hourly,true
INT-0318,APP-0385,APP-0380,SOAP,near-realtime,false
INT-0319,APP-0113,APP-0577,file/SFTP,near-realtime,false
INT-0320,APP-0180,APP-0401,file/SFTP,near-realtime,true
INT-0321,APP-0532,APP-0253,REST,near-realtime,true
INT-0322,APP-0497,APP-0345,DB link,near-realtime,false
INT-0323,APP-0500,APP-0486,Kafka,batch-daily,false
INT-0324,APP-0308,APP-0140,file/SFTP,realtime,false
INT-0325,APP-0197,APP-0263,MQ,batch-daily,false
INT-0326,APP-0035,APP-0001,DB link,batch-daily,true
INT-0327,APP-0235,APP-0327,MQ,realtime,false
INT-0328,APP-0313,APP-0359,ETL batch,realtime,false
INT-0329,APP-0586,APP-0469,REST,realtime,false
INT-0330,APP-0329,APP-0128,DB link,realtime,false
INT-0331,APP-0097,APP-0014,MQ,batch-daily,false
INT-0332,APP-0113,APP-0053,SOAP,batch-daily,false
INT-0333,APP-0062,APP-0410,SOAP,near-realtime,false
INT-0334,APP-0071,APP-0463,MQ,near-realtime,false
INT-0335,APP-0490,APP-0066,REST,batch-hourly,true
INT-0336,APP-0496,APP-0591,file/SFTP,batch-daily,false
INT-0337,APP-0037,APP-0330,file/SFTP,batch-daily,true
INT-0338,APP-0586,APP-0464,Kafka,realtime,false
INT-0339,APP-0284,APP-0248,SOAP,realtime,true
INT-0340,APP-0558,APP-0591,file/SFTP,batch-hourly,false
INT-0341,APP-0457,APP-0439,file/SFTP,batch-hourly,false
INT-0342,APP-0014,APP-0453,MQ,batch-daily,false
INT-0343,APP-0029,APP-0161,file/SFTP,realtime,false
INT-0344,APP-0045,APP-0490,ETL batch,batch-daily,false
INT-0345,APP-0193,APP-0574,ETL batch,near-realtime,false
INT-0346,APP-0291,APP-0027,DB link,near-realtime,false
INT-0347,APP-0026,APP-0575,file/SFTP,batch-hourly,false
INT-0348,APP-0106,APP-0262,DB link,batch-hourly,false
INT-0349,APP-0313,APP-0097,REST,batch-daily,false
INT-0350,APP-0121,APP-0069,Kafka,realtime,false
INT-0351,APP-0411,APP-0158,MQ,batch-daily,false
INT-0352,APP-0206,APP-0263,SOAP,batch-hourly,false
INT-0353,APP-0089,APP-0393,Kafka,realtime,false
INT-0354,APP-0041,APP-0548,MQ,batch-daily,false
INT-0355,APP-0163,APP-0110,MQ,near-realtime,false
INT-0356,APP-0445,APP-0418,SOAP,near-realtime,false
INT-0357,APP-0101,APP-0457,file/SFTP,realtime,false
INT-0358,APP-0363,APP-0496,ETL batch,realtime,false
INT-0359,APP-0025,APP-0144,DB link,batch-hourly,false
INT-0360,APP-0011,APP-0467,DB link,realtime,false
INT-0361,APP-0575,APP-0181,Kafka,batch-daily,false
INT-0362,APP-0513,APP-0069,SOAP,batch-daily,false
INT-0363,APP-0464,APP-0545,file/SFTP,batch-daily,false
INT-0364,APP-0383,APP-0039,DB link,batch-hourly,false
INT-0365,APP-0215,APP-0198,REST,batch-daily,false
INT-0366,APP-0418,APP-0439,DB link,batch-hourly,false
INT-0367,APP-0252,APP-0165,ETL batch,near-realtime,false
INT-0368,APP-0344,APP-0129,ETL batch,near-realtime,false
INT-0369,APP-0512,APP-0016,SOAP,realtime,false
INT-0370,APP-0145,APP-0038,REST,batch-hourly,false
INT-0371,APP-0133,APP-0099,file/SFTP,realtime,false
INT-0372,APP-0056,APP-0245,ETL batch,realtime,false
INT-0373,APP-0169,APP-0209,REST,near-realtime,false
INT-0374,APP-0409,APP-0553,MQ,batch-daily,false
INT-0375,APP-0263,APP-0118,DB link,realtime,false
INT-0376,APP-0553,APP-0435,REST,batch-hourly,false
INT-0377,APP-0125,APP-0038,file/SFTP,batch-hourly,false
INT-0378,APP-0302,APP-0208,DB link,batch-daily,false
INT-0379,APP-0228,APP-0114,DB link,batch-daily,false
INT-0380,APP-0262,APP-0030,REST,realtime,false
INT-0381,APP-0110,APP-0058,MQ,batch-daily,false
INT-0382,APP-0390,APP-0507,SOAP,near-realtime,false
INT-0383,APP-0505,APP-0407,SOAP,batch-hourly,false
INT-0384,APP-0573,APP-0472,REST,batch-hourly,false
INT-0385,APP-0401,APP-0342,file/SFTP,batch-daily,false
INT-0386,APP-0008,APP-0287,SOAP,realtime,false
INT-0387,APP-0575,APP-0112,Kafka,batch-daily,false
INT-0388,APP-0446,APP-0035,SOAP,batch-daily,false
INT-0389,APP-0243,APP-0588,DB link,realtime,false
INT-0390,APP-0537,APP-0028,ETL batch,near-realtime,false
INT-0391,APP-0204,APP-0524,ETL batch,realtime,false
INT-0392,APP-0545,APP-0169,file/SFTP,batch-hourly,false
INT-0393,APP-0315,APP-0113,Kafka,realtime,false
INT-0394,APP-0350,APP-0066,MQ,near-realtime,false
INT-0395,APP-0577,APP-0484,ETL batch,batch-daily,false
INT-0396,APP-0259,APP-0330,MQ,realtime,false
INT-0397,APP-0496,APP-0151,DB link,batch-hourly,false
INT-0398,APP-0250,APP-0171,MQ,realtime,false
INT-0399,APP-0236,APP-0139,ETL batch,near-realtime,false
INT-0400,APP-0486,APP-0463,Kafka,realtime,false
INT-0401,APP-0541,APP-0226,SOAP,near-realtime,true
INT-0402,APP-0066,APP-0119,Kafka,near-realtime,false
INT-0403,APP-0318,APP-0340,MQ,batch-daily,false
INT-0404,APP-0123,APP-0152,file/SFTP,batch-hourly,false
INT-0405,APP-0147,APP-0090,Kafka,batch-daily,true
INT-0406,APP-0178,APP-0343,file/SFTP,batch-hourly,false
INT-0407,APP-0238,APP-0106,ETL batch,realtime,false
INT-0408,APP-0227,APP-0491,MQ,batch-hourly,false
INT-0409,APP-0263,APP-0231,ETL batch,batch-daily,false
INT-0410,APP-0482,APP-0537,DB link,batch-hourly,false
INT-0411,APP-0239,APP-0245,file/SFTP,batch-daily,false
INT-0412,APP-0140,APP-0580,DB link,near-realtime,false
INT-0413,APP-0535,APP-0449,file/SFTP,near-realtime,false
INT-0414,APP-0476,APP-0351,DB link,batch-hourly,false
INT-0415,APP-0342,APP-0144,MQ,batch-hourly,true
INT-0416,APP-0028,APP-0352,file/SFTP,near-realtime,false
INT-0417,APP-0019,APP-0365,REST,near-realtime,false
INT-0418,APP-0223,APP-0319,MQ,realtime,true
INT-0419,APP-0040,APP-0212,Kafka,batch-daily,false
INT-0420,APP-0536,APP-0274,REST,batch-daily,true
INT-0421,APP-0531,APP-0544,SOAP,batch-daily,false
INT-0422,APP-0339,APP-0320,SOAP,batch-hourly,true
INT-0423,APP-0087,APP-0046,Kafka,batch-hourly,false
INT-0424,APP-0468,APP-0150,REST,batch-hourly,false
INT-0425,APP-0332,APP-0055,file/SFTP,realtime,false
INT-0426,APP-0396,APP-0082,file/SFTP,realtime,false
INT-0427,APP-0254,APP-0084,file/SFTP,batch-daily,false
INT-0428,APP-0321,APP-0242,Kafka,realtime,false
INT-0429,APP-0228,APP-0227,Kafka,near-realtime,false
INT-0430,APP-0428,APP-0569,DB link,near-realtime,false
INT-0431,APP-0543,APP-0396,ETL batch,realtime,false
INT-0432,APP-0470,APP-0401,REST,realtime,false
INT-0433,APP-0156,APP-0127,REST,batch-hourly,false
INT-0434,APP-0364,APP-0128,REST,batch-daily,true
INT-0435,APP-0459,APP-0231,MQ,near-realtime,false
INT-0436,APP-0343,APP-0142,ETL batch,batch-daily,false
INT-0437,APP-0218,APP-0013,REST,near-realtime,false
INT-0438,APP-0206,APP-0230,file/SFTP,batch-daily,false
INT-0439,APP-0183,APP-0385,REST,realtime,false
INT-0440,APP-0459,APP-0044,DB link,realtime,false
INT-0441,APP-0420,APP-0222,Kafka,batch-hourly,false
INT-0442,APP-0538,APP-0218,REST,batch-daily,false
INT-0443,APP-0051,APP-0015,REST,batch-daily,false
INT-0444,APP-0024,APP-0019,Kafka,realtime,false
INT-0445,APP-0483,APP-0401,file/SFTP,near-realtime,false
INT-0446,APP-0417,APP-0188,DB link,realtime,false
INT-0447,APP-0014,APP-0529,DB link,batch-hourly,false
INT-0448,APP-0308,APP-0285,DB link,batch-hourly,false
INT-0449,APP-0520,APP-0346,REST,batch-hourly,false
INT-0450,APP-0421,APP-0317,MQ,batch-daily,false
INT-0451,APP-0475,APP-0277,REST,batch-hourly,false
INT-0452,APP-0173,APP-0473,ETL batch,batch-hourly,false
INT-0453,APP-0357,APP-0229,SOAP,batch-hourly,false
INT-0454,APP-0101,APP-0269,MQ,near-realtime,true
