tenantKey,mappingProfile,sourceClass,profileVersion,requiredFields,bestMatchingSourceFile,requiredFieldsSatisfied,requiredFieldsMissing,missingFieldNames,optionalFieldsSatisfied,dryRunResult,executed
skyharbor-air,organization-workforce-roles/v1,organization_functions,2026-08-14.organization-workforce-pr1,4,datasets/tenant-inputs/active/skyharbor-air/current/03_workforce_roles.csv,4,0,,10,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,vendor-contracts/v1,vendors_contracts,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/07_vendors_contracts.csv,3,0,,15,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,spend-value/v1,spend_value,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/08_spend_value.csv,3,0,,10,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,managed-services-scope/v1,service_scope_managed_services,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/17_service_scope_managed_services.csv,3,0,,12,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,metrics-outcomes/v1,metrics_outcomes,2026-08-14.vendor-finance-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/14_metrics_outcomes.csv,3,0,,12,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,data-assets-integrations/v1,data_assets_integrations,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/05_data_assets_integrations.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,infrastructure-platforms/v1,infrastructure_platforms,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/06_infrastructure_platforms.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,programs-initiatives/v1,programs_priorities,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/09_programs_initiatives.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,ai-automation-use-cases/v1,ai_automation_use_cases,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/10_ai_automation_use_cases.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,risks-controls/v1,risks_controls,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/11_risks_controls.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,relationships/v1,relationships,2026-08-14.relationship-profile-pr1,7,datasets/tenant-inputs/active/skyharbor-air/current/12_relationships.csv,7,0,,6,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,operational-process-evidence/v1,operational_process_evidence,2026-08-14.remaining-family-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/18_operational_process_evidence.csv,3,0,,7,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,enterprise-profile-v3/v1,enterprise_profile,2026-08-14.v3-contract-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/00_enterprise_profile.csv,3,0,,6,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,applications-systems-v3/v1,applications_systems,2026-08-14.v3-contract-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/04_applications_systems.csv,3,0,,8,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,evidence-sources-v3/v1,evidence_registry,2026-08-14.v3-contract-pr1,2,datasets/tenant-inputs/active/skyharbor-air/current/13_evidence_sources.csv,2,0,,5,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,industry-context-patterns/v1,industry_context_patterns,2026-08-14.v3-contract-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/15_industry_context_patterns.csv,3,0,,4,would-run,"no — field-satisfaction check only, no transform, no write"
skyharbor-air,expert-lenses/v1,expert_lenses,2026-08-14.v3-contract-pr1,3,datasets/tenant-inputs/active/skyharbor-air/current/16_expert_lenses.csv,3,0,,5,would-run,"no — field-satisfaction check only, no transform, no write"
