tenant_key,dimension,tab,scan_type,term,found_count,expected,status,route
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,relationships,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=relationships
skyharbor-air,Enterprise Profile,gaps,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,gaps,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=gaps
skyharbor-air,Enterprise Profile,Evidence,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Enterprise Profile,Evidence,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Enterprise+Profile&tab=sources
skyharbor-air,Applications & Systems,summary,positive_tenant_specificity,SkyHarbor,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,positive_tenant_specificity,IROPS,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,positive_tenant_specificity,crew,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,positive_tenant_specificity,baggage,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,positive_tenant_specificity,maintenance,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,summary,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems
skyharbor-air,Applications & Systems,data,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,data,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=data
skyharbor-air,Applications & Systems,relationships,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,relationships,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=relationships
skyharbor-air,Applications & Systems,gaps,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,gaps,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=gaps
skyharbor-air,Applications & Systems,Evidence,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,positive_tenant_specificity,IROPS,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,positive_tenant_specificity,baggage,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,positive_tenant_specificity,maintenance,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Applications & Systems,Evidence,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Applications+%26+Systems&tab=sources
skyharbor-air,Data Assets & Integrations,summary,positive_tenant_specificity,SkyHarbor,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,positive_tenant_specificity,airline,3,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,positive_tenant_specificity,IROPS,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,positive_tenant_specificity,crew,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,positive_tenant_specificity,baggage,1,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,positive_tenant_specificity,maintenance,2,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,First Capital,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,fraud copilot,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,AML,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,KYC,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,Meridian,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,Healthcare Demo,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,Epic,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,summary,cross_tenant_leak,PHI,0,absent,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations
skyharbor-air,Data Assets & Integrations,data,positive_tenant_specificity,SkyHarbor,0,diagnostic; aggregate row enforces tenant specificity,Pass,/home?client=skyharbor&dimension=Data+Assets+%26+Integrations&tab=data
