tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,event_id,artifact_type,artifact_id,artifact_state,linked_document_id,owner_role,review_state
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-4,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,scorecard,ART-MER-CTR-HR-BPO-001-SCORECARD,available,DOC-MER-CTR-HR-BPO-001-SLA-SCHEDULE,HR Shared Services Director,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-5,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,bafo,ART-MER-CTR-HR-BPO-001-BAFO,available,DOC-MER-CTR-HR-BPO-001-PRICING-EXHIBIT,HR Shared Services Director,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-6,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,award_memo,ART-MER-CTR-HR-BPO-001-AWARD-MEMO,blocked_pending_reviewer_decision,DOC-MER-CTR-HR-BPO-001-AMEND-001,HR Finance Partner,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-HR-BPO-001-7,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-HR-BPO-001,EVT-MER-CTR-HR-BPO-001,exception_log,ART-MER-CTR-HR-BPO-001-EXCEPTION-LOG,blocked_pending_reviewer_decision,DOC-MER-CTR-HR-BPO-001-SIDE-LETTER,HR Finance Partner,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-1,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,rfp,ART-MER-CTR-FIN-BPO-001-RFP,available,DOC-MER-CTR-FIN-BPO-001-MSA,Finance Category Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-2,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,vendor_response,ART-MER-CTR-FIN-BPO-001-VENDOR-RESPONSE,available,DOC-MER-CTR-FIN-BPO-001-SOW-CORE,Finance Category Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-3,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,pricing_workbook,ART-MER-CTR-FIN-BPO-001-PRICING-WORKBOOK,available,DOC-MER-CTR-FIN-BPO-001-SOW-OPERATIONS,Finance Category Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-4,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,scorecard,ART-MER-CTR-FIN-BPO-001-SCORECARD,available,DOC-MER-CTR-FIN-BPO-001-SLA-SCHEDULE,Accounting Operations Director,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-5,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,bafo,ART-MER-CTR-FIN-BPO-001-BAFO,available,DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,Accounting Operations Director,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-6,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,award_memo,ART-MER-CTR-FIN-BPO-001-AWARD-MEMO,blocked_pending_reviewer_decision,DOC-MER-CTR-FIN-BPO-001-AMEND-001,FP&A Shared Services Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-FIN-BPO-001-7,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-FIN-BPO-001,EVT-MER-CTR-FIN-BPO-001,exception_log,ART-MER-CTR-FIN-BPO-001-EXCEPTION-LOG,blocked_pending_reviewer_decision,DOC-MER-CTR-FIN-BPO-001-SIDE-LETTER,FP&A Shared Services Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-1,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,rfp,ART-MER-CTR-SC-BPO-001-RFP,available,DOC-MER-CTR-SC-BPO-001-MSA,P2P Category Manager,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-2,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,vendor_response,ART-MER-CTR-SC-BPO-001-VENDOR-RESPONSE,available,DOC-MER-CTR-SC-BPO-001-SOW-CORE,P2P Category Manager,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-3,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,pricing_workbook,ART-MER-CTR-SC-BPO-001-PRICING-WORKBOOK,available,DOC-MER-CTR-SC-BPO-001-SOW-OPERATIONS,P2P Category Manager,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-4,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,scorecard,ART-MER-CTR-SC-BPO-001-SCORECARD,available,DOC-MER-CTR-SC-BPO-001-SLA-SCHEDULE,Procure-to-Pay Operations Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-5,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,bafo,ART-MER-CTR-SC-BPO-001-BAFO,available,DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,Procure-to-Pay Operations Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-6,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,award_memo,ART-MER-CTR-SC-BPO-001-AWARD-MEMO,blocked_pending_reviewer_decision,DOC-MER-CTR-SC-BPO-001-AMEND-001,Supply Chain Finance Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SC-BPO-001-7,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SC-BPO-001,EVT-MER-CTR-SC-BPO-001,exception_log,ART-MER-CTR-SC-BPO-001-EXCEPTION-LOG,blocked_pending_reviewer_decision,DOC-MER-CTR-SC-BPO-001-SIDE-LETTER,Supply Chain Finance Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-1,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,rfp,ART-MER-CTR-SSO-BPO-001-RFP,available,DOC-MER-CTR-SSO-BPO-001-MSA,VP Strategic Sourcing,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-2,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,vendor_response,ART-MER-CTR-SSO-BPO-001-VENDOR-RESPONSE,available,DOC-MER-CTR-SSO-BPO-001-SOW-CORE,VP Strategic Sourcing,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-3,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,pricing_workbook,ART-MER-CTR-SSO-BPO-001-PRICING-WORKBOOK,available,DOC-MER-CTR-SSO-BPO-001-SOW-OPERATIONS,VP Strategic Sourcing,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-4,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,scorecard,ART-MER-CTR-SSO-BPO-001-SCORECARD,available,DOC-MER-CTR-SSO-BPO-001-SLA-SCHEDULE,Shared Services Transition Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-5,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,bafo,ART-MER-CTR-SSO-BPO-001-BAFO,available,DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,Shared Services Transition Lead,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-6,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,award_memo,ART-MER-CTR-SSO-BPO-001-AWARD-MEMO,blocked_pending_reviewer_decision,DOC-MER-CTR-SSO-BPO-001-AMEND-001,Enterprise Finance PMO,diagnosis_ready_not_action_ready
meridian-health,Sourcing workspace companion export,sourcing_event_artifact,SRCART-MER-CTR-SSO-BPO-001-7,extract-meridian-sourcing-artifacts-001,2026-08-11T23:45:00Z,2027-06-30,MER-CTR-SSO-BPO-001,EVT-MER-CTR-SSO-BPO-001,exception_log,ART-MER-CTR-SSO-BPO-001-EXCEPTION-LOG,blocked_pending_reviewer_decision,DOC-MER-CTR-SSO-BPO-001-SIDE-LETTER,Enterprise Finance PMO,diagnosis_ready_not_action_ready
