tenant_key,dataset_version,fact_assertion_id,contract_id,canonical_entity_type,canonical_entity_id,fact_type,fact_field,fact_value_text,fact_value_numeric,grain,source_record_id,evidence_entity_link_id,assertion_basis,confidence,review_state
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-FIN-BPO-001-1,MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,commercial_term,annual_value_usd,,14200000,contract,CLM-MER-CTR-FIN-BPO-001,LINK-0015,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-FIN-BPO-001-2,MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,commercial_term,notice_deadline,2029-04-30,,contract,CLM-MER-CTR-FIN-BPO-001,LINK-0015,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-FIN-BPO-001-3,MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,pricing,current_pricing_total_usd,,14200000,contract,PRICE-MER-CTR-FIN-BPO-001-1,LINK-0018,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-FIN-BPO-001-4,MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,sla,service_credit_available_usd,,4930.56,contract,SLA-MER-CTR-FIN-BPO-001-2026-07-cycle_time,LINK-0020,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-FIN-BPO-001-5,MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,finance,finance_confirmed_value_usd,,0,contract,FIN-MER-CTR-FIN-BPO-001-2027-Q1,LINK-0021,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-FIN-BPO-001-6,MER-CTR-FIN-BPO-001,contract,MER-CTR-FIN-BPO-001,gate,action_gate_state,blocked,,contract,SRCART-MER-CTR-FIN-BPO-001-6,LINK-0015,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SC-BPO-001-1,MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,commercial_term,annual_value_usd,,9900000,contract,CLM-MER-CTR-SC-BPO-001,LINK-0022,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SC-BPO-001-2,MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,commercial_term,notice_deadline,2029-06-30,,contract,CLM-MER-CTR-SC-BPO-001,LINK-0022,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SC-BPO-001-3,MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,pricing,current_pricing_total_usd,,9900000,contract,PRICE-MER-CTR-SC-BPO-001-1,LINK-0025,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SC-BPO-001-4,MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,sla,service_credit_available_usd,,3437.5,contract,SLA-MER-CTR-SC-BPO-001-2026-07-cycle_time,LINK-0027,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SC-BPO-001-5,MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,finance,finance_confirmed_value_usd,,0,contract,FIN-MER-CTR-SC-BPO-001-2027-Q1,LINK-0028,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SC-BPO-001-6,MER-CTR-SC-BPO-001,contract,MER-CTR-SC-BPO-001,gate,action_gate_state,blocked,,contract,SRCART-MER-CTR-SC-BPO-001-6,LINK-0022,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SSO-BPO-001-1,MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,commercial_term,annual_value_usd,,24800000,contract,CLM-MER-CTR-SSO-BPO-001,LINK-0029,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SSO-BPO-001-2,MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,commercial_term,notice_deadline,2029-07-31,,contract,CLM-MER-CTR-SSO-BPO-001,LINK-0029,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SSO-BPO-001-3,MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,pricing,current_pricing_total_usd,,24800000,contract,PRICE-MER-CTR-SSO-BPO-001-1,LINK-0032,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SSO-BPO-001-4,MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,sla,service_credit_available_usd,,8611.11,contract,SLA-MER-CTR-SSO-BPO-001-2026-07-cycle_time,LINK-0034,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SSO-BPO-001-5,MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,finance,finance_confirmed_value_usd,,0,contract,FIN-MER-CTR-SSO-BPO-001-2027-Q1,LINK-0035,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
meridian-health,meridian-source-5-contract-layer-cube-proof-20260811,FACT-MER-CTR-SSO-BPO-001-6,MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,gate,action_gate_state,blocked,,contract,SRCART-MER-CTR-SSO-BPO-001-6,LINK-0029,reconciled_synthetic_native_extract_or_document_clause,0.82,diagnosis_only_or_blocked
