profile_id,tenant_key,entity_type,entity_key,display_name,record_count,confidence,summary
profile:applications_systems:CEO_/_Enterprise_Strategy:_End-to-end_cost_transparency,meridian-health,applications_systems,CEO / Enterprise Strategy: End-to-end cost transparency,CEO / Enterprise Strategy: End-to-end cost transparency,2,medium,CEO / Enterprise Strategy: End-to-end cost transparency; CEO / Enterprise Strategy: End-to-end cost transparency
profile:applications_systems:CEO_/_Enterprise_Strategy:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,CEO / Enterprise Strategy: Payment integrity and leakage reduction,CEO / Enterprise Strategy: Payment integrity and leakage reduction,1,high,CEO / Enterprise Strategy: Payment integrity and leakage reduction
profile:applications_systems:CEO_/_Enterprise_Strategy:_Automated_close_and_reporting,meridian-health,applications_systems,CEO / Enterprise Strategy: Automated close and reporting,CEO / Enterprise Strategy: Automated close and reporting,1,high,CEO / Enterprise Strategy: Automated close and reporting
profile:applications_systems:CFO_/_Finance_&_Value:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,CFO / Finance & Value: Governed data foundation for AI / LLM automation,CFO / Finance & Value: Governed data foundation for AI / LLM automation,1,medium,CFO / Finance & Value: Governed data foundation for AI / LLM automation
profile:applications_systems:CFO_/_Finance_&_Value:_Call_center_optimization,meridian-health,applications_systems,CFO / Finance & Value: Call center optimization,CFO / Finance & Value: Call center optimization,1,high,CFO / Finance & Value: Call center optimization
profile:applications_systems:CFO_/_Finance_&_Value:_Provider_quality_and_performance,meridian-health,applications_systems,CFO / Finance & Value: Provider quality and performance,CFO / Finance & Value: Provider quality and performance,1,high,CFO / Finance & Value: Provider quality and performance
profile:applications_systems:CFO_/_Finance_&_Value:_End-to-end_cost_transparency,meridian-health,applications_systems,CFO / Finance & Value: End-to-end cost transparency,CFO / Finance & Value: End-to-end cost transparency,1,high,CFO / Finance & Value: End-to-end cost transparency
profile:applications_systems:CFO_/_Finance_&_Value:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,CFO / Finance & Value: Payment integrity and leakage reduction,CFO / Finance & Value: Payment integrity and leakage reduction,2,medium,CFO / Finance & Value: Payment integrity and leakage reduction; CFO / Finance & Value: Payment integrity and leakage reduction
profile:applications_systems:CFO_/_Finance_&_Value:_Automated_close_and_reporting,meridian-health,applications_systems,CFO / Finance & Value: Automated close and reporting,CFO / Finance & Value: Automated close and reporting,1,high,CFO / Finance & Value: Automated close and reporting
profile:applications_systems:CFO_/_Finance_&_Value:_AI_Benefits_Realization_Ledger,meridian-health,applications_systems,CFO / Finance & Value: AI Benefits Realization Ledger,CFO / Finance & Value: AI Benefits Realization Ledger,2,medium,CFO / Finance & Value: AI Benefits Realization Ledger; CFO / Finance & Value: AI Benefits Realization Ledger
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Member_Service_Agent_Assist_Transformation,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation,Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation,2,medium,Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation; Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation
profile:applications_systems:CISO_/_Security:_AI_Governance_/_Model_Risk_Controls,meridian-health,applications_systems,CISO / Security: AI Governance / Model Risk Controls,CISO / Security: AI Governance / Model Risk Controls,2,medium,CISO / Security: AI Governance / Model Risk Controls; CISO / Security: AI Governance / Model Risk Controls
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Contact_Center_Platform_/_Knowledge_Modernization,meridian-health,applications_systems,Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization,Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization,2,medium,Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization; Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization
profile:applications_systems:CIO_/_Enterprise_Technology:_FY26_AI_spend_governance,meridian-health,applications_systems,CIO / Enterprise Technology: FY26 AI spend governance,CIO / Enterprise Technology: FY26 AI spend governance,2,medium,CIO / Enterprise Technology: FY26 AI spend governance; CIO / Enterprise Technology: FY26 AI spend governance
profile:applications_systems:CIO_/_Enterprise_Technology:_Call_center_optimization,meridian-health,applications_systems,CIO / Enterprise Technology: Call center optimization,CIO / Enterprise Technology: Call center optimization,2,medium,CIO / Enterprise Technology: Call center optimization; CIO / Enterprise Technology: Call center optimization
profile:applications_systems:CIO_/_Enterprise_Technology:_Provider_quality_and_performance,meridian-health,applications_systems,CIO / Enterprise Technology: Provider quality and performance,CIO / Enterprise Technology: Provider quality and performance,2,medium,CIO / Enterprise Technology: Provider quality and performance; CIO / Enterprise Technology: Provider quality and performance
profile:applications_systems:CIO_/_Enterprise_Technology:_End-to-end_cost_transparency,meridian-health,applications_systems,CIO / Enterprise Technology: End-to-end cost transparency,CIO / Enterprise Technology: End-to-end cost transparency,2,high,CIO / Enterprise Technology: End-to-end cost transparency; CIO / Enterprise Technology: End-to-end cost transparency
profile:applications_systems:CIO_/_Enterprise_Technology:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,CIO / Enterprise Technology: Payment integrity and leakage reduction,CIO / Enterprise Technology: Payment integrity and leakage reduction,2,high,CIO / Enterprise Technology: Payment integrity and leakage reduction; CIO / Enterprise Technology: Payment integrity and leakage reduction
profile:applications_systems:CIO_/_Enterprise_Technology:_Automated_close_and_reporting,meridian-health,applications_systems,CIO / Enterprise Technology: Automated close and reporting,CIO / Enterprise Technology: Automated close and reporting,2,medium,CIO / Enterprise Technology: Automated close and reporting; CIO / Enterprise Technology: Automated close and reporting
profile:applications_systems:CIO_/_Enterprise_Technology:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,CIO / Enterprise Technology: Unified clinical + claims lakehouse,CIO / Enterprise Technology: Unified clinical + claims lakehouse,1,high,CIO / Enterprise Technology: Unified clinical + claims lakehouse
profile:applications_systems:CIO_/_Enterprise_Technology:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,CIO / Enterprise Technology: Governed data foundation for AI / LLM automation,CIO / Enterprise Technology: Governed data foundation for AI / LLM automation,1,high,CIO / Enterprise Technology: Governed data foundation for AI / LLM automation
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_Provider_quality_and_performance",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: Provider quality and performance","CTO / Infrastructure, Cloud & Platform: Provider quality and performance",2,medium,"CTO / Infrastructure, Cloud & Platform: Provider quality and performance; CTO / Infrastructure, Cloud & Platform: Provider quality and performance"
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_End-to-end_cost_transparency",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: End-to-end cost transparency","CTO / Infrastructure, Cloud & Platform: End-to-end cost transparency",2,medium,"CTO / Infrastructure, Cloud & Platform: End-to-end cost transparency; CTO / Infrastructure, Cloud & Platform: End-to-end cost transparency"
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_Payment_integrity_and_leakage_reduction",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: Payment integrity and leakage reduction","CTO / Infrastructure, Cloud & Platform: Payment integrity and leakage reduction",2,high,"CTO / Infrastructure, Cloud & Platform: Payment integrity and leakage reduction; CTO / Infrastructure, Cloud & Platform: Payment integrity and leakage reduction"
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_Automated_close_and_reporting",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: Automated close and reporting","CTO / Infrastructure, Cloud & Platform: Automated close and reporting",2,high,"CTO / Infrastructure, Cloud & Platform: Automated close and reporting; CTO / Infrastructure, Cloud & Platform: Automated close and reporting"
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_Unified_clinical_+_claims_lakehouse",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: Unified clinical + claims lakehouse","CTO / Infrastructure, Cloud & Platform: Unified clinical + claims lakehouse",2,medium,"CTO / Infrastructure, Cloud & Platform: Unified clinical + claims lakehouse; CTO / Infrastructure, Cloud & Platform: Unified clinical + claims lakehouse"
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_Governed_data_foundation_for_AI_/_LLM_automation",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation","CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation",1,high,"CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation"
"profile:applications_systems:CTO_/_Infrastructure,_Cloud_&_Platform:_Call_center_optimization",meridian-health,applications_systems,"CTO / Infrastructure, Cloud & Platform: Call center optimization","CTO / Infrastructure, Cloud & Platform: Call center optimization",1,high,"CTO / Infrastructure, Cloud & Platform: Call center optimization"
profile:applications_systems:CDAO_/_Data_&_Analytics:_End-to-end_cost_transparency,meridian-health,applications_systems,CDAO / Data & Analytics: End-to-end cost transparency,CDAO / Data & Analytics: End-to-end cost transparency,2,medium,CDAO / Data & Analytics: End-to-end cost transparency; CDAO / Data & Analytics: End-to-end cost transparency
profile:applications_systems:CDAO_/_Data_&_Analytics:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,CDAO / Data & Analytics: Payment integrity and leakage reduction,CDAO / Data & Analytics: Payment integrity and leakage reduction,2,medium,CDAO / Data & Analytics: Payment integrity and leakage reduction; CDAO / Data & Analytics: Payment integrity and leakage reduction
profile:applications_systems:CDAO_/_Data_&_Analytics:_Automated_close_and_reporting,meridian-health,applications_systems,CDAO / Data & Analytics: Automated close and reporting,CDAO / Data & Analytics: Automated close and reporting,2,high,CDAO / Data & Analytics: Automated close and reporting; CDAO / Data & Analytics: Automated close and reporting
profile:applications_systems:CDAO_/_Data_&_Analytics:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,CDAO / Data & Analytics: Unified clinical + claims lakehouse,CDAO / Data & Analytics: Unified clinical + claims lakehouse,2,high,CDAO / Data & Analytics: Unified clinical + claims lakehouse; CDAO / Data & Analytics: Unified clinical + claims lakehouse
profile:applications_systems:CDAO_/_Data_&_Analytics:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation,2,medium,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation; CDAO / Data & Analytics: Governed data foundation for AI / LLM automation
profile:applications_systems:CDAO_/_Data_&_Analytics:_Call_center_optimization,meridian-health,applications_systems,CDAO / Data & Analytics: Call center optimization,CDAO / Data & Analytics: Call center optimization,1,high,CDAO / Data & Analytics: Call center optimization
profile:applications_systems:CDAO_/_Data_&_Analytics:_Provider_quality_and_performance,meridian-health,applications_systems,CDAO / Data & Analytics: Provider quality and performance,CDAO / Data & Analytics: Provider quality and performance,1,high,CDAO / Data & Analytics: Provider quality and performance
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction,2,medium,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction; Chief Experience Officer / Member Experience: Payment integrity and leakage reduction
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Automated_close_and_reporting,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Automated close and reporting,Chief Experience Officer / Member Experience: Automated close and reporting,2,medium,Chief Experience Officer / Member Experience: Automated close and reporting; Chief Experience Officer / Member Experience: Automated close and reporting
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse,2,high,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse; Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation,2,high,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation; Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Call_center_optimization,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Call center optimization,Chief Experience Officer / Member Experience: Call center optimization,2,medium,Chief Experience Officer / Member Experience: Call center optimization; Chief Experience Officer / Member Experience: Call center optimization
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_Provider_quality_and_performance,meridian-health,applications_systems,Chief Experience Officer / Member Experience: Provider quality and performance,Chief Experience Officer / Member Experience: Provider quality and performance,1,high,Chief Experience Officer / Member Experience: Provider quality and performance
profile:applications_systems:Chief_Experience_Officer_/_Member_Experience:_End-to-end_cost_transparency,meridian-health,applications_systems,Chief Experience Officer / Member Experience: End-to-end cost transparency,Chief Experience Officer / Member Experience: End-to-end cost transparency,1,high,Chief Experience Officer / Member Experience: End-to-end cost transparency
profile:applications_systems:COO_/_Operations:_Automated_close_and_reporting,meridian-health,applications_systems,COO / Operations: Automated close and reporting,COO / Operations: Automated close and reporting,2,medium,COO / Operations: Automated close and reporting; COO / Operations: Automated close and reporting
profile:applications_systems:COO_/_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,COO / Operations: Unified clinical + claims lakehouse,COO / Operations: Unified clinical + claims lakehouse,2,medium,COO / Operations: Unified clinical + claims lakehouse; COO / Operations: Unified clinical + claims lakehouse
profile:applications_systems:COO_/_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,COO / Operations: Governed data foundation for AI / LLM automation,COO / Operations: Governed data foundation for AI / LLM automation,2,high,COO / Operations: Governed data foundation for AI / LLM automation; COO / Operations: Governed data foundation for AI / LLM automation
profile:applications_systems:COO_/_Operations:_Call_center_optimization,meridian-health,applications_systems,COO / Operations: Call center optimization,COO / Operations: Call center optimization,2,high,COO / Operations: Call center optimization; COO / Operations: Call center optimization
profile:applications_systems:COO_/_Operations:_Provider_quality_and_performance,meridian-health,applications_systems,COO / Operations: Provider quality and performance,COO / Operations: Provider quality and performance,2,medium,COO / Operations: Provider quality and performance; COO / Operations: Provider quality and performance
profile:applications_systems:COO_/_Operations:_End-to-end_cost_transparency,meridian-health,applications_systems,COO / Operations: End-to-end cost transparency,COO / Operations: End-to-end cost transparency,1,high,COO / Operations: End-to-end cost transparency
profile:applications_systems:COO_/_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,COO / Operations: Payment integrity and leakage reduction,COO / Operations: Payment integrity and leakage reduction,1,high,COO / Operations: Payment integrity and leakage reduction
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,Chief Medical / Clinical Operations: Unified clinical + claims lakehouse,Chief Medical / Clinical Operations: Unified clinical + claims lakehouse,2,medium,Chief Medical / Clinical Operations: Unified clinical + claims lakehouse; Chief Medical / Clinical Operations: Unified clinical + claims lakehouse
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation,Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation,2,medium,Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation; Chief Medical / Clinical Operations: Governed data foundation for AI / LLM automation
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_Call_center_optimization,meridian-health,applications_systems,Chief Medical / Clinical Operations: Call center optimization,Chief Medical / Clinical Operations: Call center optimization,2,high,Chief Medical / Clinical Operations: Call center optimization; Chief Medical / Clinical Operations: Call center optimization
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_Provider_quality_and_performance,meridian-health,applications_systems,Chief Medical / Clinical Operations: Provider quality and performance,Chief Medical / Clinical Operations: Provider quality and performance,2,high,Chief Medical / Clinical Operations: Provider quality and performance; Chief Medical / Clinical Operations: Provider quality and performance
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_End-to-end_cost_transparency,meridian-health,applications_systems,Chief Medical / Clinical Operations: End-to-end cost transparency,Chief Medical / Clinical Operations: End-to-end cost transparency,2,medium,Chief Medical / Clinical Operations: End-to-end cost transparency; Chief Medical / Clinical Operations: End-to-end cost transparency
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,Chief Medical / Clinical Operations: Payment integrity and leakage reduction,Chief Medical / Clinical Operations: Payment integrity and leakage reduction,1,high,Chief Medical / Clinical Operations: Payment integrity and leakage reduction
profile:applications_systems:Chief_Medical_/_Clinical_Operations:_Automated_close_and_reporting,meridian-health,applications_systems,Chief Medical / Clinical Operations: Automated close and reporting,Chief Medical / Clinical Operations: Automated close and reporting,1,high,Chief Medical / Clinical Operations: Automated close and reporting
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation,Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation,2,medium,Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation; Health Plan Operations / Claims & Eligibility: Governed data foundation for AI / LLM automation
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_Call_center_optimization,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: Call center optimization,Health Plan Operations / Claims & Eligibility: Call center optimization,2,medium,Health Plan Operations / Claims & Eligibility: Call center optimization; Health Plan Operations / Claims & Eligibility: Call center optimization
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_Provider_quality_and_performance,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: Provider quality and performance,Health Plan Operations / Claims & Eligibility: Provider quality and performance,2,high,Health Plan Operations / Claims & Eligibility: Provider quality and performance; Health Plan Operations / Claims & Eligibility: Provider quality and performance
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_End-to-end_cost_transparency,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: End-to-end cost transparency,Health Plan Operations / Claims & Eligibility: End-to-end cost transparency,2,high,Health Plan Operations / Claims & Eligibility: End-to-end cost transparency; Health Plan Operations / Claims & Eligibility: End-to-end cost transparency
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction,Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction,2,medium,Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction; Health Plan Operations / Claims & Eligibility: Payment integrity and leakage reduction
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_Automated_close_and_reporting,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: Automated close and reporting,Health Plan Operations / Claims & Eligibility: Automated close and reporting,1,high,Health Plan Operations / Claims & Eligibility: Automated close and reporting
profile:applications_systems:Health_Plan_Operations_/_Claims_&_Eligibility:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,Health Plan Operations / Claims & Eligibility: Unified clinical + claims lakehouse,Health Plan Operations / Claims & Eligibility: Unified clinical + claims lakehouse,1,high,Health Plan Operations / Claims & Eligibility: Unified clinical + claims lakehouse
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Call_center_optimization,meridian-health,applications_systems,Contact Center / Member Service Operations: Call center optimization,Contact Center / Member Service Operations: Call center optimization,2,medium,Contact Center / Member Service Operations: Call center optimization; Contact Center / Member Service Operations: Call center optimization
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Provider_quality_and_performance,meridian-health,applications_systems,Contact Center / Member Service Operations: Provider quality and performance,Contact Center / Member Service Operations: Provider quality and performance,2,medium,Contact Center / Member Service Operations: Provider quality and performance; Contact Center / Member Service Operations: Provider quality and performance
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_End-to-end_cost_transparency,meridian-health,applications_systems,Contact Center / Member Service Operations: End-to-end cost transparency,Contact Center / Member Service Operations: End-to-end cost transparency,2,high,Contact Center / Member Service Operations: End-to-end cost transparency; Contact Center / Member Service Operations: End-to-end cost transparency
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,Contact Center / Member Service Operations: Payment integrity and leakage reduction,Contact Center / Member Service Operations: Payment integrity and leakage reduction,2,high,Contact Center / Member Service Operations: Payment integrity and leakage reduction; Contact Center / Member Service Operations: Payment integrity and leakage reduction
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Automated_close_and_reporting,meridian-health,applications_systems,Contact Center / Member Service Operations: Automated close and reporting,Contact Center / Member Service Operations: Automated close and reporting,2,medium,Contact Center / Member Service Operations: Automated close and reporting; Contact Center / Member Service Operations: Automated close and reporting
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,Contact Center / Member Service Operations: Unified clinical + claims lakehouse,Contact Center / Member Service Operations: Unified clinical + claims lakehouse,1,high,Contact Center / Member Service Operations: Unified clinical + claims lakehouse
profile:applications_systems:Contact_Center_/_Member_Service_Operations:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,Contact Center / Member Service Operations: Governed data foundation for AI / LLM automation,Contact Center / Member Service Operations: Governed data foundation for AI / LLM automation,1,high,Contact Center / Member Service Operations: Governed data foundation for AI / LLM automation
profile:applications_systems:Privacy_/_Compliance_/_Legal:_Provider_quality_and_performance,meridian-health,applications_systems,Privacy / Compliance / Legal: Provider quality and performance,Privacy / Compliance / Legal: Provider quality and performance,2,medium,Privacy / Compliance / Legal: Provider quality and performance; Privacy / Compliance / Legal: Provider quality and performance
profile:applications_systems:Privacy_/_Compliance_/_Legal:_End-to-end_cost_transparency,meridian-health,applications_systems,Privacy / Compliance / Legal: End-to-end cost transparency,Privacy / Compliance / Legal: End-to-end cost transparency,2,medium,Privacy / Compliance / Legal: End-to-end cost transparency; Privacy / Compliance / Legal: End-to-end cost transparency
profile:applications_systems:Privacy_/_Compliance_/_Legal:_Payment_integrity_and_leakage_reduction,meridian-health,applications_systems,Privacy / Compliance / Legal: Payment integrity and leakage reduction,Privacy / Compliance / Legal: Payment integrity and leakage reduction,2,high,Privacy / Compliance / Legal: Payment integrity and leakage reduction; Privacy / Compliance / Legal: Payment integrity and leakage reduction
profile:applications_systems:Privacy_/_Compliance_/_Legal:_Automated_close_and_reporting,meridian-health,applications_systems,Privacy / Compliance / Legal: Automated close and reporting,Privacy / Compliance / Legal: Automated close and reporting,2,high,Privacy / Compliance / Legal: Automated close and reporting; Privacy / Compliance / Legal: Automated close and reporting
profile:applications_systems:Privacy_/_Compliance_/_Legal:_Unified_clinical_+_claims_lakehouse,meridian-health,applications_systems,Privacy / Compliance / Legal: Unified clinical + claims lakehouse,Privacy / Compliance / Legal: Unified clinical + claims lakehouse,2,medium,Privacy / Compliance / Legal: Unified clinical + claims lakehouse; Privacy / Compliance / Legal: Unified clinical + claims lakehouse
profile:applications_systems:Privacy_/_Compliance_/_Legal:_Governed_data_foundation_for_AI_/_LLM_automation,meridian-health,applications_systems,Privacy / Compliance / Legal: Governed data foundation for AI / LLM automation,Privacy / Compliance / Legal: Governed data foundation for AI / LLM automation,1,high,Privacy / Compliance / Legal: Governed data foundation for AI / LLM automation
profile:applications_systems:Privacy_/_Compliance_/_Legal:_Call_center_optimization,meridian-health,applications_systems,Privacy / Compliance / Legal: Call center optimization,Privacy / Compliance / Legal: Call center optimization,1,high,Privacy / Compliance / Legal: Call center optimization
profile:applications_systems:CISO_/_Security:_End-to-end_cost_transparency,meridian-health,applications_systems,CISO / Security: End-to-end cost transparency,CISO / Security: End-to-end cost transparency,2,medium,CISO / Security: End-to-end cost transparency; CISO / Security: End-to-end cost transparency
