record_id,use_case_name,use_case_status,funding_status,ai_spend_type,data_domain,affected_process,derived_business_unit,mapping_method,source_fields_used,evidence_id,review_status
MER-V3-0013,End-to-end cost transparency: claims,candidate,not_approved,candidate_ai_opportunity,claims,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0112,derived_mapping_reviewable
MER-V3-0014,End-to-end cost transparency: capitation,candidate,not_approved,candidate_ai_opportunity,capitation,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-V3-EVID-0113,derived_mapping_reviewable
MER-V3-0015,End-to-end cost transparency: provider contracts,candidate,not_approved,candidate_ai_opportunity,provider contracts,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0114,derived_mapping_reviewable
MER-V3-0016,Payment integrity and leakage reduction: claims anomalies,candidate,not_approved,candidate_ai_opportunity,claims anomalies,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0115,derived_mapping_reviewable
MER-V3-0017,Payment integrity and leakage reduction: fraud waste abuse,candidate,not_approved,candidate_ai_opportunity,fraud waste abuse,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0116,derived_mapping_reviewable
MER-V3-0018,Payment integrity and leakage reduction: billing patterns,candidate,not_approved,candidate_ai_opportunity,billing patterns,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-V3-EVID-0117,derived_mapping_reviewable
MER-V3-0019,Automated close and reporting: GL,candidate,not_approved,candidate_ai_opportunity,GL,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-V3-EVID-0118,derived_mapping_reviewable
MER-V3-0020,Automated close and reporting: close process,candidate,not_approved,candidate_ai_opportunity,close process,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-V3-EVID-0119,derived_mapping_reviewable
MER-V3-0021,Automated close and reporting: financial reporting,candidate,not_approved,candidate_ai_opportunity,financial reporting,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-V3-EVID-0120,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0001,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0001,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0002,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0002,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0003,CEO / Enterprise Strategy: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0003,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0004,CEO / Enterprise Strategy: Provider quality and performance,candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0004,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0005,CEO / Enterprise Strategy: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0005,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0006,CEO / Enterprise Strategy: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0006,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0007,CEO / Enterprise Strategy: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0007,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0008,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0008,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0009,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0009,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0010,CEO / Enterprise Strategy: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0010,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0011,CEO / Enterprise Strategy: Provider quality and performance,candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0011,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0012,CEO / Enterprise Strategy: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0012,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0013,CFO / Finance & Value: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0013,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0014,CFO / Finance & Value: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0014,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0015,CFO / Finance & Value: Provider quality and performance,candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0015,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0016,CFO / Finance & Value: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0016,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0017,CFO / Finance & Value: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0017,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0018,CFO / Finance & Value: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0018,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0019,CFO / Finance & Value: AI Benefits Realization Ledger,candidate,not_approved,candidate_ai_opportunity,usage and finance actuals,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-9019,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0020,Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation,candidate,not_approved,candidate_ai_opportunity,member service data,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-9020,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0021,CISO / Security: AI Governance / Model Risk Controls,candidate,not_approved,candidate_ai_opportunity,PHI audit logs; model inventory,,security_risk_and_compliance,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-9021,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0022,Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization,candidate,not_approved,candidate_ai_opportunity,contact center events; knowledge base,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-9022,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0023,CIO / Enterprise Technology: FY26 AI spend governance,candidate,not_approved,candidate_ai_opportunity,program and finance rows,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-9023,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0024,CFO / Finance & Value: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0024,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0025,CIO / Enterprise Technology: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0025,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0026,CIO / Enterprise Technology: Provider quality and performance,candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0026,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0027,CIO / Enterprise Technology: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0027,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0028,CIO / Enterprise Technology: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0028,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0029,CIO / Enterprise Technology: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0029,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0030,CIO / Enterprise Technology: Unified clinical + claims lakehouse,candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0030,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0031,CIO / Enterprise Technology: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0031,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0032,CIO / Enterprise Technology: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0032,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0033,CIO / Enterprise Technology: Provider quality and performance,candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0033,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0034,CIO / Enterprise Technology: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0034,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0035,CIO / Enterprise Technology: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0035,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0036,CIO / Enterprise Technology: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,cross_enterprise,deterministic_default_mapping,no strong keyword match,MER-SA07-INT-EVID-0036,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0037,"CTO / Infrastructure, Cloud & Platform: Provider quality and performance",candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0037,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0038,"CTO / Infrastructure, Cloud & Platform: End-to-end cost transparency",candidate,not_approved,candidate_ai_opportunity,,,cloud_and_platform_engineering,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0038,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0039,"CTO / Infrastructure, Cloud & Platform: Payment integrity and leakage reduction",candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0039,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0040,"CTO / Infrastructure, Cloud & Platform: Automated close and reporting",candidate,not_approved,candidate_ai_opportunity,,,cloud_and_platform_engineering,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0040,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0041,"CTO / Infrastructure, Cloud & Platform: Unified clinical + claims lakehouse",candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0041,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0042,"CTO / Infrastructure, Cloud & Platform: Governed data foundation for AI / LLM automation",candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0042,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0043,"CTO / Infrastructure, Cloud & Platform: Call center optimization",candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0043,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0044,"CTO / Infrastructure, Cloud & Platform: Provider quality and performance",candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0044,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0045,"CTO / Infrastructure, Cloud & Platform: End-to-end cost transparency",candidate,not_approved,candidate_ai_opportunity,,,cloud_and_platform_engineering,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0045,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0046,"CTO / Infrastructure, Cloud & Platform: Payment integrity and leakage reduction",candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0046,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0047,"CTO / Infrastructure, Cloud & Platform: Automated close and reporting",candidate,not_approved,candidate_ai_opportunity,,,cloud_and_platform_engineering,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0047,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0048,"CTO / Infrastructure, Cloud & Platform: Unified clinical + claims lakehouse",candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0048,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0049,CDAO / Data & Analytics: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0049,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0050,CDAO / Data & Analytics: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0050,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0051,CDAO / Data & Analytics: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0051,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0052,CDAO / Data & Analytics: Unified clinical + claims lakehouse,candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0052,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0053,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0053,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0054,CDAO / Data & Analytics: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0054,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0055,CDAO / Data & Analytics: Provider quality and performance,candidate,not_approved,candidate_ai_opportunity,,,clinical_operations,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0055,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0056,CDAO / Data & Analytics: End-to-end cost transparency,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0056,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0057,CDAO / Data & Analytics: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,finance_revenue_cycle,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0057,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0058,CDAO / Data & Analytics: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0058,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0059,CDAO / Data & Analytics: Unified clinical + claims lakehouse,candidate,not_approved,candidate_ai_opportunity,,,claims_and_eligibility,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0059,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0060,CDAO / Data & Analytics: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,data_analytics_and_ai_platform,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0060,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0061,Chief Experience Officer / Member Experience: Payment integrity and leakage reduction,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0061,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0062,Chief Experience Officer / Member Experience: Automated close and reporting,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0062,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0063,Chief Experience Officer / Member Experience: Unified clinical + claims lakehouse,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0063,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0064,Chief Experience Officer / Member Experience: Governed data foundation for AI / LLM automation,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0064,derived_mapping_reviewable
MER-SA07-10_AI_AUTOMATION_USE_CASES-0065,Chief Experience Officer / Member Experience: Call center optimization,candidate,not_approved,candidate_ai_opportunity,,,member_services_contact_center,deterministic_keyword_mapping,use_case;business_name;data_domain;affected_process;related_move;embedded_platform_source;vendor_name;system_name,MER-SA07-INT-EVID-0065,derived_mapping_reviewable
