record_id,business_name,budget_amount_usd,run_budget_usd,change_budget_usd,evidence_id,source_fact_id
MER-V3-BUD-RUN-MGS-06,Data & analytics AMS / SI support FY26 budget,7000000,7000000,0,MER-V3-EVID-BUD-RUN-MGS-06,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-MGS-06
MER-V3-BUD-RUN-CYBER-01,"SOC, MDR, SIEM operations FY26 budget",17000000,17000000,0,MER-V3-EVID-BUD-RUN-CYBER-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-CYBER-01
MER-V3-BUD-RUN-CYBER-02,IAM / PAM run operations FY26 budget,14000000,14000000,0,MER-V3-EVID-BUD-RUN-CYBER-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-CYBER-02
MER-V3-BUD-RUN-CYBER-03,Privacy / PHI compliance tooling FY26 budget,8000000,8000000,0,MER-V3-EVID-BUD-RUN-CYBER-03,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-CYBER-03
MER-V3-BUD-RUN-CYBER-04,Endpoint protection FY26 budget,8000000,8000000,0,MER-V3-EVID-BUD-RUN-CYBER-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-CYBER-04
MER-V3-BUD-RUN-CYBER-05,GRC and audit tooling FY26 budget,5500000,5500000,0,MER-V3-EVID-BUD-RUN-CYBER-05,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-CYBER-05
MER-V3-BUD-RUN-DATA-01,BI/reporting operations FY26 budget,9000000,9000000,0,MER-V3-EVID-BUD-RUN-DATA-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-DATA-01
MER-V3-BUD-RUN-DATA-02,Data pipeline operations FY26 budget,8000000,8000000,0,MER-V3-EVID-BUD-RUN-DATA-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-DATA-02
MER-V3-BUD-RUN-DATA-03,SQL/Tableau/Power BI platform support FY26 budget,7500000,7500000,0,MER-V3-EVID-BUD-RUN-DATA-03,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-DATA-03
MER-V3-BUD-RUN-DATA-04,Data quality/governance operations FY26 budget,6000000,6000000,0,MER-V3-EVID-BUD-RUN-DATA-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-DATA-04
MER-V3-BUD-RUN-DATA-05,Analytics platform support FY26 budget,7000000,7000000,0,MER-V3-EVID-BUD-RUN-DATA-05,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-DATA-05
MER-V3-BUD-RUN-WKPL-01,Microsoft 365 / collaboration licenses FY26 budget,16000000,16000000,0,MER-V3-EVID-BUD-RUN-WKPL-01,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-WKPL-01
MER-V3-BUD-RUN-WKPL-02,Service desk operations FY26 budget,10000000,10000000,0,MER-V3-EVID-BUD-RUN-WKPL-02,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-WKPL-02
MER-V3-BUD-RUN-WKPL-03,Endpoint management FY26 budget,6000000,6000000,0,MER-V3-EVID-BUD-RUN-WKPL-03,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-WKPL-03
MER-V3-BUD-RUN-WKPL-04,Collaboration adoption/change support FY26 budget,5500000,5500000,0,MER-V3-EVID-BUD-RUN-WKPL-04,fact:08_it_budget_spend_value:MER-V3-BUD-RUN-WKPL-04
MER-V3-BUD-CHG-DATA-01,Databricks/lakehouse modernization FY26 budget,14000000,0,14000000,MER-V3-EVID-BUD-CHG-DATA-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-01
MER-V3-BUD-CHG-DATA-02,Patient/member identity spine FY26 budget,8000000,0,8000000,MER-V3-EVID-BUD-CHG-DATA-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-02
MER-V3-BUD-CHG-DATA-03,Claims/clinical/pharmacy harmonization FY26 budget,7000000,0,7000000,MER-V3-EVID-BUD-CHG-DATA-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-03
MER-V3-BUD-CHG-DATA-04,Certified semantic layer FY26 budget,5000000,0,5000000,MER-V3-EVID-BUD-CHG-DATA-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-04
MER-V3-BUD-CHG-DATA-05,Data catalog/governance controls FY26 budget,4500000,0,4500000,MER-V3-EVID-BUD-CHG-DATA-05,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-05
MER-V3-BUD-CHG-DATA-06,Data migration and validation FY26 budget,4000000,0,4000000,MER-V3-EVID-BUD-CHG-DATA-06,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-DATA-06
MER-V3-BUD-CHG-INT-01,API gateway modernization FY26 budget,5800000,0,5800000,MER-V3-EVID-BUD-CHG-INT-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-01
MER-V3-BUD-CHG-INT-02,EHR/claims integration modernization FY26 budget,7000000,0,7000000,MER-V3-EVID-BUD-CHG-INT-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-02
MER-V3-BUD-CHG-INT-03,HL7/FHIR event streaming FY26 budget,6000000,0,6000000,MER-V3-EVID-BUD-CHG-INT-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-03
MER-V3-BUD-CHG-INT-04,Provider/member API enablement FY26 budget,4000000,0,4000000,MER-V3-EVID-BUD-CHG-INT-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-04
MER-V3-BUD-CHG-INT-05,Integration observability FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-INT-05,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-05
MER-V3-BUD-CHG-INT-06,Developer productivity AI and SDLC automation FY26 budget,2200000,0,2200000,MER-V3-EVID-BUD-CHG-INT-06,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-INT-06
MER-V3-BUD-CHG-CYBER-01,Zero trust / IAM uplift FY26 budget,8000000,0,8000000,MER-V3-EVID-BUD-CHG-CYBER-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CYBER-01
MER-V3-BUD-CHG-CYBER-02,PHI access logging and monitoring FY26 budget,6000000,0,6000000,MER-V3-EVID-BUD-CHG-CYBER-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CYBER-02
MER-V3-BUD-CHG-CYBER-03,PAM uplift FY26 budget,4000000,0,4000000,MER-V3-EVID-BUD-CHG-CYBER-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CYBER-03
MER-V3-BUD-CHG-CYBER-04,Security data lake FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-CYBER-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CYBER-04
MER-V3-BUD-CHG-CYBER-05,Audit automation FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-CYBER-05,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CYBER-05
MER-V3-BUD-CHG-EHR-01,Epic Cogito quality analytics FY26 budget,8000000,0,8000000,MER-V3-EVID-BUD-CHG-EHR-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-EHR-01
MER-V3-BUD-CHG-EHR-02,Clinical operations dashboarding FY26 budget,5000000,0,5000000,MER-V3-EVID-BUD-CHG-EHR-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-EHR-02
MER-V3-BUD-CHG-EHR-03,Revenue cycle analytics FY26 budget,4000000,0,4000000,MER-V3-EVID-BUD-CHG-EHR-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-EHR-03
MER-V3-BUD-CHG-EHR-04,Population health measures FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-EHR-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-EHR-04
MER-V3-BUD-CHG-EHR-05,Clinical data validation FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-EHR-05,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-EHR-05
MER-V3-BUD-CHG-MBR-01,Contact center platform modernization FY26 budget,5000000,0,5000000,MER-V3-EVID-BUD-CHG-MBR-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-01
MER-V3-BUD-CHG-MBR-02,CRM/member service workflow FY26 budget,4000000,0,4000000,MER-V3-EVID-BUD-CHG-MBR-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-02
MER-V3-BUD-CHG-MBR-03,Telephony/routing modernization FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-MBR-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-03
MER-V3-BUD-CHG-MBR-04,Knowledge base migration FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-MBR-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-04
MER-V3-BUD-CHG-MBR-05,Agent knowledge foundation FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-MBR-05,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-MBR-05
MER-V3-BUD-CHG-CLOUD-01,Cloud tagging/showback FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-CLOUD-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CLOUD-01
MER-V3-BUD-CHG-CLOUD-02,Reserved capacity optimization FY26 budget,2500000,0,2500000,MER-V3-EVID-BUD-CHG-CLOUD-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CLOUD-02
MER-V3-BUD-CHG-CLOUD-03,Cloud security posture FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-CLOUD-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CLOUD-03
MER-V3-BUD-CHG-CLOUD-04,Landing zone automation FY26 budget,2500000,0,2500000,MER-V3-EVID-BUD-CHG-CLOUD-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-CLOUD-04
MER-V3-BUD-CHG-OPM-01,Data product operating model FY26 budget,4000000,0,4000000,MER-V3-EVID-BUD-CHG-OPM-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-OPM-01
MER-V3-BUD-CHG-OPM-02,Domain ownership / stewardship FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-OPM-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-OPM-02
MER-V3-BUD-CHG-OPM-03,Data product training FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-OPM-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-OPM-03
MER-V3-BUD-CHG-OPM-04,Quality/control framework FY26 budget,3000000,0,3000000,MER-V3-EVID-BUD-CHG-OPM-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-OPM-04
MER-V3-BUD-CHG-AIGOV-01,AI policy and controls FY26 budget,2500000,0,2500000,MER-V3-EVID-BUD-CHG-AIGOV-01,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-01
MER-V3-BUD-CHG-AIGOV-02,Model inventory and risk register FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-AIGOV-02,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-02
MER-V3-BUD-CHG-AIGOV-03,HITL/privacy validation FY26 budget,2000000,0,2000000,MER-V3-EVID-BUD-CHG-AIGOV-03,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-03
MER-V3-BUD-CHG-AIGOV-04,AI adoption/change enablement FY26 budget,1500000,0,1500000,MER-V3-EVID-BUD-CHG-AIGOV-04,fact:08_it_budget_spend_value:MER-V3-BUD-CHG-AIGOV-04
