insight_id,source_record_id,source_fact_id,stakeholder_role,interview_group,priority_theme,business_priority,key_initiative,move_candidate_id,matched_candidate_use_case_id,matched_metric_fact_id,matched_risk_control_fact_id,evidence_id,confidence,allowed_use,blocked_use
interview_insight:MER-INT-01:Q11,MER-INT-01:Q11,fact:interviews_executive_interviews:MER-INT-01:Q11,CEO,CEO / Enterprise Strategy,sourcing,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0015,MER-SA07-INT-EVID-0011,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-01:Q12,MER-INT-01:Q12,fact:interviews_executive_interviews:MER-INT-01:Q12,CEO,CEO / Enterprise Strategy,evidence,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0020,MER-SA07-INT-EVID-0012,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q01,MER-INT-02:Q01,fact:interviews_executive_interviews:MER-INT-02:Q01,CFO,CFO / Finance & Value,strategy,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0005,MER-SA07-INT-EVID-0013,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q02,MER-INT-02:Q02,fact:interviews_executive_interviews:MER-INT-02:Q02,CFO,CFO / Finance & Value,operating model,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0010,MER-SA07-INT-EVID-0014,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q03,MER-INT-02:Q03,fact:interviews_executive_interviews:MER-INT-02:Q03,CFO,CFO / Finance & Value,vendor,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0015,MER-SA07-INT-EVID-0015,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q04,MER-INT-02:Q04,fact:interviews_executive_interviews:MER-INT-02:Q04,CFO,CFO / Finance & Value,platform,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0020,MER-SA07-INT-EVID-0016,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q05,MER-INT-02:Q05,fact:interviews_executive_interviews:MER-INT-02:Q05,CFO,CFO / Finance & Value,data,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0021,MER-SA07-INT-EVID-0017,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q06,MER-INT-02:Q06,fact:interviews_executive_interviews:MER-INT-02:Q06,CFO,CFO / Finance & Value,modernization,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0026,MER-SA07-INT-EVID-0018,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q07,MER-INT-02:Q07,fact:interviews_executive_interviews:MER-INT-02:Q07,CFO,CFO / Finance & Value,AI readiness,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0003,MER-SA07-INT-EVID-0019,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q08,MER-INT-02:Q08,fact:interviews_executive_interviews:MER-INT-02:Q08,CFO,CFO / Finance & Value,risk,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0008,MER-SA07-INT-EVID-0020,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q09,MER-INT-02:Q09,fact:interviews_executive_interviews:MER-INT-02:Q09,CFO,CFO / Finance & Value,metrics,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0009,MER-SA07-INT-EVID-0021,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q10,MER-INT-02:Q10,fact:interviews_executive_interviews:MER-INT-02:Q10,CFO,CFO / Finance & Value,value,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0014,MER-SA07-INT-EVID-0022,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q11,MER-INT-02:Q11,fact:interviews_executive_interviews:MER-INT-02:Q11,CFO,CFO / Finance & Value,sourcing,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0019,MER-SA07-INT-EVID-0023,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-02:Q12,MER-INT-02:Q12,fact:interviews_executive_interviews:MER-INT-02:Q12,CFO,CFO / Finance & Value,evidence,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0024,MER-SA07-INT-EVID-0024,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q01,MER-INT-03:Q01,fact:interviews_executive_interviews:MER-INT-03:Q01,CIO,CIO / Enterprise Technology,strategy,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0009,MER-SA07-INT-EVID-0025,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q02,MER-INT-03:Q02,fact:interviews_executive_interviews:MER-INT-03:Q02,CIO,CIO / Enterprise Technology,operating model,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0014,MER-SA07-INT-EVID-0026,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q03,MER-INT-03:Q03,fact:interviews_executive_interviews:MER-INT-03:Q03,CIO,CIO / Enterprise Technology,vendor,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0019,MER-SA07-INT-EVID-0027,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q04,MER-INT-03:Q04,fact:interviews_executive_interviews:MER-INT-03:Q04,CIO,CIO / Enterprise Technology,platform,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0024,MER-SA07-INT-EVID-0028,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q05,MER-INT-03:Q05,fact:interviews_executive_interviews:MER-INT-03:Q05,CIO,CIO / Enterprise Technology,data,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0025,MER-SA07-INT-EVID-0029,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q06,MER-INT-03:Q06,fact:interviews_executive_interviews:MER-INT-03:Q06,CIO,CIO / Enterprise Technology,modernization,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0002,MER-SA07-INT-EVID-0030,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q07,MER-INT-03:Q07,fact:interviews_executive_interviews:MER-INT-03:Q07,CIO,CIO / Enterprise Technology,AI readiness,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0007,MER-SA07-INT-EVID-0031,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q08,MER-INT-03:Q08,fact:interviews_executive_interviews:MER-INT-03:Q08,CIO,CIO / Enterprise Technology,risk,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0012,MER-SA07-INT-EVID-0032,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q09,MER-INT-03:Q09,fact:interviews_executive_interviews:MER-INT-03:Q09,CIO,CIO / Enterprise Technology,metrics,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0013,MER-SA07-INT-EVID-0033,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q10,MER-INT-03:Q10,fact:interviews_executive_interviews:MER-INT-03:Q10,CIO,CIO / Enterprise Technology,value,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0018,MER-SA07-INT-EVID-0034,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q11,MER-INT-03:Q11,fact:interviews_executive_interviews:MER-INT-03:Q11,CIO,CIO / Enterprise Technology,sourcing,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0023,MER-SA07-INT-EVID-0035,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-03:Q12,MER-INT-03:Q12,fact:interviews_executive_interviews:MER-INT-03:Q12,CIO,CIO / Enterprise Technology,evidence,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0028,MER-SA07-INT-EVID-0036,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q01,MER-INT-04:Q01,fact:interviews_executive_interviews:MER-INT-04:Q01,CTO,"CTO / Infrastructure, Cloud & Platform",strategy,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0013,MER-SA07-INT-EVID-0037,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q02,MER-INT-04:Q02,fact:interviews_executive_interviews:MER-INT-04:Q02,CTO,"CTO / Infrastructure, Cloud & Platform",operating model,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0018,MER-SA07-INT-EVID-0038,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q03,MER-INT-04:Q03,fact:interviews_executive_interviews:MER-INT-04:Q03,CTO,"CTO / Infrastructure, Cloud & Platform",vendor,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0023,MER-SA07-INT-EVID-0039,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q04,MER-INT-04:Q04,fact:interviews_executive_interviews:MER-INT-04:Q04,CTO,"CTO / Infrastructure, Cloud & Platform",platform,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0028,MER-SA07-INT-EVID-0040,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q05,MER-INT-04:Q05,fact:interviews_executive_interviews:MER-INT-04:Q05,CTO,"CTO / Infrastructure, Cloud & Platform",data,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0001,MER-SA07-INT-EVID-0041,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q06,MER-INT-04:Q06,fact:interviews_executive_interviews:MER-INT-04:Q06,CTO,"CTO / Infrastructure, Cloud & Platform",modernization,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0006,MER-SA07-INT-EVID-0042,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q07,MER-INT-04:Q07,fact:interviews_executive_interviews:MER-INT-04:Q07,CTO,"CTO / Infrastructure, Cloud & Platform",AI readiness,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0011,MER-SA07-INT-EVID-0043,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q08,MER-INT-04:Q08,fact:interviews_executive_interviews:MER-INT-04:Q08,CTO,"CTO / Infrastructure, Cloud & Platform",risk,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0016,MER-SA07-INT-EVID-0044,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q09,MER-INT-04:Q09,fact:interviews_executive_interviews:MER-INT-04:Q09,CTO,"CTO / Infrastructure, Cloud & Platform",metrics,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0017,MER-SA07-INT-EVID-0045,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q10,MER-INT-04:Q10,fact:interviews_executive_interviews:MER-INT-04:Q10,CTO,"CTO / Infrastructure, Cloud & Platform",value,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0022,MER-SA07-INT-EVID-0046,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q11,MER-INT-04:Q11,fact:interviews_executive_interviews:MER-INT-04:Q11,CTO,"CTO / Infrastructure, Cloud & Platform",sourcing,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0027,MER-SA07-INT-EVID-0047,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-04:Q12,MER-INT-04:Q12,fact:interviews_executive_interviews:MER-INT-04:Q12,CTO,"CTO / Infrastructure, Cloud & Platform",evidence,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0004,MER-SA07-INT-EVID-0048,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q01,MER-INT-05:Q01,fact:interviews_executive_interviews:MER-INT-05:Q01,CDAO,CDAO / Data & Analytics,strategy,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0017,MER-SA07-INT-EVID-0049,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q02,MER-INT-05:Q02,fact:interviews_executive_interviews:MER-INT-05:Q02,CDAO,CDAO / Data & Analytics,operating model,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0022,MER-SA07-INT-EVID-0050,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q03,MER-INT-05:Q03,fact:interviews_executive_interviews:MER-INT-05:Q03,CDAO,CDAO / Data & Analytics,vendor,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0027,MER-SA07-INT-EVID-0051,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q04,MER-INT-05:Q04,fact:interviews_executive_interviews:MER-INT-05:Q04,CDAO,CDAO / Data & Analytics,platform,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0004,MER-SA07-INT-EVID-0052,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q05,MER-INT-05:Q05,fact:interviews_executive_interviews:MER-INT-05:Q05,CDAO,CDAO / Data & Analytics,data,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0005,MER-SA07-INT-EVID-0053,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q06,MER-INT-05:Q06,fact:interviews_executive_interviews:MER-INT-05:Q06,CDAO,CDAO / Data & Analytics,modernization,Call center optimization,Call center optimization,move_candidate:MER-MOVE-003,MER-V3-0007,fact:14_metrics_outcomes:MER-V3-0009,fact:11_risks_controls:MER-V3-0010,MER-SA07-INT-EVID-0054,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q07,MER-INT-05:Q07,fact:interviews_executive_interviews:MER-INT-05:Q07,CDAO,CDAO / Data & Analytics,AI readiness,Provider quality and performance,Provider quality and performance,move_candidate:MER-MOVE-004,MER-V3-0010,fact:14_metrics_outcomes:MER-V3-0013,fact:11_risks_controls:MER-V3-0015,MER-SA07-INT-EVID-0055,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q08,MER-INT-05:Q08,fact:interviews_executive_interviews:MER-INT-05:Q08,CDAO,CDAO / Data & Analytics,risk,End-to-end cost transparency,End-to-end cost transparency,move_candidate:MER-MOVE-005,MER-V3-0013,fact:14_metrics_outcomes:MER-V3-0017,fact:11_risks_controls:MER-V3-0020,MER-SA07-INT-EVID-0056,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q09,MER-INT-05:Q09,fact:interviews_executive_interviews:MER-INT-05:Q09,CDAO,CDAO / Data & Analytics,metrics,Payment integrity and leakage reduction,Payment integrity and leakage reduction,move_candidate:MER-MOVE-006,MER-V3-0016,fact:14_metrics_outcomes:MER-V3-0021,fact:11_risks_controls:MER-V3-0021,MER-SA07-INT-EVID-0057,medium,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q10,MER-INT-05:Q10,fact:interviews_executive_interviews:MER-INT-05:Q10,CDAO,CDAO / Data & Analytics,value,Automated close and reporting,Automated close and reporting,move_candidate:MER-MOVE-007,MER-V3-0019,fact:14_metrics_outcomes:MER-V3-0025,fact:11_risks_controls:MER-V3-0026,MER-SA07-INT-EVID-0058,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q11,MER-INT-05:Q11,fact:interviews_executive_interviews:MER-INT-05:Q11,CDAO,CDAO / Data & Analytics,sourcing,Unified clinical + claims lakehouse,Unified clinical + claims lakehouse,move_candidate:MER-MOVE-001,MER-V3-0001,fact:14_metrics_outcomes:MER-V3-0001,fact:11_risks_controls:MER-V3-0003,MER-SA07-INT-EVID-0059,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
interview_insight:MER-INT-05:Q12,MER-INT-05:Q12,fact:interviews_executive_interviews:MER-INT-05:Q12,CDAO,CDAO / Data & Analytics,evidence,Governed data foundation for AI / LLM automation,Governed data foundation for AI / LLM automation,move_candidate:MER-MOVE-002,MER-V3-0004,fact:14_metrics_outcomes:MER-V3-0005,fact:11_risks_controls:MER-V3-0008,MER-SA07-INT-EVID-0060,high,prioritize_gaps_shape_moves_support_advisory_context,create_budget_or_funding_or_realized_value
