candidate_use_case_id,candidate_name,funding_status,interview_support_count,stakeholder_roles,required_evidence,interview_source_fact_ids,evidence_ids,boundary
MER-V3-0011,Provider quality and performance: STAR,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0012,Provider quality and performance: provider attribution,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0013,End-to-end cost transparency: claims,not_approved,32,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","Provider contract terms not digitized in governed form,Claims and GL calendar alignment not proven,Cost allocation rules not loaded,Margin semantic model not certified","fact:interviews_executive_interviews:MER-INT-01:Q05,fact:interviews_executive_interviews:MER-INT-01:Q12,fact:interviews_executive_interviews:MER-INT-02:Q04,fact:interviews_executive_interviews:MER-INT-02:Q11,fact:interviews_executive_interviews:MER-INT-03:Q03,fact:interviews_executive_interviews:MER-INT-03:Q10,fact:interviews_executive_interviews:MER-INT-04:Q02,fact:interviews_executive_interviews:MER-INT-04:Q09,fact:interviews_executive_interviews:MER-INT-05:Q01,fact:interviews_executive_interviews:MER-INT-05:Q08,fact:interviews_executive_interviews:MER-INT-06:Q07,fact:interviews_executive_interviews:MER-INT-07:Q06,fact:interviews_executive_interviews:MER-INT-08:Q05,fact:interviews_executive_interviews:MER-INT-08:Q12,fact:interviews_executive_interviews:MER-INT-09:Q04,fact:interviews_executive_interviews:MER-INT-09:Q11,fact:interviews_executive_interviews:MER-INT-10:Q03,fact:interviews_executive_interviews:MER-INT-10:Q10,fact:interviews_executive_interviews:MER-INT-11:Q02,fact:interviews_executive_interviews:MER-INT-11:Q09,fact:interviews_executive_interviews:MER-INT-12:Q01,fact:interviews_executive_interviews:MER-INT-12:Q08,fact:interviews_executive_interviews:MER-INT-13:Q07,fact:interviews_executive_interviews:MER-INT-14:Q06,fact:interviews_executive_interviews:MER-INT-15:Q05,fact:interviews_executive_interviews:MER-INT-15:Q12,fact:interviews_executive_interviews:MER-INT-16:Q04,fact:interviews_executive_interviews:MER-INT-16:Q11,fact:interviews_executive_interviews:MER-INT-17:Q03,fact:interviews_executive_interviews:MER-INT-17:Q10,fact:interviews_executive_interviews:MER-INT-18:Q02,fact:interviews_executive_interviews:MER-INT-18:Q09","MER-SA07-INT-EVID-0005,MER-SA07-INT-EVID-0012,MER-SA07-INT-EVID-0016,MER-SA07-INT-EVID-0023,MER-SA07-INT-EVID-0027,MER-SA07-INT-EVID-0034,MER-SA07-INT-EVID-0038,MER-SA07-INT-EVID-0045,MER-SA07-INT-EVID-0049,MER-SA07-INT-EVID-0056,MER-SA07-INT-EVID-0067,MER-SA07-INT-EVID-0078,MER-SA07-INT-EVID-0089,MER-SA07-INT-EVID-0096,MER-SA07-INT-EVID-0100,MER-SA07-INT-EVID-0107,MER-SA07-INT-EVID-0111,MER-SA07-INT-EVID-0118,MER-SA07-INT-EVID-0122,MER-SA07-INT-EVID-0129,MER-SA07-INT-EVID-0133,MER-SA07-INT-EVID-0140,MER-SA07-INT-EVID-0151,MER-SA07-INT-EVID-0162,MER-SA07-INT-EVID-0173,MER-SA07-INT-EVID-0180,MER-SA07-INT-EVID-0184,MER-SA07-INT-EVID-0191,MER-SA07-INT-EVID-0195,MER-SA07-INT-EVID-0202,MER-SA07-INT-EVID-0206,MER-SA07-INT-EVID-0213",Interview support does not convert candidate funding status.
MER-V3-0014,End-to-end cost transparency: capitation,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0015,End-to-end cost transparency: provider contracts,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0016,Payment integrity and leakage reduction: claims anomalies,not_approved,31,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","Rules and model lineage not governed,Provider entity resolution not proven,Investigation workflow evidence not loaded,Recovery realization tracking not loaded","fact:interviews_executive_interviews:MER-INT-01:Q06,fact:interviews_executive_interviews:MER-INT-02:Q05,fact:interviews_executive_interviews:MER-INT-02:Q12,fact:interviews_executive_interviews:MER-INT-03:Q04,fact:interviews_executive_interviews:MER-INT-03:Q11,fact:interviews_executive_interviews:MER-INT-04:Q03,fact:interviews_executive_interviews:MER-INT-04:Q10,fact:interviews_executive_interviews:MER-INT-05:Q02,fact:interviews_executive_interviews:MER-INT-05:Q09,fact:interviews_executive_interviews:MER-INT-06:Q01,fact:interviews_executive_interviews:MER-INT-06:Q08,fact:interviews_executive_interviews:MER-INT-07:Q07,fact:interviews_executive_interviews:MER-INT-08:Q06,fact:interviews_executive_interviews:MER-INT-09:Q05,fact:interviews_executive_interviews:MER-INT-09:Q12,fact:interviews_executive_interviews:MER-INT-10:Q04,fact:interviews_executive_interviews:MER-INT-10:Q11,fact:interviews_executive_interviews:MER-INT-11:Q03,fact:interviews_executive_interviews:MER-INT-11:Q10,fact:interviews_executive_interviews:MER-INT-12:Q02,fact:interviews_executive_interviews:MER-INT-12:Q09,fact:interviews_executive_interviews:MER-INT-13:Q01,fact:interviews_executive_interviews:MER-INT-13:Q08,fact:interviews_executive_interviews:MER-INT-14:Q07,fact:interviews_executive_interviews:MER-INT-15:Q06,fact:interviews_executive_interviews:MER-INT-16:Q05,fact:interviews_executive_interviews:MER-INT-16:Q12,fact:interviews_executive_interviews:MER-INT-17:Q04,fact:interviews_executive_interviews:MER-INT-17:Q11,fact:interviews_executive_interviews:MER-INT-18:Q03,fact:interviews_executive_interviews:MER-INT-18:Q10","MER-SA07-INT-EVID-0006,MER-SA07-INT-EVID-0017,MER-SA07-INT-EVID-0024,MER-SA07-INT-EVID-0028,MER-SA07-INT-EVID-0035,MER-SA07-INT-EVID-0039,MER-SA07-INT-EVID-0046,MER-SA07-INT-EVID-0050,MER-SA07-INT-EVID-0057,MER-SA07-INT-EVID-0061,MER-SA07-INT-EVID-0068,MER-SA07-INT-EVID-0079,MER-SA07-INT-EVID-0090,MER-SA07-INT-EVID-0101,MER-SA07-INT-EVID-0108,MER-SA07-INT-EVID-0112,MER-SA07-INT-EVID-0119,MER-SA07-INT-EVID-0123,MER-SA07-INT-EVID-0130,MER-SA07-INT-EVID-0134,MER-SA07-INT-EVID-0141,MER-SA07-INT-EVID-0145,MER-SA07-INT-EVID-0152,MER-SA07-INT-EVID-0163,MER-SA07-INT-EVID-0174,MER-SA07-INT-EVID-0185,MER-SA07-INT-EVID-0192,MER-SA07-INT-EVID-0196,MER-SA07-INT-EVID-0203,MER-SA07-INT-EVID-0207,MER-SA07-INT-EVID-0214",Interview support does not convert candidate funding status.
MER-V3-0017,Payment integrity and leakage reduction: fraud waste abuse,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0018,Payment integrity and leakage reduction: billing patterns,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0019,Automated close and reporting: GL,not_approved,30,"CEO,CFO,CIO,CTO,CDAO,Chief Experience Officer,COO,Chief Medical,Health Plan Operations,Contact Center,Privacy,CISO,Enterprise Architecture,Application Owners,Service Management,Procurement,HR,Program","Manual reporting maintenance load,Certified finance semantic layer not loaded,Close workflow integration not proven,Metric governance not formalized","fact:interviews_executive_interviews:MER-INT-01:Q07,fact:interviews_executive_interviews:MER-INT-02:Q06,fact:interviews_executive_interviews:MER-INT-03:Q05,fact:interviews_executive_interviews:MER-INT-03:Q12,fact:interviews_executive_interviews:MER-INT-04:Q04,fact:interviews_executive_interviews:MER-INT-04:Q11,fact:interviews_executive_interviews:MER-INT-05:Q03,fact:interviews_executive_interviews:MER-INT-05:Q10,fact:interviews_executive_interviews:MER-INT-06:Q02,fact:interviews_executive_interviews:MER-INT-06:Q09,fact:interviews_executive_interviews:MER-INT-07:Q01,fact:interviews_executive_interviews:MER-INT-07:Q08,fact:interviews_executive_interviews:MER-INT-08:Q07,fact:interviews_executive_interviews:MER-INT-09:Q06,fact:interviews_executive_interviews:MER-INT-10:Q05,fact:interviews_executive_interviews:MER-INT-10:Q12,fact:interviews_executive_interviews:MER-INT-11:Q04,fact:interviews_executive_interviews:MER-INT-11:Q11,fact:interviews_executive_interviews:MER-INT-12:Q03,fact:interviews_executive_interviews:MER-INT-12:Q10,fact:interviews_executive_interviews:MER-INT-13:Q02,fact:interviews_executive_interviews:MER-INT-13:Q09,fact:interviews_executive_interviews:MER-INT-14:Q01,fact:interviews_executive_interviews:MER-INT-14:Q08,fact:interviews_executive_interviews:MER-INT-15:Q07,fact:interviews_executive_interviews:MER-INT-16:Q06,fact:interviews_executive_interviews:MER-INT-17:Q05,fact:interviews_executive_interviews:MER-INT-17:Q12,fact:interviews_executive_interviews:MER-INT-18:Q04,fact:interviews_executive_interviews:MER-INT-18:Q11","MER-SA07-INT-EVID-0007,MER-SA07-INT-EVID-0018,MER-SA07-INT-EVID-0029,MER-SA07-INT-EVID-0036,MER-SA07-INT-EVID-0040,MER-SA07-INT-EVID-0047,MER-SA07-INT-EVID-0051,MER-SA07-INT-EVID-0058,MER-SA07-INT-EVID-0062,MER-SA07-INT-EVID-0069,MER-SA07-INT-EVID-0073,MER-SA07-INT-EVID-0080,MER-SA07-INT-EVID-0091,MER-SA07-INT-EVID-0102,MER-SA07-INT-EVID-0113,MER-SA07-INT-EVID-0120,MER-SA07-INT-EVID-0124,MER-SA07-INT-EVID-0131,MER-SA07-INT-EVID-0135,MER-SA07-INT-EVID-0142,MER-SA07-INT-EVID-0146,MER-SA07-INT-EVID-0153,MER-SA07-INT-EVID-0157,MER-SA07-INT-EVID-0164,MER-SA07-INT-EVID-0175,MER-SA07-INT-EVID-0186,MER-SA07-INT-EVID-0197,MER-SA07-INT-EVID-0204,MER-SA07-INT-EVID-0208,MER-SA07-INT-EVID-0215",Interview support does not convert candidate funding status.
MER-V3-0020,Automated close and reporting: close process,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-V3-0021,Automated close and reporting: financial reporting,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0001,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0002,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0003,CEO / Enterprise Strategy: Call center optimization,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0004,CEO / Enterprise Strategy: Provider quality and performance,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0005,CEO / Enterprise Strategy: End-to-end cost transparency,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0006,CEO / Enterprise Strategy: Payment integrity and leakage reduction,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0007,CEO / Enterprise Strategy: Automated close and reporting,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0008,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0009,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0010,CEO / Enterprise Strategy: Call center optimization,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0011,CEO / Enterprise Strategy: Provider quality and performance,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0012,CEO / Enterprise Strategy: End-to-end cost transparency,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0013,CFO / Finance & Value: Governed data foundation for AI / LLM automation,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0014,CFO / Finance & Value: Call center optimization,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0015,CFO / Finance & Value: Provider quality and performance,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0016,CFO / Finance & Value: End-to-end cost transparency,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0017,CFO / Finance & Value: Payment integrity and leakage reduction,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0018,CFO / Finance & Value: Automated close and reporting,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0019,CFO / Finance & Value: AI Benefits Realization Ledger,not_approved,1,CFO,FP&A validation and usage extracts required,fact:interviews_executive_interviews:MER-INT-19:Q13,MER-SA07-INT-EVID-9019,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0020,Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0021,CISO / Security: AI Governance / Model Risk Controls,not_approved,1,CISO,"HITL, audit logging, and model-risk evidence required",fact:interviews_executive_interviews:MER-INT-21:Q13,MER-SA07-INT-EVID-9021,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0022,Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization,not_approved,1,Contact Center Operations,"AHT, FCR, transfer, CSAT, and QA baselines required",fact:interviews_executive_interviews:MER-INT-22:Q13,MER-SA07-INT-EVID-9022,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0023,CIO / Enterprise Technology: FY26 AI spend governance,not_approved,1,CIO,"Budget, program, and benefits ledger ties required",fact:interviews_executive_interviews:MER-INT-23:Q13,MER-SA07-INT-EVID-9023,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0024,CFO / Finance & Value: Payment integrity and leakage reduction,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0025,CIO / Enterprise Technology: Call center optimization,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0026,CIO / Enterprise Technology: Provider quality and performance,not_approved,0,,,,,Interview support does not convert candidate funding status.
MER-SA07-10_AI_AUTOMATION_USE_CASES-0027,CIO / Enterprise Technology: End-to-end cost transparency,not_approved,0,,,,,Interview support does not convert candidate funding status.
