tenant_key,read_model_id,contract_id,case_room_tab,headline,primary_document_id,primary_service_tower_id,gate_state,caveat
meridian-health,C360-MER-CTR-FIN-BPO-001-3,MER-CTR-FIN-BPO-001,pricing,reconciliations case-room evidence,DOC-MER-CTR-FIN-BPO-001-SLA-SCHEDULE,SVC-MER-CTR-FIN-BPO-001-3,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-FIN-BPO-001-4,MER-CTR-FIN-BPO-001,operations,management reporting case-room evidence,DOC-MER-CTR-FIN-BPO-001-PRICING-EXHIBIT,SVC-MER-CTR-FIN-BPO-001-4,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SC-BPO-001-1,MER-CTR-SC-BPO-001,documents,requisitions case-room evidence,DOC-MER-CTR-SC-BPO-001-SOW-CORE,SVC-MER-CTR-SC-BPO-001-1,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SC-BPO-001-2,MER-CTR-SC-BPO-001,scope,PO conversion case-room evidence,DOC-MER-CTR-SC-BPO-001-SOW-OPERATIONS,SVC-MER-CTR-SC-BPO-001-2,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SC-BPO-001-3,MER-CTR-SC-BPO-001,pricing,invoice exceptions case-room evidence,DOC-MER-CTR-SC-BPO-001-SLA-SCHEDULE,SVC-MER-CTR-SC-BPO-001-3,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SC-BPO-001-4,MER-CTR-SC-BPO-001,operations,vendor master case-room evidence,DOC-MER-CTR-SC-BPO-001-PRICING-EXHIBIT,SVC-MER-CTR-SC-BPO-001-4,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SSO-BPO-001-1,MER-CTR-SSO-BPO-001,documents,cross-process governance case-room evidence,DOC-MER-CTR-SSO-BPO-001-SOW-CORE,SVC-MER-CTR-SSO-BPO-001-1,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SSO-BPO-001-2,MER-CTR-SSO-BPO-001,scope,labor transition case-room evidence,DOC-MER-CTR-SSO-BPO-001-SOW-OPERATIONS,SVC-MER-CTR-SSO-BPO-001-2,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SSO-BPO-001-3,MER-CTR-SSO-BPO-001,pricing,knowledge transfer case-room evidence,DOC-MER-CTR-SSO-BPO-001-SLA-SCHEDULE,SVC-MER-CTR-SSO-BPO-001-3,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
meridian-health,C360-MER-CTR-SSO-BPO-001-4,MER-CTR-SSO-BPO-001,operations,exit readiness case-room evidence,DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,SVC-MER-CTR-SSO-BPO-001-4,diagnosis_only,Synthetic offline read model. Not loaded to Source runtime.
