claim_id,claim_kind,label,gate_status,realized_value_language_allowed,required_evidence
tower-claim-meridian-health-09_programs_initiatives-MER-INIT-001-r2,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0026-r27,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0027-r28,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0028-r29,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0029-r30,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0030-r31,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0031-r32,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0032-r33,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0033-r34,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0034-r35,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0035-r36,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0036-r37,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0037-r38,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0038-r39,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0039-r40,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0040-r41,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0041-r42,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0042-r43,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0043-r44,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0044-r45,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0045-r46,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0046-r47,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0047-r48,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0048-r49,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0049-r50,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0050-r51,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0051-r52,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0052-r53,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0053-r54,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0054-r55,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0055-r56,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0056-r57,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0057-r58,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0058-r59,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0059-r60,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0060-r61,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0061-r62,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0062-r63,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0063-r64,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0064-r65,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0065-r66,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0066-r67,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0067-r68,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0068-r69,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0069-r70,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0070-r71,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0071-r72,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MERIDIANHEALTH-INIT-0072-r73,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-013-r86,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-014-r87,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-001-r88,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-001-r89,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-001-r90,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-001-r91,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
tower-claim-meridian-health-09_programs_initiatives-MER-AI-001-r92,planned_value,planned value,caveated,false,business-case owner; baseline assumption; measurement plan; citable evidence reference
