mapping_id,application_id,application_name,business_function,process_supported,fit_score,pain_point,move_relevance
FC-MAP-017,FC-APP-012,FIS Statements 2,"Data, Analytics & AI",Payments operations exception automation,79,Model outputs not explainable to regulators,Payments operations exception automation
FC-MAP-018,FC-APP-013,Thought Machine Interest Engine 2,Treasury & Capital Markets,Credit & market risk modeling at scale,86,Data must be manually reconciled before decision use,Credit & market risk modeling at scale
FC-MAP-019,FC-APP-014,Temenos Branch Teller 2,Wealth & Asset Management,Regulatory & financial close automation,77,Batch latency blocks same-day decisioning,Regulatory & financial close automation
FC-MAP-020,FC-APP-014,Temenos Branch Teller 2,Technology & Engineering,AML transaction monitoring & SAR automation,72,Manual evidence assembly for audit,AML transaction monitoring & SAR automation
FC-MAP-021,FC-APP-015,Fiserv Core Deposits 3,Wealth & Asset Management,"Customer 360 across deposits, cards, lending, wealth",51,Workflow locked in legacy mainframe screens,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-022,FC-APP-016,Thought Machine Loan Servicing 3,Wealth & Asset Management,Data product governance & semantic layer,82,Workflow locked in legacy mainframe screens,Data product governance & semantic layer
FC-MAP-023,FC-APP-016,Thought Machine Loan Servicing 3,Commercial & Corporate Banking,"Customer 360 across deposits, cards, lending, wealth",67,Model outputs not explainable to regulators,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-024,FC-APP-017,Fiserv GL Posting Engine 3,Operations & Servicing,Data product governance & semantic layer,85,Data must be manually reconciled before decision use,Data product governance & semantic layer
FC-MAP-025,FC-APP-018,Fiserv Account Master 3,Cards & Payments,Engineering productivity with code assist,83,Workflow locked in legacy mainframe screens,Engineering productivity with code assist
FC-MAP-026,FC-APP-019,Temenos Statements 3,Consumer Banking & Deposits,Contact center next-best-action & assist,66,Model outputs not explainable to regulators,Contact center next-best-action & assist
FC-MAP-027,FC-APP-019,Temenos Statements 3,Wealth & Asset Management,"Customer 360 across deposits, cards, lending, wealth",72,Workflow locked in legacy mainframe screens,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-028,FC-APP-020,Temenos Interest Engine 3,Cards & Payments,Contact center next-best-action & assist,86,No real-time context across products,Contact center next-best-action & assist
FC-MAP-029,FC-APP-021,Temenos Branch Teller 3,Commercial & Corporate Banking,AML transaction monitoring & SAR automation,83,Batch latency blocks same-day decisioning,AML transaction monitoring & SAR automation
FC-MAP-030,FC-APP-021,Temenos Branch Teller 3,Operations & Servicing,Credit & market risk modeling at scale,80,No real-time context across products,Credit & market risk modeling at scale
FC-MAP-031,FC-APP-022,Temenos Core Deposits 4,Contact Center & Customer Care,Wealth advisory productivity & proposals,73,Data must be manually reconciled before decision use,Wealth advisory productivity & proposals
FC-MAP-032,FC-APP-023,FIS Loan Servicing 4,Consumer Banking & Deposits,Data product governance & semantic layer,83,Batch latency blocks same-day decisioning,Data product governance & semantic layer
FC-MAP-033,FC-APP-024,Temenos GL Posting Engine 4,Contact Center & Customer Care,Data product governance & semantic layer,53,Workflow locked in legacy mainframe screens,Data product governance & semantic layer
FC-MAP-034,FC-APP-025,Thought Machine Account Master 4,Technology & Engineering,Engineering productivity with code assist,45,Batch latency blocks same-day decisioning,Engineering productivity with code assist
FC-MAP-035,FC-APP-025,Thought Machine Account Master 4,Treasury & Capital Markets,Real-time fraud & scam detection,47,Manual evidence assembly for audit,Real-time fraud & scam detection
FC-MAP-036,FC-APP-026,Fiserv Statements 4,"Cyber, Privacy & Resilience",Commercial credit underwriting automation,71,Manual evidence assembly for audit,Commercial credit underwriting automation
FC-MAP-037,FC-APP-026,Fiserv Statements 4,Contact Center & Customer Care,Wealth advisory productivity & proposals,63,No real-time context across products,Wealth advisory productivity & proposals
FC-MAP-038,FC-APP-027,Visa DPS Card Authorization,Cards & Payments,"Customer 360 across deposits, cards, lending, wealth",47,Data must be manually reconciled before decision use,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-039,FC-APP-028,Visa DPS Card Issuance,Technology & Engineering,Credit & market risk modeling at scale,45,Workflow locked in legacy mainframe screens,Credit & market risk modeling at scale
FC-MAP-040,FC-APP-029,Mastercard Rewards Engine,Finance & Controllership,Commercial credit underwriting automation,58,Manual evidence assembly for audit,Commercial credit underwriting automation
FC-MAP-041,FC-APP-030,Visa DPS Statement & Billing,Consumer Banking & Deposits,Cards dispute & chargeback automation,68,Batch latency blocks same-day decisioning,Cards dispute & chargeback automation
FC-MAP-042,FC-APP-031,TSYS Tokenization Vault,Wealth & Asset Management,AML transaction monitoring & SAR automation,60,Model outputs not explainable to regulators,AML transaction monitoring & SAR automation
FC-MAP-043,FC-APP-032,Marqeta Dispute Manager,Treasury & Capital Markets,Payments operations exception automation,48,Workflow locked in legacy mainframe screens,Payments operations exception automation
FC-MAP-044,FC-APP-033,Visa DPS Card Authorization 2,Enterprise Transformation Office,Contact center next-best-action & assist,59,Manual evidence assembly for audit,Contact center next-best-action & assist
FC-MAP-045,FC-APP-034,Mastercard Card Issuance 2,Risk Management,Credit & market risk modeling at scale,78,Batch latency blocks same-day decisioning,Credit & market risk modeling at scale
FC-MAP-046,FC-APP-034,Mastercard Card Issuance 2,Finance & Controllership,Payments operations exception automation,83,Data must be manually reconciled before decision use,Payments operations exception automation
FC-MAP-047,FC-APP-035,Mastercard Rewards Engine 2,Wealth & Asset Management,Engineering productivity with code assist,62,Data must be manually reconciled before decision use,Engineering productivity with code assist
FC-MAP-048,FC-APP-036,Visa DPS Statement & Billing 2,Enterprise Transformation Office,Real-time fraud & scam detection,60,Data must be manually reconciled before decision use,Real-time fraud & scam detection
FC-MAP-049,FC-APP-037,Marqeta Tokenization Vault 2,Consumer Banking & Deposits,Commercial credit underwriting automation,43,Batch latency blocks same-day decisioning,Commercial credit underwriting automation
FC-MAP-050,FC-APP-038,Mastercard Dispute Manager 2,"Data, Analytics & AI",Payments operations exception automation,85,Manual evidence assembly for audit,Payments operations exception automation
FC-MAP-051,FC-APP-038,Mastercard Dispute Manager 2,"Data, Analytics & AI",Engineering productivity with code assist,58,Batch latency blocks same-day decisioning,Engineering productivity with code assist
FC-MAP-052,FC-APP-039,Marqeta Card Authorization 3,Commercial & Corporate Banking,Data product governance & semantic layer,85,Manual evidence assembly for audit,Data product governance & semantic layer
FC-MAP-053,FC-APP-039,Marqeta Card Authorization 3,"Cyber, Privacy & Resilience",Payments operations exception automation,68,Workflow locked in legacy mainframe screens,Payments operations exception automation
FC-MAP-054,FC-APP-040,Marqeta Card Issuance 3,Compliance & Regulatory,Credit & market risk modeling at scale,72,Batch latency blocks same-day decisioning,Credit & market risk modeling at scale
FC-MAP-055,FC-APP-041,Mastercard Rewards Engine 3,"Cyber, Privacy & Resilience",AML transaction monitoring & SAR automation,62,Data must be manually reconciled before decision use,AML transaction monitoring & SAR automation
FC-MAP-056,FC-APP-042,Marqeta Statement & Billing 3,Risk Management,"Customer 360 across deposits, cards, lending, wealth",54,Manual evidence assembly for audit,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-057,FC-APP-042,Marqeta Statement & Billing 3,Consumer Banking & Deposits,Commercial credit underwriting automation,84,No real-time context across products,Commercial credit underwriting automation
FC-MAP-058,FC-APP-043,TSYS Tokenization Vault 3,Enterprise Transformation Office,Contact center next-best-action & assist,57,No real-time context across products,Contact center next-best-action & assist
FC-MAP-059,FC-APP-044,Marqeta Dispute Manager 3,Treasury & Capital Markets,Real-time fraud & scam detection,57,Workflow locked in legacy mainframe screens,Real-time fraud & scam detection
FC-MAP-060,FC-APP-044,Marqeta Dispute Manager 3,Finance & Controllership,Engineering productivity with code assist,54,Workflow locked in legacy mainframe screens,Engineering productivity with code assist
FC-MAP-061,FC-APP-045,TSYS Card Authorization 4,Cards & Payments,"Customer 360 across deposits, cards, lending, wealth",67,Manual evidence assembly for audit,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-062,FC-APP-046,TSYS Card Issuance 4,Operations & Servicing,Contact center next-best-action & assist,44,Model outputs not explainable to regulators,Contact center next-best-action & assist
FC-MAP-063,FC-APP-046,TSYS Card Issuance 4,Commercial & Corporate Banking,AML transaction monitoring & SAR automation,50,Workflow locked in legacy mainframe screens,AML transaction monitoring & SAR automation
FC-MAP-064,FC-APP-047,Marqeta Rewards Engine 4,Financial Crimes & AML,Regulatory & financial close automation,53,Model outputs not explainable to regulators,Regulatory & financial close automation
FC-MAP-065,FC-APP-048,Visa DPS Statement & Billing 4,Technology & Engineering,Credit & market risk modeling at scale,47,Workflow locked in legacy mainframe screens,Credit & market risk modeling at scale
FC-MAP-066,FC-APP-049,The Clearing House ACH Engine,Treasury & Capital Markets,Regulatory & financial close automation,56,Model outputs not explainable to regulators,Regulatory & financial close automation
FC-MAP-067,FC-APP-049,The Clearing House ACH Engine,"Data, Analytics & AI",Engineering productivity with code assist,75,Model outputs not explainable to regulators,Engineering productivity with code assist
FC-MAP-068,FC-APP-050,The Clearing House Wire Platform,Financial Crimes & AML,Engineering productivity with code assist,65,Workflow locked in legacy mainframe screens,Engineering productivity with code assist
FC-MAP-069,FC-APP-051,FedNow RTP/FedNow Gateway,"Data, Analytics & AI",AML transaction monitoring & SAR automation,52,Manual evidence assembly for audit,AML transaction monitoring & SAR automation
FC-MAP-070,FC-APP-052,ACI Worldwide ISO 20022 Hub,Commercial & Corporate Banking,Commercial credit underwriting automation,69,Data must be manually reconciled before decision use,Commercial credit underwriting automation
FC-MAP-071,FC-APP-053,Volante Bill Pay,Cards & Payments,"Customer 360 across deposits, cards, lending, wealth",54,No real-time context across products,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-072,FC-APP-053,Volante Bill Pay,Finance & Controllership,Wealth advisory productivity & proposals,51,Manual evidence assembly for audit,Wealth advisory productivity & proposals
FC-MAP-073,FC-APP-054,FedNow Zelle Connector,"Data, Analytics & AI",Data product governance & semantic layer,77,Data must be manually reconciled before decision use,Data product governance & semantic layer
FC-MAP-074,FC-APP-055,ACI Worldwide SWIFT Gateway,Commercial & Corporate Banking,AML transaction monitoring & SAR automation,45,Data must be manually reconciled before decision use,AML transaction monitoring & SAR automation
FC-MAP-075,FC-APP-056,ACI Worldwide ACH Engine 2,Compliance & Regulatory,AML transaction monitoring & SAR automation,50,Data must be manually reconciled before decision use,AML transaction monitoring & SAR automation
FC-MAP-076,FC-APP-057,ACI Worldwide Wire Platform 2,Treasury & Capital Markets,Regulatory & financial close automation,40,Workflow locked in legacy mainframe screens,Regulatory & financial close automation
FC-MAP-077,FC-APP-057,ACI Worldwide Wire Platform 2,"Cyber, Privacy & Resilience",Real-time fraud & scam detection,45,Model outputs not explainable to regulators,Real-time fraud & scam detection
FC-MAP-078,FC-APP-058,Volante RTP/FedNow Gateway 2,"Data, Analytics & AI",Engineering productivity with code assist,45,Model outputs not explainable to regulators,Engineering productivity with code assist
FC-MAP-079,FC-APP-058,Volante RTP/FedNow Gateway 2,Contact Center & Customer Care,AML transaction monitoring & SAR automation,43,Model outputs not explainable to regulators,AML transaction monitoring & SAR automation
FC-MAP-080,FC-APP-059,The Clearing House ISO 20022 Hub 2,Cards & Payments,Credit & market risk modeling at scale,84,Workflow locked in legacy mainframe screens,Credit & market risk modeling at scale
FC-MAP-081,FC-APP-060,Volante Bill Pay 2,Compliance & Regulatory,Commercial credit underwriting automation,54,Data must be manually reconciled before decision use,Commercial credit underwriting automation
FC-MAP-082,FC-APP-060,Volante Bill Pay 2,Commercial & Corporate Banking,Real-time fraud & scam detection,38,No real-time context across products,Real-time fraud & scam detection
FC-MAP-083,FC-APP-061,FedNow Zelle Connector 2,Finance & Controllership,Contact center next-best-action & assist,49,Data must be manually reconciled before decision use,Contact center next-best-action & assist
FC-MAP-084,FC-APP-062,ACI Worldwide SWIFT Gateway 2,Financial Crimes & AML,Contact center next-best-action & assist,41,No real-time context across products,Contact center next-best-action & assist
FC-MAP-085,FC-APP-063,The Clearing House ACH Engine 3,Compliance & Regulatory,Credit & market risk modeling at scale,82,Data must be manually reconciled before decision use,Credit & market risk modeling at scale
FC-MAP-086,FC-APP-064,Volante Wire Platform 3,"Data, Analytics & AI",Payments operations exception automation,59,No real-time context across products,Payments operations exception automation
FC-MAP-087,FC-APP-064,Volante Wire Platform 3,Commercial & Corporate Banking,Engineering productivity with code assist,63,Data must be manually reconciled before decision use,Engineering productivity with code assist
FC-MAP-088,FC-APP-065,The Clearing House RTP/FedNow Gateway 3,Commercial & Corporate Banking,Real-time fraud & scam detection,51,Model outputs not explainable to regulators,Real-time fraud & scam detection
FC-MAP-089,FC-APP-066,FedNow ISO 20022 Hub 3,Consumer Banking & Deposits,Contact center next-best-action & assist,49,Workflow locked in legacy mainframe screens,Contact center next-best-action & assist
FC-MAP-090,FC-APP-067,Volante Bill Pay 3,Compliance & Regulatory,Engineering productivity with code assist,83,Batch latency blocks same-day decisioning,Engineering productivity with code assist
FC-MAP-091,FC-APP-068,FedNow Zelle Connector 3,Contact Center & Customer Care,"Customer 360 across deposits, cards, lending, wealth",75,Data must be manually reconciled before decision use,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-092,FC-APP-068,FedNow Zelle Connector 3,"Data, Analytics & AI",AML transaction monitoring & SAR automation,42,Data must be manually reconciled before decision use,AML transaction monitoring & SAR automation
FC-MAP-093,FC-APP-069,Featurespace Transaction Monitoring,"Data, Analytics & AI","Customer 360 across deposits, cards, lending, wealth",69,Batch latency blocks same-day decisioning,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-094,FC-APP-070,SAS Sanctions Screening,Operations & Servicing,Engineering productivity with code assist,68,Data must be manually reconciled before decision use,Engineering productivity with code assist
FC-MAP-095,FC-APP-071,Featurespace Fraud Scoring,"Data, Analytics & AI",Cards dispute & chargeback automation,46,Manual evidence assembly for audit,Cards dispute & chargeback automation
FC-MAP-096,FC-APP-071,Featurespace Fraud Scoring,Operations & Servicing,"Customer 360 across deposits, cards, lending, wealth",62,Workflow locked in legacy mainframe screens,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-097,FC-APP-072,SAS Case Manager,Cards & Payments,"Customer 360 across deposits, cards, lending, wealth",38,Batch latency blocks same-day decisioning,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-098,FC-APP-073,NICE Actimize KYC Orchestrator,Risk Management,Commercial credit underwriting automation,50,No real-time context across products,Commercial credit underwriting automation
FC-MAP-099,FC-APP-073,NICE Actimize KYC Orchestrator,Consumer Banking & Deposits,Regulatory & financial close automation,45,Batch latency blocks same-day decisioning,Regulatory & financial close automation
FC-MAP-100,FC-APP-074,Featurespace SAR Filing,Technology & Engineering,Payments operations exception automation,61,Manual evidence assembly for audit,Payments operations exception automation
FC-MAP-101,FC-APP-074,Featurespace SAR Filing,Compliance & Regulatory,Wealth advisory productivity & proposals,61,Data must be manually reconciled before decision use,Wealth advisory productivity & proposals
FC-MAP-102,FC-APP-075,SAS Transaction Monitoring 2,Consumer Banking & Deposits,Credit & market risk modeling at scale,88,Model outputs not explainable to regulators,Credit & market risk modeling at scale
FC-MAP-103,FC-APP-075,SAS Transaction Monitoring 2,Risk Management,Engineering productivity with code assist,80,Manual evidence assembly for audit,Engineering productivity with code assist
FC-MAP-104,FC-APP-076,SAS Sanctions Screening 2,Contact Center & Customer Care,Data product governance & semantic layer,67,No real-time context across products,Data product governance & semantic layer
FC-MAP-105,FC-APP-076,SAS Sanctions Screening 2,Contact Center & Customer Care,Cards dispute & chargeback automation,54,Data must be manually reconciled before decision use,Cards dispute & chargeback automation
FC-MAP-106,FC-APP-077,Featurespace Fraud Scoring 2,Finance & Controllership,Commercial credit underwriting automation,59,Batch latency blocks same-day decisioning,Commercial credit underwriting automation
FC-MAP-107,FC-APP-077,Featurespace Fraud Scoring 2,Compliance & Regulatory,Payments operations exception automation,48,No real-time context across products,Payments operations exception automation
FC-MAP-108,FC-APP-078,Featurespace Case Manager 2,Treasury & Capital Markets,Data product governance & semantic layer,57,Model outputs not explainable to regulators,Data product governance & semantic layer
FC-MAP-109,FC-APP-079,Featurespace KYC Orchestrator 2,Finance & Controllership,Contact center next-best-action & assist,85,Manual evidence assembly for audit,Contact center next-best-action & assist
FC-MAP-110,FC-APP-080,NICE Actimize SAR Filing 2,Treasury & Capital Markets,"Customer 360 across deposits, cards, lending, wealth",46,Manual evidence assembly for audit,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-111,FC-APP-081,SAS Transaction Monitoring 3,Consumer Banking & Deposits,Wealth advisory productivity & proposals,80,Batch latency blocks same-day decisioning,Wealth advisory productivity & proposals
FC-MAP-112,FC-APP-081,SAS Transaction Monitoring 3,Operations & Servicing,"Customer 360 across deposits, cards, lending, wealth",52,Manual evidence assembly for audit,"Customer 360 across deposits, cards, lending, wealth"
FC-MAP-113,FC-APP-082,SAS Sanctions Screening 3,Financial Crimes & AML,Engineering productivity with code assist,83,Model outputs not explainable to regulators,Engineering productivity with code assist
FC-MAP-114,FC-APP-083,Feedzai Fraud Scoring 3,"Data, Analytics & AI",Data product governance & semantic layer,87,Manual evidence assembly for audit,Data product governance & semantic layer
FC-MAP-115,FC-APP-084,Feedzai Case Manager 3,"Cyber, Privacy & Resilience",Payments operations exception automation,39,Batch latency blocks same-day decisioning,Payments operations exception automation
FC-MAP-116,FC-APP-085,SAS KYC Orchestrator 3,Technology & Engineering,Cards dispute & chargeback automation,61,No real-time context across products,Cards dispute & chargeback automation
FC-MAP-117,FC-APP-086,Featurespace SAR Filing 3,Consumer Banking & Deposits,AML transaction monitoring & SAR automation,81,Manual evidence assembly for audit,AML transaction monitoring & SAR automation
FC-MAP-118,FC-APP-087,SAS Credit Risk Engine,Financial Crimes & AML,Regulatory & financial close automation,50,Data must be manually reconciled before decision use,Regulatory & financial close automation
FC-MAP-119,FC-APP-088,Numerix Market Risk VaR,Contact Center & Customer Care,Cards dispute & chargeback automation,77,Workflow locked in legacy mainframe screens,Cards dispute & chargeback automation
FC-MAP-120,FC-APP-089,SAS Stress Test Platform,Cards & Payments,Data product governance & semantic layer,64,No real-time context across products,Data product governance & semantic layer
