play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
PLAY-0067,MET-0062,Best-in-class operator,Best-in-class operator re-engineered net promoter score,Net Promoter Score (Maintenance),+2.7 score,self-service rebooking|generative customer assistant|loyalty personalization engine,Generative Assist,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,68,tenant_file
PLAY-0068,MET-0097,Cross-industry leader,Cross-industry leader deployed AI for digital self-service rate,Digital Self-Service Rate (Customer),+3.7 %,cargo capacity optimizer|computer-vision bag tracking,Automation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,69,tenant_file
PLAY-0069,MET-0160,LCC archetype,LCC archetype consolidated procurement cost savings,Procurement Cost Savings (Finance),+1.5 %,real-time ops data|network optimization solver|loyalty personalization engine,Real-time Decisioning,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,70,tenant_file
PLAY-0070,MET-0148,Best-in-class operator,Best-in-class operator deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Corporate),-1.3 $,loyalty personalization engine|fuel-burn optimization,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,71,tenant_file
PLAY-0071,MET-0075,Flag-carrier peer,Flag-carrier peer consolidated casm,CASM (Maintenance),-3.4 cents,fuel-burn optimization|crew-ops AI|generative customer assistant,Platform Consolidation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,72,tenant_file
PLAY-0072,MET-0015,Best-in-class operator,Best-in-class operator automated casm,CASM,-3.3 cents,fuel-burn optimization|computer-vision bag tracking|crew-ops AI,Platform Consolidation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,73,tenant_file
PLAY-0073,MET-0111,Cross-industry leader,Cross-industry leader deployed AI for fuel burn per asm,Fuel Burn per ASM (Customer),-1.8 kg,fuel-burn optimization|computer-vision bag tracking|dynamic pricing engine|predictive maintenance,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,74,tenant_file
PLAY-0074,MET-0114,Digital-native peer,Digital-native peer automated crew utilization %,Crew Utilization % (Customer),+3.9 %,self-service rebooking|automated revenue accounting|network optimization solver|crew-ops AI,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,75,tenant_file
PLAY-0075,MET-0147,Best-in-class operator,Best-in-class operator deployed AI for net promoter score,Net Promoter Score (Pax) (Corporate),+1.4 score,fuel-burn optimization|predictive maintenance|crew-ops AI,Automation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,76,tenant_file
PLAY-0076,MET-0013,Digital-native peer,Digital-native peer deployed AI for on-time performance %,On-Time Performance %,+1.5 %,generative customer assistant|real-time ops data|fuel-burn optimization,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,77,tenant_file
PLAY-0077,MET-0135,Top-quartile carrier,Top-quartile carrier digitized casm,CASM (Corporate),-2.2 cents,cargo capacity optimizer|self-service rebooking|digital twin of operations|generative customer assistant,AI Optimization,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,78,tenant_file
PLAY-0078,MET-0155,Flag-carrier peer,Flag-carrier peer deployed AI for ebit margin,EBIT Margin (Finance),+2.8 %,computer-vision bag tracking|crew-ops AI|predictive maintenance,Platform Consolidation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,79,tenant_file
PLAY-0079,MET-0179,Flag-carrier peer,Flag-carrier peer automated technical dispatch reliability,Technical Dispatch Reliability (Finance),+1.7 %,predictive maintenance|computer-vision bag tracking|loyalty personalization engine|fuel-burn optimization,Platform Consolidation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,80,tenant_file
PLAY-0080,MET-0015,Best-in-class operator,Best-in-class operator consolidated casm,CASM,-1.9 cents,predictive maintenance|generative customer assistant|fuel-burn optimization|automated revenue accounting,Platform Consolidation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,81,tenant_file
PLAY-0081,MET-0132,Top-quartile carrier,Top-quartile carrier automated cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Corporate),-3.1 hours,automated revenue accounting|demand-sensing ML,Platform Consolidation,Risk,family-7-outcome-intelligence/O03_competitor-plays.csv,82,tenant_file
PLAY-0082,MET-0011,Top-quartile carrier,Top-quartile carrier optimized safety incident rate,Safety Incident Rate,-2.9 rate,generative customer assistant|automated revenue accounting,Process Redesign,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,83,tenant_file
PLAY-0083,MET-0158,Top-quartile carrier,Top-quartile carrier automated it spend as % of revenue,IT Spend as % of Revenue (Finance),-2.5 %,rebooking automation|demand-sensing ML,Platform Consolidation,Technology,family-7-outcome-intelligence/O03_competitor-plays.csv,84,tenant_file
PLAY-0084,MET-0029,Best-in-class operator,Best-in-class operator automated technical dispatch reliability,Technical Dispatch Reliability,+2.3 %,digital twin of operations|network optimization solver|automated revenue accounting,Automation,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,85,tenant_file
PLAY-0085,MET-0028,Flag-carrier peer,Flag-carrier peer digitized maintenance cost per flight hour,Maintenance Cost per Flight Hour,-4.2 $,crew-ops AI|network optimization solver|loyalty personalization engine,Generative Assist,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,86,tenant_file
PLAY-0086,MET-0046,Digital-native peer,Digital-native peer consolidated rasm,RASM (Operations),+2.3 cents,predictive maintenance|generative customer assistant|crew-ops AI|fuel-burn optimization,Automation,Commercial,family-7-outcome-intelligence/O03_competitor-plays.csv,87,tenant_file
PLAY-0087,MET-0079,Flag-carrier peer,Flag-carrier peer digitized mishandled bags per 1000,Mishandled Bags per 1000 (Maintenance),-2.2 rate,rebooking automation|digital twin of operations,Self-Service Shift,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,88,tenant_file
PLAY-0088,MET-0065,Top-quartile carrier,Top-quartile carrier consolidated ebit margin,EBIT Margin (Maintenance),+2.5 %,generative customer assistant|cargo capacity optimizer,Platform Consolidation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,89,tenant_file
PLAY-0089,MET-0145,Flag-carrier peer,Flag-carrier peer optimized schedule reliability %,Schedule Reliability % (Corporate),+4.1 %,cargo capacity optimizer|rebooking automation|automated revenue accounting,Real-time Decisioning,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,90,tenant_file
PLAY-0090,MET-0143,Cross-industry leader,Cross-industry leader re-engineered cargo yield,Cargo Yield (Corporate),+2.2 $,automated revenue accounting|cargo capacity optimizer|computer-vision bag tracking|crew-ops AI,Automation,Cargo,family-7-outcome-intelligence/O03_competitor-plays.csv,91,tenant_file
PLAY-0091,MET-0060,Best-in-class operator,Best-in-class operator optimized disruption recovery time,Disruption Recovery Time (Operations),-3.1 hours,real-time ops data|self-service rebooking,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,92,tenant_file
PLAY-0092,MET-0011,Cross-industry leader,Cross-industry leader digitized safety incident rate,Safety Incident Rate,-2.8 rate,real-time ops data|network optimization solver|loyalty personalization engine,Generative Assist,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,93,tenant_file
PLAY-0093,MET-0169,Digital-native peer,Digital-native peer consolidated mishandled bags per 1000,Mishandled Bags per 1000 (Finance),-3.1 rate,self-service rebooking|network optimization solver|dynamic pricing engine,AI Optimization,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,94,tenant_file
PLAY-0094,MET-0107,LCC archetype,LCC archetype digitized completion factor %,Completion Factor % (Customer),+2.7 %,predictive maintenance|rebooking automation|crew-ops AI|dynamic pricing engine,Platform Consolidation,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,95,tenant_file
PLAY-0095,MET-0026,LCC archetype,LCC archetype deployed AI for loyalty member growth,Loyalty Member Growth,+4.4 %,rebooking automation|crew-ops AI,Generative Assist,Loyalty,family-7-outcome-intelligence/O03_competitor-plays.csv,96,tenant_file
PLAY-0096,MET-0069,Best-in-class operator,Best-in-class operator optimized first contact resolution,First Contact Resolution (Maintenance),+1.3 %,generative customer assistant|cargo capacity optimizer|predictive maintenance,Platform Consolidation,Customer,family-7-outcome-intelligence/O03_competitor-plays.csv,97,tenant_file
PLAY-0097,MET-0045,Flag-carrier peer,Flag-carrier peer automated casm,CASM (Operations),-1.7 cents,fuel-burn optimization|real-time ops data|crew-ops AI,Platform Consolidation,Finance,family-7-outcome-intelligence/O03_competitor-plays.csv,98,tenant_file
PLAY-0098,MET-0118,Digital-native peer,Digital-native peer deployed AI for maintenance cost per flight hour,Maintenance Cost per Flight Hour (Customer),-4.1 $,predictive maintenance|computer-vision bag tracking|demand-sensing ML,AI Optimization,Maintenance,family-7-outcome-intelligence/O03_competitor-plays.csv,99,tenant_file
PLAY-0099,MET-0053,LCC archetype,LCC archetype consolidated cargo yield,Cargo Yield (Operations),+2.8 $,digital twin of operations|network optimization solver|computer-vision bag tracking,Generative Assist,Cargo,family-7-outcome-intelligence/O03_competitor-plays.csv,100,tenant_file
PLAY-0100,MET-0142,Best-in-class operator,Best-in-class operator re-engineered turnaround time,Turnaround Time (Corporate),-1.3 minutes,real-time ops data|rebooking automation|fuel-burn optimization|digital twin of operations,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,101,tenant_file
PLAY-0101,MET-0061,Digital-native peer,Digital-native peer deployed AI for cost-to-income ratio,Cost-to-Income Ratio (Maintenance),-4.0 %,computer-vision bag tracking|real-time ops data|network optimization solver,Generative Assist,Corporate,family-7-outcome-intelligence/O03_competitor-plays.csv,102,tenant_file
PLAY-0102,MET-0161,Digital-native peer,Digital-native peer re-engineered safety incident rate,Safety Incident Rate (Finance),-1.3 rate,crew-ops AI|fuel-burn optimization|demand-sensing ML,Predictive Analytics,Operations,family-7-outcome-intelligence/O03_competitor-plays.csv,103,tenant_file
