metric_id,function,owning_cxo,metric_name,definition,unit,current_value,target_value,value_stream_id,primary_capability_id,source_file,source_row,value_source
MET-0021,Operations,COO,Fuel Burn per ASM,Fuel consumed per available seat-mile.,kg,0.058,0.05,VS-020,CAP-0118,family-7-outcome-intelligence/O01_business-metrics.csv,22,tenant_file
MET-0022,Operations,COO,Turnaround Time,"Average gate turnaround time, narrowbody.",minutes,36.3,31,VS-028,CAP-0131,family-7-outcome-intelligence/O01_business-metrics.csv,23,tenant_file
MET-0023,Cargo,CRO,Cargo Yield,Revenue per cargo ton-kilometre.,$,129.4,135.24,VS-031,CAP-0113,family-7-outcome-intelligence/O01_business-metrics.csv,24,tenant_file
MET-0024,Operations,COO,Crew Utilization %,Productive crew duty hours vs. paid hours.,%,84.9,94.31,VS-020,CAP-0050,family-7-outcome-intelligence/O01_business-metrics.csv,25,tenant_file
MET-0025,Operations,COO,Schedule Reliability %,Departures within tolerance of published schedule.,%,91.2,103.3,VS-036,CAP-0053,family-7-outcome-intelligence/O01_business-metrics.csv,26,tenant_file
MET-0026,Loyalty,CMO,Loyalty Member Growth,Year-over-year active loyalty member growth.,%,78.7,90.8,VS-024,CAP-0010,family-7-outcome-intelligence/O01_business-metrics.csv,27,tenant_file
MET-0027,Customer,CMO,Net Promoter Score (Pax),Passenger NPS across journey touchpoints.,score,69,77.65,VS-030,CAP-0017,family-7-outcome-intelligence/O01_business-metrics.csv,28,tenant_file
MET-0028,Maintenance,COO,Maintenance Cost per Flight Hour,Direct maintenance cost per flight hour.,$,167.6,158.19,VS-037,CAP-0105,family-7-outcome-intelligence/O01_business-metrics.csv,29,tenant_file
MET-0029,Maintenance,COO,Technical Dispatch Reliability,Departures free of technical delay/cancellation.,%,85.4,99.63,VS-005,CAP-0011,family-7-outcome-intelligence/O01_business-metrics.csv,30,tenant_file
MET-0030,Operations,COO,Disruption Recovery Time,Average hours to recover schedule after IRROPS.,hours,6.9,5.67,VS-036,CAP-0017,family-7-outcome-intelligence/O01_business-metrics.csv,31,tenant_file
MET-0031,Corporate,CFO,Cost-to-Income Ratio (Operations),Operating cost as a percent of operating income.,%,63.5,55.17,VS-008,CAP-0030,family-7-outcome-intelligence/O01_business-metrics.csv,32,tenant_file
MET-0032,Customer,CMO,Net Promoter Score (Operations),Likelihood customers recommend the airline (-100..100).,score,31.3,35.44,VS-035,CAP-0115,family-7-outcome-intelligence/O01_business-metrics.csv,33,tenant_file
MET-0033,Workforce,CHRO,Employee Attrition Rate (Operations),Annualized voluntary employee turnover.,%,64.9,61.53,VS-015,CAP-0013,family-7-outcome-intelligence/O01_business-metrics.csv,34,tenant_file
MET-0034,Commercial,CRO,Forecast Accuracy (Operations),Demand forecast accuracy across the network.,%,87.9,96.01,VS-018,CAP-0018,family-7-outcome-intelligence/O01_business-metrics.csv,35,tenant_file
MET-0035,Finance,CFO,EBIT Margin (Operations),Earnings before interest and tax as a percent of revenue.,%,75.1,81.56,VS-017,CAP-0023,family-7-outcome-intelligence/O01_business-metrics.csv,36,tenant_file
MET-0036,Finance,CFO,Days Sales Outstanding (Operations),Average days to collect receivables.,days,29.1,25.17,VS-021,CAP-0090,family-7-outcome-intelligence/O01_business-metrics.csv,37,tenant_file
MET-0037,Customer,CIO,Digital Self-Service Rate (Operations),Share of service interactions resolved without an agent.,%,65.9,72.17,VS-006,CAP-0021,family-7-outcome-intelligence/O01_business-metrics.csv,38,tenant_file
MET-0038,Technology,CIO,IT Spend as % of Revenue (Operations),Total technology spend relative to revenue.,%,61.1,54.78,VS-022,CAP-0120,family-7-outcome-intelligence/O01_business-metrics.csv,39,tenant_file
MET-0039,Customer,CMO,First Contact Resolution (Operations),Contact-center issues resolved on first contact.,%,91.6,106.32,VS-038,CAP-0084,family-7-outcome-intelligence/O01_business-metrics.csv,40,tenant_file
MET-0040,Corporate,CFO,Procurement Cost Savings (Operations),Realized savings against addressable spend.,%,80.1,85.89,VS-040,CAP-0115,family-7-outcome-intelligence/O01_business-metrics.csv,41,tenant_file
MET-0041,Operations,COO,Safety Incident Rate (Operations),Reportable safety incidents per 100k operations.,rate,5.92,5.27,VS-004,CAP-0103,family-7-outcome-intelligence/O01_business-metrics.csv,42,tenant_file
MET-0042,Risk,CIO,Cyber Mean-Time-to-Detect (Operations),Average hours to detect a security incident.,hours,28.4,25.74,VS-019,CAP-0023,family-7-outcome-intelligence/O01_business-metrics.csv,43,tenant_file
MET-0043,Operations,COO,On-Time Performance % (Operations),Flights departing/arriving within 15 minutes of schedule.,%,64.9,71.56,VS-028,CAP-0022,family-7-outcome-intelligence/O01_business-metrics.csv,44,tenant_file
MET-0044,Commercial,CRO,Load Factor % (Operations),Revenue passenger-miles as a percent of available seat-miles.,%,65.1,71.91,VS-026,CAP-0055,family-7-outcome-intelligence/O01_business-metrics.csv,45,tenant_file
MET-0045,Finance,CFO,CASM (Operations),Cost per Available Seat Mile.,cents,11.82,10.07,VS-028,CAP-0116,family-7-outcome-intelligence/O01_business-metrics.csv,46,tenant_file
MET-0046,Commercial,CRO,RASM (Operations),Revenue per Available Seat Mile.,cents,15.88,17.63,VS-034,CAP-0017,family-7-outcome-intelligence/O01_business-metrics.csv,47,tenant_file
MET-0047,Operations,COO,Completion Factor % (Operations),Percent of scheduled flights actually operated.,%,73.7,86.84,VS-012,CAP-0015,family-7-outcome-intelligence/O01_business-metrics.csv,48,tenant_file
MET-0048,Commercial,CRO,Ancillary Revenue per Pax (Operations),Non-ticket revenue earned per passenger.,$,69,75.37,VS-026,CAP-0055,family-7-outcome-intelligence/O01_business-metrics.csv,49,tenant_file
MET-0049,Customer,COO,Mishandled Bags per 1000 (Operations),Mishandled bag reports per 1000 passengers.,rate,8.23,7.16,VS-038,CAP-0023,family-7-outcome-intelligence/O01_business-metrics.csv,50,tenant_file
MET-0050,Operations,COO,Aircraft Utilization (Operations),Average block hours flown per aircraft per day.,hours,12.8,14.31,VS-004,CAP-0008,family-7-outcome-intelligence/O01_business-metrics.csv,51,tenant_file
MET-0051,Operations,COO,Fuel Burn per ASM (Operations),Fuel consumed per available seat-mile.,kg,0.032,0.03,VS-028,CAP-0122,family-7-outcome-intelligence/O01_business-metrics.csv,52,tenant_file
MET-0052,Operations,COO,Turnaround Time (Operations),"Average gate turnaround time, narrowbody.",minutes,51.4,48.47,VS-012,CAP-0088,family-7-outcome-intelligence/O01_business-metrics.csv,53,tenant_file
MET-0053,Cargo,CRO,Cargo Yield (Operations),Revenue per cargo ton-kilometre.,$,48.6,50.68,VS-023,CAP-0066,family-7-outcome-intelligence/O01_business-metrics.csv,54,tenant_file
MET-0054,Operations,COO,Crew Utilization % (Operations),Productive crew duty hours vs. paid hours.,%,77.5,82.97,VS-028,CAP-0094,family-7-outcome-intelligence/O01_business-metrics.csv,55,tenant_file
MET-0055,Operations,COO,Schedule Reliability % (Operations),Departures within tolerance of published schedule.,%,87.7,93.61,VS-012,CAP-0015,family-7-outcome-intelligence/O01_business-metrics.csv,56,tenant_file
MET-0056,Loyalty,CMO,Loyalty Member Growth (Operations),Year-over-year active loyalty member growth.,%,84.1,90.42,VS-027,CAP-0009,family-7-outcome-intelligence/O01_business-metrics.csv,57,tenant_file
MET-0057,Customer,CMO,Net Promoter Score (Pax) (Operations),Passenger NPS across journey touchpoints.,score,57.5,62.15,VS-027,CAP-0128,family-7-outcome-intelligence/O01_business-metrics.csv,58,tenant_file
MET-0058,Maintenance,COO,Maintenance Cost per Flight Hour (Operations),Direct maintenance cost per flight hour.,$,156.5,129.58,VS-013,CAP-0038,family-7-outcome-intelligence/O01_business-metrics.csv,59,tenant_file
MET-0059,Maintenance,COO,Technical Dispatch Reliability (Operations),Departures free of technical delay/cancellation.,%,88.3,95.4,VS-005,CAP-0013,family-7-outcome-intelligence/O01_business-metrics.csv,60,tenant_file
MET-0060,Operations,COO,Disruption Recovery Time (Operations),Average hours to recover schedule after IRROPS.,hours,16.2,13.38,VS-004,CAP-0058,family-7-outcome-intelligence/O01_business-metrics.csv,61,tenant_file
MET-0061,Corporate,CFO,Cost-to-Income Ratio (Maintenance),Operating cost as a percent of operating income.,%,82.1,76.04,VS-016,CAP-0126,family-7-outcome-intelligence/O01_business-metrics.csv,62,tenant_file
MET-0062,Customer,CMO,Net Promoter Score (Maintenance),Likelihood customers recommend the airline (-100..100).,score,59.6,63.36,VS-030,CAP-0029,family-7-outcome-intelligence/O01_business-metrics.csv,63,tenant_file
MET-0063,Workforce,CHRO,Employee Attrition Rate (Maintenance),Annualized voluntary employee turnover.,%,59.3,48.92,VS-030,CAP-0100,family-7-outcome-intelligence/O01_business-metrics.csv,64,tenant_file
MET-0064,Commercial,CRO,Forecast Accuracy (Maintenance),Demand forecast accuracy across the network.,%,84,93.3,VS-002,CAP-0066,family-7-outcome-intelligence/O01_business-metrics.csv,65,tenant_file
MET-0065,Finance,CFO,EBIT Margin (Maintenance),Earnings before interest and tax as a percent of revenue.,%,74.4,86.64,VS-034,CAP-0125,family-7-outcome-intelligence/O01_business-metrics.csv,66,tenant_file
MET-0066,Finance,CFO,Days Sales Outstanding (Maintenance),Average days to collect receivables.,days,36.6,31.81,VS-038,CAP-0024,family-7-outcome-intelligence/O01_business-metrics.csv,67,tenant_file
MET-0067,Customer,CIO,Digital Self-Service Rate (Maintenance),Share of service interactions resolved without an agent.,%,80.1,90.12,VS-006,CAP-0061,family-7-outcome-intelligence/O01_business-metrics.csv,68,tenant_file
MET-0068,Technology,CIO,IT Spend as % of Revenue (Maintenance),Total technology spend relative to revenue.,%,73.5,69.68,VS-034,CAP-0132,family-7-outcome-intelligence/O01_business-metrics.csv,69,tenant_file
MET-0069,Customer,CMO,First Contact Resolution (Maintenance),Contact-center issues resolved on first contact.,%,57.1,63.39,VS-027,CAP-0028,family-7-outcome-intelligence/O01_business-metrics.csv,70,tenant_file
MET-0070,Corporate,CFO,Procurement Cost Savings (Maintenance),Realized savings against addressable spend.,%,74.4,85.74,VS-032,CAP-0023,family-7-outcome-intelligence/O01_business-metrics.csv,71,tenant_file
MET-0071,Operations,COO,Safety Incident Rate (Maintenance),Reportable safety incidents per 100k operations.,rate,7.56,7.01,VS-028,CAP-0054,family-7-outcome-intelligence/O01_business-metrics.csv,72,tenant_file
MET-0072,Risk,CIO,Cyber Mean-Time-to-Detect (Maintenance),Average hours to detect a security incident.,hours,18,17.27,VS-024,CAP-0027,family-7-outcome-intelligence/O01_business-metrics.csv,73,tenant_file
MET-0073,Operations,COO,On-Time Performance % (Maintenance),Flights departing/arriving within 15 minutes of schedule.,%,85.4,91.19,VS-012,CAP-0041,family-7-outcome-intelligence/O01_business-metrics.csv,74,tenant_file
MET-0074,Commercial,CRO,Load Factor % (Maintenance),Revenue passenger-miles as a percent of available seat-miles.,%,56.1,60.17,VS-034,CAP-0108,family-7-outcome-intelligence/O01_business-metrics.csv,75,tenant_file
MET-0075,Finance,CFO,CASM (Maintenance),Cost per Available Seat Mile.,cents,14.64,12.41,VS-029,CAP-0109,family-7-outcome-intelligence/O01_business-metrics.csv,76,tenant_file
MET-0076,Commercial,CRO,RASM (Maintenance),Revenue per Available Seat Mile.,cents,12.78,15.06,VS-026,CAP-0040,family-7-outcome-intelligence/O01_business-metrics.csv,77,tenant_file
MET-0077,Operations,COO,Completion Factor % (Maintenance),Percent of scheduled flights actually operated.,%,77.3,81.51,VS-028,CAP-0035,family-7-outcome-intelligence/O01_business-metrics.csv,78,tenant_file
MET-0078,Commercial,CRO,Ancillary Revenue per Pax (Maintenance),Non-ticket revenue earned per passenger.,$,119.8,125.05,VS-034,CAP-0064,family-7-outcome-intelligence/O01_business-metrics.csv,79,tenant_file
MET-0079,Customer,COO,Mishandled Bags per 1000 (Maintenance),Mishandled bag reports per 1000 passengers.,rate,8.5,7.89,VS-019,CAP-0121,family-7-outcome-intelligence/O01_business-metrics.csv,80,tenant_file
MET-0080,Operations,COO,Aircraft Utilization (Maintenance),Average block hours flown per aircraft per day.,hours,6.5,6.82,VS-012,CAP-0028,family-7-outcome-intelligence/O01_business-metrics.csv,81,tenant_file
MET-0081,Operations,COO,Fuel Burn per ASM (Maintenance),Fuel consumed per available seat-mile.,kg,0.043,0.04,VS-012,CAP-0094,family-7-outcome-intelligence/O01_business-metrics.csv,82,tenant_file
MET-0082,Operations,COO,Turnaround Time (Maintenance),"Average gate turnaround time, narrowbody.",minutes,55,48.68,VS-020,CAP-0104,family-7-outcome-intelligence/O01_business-metrics.csv,83,tenant_file
MET-0083,Cargo,CRO,Cargo Yield (Maintenance),Revenue per cargo ton-kilometre.,$,12.5,13.84,VS-023,CAP-0082,family-7-outcome-intelligence/O01_business-metrics.csv,84,tenant_file
MET-0084,Operations,COO,Crew Utilization % (Maintenance),Productive crew duty hours vs. paid hours.,%,91.4,97.98,VS-028,CAP-0012,family-7-outcome-intelligence/O01_business-metrics.csv,85,tenant_file
MET-0085,Operations,COO,Schedule Reliability % (Maintenance),Departures within tolerance of published schedule.,%,90.8,104.25,VS-020,CAP-0101,family-7-outcome-intelligence/O01_business-metrics.csv,86,tenant_file
MET-0086,Loyalty,CMO,Loyalty Member Growth (Maintenance),Year-over-year active loyalty member growth.,%,67.6,76.71,VS-029,CAP-0091,family-7-outcome-intelligence/O01_business-metrics.csv,87,tenant_file
MET-0087,Customer,CMO,Net Promoter Score (Pax) (Maintenance),Passenger NPS across journey touchpoints.,score,30.1,35.22,VS-027,CAP-0043,family-7-outcome-intelligence/O01_business-metrics.csv,88,tenant_file
MET-0088,Maintenance,COO,Maintenance Cost per Flight Hour (Maintenance),Direct maintenance cost per flight hour.,$,178.8,154.06,VS-005,CAP-0005,family-7-outcome-intelligence/O01_business-metrics.csv,89,tenant_file
MET-0089,Maintenance,COO,Technical Dispatch Reliability (Maintenance),Departures free of technical delay/cancellation.,%,58,68.37,VS-021,CAP-0064,family-7-outcome-intelligence/O01_business-metrics.csv,90,tenant_file
MET-0090,Operations,COO,Disruption Recovery Time (Maintenance),Average hours to recover schedule after IRROPS.,hours,13.6,12.72,VS-020,CAP-0117,family-7-outcome-intelligence/O01_business-metrics.csv,91,tenant_file
MET-0091,Corporate,CFO,Cost-to-Income Ratio (Customer),Operating cost as a percent of operating income.,%,86.7,72.39,VS-016,CAP-0005,family-7-outcome-intelligence/O01_business-metrics.csv,92,tenant_file
MET-0092,Customer,CMO,Net Promoter Score (Customer),Likelihood customers recommend the airline (-100..100).,score,39.1,43.95,VS-038,CAP-0116,family-7-outcome-intelligence/O01_business-metrics.csv,93,tenant_file
MET-0093,Workforce,CHRO,Employee Attrition Rate (Customer),Annualized voluntary employee turnover.,%,79.5,69.08,VS-017,CAP-0009,family-7-outcome-intelligence/O01_business-metrics.csv,94,tenant_file
MET-0094,Commercial,CRO,Forecast Accuracy (Customer),Demand forecast accuracy across the network.,%,58.4,60.99,VS-018,CAP-0026,family-7-outcome-intelligence/O01_business-metrics.csv,95,tenant_file
MET-0095,Finance,CFO,EBIT Margin (Customer),Earnings before interest and tax as a percent of revenue.,%,76.9,85.41,VS-013,CAP-0052,family-7-outcome-intelligence/O01_business-metrics.csv,96,tenant_file
MET-0096,Finance,CFO,Days Sales Outstanding (Customer),Average days to collect receivables.,days,49.6,45.09,VS-022,CAP-0090,family-7-outcome-intelligence/O01_business-metrics.csv,97,tenant_file
MET-0097,Customer,CIO,Digital Self-Service Rate (Customer),Share of service interactions resolved without an agent.,%,62.1,69.76,VS-006,CAP-0085,family-7-outcome-intelligence/O01_business-metrics.csv,98,tenant_file
MET-0098,Technology,CIO,IT Spend as % of Revenue (Customer),Total technology spend relative to revenue.,%,63.4,55.86,VS-026,CAP-0073,family-7-outcome-intelligence/O01_business-metrics.csv,99,tenant_file
MET-0099,Customer,CMO,First Contact Resolution (Customer),Contact-center issues resolved on first contact.,%,60,66.53,VS-035,CAP-0111,family-7-outcome-intelligence/O01_business-metrics.csv,100,tenant_file
MET-0100,Corporate,CFO,Procurement Cost Savings (Customer),Realized savings against addressable spend.,%,87.2,96.17,VS-024,CAP-0106,family-7-outcome-intelligence/O01_business-metrics.csv,101,tenant_file
MET-0101,Operations,COO,Safety Incident Rate (Customer),Reportable safety incidents per 100k operations.,rate,4.78,4.43,VS-028,CAP-0008,family-7-outcome-intelligence/O01_business-metrics.csv,102,tenant_file
MET-0102,Risk,CIO,Cyber Mean-Time-to-Detect (Customer),Average hours to detect a security incident.,hours,3.2,2.76,VS-011,CAP-0074,family-7-outcome-intelligence/O01_business-metrics.csv,103,tenant_file
MET-0103,Operations,COO,On-Time Performance % (Customer),Flights departing/arriving within 15 minutes of schedule.,%,81.8,89.61,VS-020,CAP-0068,family-7-outcome-intelligence/O01_business-metrics.csv,104,tenant_file
MET-0104,Commercial,CRO,Load Factor % (Customer),Revenue passenger-miles as a percent of available seat-miles.,%,55.6,61.91,VS-018,CAP-0051,family-7-outcome-intelligence/O01_business-metrics.csv,105,tenant_file
MET-0105,Finance,CFO,CASM (Customer),Cost per Available Seat Mile.,cents,13.81,12.82,VS-005,CAP-0120,family-7-outcome-intelligence/O01_business-metrics.csv,106,tenant_file
MET-0106,Commercial,CRO,RASM (Customer),Revenue per Available Seat Mile.,cents,9.45,11.08,VS-018,CAP-0110,family-7-outcome-intelligence/O01_business-metrics.csv,107,tenant_file
MET-0107,Operations,COO,Completion Factor % (Customer),Percent of scheduled flights actually operated.,%,85.4,93.48,VS-036,CAP-0068,family-7-outcome-intelligence/O01_business-metrics.csv,108,tenant_file
MET-0108,Commercial,CRO,Ancillary Revenue per Pax (Customer),Non-ticket revenue earned per passenger.,$,233.6,263.78,VS-002,CAP-0007,family-7-outcome-intelligence/O01_business-metrics.csv,109,tenant_file
MET-0109,Customer,COO,Mishandled Bags per 1000 (Customer),Mishandled bag reports per 1000 passengers.,rate,3.88,3.25,VS-027,CAP-0004,family-7-outcome-intelligence/O01_business-metrics.csv,110,tenant_file
MET-0110,Operations,COO,Aircraft Utilization (Customer),Average block hours flown per aircraft per day.,hours,6.6,7.28,VS-020,CAP-0124,family-7-outcome-intelligence/O01_business-metrics.csv,111,tenant_file
MET-0111,Operations,COO,Fuel Burn per ASM (Customer),Fuel consumed per available seat-mile.,kg,0.054,0.05,VS-020,CAP-0060,family-7-outcome-intelligence/O01_business-metrics.csv,112,tenant_file
MET-0112,Operations,COO,Turnaround Time (Customer),"Average gate turnaround time, narrowbody.",minutes,27.5,25.26,VS-004,CAP-0053,family-7-outcome-intelligence/O01_business-metrics.csv,113,tenant_file
MET-0113,Cargo,CRO,Cargo Yield (Customer),Revenue per cargo ton-kilometre.,$,161.2,177.63,VS-007,CAP-0114,family-7-outcome-intelligence/O01_business-metrics.csv,114,tenant_file
MET-0114,Operations,COO,Crew Utilization % (Customer),Productive crew duty hours vs. paid hours.,%,62.6,68.53,VS-004,CAP-0084,family-7-outcome-intelligence/O01_business-metrics.csv,115,tenant_file
MET-0115,Operations,COO,Schedule Reliability % (Customer),Departures within tolerance of published schedule.,%,90.7,95.18,VS-004,CAP-0066,family-7-outcome-intelligence/O01_business-metrics.csv,116,tenant_file
MET-0116,Loyalty,CMO,Loyalty Member Growth (Customer),Year-over-year active loyalty member growth.,%,89.8,100.04,VS-013,CAP-0114,family-7-outcome-intelligence/O01_business-metrics.csv,117,tenant_file
MET-0117,Customer,CMO,Net Promoter Score (Pax) (Customer),Passenger NPS across journey touchpoints.,score,51,55.27,VS-027,CAP-0087,family-7-outcome-intelligence/O01_business-metrics.csv,118,tenant_file
MET-0118,Maintenance,COO,Maintenance Cost per Flight Hour (Customer),Direct maintenance cost per flight hour.,$,108.3,101.57,VS-037,CAP-0091,family-7-outcome-intelligence/O01_business-metrics.csv,119,tenant_file
MET-0119,Maintenance,COO,Technical Dispatch Reliability (Customer),Departures free of technical delay/cancellation.,%,83.6,94.83,VS-021,CAP-0122,family-7-outcome-intelligence/O01_business-metrics.csv,120,tenant_file
MET-0120,Operations,COO,Disruption Recovery Time (Customer),Average hours to recover schedule after IRROPS.,hours,7.5,6.89,VS-004,CAP-0115,family-7-outcome-intelligence/O01_business-metrics.csv,121,tenant_file
MET-0121,Corporate,CFO,Cost-to-Income Ratio (Corporate),Operating cost as a percent of operating income.,%,89.8,83.98,VS-024,CAP-0124,family-7-outcome-intelligence/O01_business-metrics.csv,122,tenant_file
MET-0122,Customer,CMO,Net Promoter Score (Corporate),Likelihood customers recommend the airline (-100..100).,score,24.7,26.78,VS-030,CAP-0021,family-7-outcome-intelligence/O01_business-metrics.csv,123,tenant_file
MET-0123,Workforce,CHRO,Employee Attrition Rate (Corporate),Annualized voluntary employee turnover.,%,86.9,81.89,VS-015,CAP-0066,family-7-outcome-intelligence/O01_business-metrics.csv,124,tenant_file
MET-0124,Commercial,CRO,Forecast Accuracy (Corporate),Demand forecast accuracy across the network.,%,94,108,VS-026,CAP-0115,family-7-outcome-intelligence/O01_business-metrics.csv,125,tenant_file
MET-0125,Finance,CFO,EBIT Margin (Corporate),Earnings before interest and tax as a percent of revenue.,%,77.4,90.86,VS-033,CAP-0082,family-7-outcome-intelligence/O01_business-metrics.csv,126,tenant_file
MET-0126,Finance,CFO,Days Sales Outstanding (Corporate),Average days to collect receivables.,days,46.9,44.72,VS-015,CAP-0023,family-7-outcome-intelligence/O01_business-metrics.csv,127,tenant_file
MET-0127,Customer,CIO,Digital Self-Service Rate (Corporate),Share of service interactions resolved without an agent.,%,94.6,103.39,VS-030,CAP-0106,family-7-outcome-intelligence/O01_business-metrics.csv,128,tenant_file
MET-0128,Technology,CIO,IT Spend as % of Revenue (Corporate),Total technology spend relative to revenue.,%,71.2,63.75,VS-015,CAP-0020,family-7-outcome-intelligence/O01_business-metrics.csv,129,tenant_file
MET-0129,Customer,CMO,First Contact Resolution (Corporate),Contact-center issues resolved on first contact.,%,65.5,70.24,VS-011,CAP-0111,family-7-outcome-intelligence/O01_business-metrics.csv,130,tenant_file
MET-0130,Corporate,CFO,Procurement Cost Savings (Corporate),Realized savings against addressable spend.,%,80.4,94.37,VS-008,CAP-0102,family-7-outcome-intelligence/O01_business-metrics.csv,131,tenant_file
MET-0131,Operations,COO,Safety Incident Rate (Corporate),Reportable safety incidents per 100k operations.,rate,2.06,1.92,VS-004,CAP-0091,family-7-outcome-intelligence/O01_business-metrics.csv,132,tenant_file
MET-0132,Risk,CIO,Cyber Mean-Time-to-Detect (Corporate),Average hours to detect a security incident.,hours,24.6,23.05,VS-036,CAP-0118,family-7-outcome-intelligence/O01_business-metrics.csv,133,tenant_file
MET-0133,Operations,COO,On-Time Performance % (Corporate),Flights departing/arriving within 15 minutes of schedule.,%,60,67.73,VS-020,CAP-0007,family-7-outcome-intelligence/O01_business-metrics.csv,134,tenant_file
MET-0134,Commercial,CRO,Load Factor % (Corporate),Revenue passenger-miles as a percent of available seat-miles.,%,68.7,76.6,VS-026,CAP-0060,family-7-outcome-intelligence/O01_business-metrics.csv,135,tenant_file
MET-0135,Finance,CFO,CASM (Corporate),Cost per Available Seat Mile.,cents,13.63,12.96,VS-035,CAP-0017,family-7-outcome-intelligence/O01_business-metrics.csv,136,tenant_file
MET-0136,Commercial,CRO,RASM (Corporate),Revenue per Available Seat Mile.,cents,12.03,12.63,VS-034,CAP-0115,family-7-outcome-intelligence/O01_business-metrics.csv,137,tenant_file
MET-0137,Operations,COO,Completion Factor % (Corporate),Percent of scheduled flights actually operated.,%,87.9,97.69,VS-020,CAP-0108,family-7-outcome-intelligence/O01_business-metrics.csv,138,tenant_file
MET-0138,Commercial,CRO,Ancillary Revenue per Pax (Corporate),Non-ticket revenue earned per passenger.,$,62.5,71.64,VS-002,CAP-0091,family-7-outcome-intelligence/O01_business-metrics.csv,139,tenant_file
MET-0139,Customer,COO,Mishandled Bags per 1000 (Corporate),Mishandled bag reports per 1000 passengers.,rate,8.11,7.47,VS-014,CAP-0081,family-7-outcome-intelligence/O01_business-metrics.csv,140,tenant_file
