persona_id,persona,name,modernization_thesis,top_3_concerns,what_would_change_their_mind,recent_public_statements_pattern,alignment_with_CTO,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated,tension_id,from_persona,to_persona,tension,decision_needed
SHA-EXEC-011,General Counsel,Priya Sethi,"Control AI, data rights, and vendor transition obligations.",value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
SHA-EXEC-012,SVP Procurement,Marcus Bell,"Use FY2027 windows to restructure IBM, AWS, and AI tooling economics.",value proof; operating risk; vendor leverage,"Evidence that the next wave has quantified value, lower dependency fragility, and accountable owners.","Executive-style synthetic statement, not a real target-carrier quote.",2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,row 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,,,,,
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 2,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-001,CEO,CIO,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 3,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-002,CFO,COO,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 4,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-003,CTO,CISO,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 5,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-004,CIO,CDO,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 6,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-005,COO,CHRO,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 7,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-006,CISO,Chief Customer,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 8,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-007,CDO,Chief TechOps,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 9,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-008,CHRO,General Counsel,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 10,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-009,Chief Customer,SVP Procurement,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 11,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-010,Chief TechOps,CEO,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-011,General Counsel,CFO,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-012,SVP Procurement,CTO,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-013,CEO,CIO,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-014,CFO,COO,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-015,CTO,CISO,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-016,CIO,CDO,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-017,COO,CHRO,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-018,CISO,Chief Customer,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-019,CDO,Chief TechOps,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-020,CHRO,General Counsel,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-021,Chief Customer,SVP Procurement,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-022,Chief TechOps,CEO,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 24,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-023,General Counsel,CFO,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 25,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-024,SVP Procurement,CTO,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 26,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-025,CEO,CIO,pace vs reliability,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 27,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-026,CFO,COO,vendor continuity vs leverage,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 28,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-027,CTO,CISO,projected value vs validated value,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
,,,,,,,,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S12_EXECUTIVE_DECISION_MAP,synthetic_comparable,source_uploads/executive_stakeholder_map.csv,tension 29,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27,SHA-TENSION-028,CIO,CDO,AI productivity vs code risk,"Use AbarVa to convert the tension into evidence, dissent, and a next-action recommendation."
