"tenant","storage_location","refreshed_at","page","tab","component","rendered_value","generated_by","deterministic_object","source_layer","source_files","claude_prompt_file","claude_response_file","notes"
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Evidence Gaps","Summary","Four high-severity gaps block every use case simultaneously: no certified medallion architecture, no formal data governance operating model, no certified semantic layer, and no patient/member identity spine. Three additional high-severity gaps are use-case-specific: provider contract terms are not digitized in governed form, transcript governance and intent taxonomy are uncertified, and SAS payment integrity model lineage is ungoverned. No realized value can be claimed until baselines and owner sign-off are in place.","Claude-authored executive consultant tool payload","narrative_sections.summary","canonical tenant inputs + evidence boundaries","00-18 canonical CSVs; 12_relationships.csv; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this value verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Use Cases","Summary","Seven enterprise use cases are identified and source-backed: unified clinical and claims lakehouse, governed AI/LLM foundation, call center optimization, provider quality and performance, end-to-end cost transparency, payment integrity and leakage reduction, and automated close and reporting. All are in planning stage. The lakehouse and AI/LLM governance use cases are foundational prerequisites for the remaining five. No use case has cleared its evidence gate.","Claude-authored executive consultant tool payload","narrative_sections.summary","canonical tenant inputs + evidence boundaries","00-18 canonical CSVs; 12_relationships.csv; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this value verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Use Cases","Portfolio view","All seven use cases are in planning stage. Lakehouse and AI/LLM governance are foundational prerequisites; close their evidence gates first. Cost transparency and payment integrity can advance in parallel once governance is established. Call center optimization and provider quality follow. Automated close depends on a certified finance semantic layer and is the final sequencing step.","Claude-authored executive consultant tool payload","narrative_sections.portfolio_view","canonical tenant inputs + evidence boundaries","00-18 canonical CSVs; 12_relationships.csv; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this value verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Proof","Summary","Nexus has assembled 147 evidence references spanning executive interviews, system records, risk and gap documentation, industry patterns, and data asset mappings. The evidence base confirms system inventory, use case intent, and a 24-item risk and gap register across all seven use cases. No evidence confirms production AI readiness, realized savings, a certified medallion architecture, or a formal data governance operating model. All value hypotheses remain planning-grade.","Claude-authored executive consultant tool payload","narrative_sections.summary","canonical tenant inputs + evidence boundaries","00-18 canonical CSVs; 12_relationships.csv; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this value verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Home / Knowledge","Proof","Relationship visual","{""title"":""Meridian Use Case Dependency Map"",""caption"":""Lakehouse and AI/LLM governance are the foundational layer — four of the remaining five use cases depend on their evidence closure. Cost transparency, payment integrity, call center optimization, and provider quality share platform and governance prerequisites. Automated close depends on a certified finance semantic layer."",""nodes"":[""Unified Clinical + Claims Lakehouse"",""Governed AI/LLM Foundation"",""End-to-End Cost Transparency"",""Payment Integrity & Leakage Reduction"",""Call Center Optimization"",""Provider Quality & Performance"",""Automated Close & Reporting"",""Epic Clarity / Caboodle"",""Claims Administration Platform"",""AWS + Databricks (Target)"",""Data Governance & Semantic Layer"",""Provider Contract Repository"",""Contact Center + CRM"",""GL & Close Reporting""],""edges"":[""Epic Clarity / Caboodle → Unified Clinical + Claims Lakehouse"",""Claims Administration Platform → Unified Clinical + Claims Lakehouse"",""AWS + Databricks (Target) → Unified Clinical + Claims Lakehouse"",""Unified Clinical + Claims Lakehouse → End-to-End Cost Transparency"",""Unified Clinical + Claims Lakehouse → Provider Quality & Performance"",""Data Governance & Semantic Layer → Governed AI/LLM Foundation"",""Data Governance & Semantic Layer → Automated Close & Reporting"",""Data Governance & Semantic Layer → End-to-End Cost Transparency"",""Claims Administration Platform → Payment Integrity & Leakage Reduction"",""Provider Contract Repository → End-to-End Cost Transparency"",""Provider Contract Repository → Provider Quality & Performance"",""Contact Center + CRM → Call Center Optimization"",""Claims Administration Platform → Call Center Optimization"",""GL & Close Reporting → Automated Close & Reporting""]}","Claude-authored executive consultant tool payload","narrative_sections.relationship_visual","canonical tenant inputs + evidence boundaries","00-18 canonical CSVs; 12_relationships.csv; 13_evidence_sources.csv","reports/home-knowledge-design-contract/actual-claude-overview-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response-overview.json","Renderer displays this value verbatim."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Enterprise Profile","Summary","Story card","{""meaning"":""Meridian's enterprise profile is half-evidenced: organizational identity is confirmed, but the operating-model sizing assumptions that underpin every use-case business case are low-confidence and unattested by Finance."",""observed"":""Two active profile rows exist — one high-confidence identity record and one low-confidence planning-assumption record. No owners, systems, or use-case linkages are registered. Confidence split is 50/50."",""matters"":""Every downstream dimension — lakehouse, AI governance, cost transparency, payment integrity, call center — inherits its scale and scope assumptions from this profile. An unvalidated profile propagates planning risk across all seven use cases and all C-suite investment decisions."",""supports"":""Closing the profile evidence gap is the prerequisite gate before any use-case value quantification can be presented to the CFO or Board as decision-grade.""}","Claude-authored tool payload","design_slots.STORY.profile","canonical dimension rows + cross-dimension context","00_enterprise_profile.csv — standard-2026-07-v3, refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays this dimension story without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Enterprise Profile","Summary","Insight breakdown","{""findings"":[""Profile confidence is split 50/50: the organizational identity is high-confidence, but the operating-model sizing assumptions driving all use-case business cases are low-confidence and finance-unattested — creating a planning risk that cascades across all seven use cases."",""No owners, systems, or use-case linkages are registered against the profile dimension, meaning accountability for evidence closure is unassigned and no escalation path exists."",""AWS and Databricks are recorded as target-state direction only; no certified platform foundation evidence is loaded, so profile-level scale assumptions cannot be validated against an actual infrastructure baseline."",""Until Finance attests the operating-model sizing assumptions, no use-case ROI projection — lakehouse, AI/LLM, payment integrity, cost transparency, or call center — can be presented as decision-grade to the CFO or Board.""],""breakdown"":{""title"":""Profile Evidence Confidence Breakdown"",""rows"":[{""label"":""Total Profile Rows"",""value"":""2"",""note"":""Both rows active; zero candidate rows""},{""label"":""High-Confidence Rows"",""value"":""1 (50%)"",""note"":""Organizational identity — MER-V3-EVID-0001""},{""label"":""Low-Confidence Rows"",""value"":""1 (50%)"",""note"":""Operating-model sizing assumptions — MER-V3-EVID-0500""},{""label"":""Registered Owners"",""value"":""0"",""note"":""No accountability assigned for evidence closure""},{""label"":""Dimension Status"",""value"":""Needs-Evidence"",""note"":""Blocks downstream use-case value quantification""}]}}","Claude-authored tool payload","design_slots.INSIGHTS.profile","canonical dimension rows + cross-dimension context","00_enterprise_profile.csv — standard-2026-07-v3, refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Renderer displays this insight structure without prose rewriting."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Enterprise Profile","Summary","Visual blocks","{""type"":""evidence_bar"",""title"":""Profile Dimension Evidence Confidence"",""subtitle"":""2 active rows — confidence split blocks decision-grade use-case sizing"",""data"":{""bars"":[{""label"":""High Confidence — Org Identity (MER-V3-EVID-0001)"",""value"":1,""max"":2,""pct"":""50%"",""status"":""source-backed"",""note"":""Organizational identity confirmed""},{""label"":""Low Confidence — Planning Assumptions (MER-V3-EVID-0500)"",""value"":1,""max"":2,""pct"":""50%"",""status"":""needs-evidence"",""note"":""Finance attestation and client validation required""}],""overall_status"":""needs-evidence"",""overall_pct"":""50%"",""gate"":""Finance attestation of MER-V3-EVID-0500 required before any use-case ROI is decision-grade""}}","Claude-authored visual block payload","design_slots.VISUAL_BLOCKS.profile","canonical dimension rows + cross-dimension context","00_enterprise_profile.csv — standard-2026-07-v3, refreshed 2026-07-17","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Cards, charts, graphs, and dashboard panels render from this structure."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Enterprise Profile","Data","Rows","2 rows render from approved pack with search/filter controls
1. {""business_name"":""Meridian Health System"",""industry"":""Healthcare"",""tenant_archetype"":""Integrated delivery network and health plan"",""summary"":""Medium-to-large health organization with clinical delivery, health-plan operations, finance, and analytics modernization needs."",""confidence"":""high"",""context_item"":""Meridian Health System"",""dimension"":""00_enterprise_profile"",""evidence_id"":""MER-V3-EVID-0001"",""active_candidate_status"":""active""}
2. {""business_name"":""Meridian Health System profile sizing and operating-model planning assumptions"",""industry"":""Needs evidence"",""tenant_archetype"":""Needs evidence"",""summary"":""Profile sizing, geography, leadership, and strategy fields are included as explicit synthetic planning assumptions so downstream modules can render complete demo context without treating these values as client-attested facts."",""confidence"":""low"",""context_item"":""Meridian Health System profile sizing and operating-model planning assumptions"",""dimension"":""00_enterprise_profile"",""evidence_id"":""MER-V3-EVID-0500"",""active_candidate_status"":""active""}","Deterministic full-row projection from canonical CSV","design_slots.DATA.profile","canonical tenant input rows","00_enterprise_profile.csv — standard-2026-07-v3, refreshed 2026-07-17","not_applicable","not_applicable","Review table previews five rows; UI has the full row set and filters."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Enterprise Profile","Relationships","Relationship story","{""chain"":[""profile → lakehouse (scale and scope assumptions feed patient/member volume sizing)"",""profile → AI/LLM governance (operating-model assumptions drive automation ROI baseline)"",""profile → cost transparency (profile sizing underpins claims, capitation, and margin model inputs)"",""profile → payment integrity (leakage quantification depends on attested claims volume assumptions)"",""profile → call center optimization (member population size drives AHT and containment value models)""],""note"":""The profile dimension is the root node for all five top use cases. A low-confidence, finance-unattested operating-model assumption at this layer propagates planning uncertainty into every downstream business case, blocking decision-grade investment approval across the entire Nexus roadmap.""}","Claude-authored relationship interpretation","design_slots.REL.profile","canonical relationship rows plus source dimension","00_enterprise_profile.csv — standard-2026-07-v3, refreshed 2026-07-17; 12_relationships.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Relationship interpretation remains evidence-bounded."
"meridian-health","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","2026-07-17T20:51:50.347Z","Enterprise Dimensions / Enterprise Profile","Gaps","Dimension gaps","{""missing"":""Finance attestation of operating-model sizing assumptions (MER-V3-EVID-0500)"",""blocks"":""All use-case ROI projections presented to CFO or Board"",""needed"":""CFO or Finance lead sign-off on scale, volume, and cost-base assumptions"",""handoff"":""Assign a Finance owner to MER-V3-EVID-0500 and schedule attestation review within the next planning sprint""}; {""missing"":""Registered dimension owners and system linkages"",""blocks"":""Evidence closure accountability and escalation path"",""needed"":""Named owner (CDAO office or Enterprise Data team) registered against the profile dimension"",""handoff"":""CDAO to designate a profile dimension steward before the next executive steering review""}; {""missing"":""Certified AWS / Databricks platform foundation evidence"",""blocks"":""Validation of profile-level infrastructure scale assumptions"",""needed"":""Platform readiness evidence artifact confirming target-state foundation status"",""handoff"":""CIO / infrastructure lead to produce a platform readiness attestation tied to the profile planning assumptions""}; {""missing"":""Use-case linkages from profile to all seven downstream dimensions"",""blocks"":""Traceability from enterprise scope to individual use-case business cases"",""needed"":""Formal mapping of profile assumptions to each use-case evidence bundle"",""handoff"":""Nexus dimension steward to register use-case linkages in the next metadata refresh cycle""}","Claude-authored gap synthesis","design_slots.DGAPS.profile","canonical gaps, risks, metrics, and evidence boundaries","00_enterprise_profile.csv — standard-2026-07-v3, refreshed 2026-07-17; 11_risks_controls.csv; 13_evidence_sources.csv; 14_metrics_outcomes.csv","reports/home-knowledge-design-contract/actual-claude-prompt.txt","reports/home-knowledge-design-contract/raw-claude-response.json","Generator fails if this slot is empty."
