source_file_id,source_system,source_file,source_path,source_type,display_name,target_table,feature,row_count,confidence,freshness_status
SRC-CLAUDE-001,packet_18_apex_synthetic,claude-enterprise-utilization.csv,13-context/source-files/src-claude-001.md,ai_tools,Claude utilization,enterprise_context_source_files,ai_productivity_value,1,0.92,fresh
SRC-SPONSOR-001,packet_18_apex_synthetic,sponsor-pulse-2026q1.json,13-context/source-files/src-sponsor-001.md,sponsor,Sponsor pulse,enterprise_context_source_files,watchlist_kill_fitness,1,0.92,fresh
SRC-CADENCE-001,packet_18_apex_synthetic,steering-meeting-cadence.csv,13-context/source-files/src-cadence-001.md,sponsor,Steering cadence,enterprise_context_source_files,sponsor_reasoning,1,0.92,fresh
SRC-STATUS-001,packet_18_apex_synthetic,sponsor-status-update-log.csv,13-context/source-files/src-status-001.md,sponsor,Sponsor status updates,enterprise_context_source_files,sponsor_reasoning,1,0.92,fresh
SRC-INCIDENT-001,packet_18_apex_synthetic,major-incidents-2025.csv,13-context/source-files/src-incident-001.md,ops,Major incidents,enterprise_context_source_files,operability_risk,1,0.92,fresh
SRC-PROBLEM-001,packet_18_apex_synthetic,problem-records.csv,13-context/source-files/src-problem-001.md,ops,Problem records,enterprise_context_source_files,operability_risk,1,0.92,fresh
SRC-CHANGE-001,packet_18_apex_synthetic,change-management-feed-6mo.csv,13-context/source-files/src-change-001.md,ops,Change feed,enterprise_context_source_files,delivery_risk,1,0.92,fresh
SRC-REG-001,packet_18_apex_synthetic,regulatory-scope.json,13-context/source-files/src-reg-001.md,risk,Regulatory scope,enterprise_context_source_files,control_reasoning,1,0.92,fresh
SRC-BENCH-001,packet_18_apex_synthetic,industry-benchmarks-specialty-retail.json,13-context/source-files/src-bench-001.md,benchmarks,Industry benchmarks,enterprise_context_source_files,benchmark_grounding,1,0.92,fresh
SRC-PEER-001,packet_18_apex_synthetic,peer-comparison-anonymized.json,13-context/source-files/src-peer-001.md,benchmarks,Peer comparison,enterprise_context_source_files,benchmark_grounding,1,0.92,fresh
SRC-KYNDRYL-001,packet_18_apex_synthetic,kyndryl-mainframe-as400-ams-2023-2028.pdf,13-context/source-files/src-kyndryl-001.md,contract,Kyndryl AMS contract,enterprise_context_source_files,source_contract_extract,1,0.92,fresh
SRC-WIPRO-001,packet_18_apex_synthetic,wipro-distributed-ams-2024-2028.pdf,13-context/source-files/src-wipro-001.md,contract,Wipro AMS contract,enterprise_context_source_files,source_contract_extract,1,0.92,fresh
SRC-TCS-001,packet_18_apex_synthetic,tcs-sap-erp-future-decision-scoping-sow.pdf,13-context/source-files/src-tcs-001.md,contract,TCS ERP SOW,enterprise_context_source_files,source_contract_extract,1,0.92,fresh
SRC-SAP-001,packet_18_apex_synthetic,sap-ecc-extended-maintenance-2027-2030.pdf,13-context/source-files/src-sap-001.md,contract,SAP ECC maintenance,enterprise_context_source_files,erp_decision,1,0.92,fresh
SRC-SF-001,packet_18_apex_synthetic,salesforce-commerce-cloud-msa-with-einstein-rider.pdf,13-context/source-files/src-sf-001.md,contract,Salesforce Commerce Cloud MSA,enterprise_context_source_files,commerce_ai_activation,1,0.92,fresh
SRC-PUNCHH-001,packet_18_apex_synthetic,punchh-loyalty-platform-msa.pdf,13-context/source-files/src-punchh-001.md,contract,Punchh MSA,enterprise_context_source_files,watchlist_kill_fitness,1,0.92,fresh
SRC-O9-001,packet_18_apex_synthetic,o9-demand-planning-sow.pdf,13-context/source-files/src-o9-001.md,contract,o9 SOW,enterprise_context_source_files,watchlist_restructure,1,0.92,fresh
SRC-CHARTER-SAP,packet_18_apex_synthetic,sap-erp-future-decision-charter.pdf,13-context/source-files/src-charter-sap.md,charter,SAP ERP charter,enterprise_context_source_files,move_charter,1,0.92,fresh
SRC-CHARTER-PUNCHH,packet_18_apex_synthetic,punchh-loyalty-replacement-charter.pdf,13-context/source-files/src-charter-punchh.md,charter,Punchh charter,enterprise_context_source_files,move_charter,1,0.92,fresh
SRC-CHARTER-AI,packet_18_apex_synthetic,ai-productivity-program-charter.pdf,13-context/source-files/src-charter-ai.md,charter,AI productivity charter,enterprise_context_source_files,move_charter,1,0.92,fresh
SRC-WATCHLIST-001,packet_18_apex_synthetic,expected-watchlist-entries.json,13-context/source-files/src-watchlist-001.md,verification,Watchlist expected entries,enterprise_context_source_files,verification,1,0.92,fresh
SRC-SENTINEL-001,packet_18_apex_synthetic,expected-sentinel-answers.json,13-context/source-files/src-sentinel-001.md,verification,Sentinel canonical questions,enterprise_context_source_files,verification,1,0.92,fresh
