value_id,source_initiative_id,value_type,promised_amount,realized_amount,disputed_amount,evidence_status,validation_owner,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-VAL-011,SHA-INIT-011,customer_NPS,8900000,2225000,6675000,disputed,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-012,SHA-INIT-012,employee_productivity,9290000,7617800,0,validated,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-013,SHA-INIT-013,cost_savings,9680000,4162400,0,partial,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-014,SHA-INIT-014,revenue_uplift,10070000,8257400,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-015,SHA-INIT-015,risk_reduction,10460000,0,10460000,stuck,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-016,SHA-INIT-016,cycle_time,10850000,2712500,8137500,disputed,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-017,SHA-INIT-017,customer_NPS,11240000,9216800,0,validated,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-018,SHA-INIT-018,employee_productivity,11630000,9536600,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-019,SHA-INIT-019,cost_savings,12020000,5168600,0,partial,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-020,SHA-INIT-020,revenue_uplift,12410000,10176200,0,validated,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-021,SHA-INIT-021,risk_reduction,12800000,3200000,9600000,disputed,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-022,SHA-INIT-022,cycle_time,13190000,0,13190000,stuck,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-023,SHA-INIT-023,customer_NPS,13580000,11135600,0,validated,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 24,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-024,SHA-INIT-024,employee_productivity,13970000,11455400,0,validated,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 25,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-025,SHA-INIT-025,cost_savings,14360000,6174800,0,partial,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 26,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-026,SHA-INIT-026,revenue_uplift,14750000,3687500,11062500,disputed,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 27,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-027,SHA-INIT-027,risk_reduction,15140000,12414800,0,validated,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 28,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-028,SHA-INIT-028,cycle_time,15530000,6677900,0,partial,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 29,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-029,SHA-INIT-029,customer_NPS,15920000,0,15920000,stuck,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 30,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-030,SHA-INIT-030,employee_productivity,16310000,13374200,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 31,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-031,SHA-INIT-031,cost_savings,16700000,4175000,12525000,disputed,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 32,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-032,SHA-INIT-032,revenue_uplift,17090000,14013800,0,validated,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 33,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-033,SHA-INIT-033,risk_reduction,17480000,14333600,0,validated,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 34,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-034,SHA-INIT-034,cycle_time,17870000,7684100,0,partial,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 35,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-035,SHA-INIT-035,customer_NPS,18260000,14973200,0,validated,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 36,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-036,SHA-INIT-036,employee_productivity,18650000,0,18650000,stuck,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 37,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-037,SHA-INIT-037,cost_savings,19040000,8187200,0,partial,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 38,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-038,SHA-INIT-038,revenue_uplift,19430000,15932600,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 39,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-039,SHA-INIT-001,risk_reduction,19820000,16252400,0,validated,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 40,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-040,SHA-INIT-002,cycle_time,20210000,8690300,0,partial,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 41,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-041,SHA-INIT-003,customer_NPS,20600000,5150000,15450000,disputed,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 42,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-042,SHA-INIT-004,employee_productivity,20990000,17211800,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 43,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-043,SHA-INIT-005,cost_savings,21380000,0,21380000,stuck,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 44,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-044,SHA-INIT-006,revenue_uplift,21770000,17851400,0,validated,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 45,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-045,SHA-INIT-007,risk_reduction,22160000,18171200,0,validated,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 46,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-046,SHA-INIT-008,cycle_time,22550000,5637500,16912500,disputed,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 47,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-047,SHA-INIT-009,customer_NPS,22940000,18810800,0,validated,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 48,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-048,SHA-INIT-010,employee_productivity,23330000,19130600,0,validated,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 49,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-049,SHA-INIT-011,cost_savings,23720000,10199600,0,partial,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 50,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-050,SHA-INIT-012,revenue_uplift,24110000,0,24110000,stuck,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 51,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-051,SHA-INIT-013,risk_reduction,24500000,6125000,18375000,disputed,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 52,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-052,SHA-INIT-014,cycle_time,24890000,10702700,0,partial,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 53,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-053,SHA-INIT-015,customer_NPS,25280000,20729600,0,validated,CFO FP&A,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 54,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-054,SHA-INIT-016,employee_productivity,25670000,21049400,0,validated,Modernization PMO,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 55,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-055,SHA-INIT-017,cost_savings,26060000,11205800,0,partial,Operations Finance,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 56,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-VAL-056,SHA-INIT-018,revenue_uplift,26450000,6612500,19837500,disputed,Procurement Analytics,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S13_VALUE_LEDGER,synthetic_comparable,source_uploads/value_realization_tracker.xlsx,row 57,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
