opportunity_id,category,domain,current_baseline_metric,target_metric,AI_tooling_candidate,risk_class,readiness_score,guardrail,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-AISDLC-011,test_generation,MRO Tech,160 SME hours per workload analysis,90 SME hours per analysis,IBM watsonx Code Assistant,high,1,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 12,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-012,doc_extraction,Cargo,67 regression test days per release,35 regression test days,Amazon Q Developer,low,2,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 13,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-013,refactor_assistance,Finance IT,168 SME hours per workload analysis,94 SME hours per analysis,GitHub Copilot Enterprise,medium,3,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 14,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-014,API_contract_gen,GCC Delivery,71 regression test days per release,37 regression test days,Cursor Enterprise,low,4,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 15,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-015,code_review,Modernization Factory,176 SME hours per workload analysis,98 SME hours per analysis,Tabnine Enterprise,low,5,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 16,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-016,security_scan,DevEx Tooling,75 regression test days per release,39 regression test days,IBM watsonx Code Assistant,high,1,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 17,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-017,COBOL_analysis,Mobile Digital,184 SME hours per workload analysis,102 SME hours per analysis,Amazon Q Developer,low,2,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-018,dependency_mining,Web Booking,79 regression test days per release,41 regression test days,GitHub Copilot Enterprise,low,3,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-019,test_generation,Mainframe Core,192 SME hours per workload analysis,106 SME hours per analysis,Cursor Enterprise,medium,4,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-020,doc_extraction,Crew Systems,83 regression test days per release,43 regression test days,Tabnine Enterprise,low,5,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-021,refactor_assistance,Airport Ops,200 SME hours per workload analysis,110 SME hours per analysis,IBM watsonx Code Assistant,high,1,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-AISDLC-022,API_contract_gen,Baggage,87 regression test days per release,45 regression test days,Amazon Q Developer,medium,2,"Human review, generated-test traceability, code provenance, security scan, and rollback evidence required before production use.",6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S11_AI_SDLC_OPPORTUNITY,synthetic_comparable,source_uploads/ai_sdlc_opportunity_assessment.csv,row 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
