tenant_key,module,page,claim_id,claim_kind,label,gate_status,realized_value_language_allowed,reason,required_evidence,projection_evidence_ids,source_fact_id,source_dimension,active_source_file,active_source_row,active_source_data_row,active_record_id,active_evidence_id,active_confidence,active_source_type,active_source_basis,active_evidence_boundary,active_business_name,active_financial_fact_type,active_program_code,active_initiative_id,standard_template_file,standard_template_row,standard_template_status,lineage_status
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-11,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-11-evidence,meridian-health-08_spend_value-08_spend_value-row-11,08_spend_value,08_it_budget_spend_value.csv,12,11,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0004,MER-SA07-INT-EVID-0004,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Provider quality and performance,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,12,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-12,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-12-evidence,meridian-health-08_spend_value-08_spend_value-row-12,08_spend_value,08_it_budget_spend_value.csv,13,12,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0005,MER-SA07-INT-EVID-0005,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: End-to-end cost transparency,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,13,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-13,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-13-evidence,meridian-health-08_spend_value-08_spend_value-row-13,08_spend_value,08_it_budget_spend_value.csv,14,13,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0006,MER-SA07-INT-EVID-0006,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Payment integrity and leakage reduction,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,14,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-14,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-14-evidence,meridian-health-08_spend_value-08_spend_value-row-14,08_spend_value,08_it_budget_spend_value.csv,15,14,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0007,MER-SA07-INT-EVID-0007,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Automated close and reporting,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,15,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-15,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-15-evidence,meridian-health-08_spend_value-08_spend_value-row-15,08_spend_value,08_it_budget_spend_value.csv,16,15,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0008,MER-SA07-INT-EVID-0008,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,16,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-16,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-16-evidence,meridian-health-08_spend_value-08_spend_value-row-16,08_spend_value,08_it_budget_spend_value.csv,17,16,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0009,MER-SA07-INT-EVID-0009,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,17,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-17,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-17-evidence,meridian-health-08_spend_value-08_spend_value-row-17,08_spend_value,08_it_budget_spend_value.csv,18,17,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0010,MER-SA07-INT-EVID-0010,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Call center optimization,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,18,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-18,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-18-evidence,meridian-health-08_spend_value-08_spend_value-row-18,08_spend_value,08_it_budget_spend_value.csv,19,18,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0011,MER-SA07-INT-EVID-0011,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: Provider quality and performance,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,19,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-19,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-19-evidence,meridian-health-08_spend_value-08_spend_value-row-19,08_spend_value,08_it_budget_spend_value.csv,20,19,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0012,MER-SA07-INT-EVID-0012,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CEO / Enterprise Strategy: End-to-end cost transparency,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,20,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-20,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-20-evidence,meridian-health-08_spend_value-08_spend_value-row-20,08_spend_value,08_it_budget_spend_value.csv,21,20,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0013,MER-SA07-INT-EVID-0013,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,21,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-21,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-21-evidence,meridian-health-08_spend_value-08_spend_value-row-21,08_spend_value,08_it_budget_spend_value.csv,22,21,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0014,MER-SA07-INT-EVID-0014,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Call center optimization,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,22,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-22,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-22-evidence,meridian-health-08_spend_value-08_spend_value-row-22,08_spend_value,08_it_budget_spend_value.csv,23,22,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0015,MER-SA07-INT-EVID-0015,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Provider quality and performance,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,23,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-23,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-23-evidence,meridian-health-08_spend_value-08_spend_value-row-23,08_spend_value,08_it_budget_spend_value.csv,24,23,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0016,MER-SA07-INT-EVID-0016,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: End-to-end cost transparency,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,24,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-24,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-24-evidence,meridian-health-08_spend_value-08_spend_value-row-24,08_spend_value,08_it_budget_spend_value.csv,25,24,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0017,MER-SA07-INT-EVID-0017,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Payment integrity and leakage reduction,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,25,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-25,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-25-evidence,meridian-health-08_spend_value-08_spend_value-row-25,08_spend_value,08_it_budget_spend_value.csv,26,25,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0018,MER-SA07-INT-EVID-0018,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Automated close and reporting,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,26,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-26,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-26-evidence,meridian-health-08_spend_value-08_spend_value-row-26,08_spend_value,08_it_budget_spend_value.csv,27,26,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0019,MER-SA07-INT-EVID-9019,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: AI Benefits Realization Ledger,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,27,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-27,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-27-evidence,meridian-health-08_spend_value-08_spend_value-row-27,08_spend_value,08_it_budget_spend_value.csv,28,27,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0020,MER-SA07-INT-EVID-9020,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,Chief Experience Officer / Member Experience: Member Service Agent Assist Transformation,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,28,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-28,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-28-evidence,meridian-health-08_spend_value-08_spend_value-row-28,08_spend_value,08_it_budget_spend_value.csv,29,28,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0021,MER-SA07-INT-EVID-9021,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CISO / Security: AI Governance / Model Risk Controls,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,29,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-29,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-29-evidence,meridian-health-08_spend_value-08_spend_value-row-29,08_spend_value,08_it_budget_spend_value.csv,30,29,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0022,MER-SA07-INT-EVID-9022,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,Contact Center / Member Service Operations: Contact Center Platform / Knowledge Modernization,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,30,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-30,measured_value,measured value,blocked,false,"Realized value requires finance-attested measured evidence. Until then, Tower must describe the row as a plan, forecast, promise, or measurement-readiness signal.",finance-attested actual value extract; v3 canonical fact reconciliation; source-owner attestation; measurement period and formula lineage; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-30-evidence,meridian-health-08_spend_value-08_spend_value-row-30,08_spend_value,08_it_budget_spend_value.csv,31,30,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0023,MER-SA07-INT-EVID-9023,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: FY26 AI spend governance,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,31,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-31,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-31-evidence,meridian-health-08_spend_value-08_spend_value-row-31,08_spend_value,08_it_budget_spend_value.csv,32,31,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0024,MER-SA07-INT-EVID-0024,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CFO / Finance & Value: Payment integrity and leakage reduction,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,32,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-32,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-32-evidence,meridian-health-08_spend_value-08_spend_value-row-32,08_spend_value,08_it_budget_spend_value.csv,33,32,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0025,MER-SA07-INT-EVID-0025,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Call center optimization,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,33,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-33,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-33-evidence,meridian-health-08_spend_value-08_spend_value-row-33,08_spend_value,08_it_budget_spend_value.csv,34,33,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0026,MER-SA07-INT-EVID-0026,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Provider quality and performance,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,34,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-34,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-34-evidence,meridian-health-08_spend_value-08_spend_value-row-34,08_spend_value,08_it_budget_spend_value.csv,35,34,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0027,MER-SA07-INT-EVID-0027,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: End-to-end cost transparency,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,35,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-35,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-35-evidence,meridian-health-08_spend_value-08_spend_value-row-35,08_spend_value,08_it_budget_spend_value.csv,36,35,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0028,MER-SA07-INT-EVID-0028,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Payment integrity and leakage reduction,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,36,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-36,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-36-evidence,meridian-health-08_spend_value-08_spend_value-row-36,08_spend_value,08_it_budget_spend_value.csv,37,36,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0029,MER-SA07-INT-EVID-0029,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Automated close and reporting,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,37,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-37,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-37-evidence,meridian-health-08_spend_value-08_spend_value-row-37,08_spend_value,08_it_budget_spend_value.csv,38,37,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0030,MER-SA07-INT-EVID-0030,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Unified clinical + claims lakehouse,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,38,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-38,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-38-evidence,meridian-health-08_spend_value-08_spend_value-row-38,08_spend_value,08_it_budget_spend_value.csv,39,38,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0031,MER-SA07-INT-EVID-0031,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Governed data foundation for AI / LLM automation,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,39,found,found
meridian-health,tower,tower,tower-claim-meridian-health-08_spend_value-08_spend_value-row-39,value_hypothesis,ai budget spend,caveated,false,"The value can be shown as planned, promised, or forecast value, but not as realized value.",business-case owner; baseline assumption; measurement plan; citable evidence reference,meridian-health-08_spend_value-08_spend_value-row-39-evidence,meridian-health-08_spend_value-08_spend_value-row-39,08_spend_value,08_it_budget_spend_value.csv,40,39,MER-SA07-08_IT_BUDGET_SPEND_VALUE-0032,MER-SA07-INT-EVID-0032,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo_phi_free_planning_grade,CIO / Enterprise Technology: Call center optimization,narrative_value_hypothesis,,,08_it_budget_spend_value.csv,40,found,found
