app_id,name,vendor,category,business_owner,it_owner,deployment,lifecycle_stage,criticality,run_cost_fy25_usd,primary_dataclass,integration_count,last_modernization_review,ai_eligibility_score,notes
FCF-APP-DATA-PLATFORM-031,First Capital Data Platform Service 031,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,maintain,medium,4597000,confidential,57,2026-05-15,0.61,data platform workload in the First Capital context layer; maintain posture with Snowflake dependency and cloud deployment.
FCF-APP-CYBERSECURITY-032,First Capital Cybersecurity Service 032,Palo Alto Networks,cybersecurity,CISO,TEAM-FCF-CYBER,saas,maintain,low,4734000,restricted,64,2026-06-15,0.74,cybersecurity workload in the First Capital context layer; maintain posture with Palo Alto Networks dependency and saas deployment.
FCF-APP-ERP-FINANCE-033,First Capital Erp Finance Service 033,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,migrate,high,4871000,confidential,71,2026-07-15,0.87,erp finance workload in the First Capital context layer; migrate posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-034,First Capital Branch Atm Service 034,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,retire,medium,5008000,confidential,78,2026-08-15,0.28,branch atm workload in the First Capital context layer; retire posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-035,First Capital Contact Center Service 035,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,restructure,low,5145000,confidential,85,2026-09-15,0.41,contact center workload in the First Capital context layer; restructure posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-036,First Capital Model Risk Service 036,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,maintain,critical,5282000,restricted,8,2026-01-15,0.54,model risk workload in the First Capital context layer; maintain posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-037,First Capital Core Banking Service 037,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,maintain,medium,5419000,confidential,15,2026-02-15,0.67,core banking workload in the First Capital context layer; maintain posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-038,First Capital Payments Service 038,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,maintain,low,5556000,confidential,22,2026-03-15,0.8,payments workload in the First Capital context layer; maintain posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-039,First Capital Digital Banking Service 039,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,maintain,high,5693000,pii_confidential,29,2026-04-15,0.21,digital banking workload in the First Capital context layer; maintain posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-040,First Capital Commercial Lending Service 040,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,invest,medium,5830000,confidential,36,2026-05-15,0.34,commercial lending workload in the First Capital context layer; invest posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-041,First Capital Wealth Service 041,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,maintain,low,5967000,confidential,43,2026-06-15,0.47,wealth workload in the First Capital context layer; maintain posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-042,First Capital Financial Crimes Service 042,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,restructure,high,6104000,confidential,50,2026-07-15,0.6,financial crimes workload in the First Capital context layer; restructure posture with NICE dependency and hybrid deployment.
FCF-APP-DATA-PLATFORM-043,First Capital Data Platform Service 043,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,maintain,medium,6241000,confidential,57,2026-08-15,0.73,data platform workload in the First Capital context layer; maintain posture with Snowflake dependency and cloud deployment.
FCF-APP-CYBERSECURITY-044,First Capital Cybersecurity Service 044,Palo Alto Networks,cybersecurity,CISO,TEAM-FCF-CYBER,saas,migrate,low,6378000,restricted,64,2026-09-15,0.86,cybersecurity workload in the First Capital context layer; migrate posture with Palo Alto Networks dependency and saas deployment.
FCF-APP-ERP-FINANCE-045,First Capital Erp Finance Service 045,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,invest,critical,6515000,confidential,71,2026-01-15,0.27,erp finance workload in the First Capital context layer; invest posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-046,First Capital Branch Atm Service 046,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,maintain,medium,6652000,confidential,78,2026-02-15,0.4,branch atm workload in the First Capital context layer; maintain posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-047,First Capital Contact Center Service 047,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,maintain,low,389000,confidential,85,2026-03-15,0.53,contact center workload in the First Capital context layer; maintain posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-048,First Capital Model Risk Service 048,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,maintain,high,526000,restricted,8,2026-04-15,0.66,model risk workload in the First Capital context layer; maintain posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-049,First Capital Core Banking Service 049,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,restructure,medium,663000,confidential,15,2026-05-15,0.79,core banking workload in the First Capital context layer; restructure posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-050,First Capital Payments Service 050,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,invest,low,800000,confidential,22,2026-06-15,0.2,payments workload in the First Capital context layer; invest posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-051,First Capital Digital Banking Service 051,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,retire,high,937000,pii_confidential,29,2026-07-15,0.33,digital banking workload in the First Capital context layer; retire posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-052,First Capital Commercial Lending Service 052,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,maintain,medium,1074000,confidential,36,2026-08-15,0.46,commercial lending workload in the First Capital context layer; maintain posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-053,First Capital Wealth Service 053,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,maintain,low,1211000,confidential,43,2026-09-15,0.59,wealth workload in the First Capital context layer; maintain posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-054,First Capital Financial Crimes Service 054,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,maintain,critical,1348000,confidential,50,2026-01-15,0.72,financial crimes workload in the First Capital context layer; maintain posture with NICE dependency and hybrid deployment.
FCF-APP-DATA-PLATFORM-055,First Capital Data Platform Service 055,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,migrate,medium,1485000,confidential,57,2026-02-15,0.85,data platform workload in the First Capital context layer; migrate posture with Snowflake dependency and cloud deployment.
FCF-APP-CYBERSECURITY-056,First Capital Cybersecurity Service 056,Palo Alto Networks,cybersecurity,CISO,TEAM-FCF-CYBER,saas,restructure,low,1622000,restricted,64,2026-03-15,0.26,cybersecurity workload in the First Capital context layer; restructure posture with Palo Alto Networks dependency and saas deployment.
FCF-APP-ERP-FINANCE-057,First Capital Erp Finance Service 057,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,maintain,high,1759000,confidential,71,2026-04-15,0.39,erp finance workload in the First Capital context layer; maintain posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-058,First Capital Branch Atm Service 058,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,maintain,medium,1896000,confidential,78,2026-05-15,0.52,branch atm workload in the First Capital context layer; maintain posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-059,First Capital Contact Center Service 059,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,maintain,low,2033000,confidential,85,2026-06-15,0.65,contact center workload in the First Capital context layer; maintain posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-060,First Capital Model Risk Service 060,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,invest,high,2170000,restricted,8,2026-07-15,0.78,model risk workload in the First Capital context layer; invest posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-061,First Capital Core Banking Service 061,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,maintain,medium,2307000,confidential,15,2026-08-15,0.19,core banking workload in the First Capital context layer; maintain posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-062,First Capital Payments Service 062,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,maintain,low,2444000,confidential,22,2026-09-15,0.32,payments workload in the First Capital context layer; maintain posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-063,First Capital Digital Banking Service 063,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,restructure,critical,2581000,pii_confidential,29,2026-01-15,0.45,digital banking workload in the First Capital context layer; restructure posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-064,First Capital Commercial Lending Service 064,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,maintain,medium,2718000,confidential,36,2026-02-15,0.58,commercial lending workload in the First Capital context layer; maintain posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-065,First Capital Wealth Service 065,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,invest,low,2855000,confidential,43,2026-03-15,0.71,wealth workload in the First Capital context layer; invest posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-066,First Capital Financial Crimes Service 066,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,migrate,high,2992000,confidential,50,2026-04-15,0.84,financial crimes workload in the First Capital context layer; migrate posture with NICE dependency and hybrid deployment.
FCF-APP-DATA-PLATFORM-067,First Capital Data Platform Service 067,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,maintain,medium,3129000,confidential,57,2026-05-15,0.25,data platform workload in the First Capital context layer; maintain posture with Snowflake dependency and cloud deployment.
FCF-APP-CYBERSECURITY-068,First Capital Cybersecurity Service 068,Palo Alto Networks,cybersecurity,CISO,TEAM-FCF-CYBER,saas,retire,low,3266000,restricted,64,2026-06-15,0.38,cybersecurity workload in the First Capital context layer; retire posture with Palo Alto Networks dependency and saas deployment.
FCF-APP-ERP-FINANCE-069,First Capital Erp Finance Service 069,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,maintain,high,3403000,confidential,71,2026-07-15,0.51,erp finance workload in the First Capital context layer; maintain posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-070,First Capital Branch Atm Service 070,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,restructure,medium,3540000,confidential,78,2026-08-15,0.64,branch atm workload in the First Capital context layer; restructure posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-071,First Capital Contact Center Service 071,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,maintain,low,3677000,confidential,85,2026-09-15,0.77,contact center workload in the First Capital context layer; maintain posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-072,First Capital Model Risk Service 072,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,maintain,critical,3814000,restricted,8,2026-01-15,0.18,model risk workload in the First Capital context layer; maintain posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-073,First Capital Core Banking Service 073,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,maintain,medium,3951000,confidential,15,2026-02-15,0.31,core banking workload in the First Capital context layer; maintain posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-074,First Capital Payments Service 074,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,maintain,low,4088000,confidential,22,2026-03-15,0.44,payments workload in the First Capital context layer; maintain posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-075,First Capital Digital Banking Service 075,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,invest,high,4225000,pii_confidential,29,2026-04-15,0.57,digital banking workload in the First Capital context layer; invest posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-076,First Capital Commercial Lending Service 076,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,maintain,medium,4362000,confidential,36,2026-05-15,0.7,commercial lending workload in the First Capital context layer; maintain posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-077,First Capital Wealth Service 077,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,migrate,low,4499000,confidential,43,2026-06-15,0.83,wealth workload in the First Capital context layer; migrate posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-078,First Capital Financial Crimes Service 078,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,maintain,high,4636000,confidential,50,2026-07-15,0.24,financial crimes workload in the First Capital context layer; maintain posture with NICE dependency and hybrid deployment.
FCF-APP-DATA-PLATFORM-079,First Capital Data Platform Service 079,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,maintain,medium,4773000,confidential,57,2026-08-15,0.37,data platform workload in the First Capital context layer; maintain posture with Snowflake dependency and cloud deployment.
FCF-APP-CYBERSECURITY-080,First Capital Cybersecurity Service 080,Palo Alto Networks,cybersecurity,CISO,TEAM-FCF-CYBER,saas,invest,low,4910000,restricted,64,2026-09-15,0.5,cybersecurity workload in the First Capital context layer; invest posture with Palo Alto Networks dependency and saas deployment.
FCF-APP-ERP-FINANCE-081,First Capital Erp Finance Service 081,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,maintain,critical,5047000,confidential,71,2026-01-15,0.63,erp finance workload in the First Capital context layer; maintain posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-082,First Capital Branch Atm Service 082,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,maintain,medium,5184000,confidential,78,2026-02-15,0.76,branch atm workload in the First Capital context layer; maintain posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-083,First Capital Contact Center Service 083,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,maintain,low,5321000,confidential,85,2026-03-15,0.89,contact center workload in the First Capital context layer; maintain posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-084,First Capital Model Risk Service 084,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,restructure,high,5458000,restricted,8,2026-04-15,0.3,model risk workload in the First Capital context layer; restructure posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-085,First Capital Core Banking Service 085,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,retire,medium,5595000,confidential,15,2026-05-15,0.43,core banking workload in the First Capital context layer; retire posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-086,First Capital Payments Service 086,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,maintain,low,5732000,confidential,22,2026-06-15,0.56,payments workload in the First Capital context layer; maintain posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-087,First Capital Digital Banking Service 087,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,maintain,high,5869000,pii_confidential,29,2026-07-15,0.69,digital banking workload in the First Capital context layer; maintain posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-088,First Capital Commercial Lending Service 088,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,migrate,medium,6006000,confidential,36,2026-08-15,0.82,commercial lending workload in the First Capital context layer; migrate posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-089,First Capital Wealth Service 089,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,maintain,low,6143000,confidential,43,2026-09-15,0.23,wealth workload in the First Capital context layer; maintain posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-090,First Capital Financial Crimes Service 090,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,invest,critical,6280000,confidential,50,2026-01-15,0.36,financial crimes workload in the First Capital context layer; invest posture with NICE dependency and hybrid deployment.
FCF-APP-DATA-PLATFORM-091,First Capital Data Platform Service 091,Snowflake,data platform,Chief Data and Analytics Officer,TEAM-FCF-DATA,cloud,restructure,medium,6417000,confidential,57,2026-02-15,0.49,data platform workload in the First Capital context layer; restructure posture with Snowflake dependency and cloud deployment.
FCF-APP-CYBERSECURITY-092,First Capital Cybersecurity Service 092,Palo Alto Networks,cybersecurity,CISO,TEAM-FCF-CYBER,saas,maintain,low,6554000,restricted,64,2026-03-15,0.62,cybersecurity workload in the First Capital context layer; maintain posture with Palo Alto Networks dependency and saas deployment.
FCF-APP-ERP-FINANCE-093,First Capital Erp Finance Service 093,SAP,erp finance,CFO,TEAM-FCF-ERP,on_prem,maintain,high,6691000,confidential,71,2026-04-15,0.75,erp finance workload in the First Capital context layer; maintain posture with SAP dependency and on_prem deployment.
FCF-APP-BRANCH-ATM-094,First Capital Branch Atm Service 094,NCR,branch atm,SVP Retail Bank Ops,TEAM-FCF-BRANCH,on_prem,maintain,medium,428000,confidential,78,2026-05-15,0.88,branch atm workload in the First Capital context layer; maintain posture with NCR dependency and on_prem deployment.
FCF-APP-CONTACT-CENTER-095,First Capital Contact Center Service 095,Genesys,contact center,SVP Client Service,TEAM-FCF-CONTACT,saas,invest,low,565000,confidential,85,2026-06-15,0.29,contact center workload in the First Capital context layer; invest posture with Genesys dependency and saas deployment.
FCF-APP-MODEL-RISK-096,First Capital Model Risk Service 096,SAS,model risk,Chief Model Risk Officer,TEAM-FCF-MRM,on_prem,maintain,high,702000,restricted,8,2026-07-15,0.42,model risk workload in the First Capital context layer; maintain posture with SAS dependency and on_prem deployment.
FCF-APP-CORE-BANKING-097,First Capital Core Banking Service 097,FIS,core banking,EVP Technology Operations,TEAM-FCF-CORE,mainframe,maintain,medium,839000,confidential,15,2026-08-15,0.55,core banking workload in the First Capital context layer; maintain posture with FIS dependency and mainframe deployment.
FCF-APP-PAYMENTS-098,First Capital Payments Service 098,ACI Worldwide,payments,SVP Payments Technology,TEAM-FCF-PAYMENTS,hybrid,restructure,low,976000,confidential,22,2026-09-15,0.68,payments workload in the First Capital context layer; restructure posture with ACI Worldwide dependency and hybrid deployment.
FCF-APP-DIGITAL-BANKING-099,First Capital Digital Banking Service 099,Internal,digital banking,Chief Digital Officer,TEAM-FCF-DIGITAL,cloud,migrate,critical,1113000,pii_confidential,29,2026-01-15,0.81,digital banking workload in the First Capital context layer; migrate posture with Internal dependency and cloud deployment.
FCF-APP-COMMERCIAL-LENDING-100,First Capital Commercial Lending Service 100,nCino,commercial lending,SVP Commercial Bank CIO,TEAM-FCF-COMMLEND,saas,invest,medium,1250000,confidential,36,2026-02-15,0.22,commercial lending workload in the First Capital context layer; invest posture with nCino dependency and saas deployment.
FCF-APP-WEALTH-101,First Capital Wealth Service 101,Broadridge,wealth,SVP Wealth Technology,TEAM-FCF-WEALTH,hybrid,maintain,low,1387000,confidential,43,2026-03-15,0.35,wealth workload in the First Capital context layer; maintain posture with Broadridge dependency and hybrid deployment.
FCF-APP-FINANCIAL-CRIMES-102,First Capital Financial Crimes Service 102,NICE,financial crimes,Chief Risk Officer,TEAM-FCF-RISK,hybrid,retire,high,1524000,confidential,50,2026-04-15,0.48,financial crimes workload in the First Capital context layer; retire posture with NICE dependency and hybrid deployment.
