question_id,response_id,claim_id,claim_text,support_status,evidence_ref,fact_or_profile_or_edge_ref,gap_ref,severity,notes
Q7,Q7-blocked-no-claude-response,Q7-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q7,Q7-blocked-no-claude-response,Q7-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q8,Q8-blocked-no-claude-response,Q8-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q8,Q8-blocked-no-claude-response,Q8-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q8,Q8-blocked-no-claude-response,Q8-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q9,Q9-blocked-no-claude-response,Q9-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q9,Q9-blocked-no-claude-response,Q9-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,meridian-health-finance-analytics-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q9,Q9-blocked-no-claude-response,Q9-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q10,Q10-blocked-no-claude-response,Q10-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q10,Q10-blocked-no-claude-response,Q10-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-agent-assist-member-service-evidence-1,meridian-health-agent-assist-member-service-enterprise-meridian-health,meridian-health-agent-assist-member-service-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q10,Q10-blocked-no-claude-response,Q10-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q11,Q11-blocked-no-claude-response,Q11-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q11,Q11-blocked-no-claude-response,Q11-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,meridian-health-finance-analytics-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q11,Q11-blocked-no-claude-response,Q11-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
Q12,Q12-blocked-no-claude-response,Q12-CTX-1,Intelligence/aVa context path uses an IntelligenceContextPack assembled from governed context layers.,supported_by_context,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,,pass,"Supported by dry-run request, context pack ID, assembly trace, evidence refs, profiles, relationships, and gaps."
Q12,Q12-blocked-no-claude-response,Q12-GAP-1,Important Meridian gaps must be surfaced rather than hidden.,supported_but_caveated,meridian-health-finance-analytics-evidence-1,meridian-health-finance-analytics-enterprise-meridian-health,meridian-health-finance-analytics-issue-gap-1,pass,"Context pack includes gaps and unsupported claims in audit payload, not leaked as active answer facts."
Q12,Q12-blocked-no-claude-response,Q12-CLAUDE-BLOCKED,Live aVa answer claims cannot be grounded because Claude was not called in this deterministic audit.,generation_blocked,,,,blocked,No raw Claude response or rendered answer was generated. This is intentionally blocked rather than faked.
