tenant_key,gap_key,dimension_key,record_key,gap_type,gap_description,blocked_decision,evidence_needed,confidence,active_candidate_status
skyharbor-air,SHA-GAP-00001,00_enterprise_profile,SHA-00-00001,missing_owner,safety criticality requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00001; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00012,00_enterprise_profile,SHA-00-00012,missing_baseline,incident response requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-00012; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00013,00_enterprise_profile,SHA-00-00013,missing_lineage,airport-local operating variation requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-00013; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00014,00_enterprise_profile,SHA-00-00014,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-00014; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00015,00_enterprise_profile,SHA-00-00015,missing_control_attestation,cloud resilience requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-00015; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00016,00_enterprise_profile,SHA-00-00016,missing_owner,safety criticality requires evidence validation before active use.,Contact center agent assist,SHA-EVID-00016; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00017,00_enterprise_profile,SHA-00-00017,missing_baseline,operational resilience requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-00017; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00018,00_enterprise_profile,SHA-00-00018,missing_lineage,crew and legal constraints requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-00018; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00019,00_enterprise_profile,SHA-00-00019,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-00019; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00020,00_enterprise_profile,SHA-00-00020,missing_control_attestation,data privacy requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-00020; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00021,00_enterprise_profile,SHA-00-00021,missing_owner,PCI requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-00021; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00022,00_enterprise_profile,SHA-00-00022,missing_baseline,cyber risk requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-00022; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00023,00_enterprise_profile,SHA-00-00023,missing_lineage,identity and access requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-00023; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00024,00_enterprise_profile,SHA-00-00024,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-00024; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00025,01_business_functions,SHA-01-00001,missing_control_attestation,model explainability requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00601; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00026,01_business_functions,SHA-01-00002,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-00602; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00027,01_business_functions,SHA-01-00003,missing_baseline,incident response requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-00603; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00028,01_business_functions,SHA-01-00004,missing_lineage,airport-local operating variation requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-00604; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00029,01_business_functions,SHA-01-00005,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-00605; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00030,01_business_functions,SHA-01-00006,missing_control_attestation,cloud resilience requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-00606; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00031,01_business_functions,SHA-01-00007,missing_owner,safety criticality requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-00607; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00032,01_business_functions,SHA-01-00008,missing_baseline,operational resilience requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-00608; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00033,01_business_functions,SHA-01-00009,missing_lineage,crew and legal constraints requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-00609; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00034,01_business_functions,SHA-01-00010,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-00610; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00035,01_business_functions,SHA-01-00011,missing_control_attestation,data privacy requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-00611; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00036,01_business_functions,SHA-01-00012,missing_owner,PCI requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-00612; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00037,01_business_functions,SHA-01-00013,missing_baseline,cyber risk requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-00613; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00038,01_business_functions,SHA-01-00014,missing_lineage,identity and access requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-00614; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00039,01_business_functions,SHA-01-00015,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-00615; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00040,01_business_functions,SHA-01-00016,missing_control_attestation,model explainability requires evidence validation before active use.,Contact center agent assist,SHA-EVID-00616; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00041,01_business_functions,SHA-01-00017,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-00617; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00042,01_business_functions,SHA-01-00018,missing_baseline,incident response requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-00618; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00043,01_business_functions,SHA-01-00019,missing_lineage,airport-local operating variation requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-00619; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00044,01_business_functions,SHA-01-00020,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-00620; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00045,01_business_functions,SHA-01-00021,missing_control_attestation,cloud resilience requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-00621; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00046,01_business_functions,SHA-01-00022,missing_owner,safety criticality requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-00622; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00047,01_business_functions,SHA-01-00023,missing_baseline,operational resilience requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-00623; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00048,01_business_functions,SHA-01-00024,missing_lineage,crew and legal constraints requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-00624; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00049,01_business_functions,SHA-01-00025,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00625; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00050,01_business_functions,SHA-01-00026,missing_control_attestation,data privacy requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-00626; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00051,01_business_functions,SHA-01-00027,missing_owner,PCI requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-00627; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00052,01_business_functions,SHA-01-00028,missing_baseline,cyber risk requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-00628; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00053,01_business_functions,SHA-01-00029,missing_lineage,identity and access requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-00629; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00054,01_business_functions,SHA-01-00030,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-00630; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00055,01_business_functions,SHA-01-00031,missing_control_attestation,model explainability requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-00631; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00056,01_business_functions,SHA-01-00032,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-00632; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00057,01_business_functions,SHA-01-00033,missing_baseline,incident response requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-00633; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00058,01_business_functions,SHA-01-00034,missing_lineage,airport-local operating variation requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-00634; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00059,01_business_functions,SHA-01-00035,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-00635; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00060,01_business_functions,SHA-01-00036,missing_control_attestation,cloud resilience requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-00636; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00061,01_business_functions,SHA-01-00037,missing_owner,safety criticality requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-00637; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00062,01_business_functions,SHA-01-00038,missing_baseline,operational resilience requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-00638; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00063,01_business_functions,SHA-01-00039,missing_lineage,crew and legal constraints requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-00639; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00064,01_business_functions,SHA-01-00040,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Contact center agent assist,SHA-EVID-00640; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00065,01_business_functions,SHA-01-00041,missing_control_attestation,data privacy requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-00641; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00066,01_business_functions,SHA-01-00042,missing_owner,PCI requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-00642; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00067,01_business_functions,SHA-01-00043,missing_baseline,cyber risk requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-00643; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00068,01_business_functions,SHA-01-00044,missing_lineage,identity and access requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-00644; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00069,01_business_functions,SHA-01-00045,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-00645; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00070,01_business_functions,SHA-01-00046,missing_control_attestation,model explainability requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-00646; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00071,01_business_functions,SHA-01-00047,missing_owner,human-in-the-loop operations requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-00647; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00072,01_business_functions,SHA-01-00048,missing_baseline,incident response requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-00648; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00073,01_business_functions,SHA-01-00049,missing_lineage,airport-local operating variation requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00649; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00074,01_business_functions,SHA-01-00050,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-00650; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00075,01_business_functions,SHA-01-00051,missing_control_attestation,cloud resilience requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-00651; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00076,01_business_functions,SHA-01-00052,missing_owner,safety criticality requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-00652; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00077,01_business_functions,SHA-01-00053,missing_baseline,operational resilience requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-00653; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00078,01_business_functions,SHA-01-00054,missing_lineage,crew and legal constraints requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-00654; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00079,01_business_functions,SHA-01-00055,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-00655; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00080,01_business_functions,SHA-01-00056,missing_control_attestation,data privacy requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-00656; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00081,01_business_functions,SHA-01-00057,missing_owner,PCI requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-00657; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00082,01_business_functions,SHA-01-00058,missing_baseline,cyber risk requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-00658; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00083,01_business_functions,SHA-01-00059,missing_lineage,identity and access requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-00659; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00084,01_business_functions,SHA-01-00060,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-00660; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00085,01_business_functions,SHA-01-00061,missing_control_attestation,model explainability requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-00661; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00086,01_business_functions,SHA-01-00062,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-00662; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00087,01_business_functions,SHA-01-00063,missing_baseline,incident response requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-00663; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00088,01_business_functions,SHA-01-00064,missing_lineage,airport-local operating variation requires evidence validation before active use.,Contact center agent assist,SHA-EVID-00664; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00089,01_business_functions,SHA-01-00065,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-00665; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00090,01_business_functions,SHA-01-00066,missing_control_attestation,cloud resilience requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-00666; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00091,01_business_functions,SHA-01-00067,missing_owner,safety criticality requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-00667; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00092,01_business_functions,SHA-01-00068,missing_baseline,operational resilience requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-00668; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00093,01_business_functions,SHA-01-00069,missing_lineage,crew and legal constraints requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-00669; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00094,01_business_functions,SHA-01-00070,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-00670; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00095,01_business_functions,SHA-01-00071,missing_control_attestation,data privacy requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-00671; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00096,01_business_functions,SHA-01-00072,missing_owner,PCI requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-00672; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00097,01_business_functions,SHA-01-00073,missing_baseline,cyber risk requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00673; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00098,01_business_functions,SHA-01-00074,missing_lineage,identity and access requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-00674; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00099,01_business_functions,SHA-01-00075,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-00675; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00100,01_business_functions,SHA-01-00076,missing_control_attestation,model explainability requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-00676; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00101,01_business_functions,SHA-01-00077,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-00677; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00102,01_business_functions,SHA-01-00078,missing_baseline,incident response requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-00678; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00103,01_business_functions,SHA-01-00079,missing_lineage,airport-local operating variation requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-00679; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00104,01_business_functions,SHA-01-00080,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-00680; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00105,01_business_functions,SHA-01-00081,missing_control_attestation,cloud resilience requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-00681; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00106,01_business_functions,SHA-01-00082,missing_owner,safety criticality requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-00682; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00107,01_business_functions,SHA-01-00083,missing_baseline,operational resilience requires evidence validation before active use.,Baggage Visibility and Recovery,SHA-EVID-00683; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00108,01_business_functions,SHA-01-00084,missing_lineage,crew and legal constraints requires evidence validation before active use.,Finance and Procurement Spend Transparency,SHA-EVID-00684; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00109,01_business_functions,SHA-01-00085,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,IROPS recovery copilot,SHA-EVID-00685; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00110,01_business_functions,SHA-01-00086,missing_control_attestation,data privacy requires evidence validation before active use.,Crew disruption assistant,SHA-EVID-00686; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00111,01_business_functions,SHA-01-00087,missing_owner,PCI requires evidence validation before active use.,Maintenance troubleshooting assistant,SHA-EVID-00687; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00112,01_business_functions,SHA-01-00088,missing_baseline,cyber risk requires evidence validation before active use.,Contact center agent assist,SHA-EVID-00688; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00113,01_business_functions,SHA-01-00089,missing_lineage,identity and access requires evidence validation before active use.,Passenger rebooking personalization,SHA-EVID-00689; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00114,01_business_functions,SHA-01-00090,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Baggage recovery prediction,SHA-EVID-00690; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00115,01_business_functions,SHA-01-00091,missing_control_attestation,model explainability requires evidence validation before active use.,Airport turnaround risk predictor,SHA-EVID-00691; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00116,01_business_functions,SHA-01-00092,missing_owner,human-in-the-loop operations requires evidence validation before active use.,Revenue management scenario assistant,SHA-EVID-00692; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00117,01_business_functions,SHA-01-00093,missing_baseline,incident response requires evidence validation before active use.,Loyalty next-best-action assistant,SHA-EVID-00693; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00118,01_business_functions,SHA-01-00094,missing_lineage,airport-local operating variation requires evidence validation before active use.,Flight operations knowledge assistant,SHA-EVID-00694; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00119,01_business_functions,SHA-01-00095,missing_contract_evidence,reservation-system dependency requires evidence validation before active use.,IT incident and change-risk copilot,SHA-EVID-00695; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00120,01_business_functions,SHA-01-00096,missing_control_attestation,cloud resilience requires evidence validation before active use.,Procurement and vendor contract intelligence,SHA-EVID-00696; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00121,01_business_functions,SHA-01-00097,missing_owner,safety criticality requires evidence validation before active use.,IROPS Resilience and Recovery,SHA-EVID-00697; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00122,01_business_functions,SHA-01-00098,missing_baseline,operational resilience requires evidence validation before active use.,Passenger Service Modernization,SHA-EVID-00698; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00123,01_business_functions,SHA-01-00099,missing_lineage,crew and legal constraints requires evidence validation before active use.,Loyalty Platform Modernization,SHA-EVID-00699; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00124,01_business_functions,SHA-01-00100,missing_contract_evidence,DOT customer obligations requires evidence validation before active use.,Crew Operations Optimization,SHA-EVID-00700; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00125,01_business_functions,SHA-01-00101,missing_control_attestation,data privacy requires evidence validation before active use.,Maintenance Predictive Analytics Foundation,SHA-EVID-00701; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00126,01_business_functions,SHA-01-00102,missing_owner,PCI requires evidence validation before active use.,Airport Turnaround Performance Program,SHA-EVID-00702; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00127,01_business_functions,SHA-01-00103,missing_baseline,cyber risk requires evidence validation before active use.,Data Platform and Lakehouse Foundation,SHA-EVID-00703; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00128,01_business_functions,SHA-01-00104,missing_lineage,identity and access requires evidence validation before active use.,Contact Center Experience Transformation,SHA-EVID-00704; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00129,01_business_functions,SHA-01-00105,missing_contract_evidence,vendor concentration requires evidence validation before active use.,Revenue Management Modernization,SHA-EVID-00705; source file; owner; baseline; control status,medium,candidate
skyharbor-air,SHA-GAP-00130,01_business_functions,SHA-01-00106,missing_control_attestation,model explainability requires evidence validation before active use.,Cloud Resilience and Cyber Program,SHA-EVID-00706; source file; owner; baseline; control status,medium,candidate
