tenant_key,dataset_version,extraction_id,contract_id,vendor_ref,vendor_name,concept_ref,evidence_class,subject_kind,subject_ref,value_text,value_num,value_bool,source_file_id,source_section,source_page,confidence,review_state
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:auto_renew,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",auto_renew,renewal,contract,MER-TECH-AWS-001,No automatic renewal; new order form required for extension.,,false,DOC-MER-TECH-AWS-001-MSA,Commercial Terms,2,0.92,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:notice_period_days,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",notice_period_days,renewal,contract,MER-TECH-AWS-001,Renewal or non-renewal notice must be delivered 90 days before term end.,90,,DOC-MER-TECH-AWS-001-MSA,Commercial Terms,2,0.94,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:benchmarking_clause,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",benchmarking_clause,commercial_right,contract,MER-TECH-AWS-001,Benchmarking rights are present.,,,DOC-MER-TECH-AWS-001-MSA,Commercial Terms,2,0.9,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:termination_rights,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",termination_rights,exit_right,contract,MER-TECH-AWS-001,usage-based; committed-use shortfall applies through term,,,DOC-MER-TECH-AWS-001-MSA,Commercial Terms,2,0.89,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:service_credit,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",service_credit,sla,contract,MER-TECH-AWS-001,Service credits apply only to platform availability below committed availability threshold.,0.02,,DOC-MER-TECH-AWS-001-SLA,Service Levels and Credits,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:data_security,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",data_security,compliance,contract,MER-TECH-AWS-001,"Vendor must maintain HIPAA-aligned controls, incident notification, access logging, and annual security attestation.",,,DOC-MER-TECH-AWS-001-MSA,Commercial Terms,3,0.88,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AWS-001:audit_rights,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",audit_rights,governance,contract,MER-TECH-AWS-001,"Client may request supporting delivery, invoice, usage, and SLA records during quarterly business review or dispute process.",,true,DOC-MER-TECH-AWS-001-MSA,Commercial Terms,3,0.87,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:auto_renew,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,auto_renew,renewal,contract,MER-TECH-AMS-001,Contract auto-renews unless written notice is delivered before the notice deadline.,,true,DOC-MER-TECH-AMS-001-MSA,Commercial Terms,2,0.92,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:notice_period_days,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,notice_period_days,renewal,contract,MER-TECH-AMS-001,Renewal or non-renewal notice must be delivered 90 days before term end.,90,,DOC-MER-TECH-AMS-001-MSA,Commercial Terms,2,0.94,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:benchmarking_clause,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,benchmarking_clause,commercial_right,contract,MER-TECH-AMS-001,Benchmarking rights are present.,,,DOC-MER-TECH-AMS-001-MSA,Commercial Terms,2,0.9,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:termination_rights,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,termination_rights,exit_right,contract,MER-TECH-AMS-001,termination for convenience with transition assistance fees,,,DOC-MER-TECH-AMS-001-MSA,Commercial Terms,2,0.89,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:service_credit,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,service_credit,sla,contract,MER-TECH-AMS-001,Monthly service credit equals 2% of the monthly base fee for each missed SLA period.,0.02,,DOC-MER-TECH-AMS-001-SLA,Service Levels and Credits,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:data_security,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,data_security,compliance,contract,MER-TECH-AMS-001,"Vendor must maintain HIPAA-aligned controls, incident notification, access logging, and annual security attestation.",,,DOC-MER-TECH-AMS-001-MSA,Commercial Terms,3,0.88,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-AMS-001:audit_rights,MER-TECH-AMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,audit_rights,governance,contract,MER-TECH-AMS-001,"Client may request supporting delivery, invoice, usage, and SLA records during quarterly business review or dispute process.",,true,DOC-MER-TECH-AMS-001-MSA,Commercial Terms,3,0.87,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:auto_renew,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",auto_renew,renewal,contract,MER-TECH-SD-001,Contract auto-renews unless written notice is delivered before the notice deadline.,,true,DOC-MER-TECH-SD-001-MSA,Commercial Terms,2,0.92,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:notice_period_days,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",notice_period_days,renewal,contract,MER-TECH-SD-001,Renewal or non-renewal notice must be delivered 90 days before term end.,90,,DOC-MER-TECH-SD-001-MSA,Commercial Terms,2,0.94,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:benchmarking_clause,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",benchmarking_clause,commercial_right,contract,MER-TECH-SD-001,Benchmarking rights are none.,,,DOC-MER-TECH-SD-001-MSA,Commercial Terms,2,0.9,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:termination_rights,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",termination_rights,exit_right,contract,MER-TECH-SD-001,limited termination rights; exit plan required,,,DOC-MER-TECH-SD-001-MSA,Commercial Terms,2,0.89,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:service_credit,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",service_credit,sla,contract,MER-TECH-SD-001,Monthly service credit equals 2% of the monthly base fee for each missed SLA period.,0.02,,DOC-MER-TECH-SD-001-SLA,Service Levels and Credits,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:data_security,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",data_security,compliance,contract,MER-TECH-SD-001,"Vendor must maintain HIPAA-aligned controls, incident notification, access logging, and annual security attestation.",,,DOC-MER-TECH-SD-001-MSA,Commercial Terms,3,0.88,synthetic_demo_reviewed
meridian-health,meridian-contract-depth-v1-20260828,clause:MER-TECH-SD-001:audit_rights,MER-TECH-SD-001,VEN-KYNDRYL,"Kyndryl, Inc.",audit_rights,governance,contract,MER-TECH-SD-001,"Client may request supporting delivery, invoice, usage, and SLA records during quarterly business review or dispute process.",,true,DOC-MER-TECH-SD-001-MSA,Commercial Terms,3,0.87,synthetic_demo_reviewed
