tenant_key,domain,raw_row_count,semantic_status,blocking_reason_count,top_blocking_reason
meridian-health,risks_controls,249,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (risk_or_control_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,relationships,1037,semantic_partial,1,normalized_duplicate_pct 54.87% above maximum 15%
meridian-health,metrics_outcomes,257,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (metric_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,industry_context_patterns,7,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (pattern_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,expert_lenses,7,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (lens_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,service_scope_managed_services,228,semantic_blocker,2,no_usable_identity: only 0% of rows carry a real identity value (floor: 50%)
meridian-health,operational_process_evidence,228,semantic_blocker,1,"schema_shape_mismatch: none of this domain's declared identity fields (process_name) are present in the active file's columns (tenant_key, record_id, entity_id, business_name, context_item, dimension, evidence_id, active_candidate_status, confidence, source_type, source_basis, synthetic_data_flag, ...). Identity/substantive-field rules cannot be evaluated against a schema this different from the v3 canonical shape."
meridian-health,evidence_sources,28,semantic_pass,0,
meridian-health,evidence_items,644,semantic_partial,1,96 evidence items are normalized-content duplicates of another item under the same source
meridian-health,executive_interviews,221,semantic_blocker,5,198 duplicate interview_id values
skyharbor-air,enterprise_profile,2,semantic_partial,4,identity_coverage_pct 50% below minimum 90%
skyharbor-air,business_functions,24,semantic_partial,2,substantive_coverage_pct 25% below minimum 60%
skyharbor-air,org_ownership,278,semantic_blocker,1,no_usable_identity: only 2.16% of rows carry a real identity value (floor: 50%)
skyharbor-air,workforce_roles,12,semantic_partial,2,substantive_coverage_pct 50% below minimum 60%
skyharbor-air,applications_systems,613,semantic_pass,0,
skyharbor-air,data_assets_integrations,570,semantic_pass,0,
skyharbor-air,infrastructure_platforms,691,semantic_pass,0,
skyharbor-air,vendors_contracts,71,semantic_partial,1,substantive_coverage_pct 18.31% below minimum 60%
skyharbor-air,spend_value,188,semantic_blocker,1,no_usable_identity: only 8.51% of rows carry a real identity value (floor: 50%)
skyharbor-air,programs_initiatives,67,semantic_blocker,1,no_usable_identity: only 10.45% of rows carry a real identity value (floor: 50%)
skyharbor-air,ai_automation_use_cases,43,semantic_blocker,2,no_usable_identity: only 6.98% of rows carry a real identity value (floor: 50%)
skyharbor-air,risks_controls,28,semantic_partial,1,distinct_identity_count 28 below minimum 40 for this company-size band
skyharbor-air,relationships,380,semantic_partial,1,distinct_identity_count 18 below minimum 100 for this company-size band
skyharbor-air,metrics_outcomes,124,semantic_blocker,1,no_usable_identity: only 9.68% of rows carry a real identity value (floor: 50%)
skyharbor-air,industry_context_patterns,9,semantic_blocker,1,"substantively_empty_despite_row_count: 9 rows, 0 pass the substantive-row rule for industry_context_patterns"
skyharbor-air,expert_lenses,10,semantic_partial,3,identity_coverage_pct 50% below minimum 90%
skyharbor-air,service_scope_managed_services,3,semantic_blocker,1,"substantively_empty_despite_row_count: 3 rows, 0 pass the substantive-row rule for service_scope_managed_services"
skyharbor-air,operational_process_evidence,410,semantic_blocker,1,"substantively_empty_despite_row_count: 410 rows, 0 pass the substantive-row rule for operational_process_evidence"
skyharbor-air,evidence_sources,30,semantic_pass,0,
skyharbor-air,evidence_items,345,semantic_partial,2,"30.43% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)"
skyharbor-air,executive_interviews,216,semantic_partial,2,"the v4-candidate executive_interviews schema has no persisted foreign key (evidence_id/source_record_id) back to its derived evidence_items row -- correspondence exists only positionally inside the migration script, not as an auditable column"
