Item_ID,Initiative_ID,Type,Description,Severity,Likelihood,Status,Owner,Due_Date,Mitigation
RAID-000091,INIT-0008,Dependency,Dependency: Third-party SLA risk,High,High,In Progress,Business Owner,2027-03-16,Mitigation: add resource.
RAID-000092,INIT-0008,Risk,Risk: Budget overrun risk,Critical,Low,In Progress,Vendor Manager,2026-12-07,Mitigation: escalate.
RAID-000093,INIT-0008,Dependency,Dependency: Key vendor resource availability,Critical,Medium,Escalated,Architecture,2026-05-18,Mitigation: rebaseline.
RAID-000094,INIT-0008,Dependency,Dependency: Scope creep from stakeholders,Medium,High,Open,Delivery Lead,2026-03-28,Mitigation: risk-accept.
RAID-000095,INIT-0008,Decision,Decision: Budget overrun risk,Low,High,Mitigated,Business Owner,2027-09-18,Mitigation: add controls.
RAID-000096,INIT-0009,Decision,Decision: Key vendor resource availability,Low,Low,Open,Delivery Lead,2027-04-09,Mitigation: remediate.
RAID-000097,INIT-0009,Issue,Issue: Scope creep from stakeholders,Medium,High,Escalated,Delivery Lead,2027-01-31,Mitigation: escalate.
RAID-000098,INIT-0009,Decision,Decision: Regulatory approval pending,High,High,In Progress,Business Owner,2026-05-02,Mitigation: remediate.
RAID-000099,INIT-0009,Dependency,Dependency: Dependency on platform team,Critical,Medium,Mitigated,Business Owner,2026-04-06,Mitigation: add controls.
RAID-000100,INIT-0009,Dependency,Dependency: Third-party SLA risk,Critical,Low,Escalated,Delivery Lead,2026-12-30,Mitigation: remediate.
RAID-000101,INIT-0009,Issue,Issue: Regulatory approval pending,High,Medium,Open,Security,2027-06-24,Mitigation: add resource.
RAID-000102,INIT-0009,Action,Action: Regulatory approval pending,Low,Medium,Closed,Data Lead,2027-06-24,Mitigation: add resource.
RAID-000103,INIT-0009,Dependency,Dependency: Change-adoption resistance,Low,Low,In Progress,Delivery Lead,2026-10-20,Mitigation: rebaseline.
RAID-000104,INIT-0009,Action,Action: Dependency on platform team,Medium,High,Closed,Architecture,2026-03-25,Mitigation: rebaseline.
RAID-000105,INIT-0009,Dependency,Dependency: Integration test environment delay,Low,Low,Escalated,Delivery Lead,2026-05-10,Mitigation: rebaseline.
RAID-000106,INIT-0009,Risk,Risk: Key vendor resource availability,Medium,Low,Escalated,Security,2026-01-07,Mitigation: remediate.
RAID-000107,INIT-0009,Issue,Issue: Key vendor resource availability,High,Medium,Mitigated,Data Lead,2027-04-04,Mitigation: risk-accept.
RAID-000108,INIT-0009,Dependency,Dependency: Scope creep from stakeholders,Low,High,Closed,Security,2026-04-28,Mitigation: add controls.
RAID-000109,INIT-0009,Action,Action: Key vendor resource availability,Low,Medium,Open,Vendor Manager,2027-06-25,Mitigation: rebaseline.
RAID-000110,INIT-0009,Issue,Issue: Integration test environment delay,Critical,High,Open,PMO,2026-03-23,Mitigation: rebaseline.
RAID-000111,INIT-0010,Issue,Issue: Integration test environment delay,Medium,Medium,Mitigated,Delivery Lead,2027-07-23,Mitigation: rebaseline.
RAID-000112,INIT-0010,Issue,Issue: Skill gap in delivery team,Critical,Medium,Escalated,Data Lead,2027-05-26,Mitigation: risk-accept.
RAID-000113,INIT-0010,Dependency,Dependency: Dependency on platform team,Low,Medium,Escalated,Delivery Lead,2027-04-09,Mitigation: add controls.
RAID-000114,INIT-0010,Action,Action: Regulatory approval pending,Low,Low,Mitigated,Delivery Lead,2027-09-14,Mitigation: risk-accept.
RAID-000115,INIT-0010,Decision,Decision: Skill gap in delivery team,High,Low,Mitigated,Data Lead,2027-05-24,Mitigation: risk-accept.
RAID-000116,INIT-0010,Action,Action: Integration test environment delay,Critical,Low,Escalated,Security,2027-10-19,Mitigation: add controls.
RAID-000117,INIT-0010,Decision,Decision: Security finding to remediate,Low,Medium,Open,Data Lead,2027-08-31,Mitigation: escalate.
RAID-000118,INIT-0010,Dependency,Dependency: Budget overrun risk,Critical,Low,Closed,Vendor Manager,2026-05-08,Mitigation: add resource.
RAID-000119,INIT-0011,Decision,Decision: Integration test environment delay,Low,Medium,In Progress,Security,2026-08-05,Mitigation: add resource.
RAID-000120,INIT-0011,Issue,Issue: Legacy interface instability,High,Medium,Escalated,Delivery Lead,2026-06-26,Mitigation: risk-accept.
RAID-000121,INIT-0011,Risk,Risk: Key vendor resource availability,Critical,High,Mitigated,Data Lead,2026-08-31,Mitigation: add controls.
RAID-000122,INIT-0011,Action,Action: Integration test environment delay,Critical,High,Mitigated,Business Owner,2027-04-12,Mitigation: risk-accept.
RAID-000123,INIT-0011,Issue,Issue: Third-party SLA risk,Low,High,In Progress,PMO,2026-07-18,Mitigation: add controls.
RAID-000124,INIT-0011,Action,Action: Data quality below threshold,Critical,High,In Progress,PMO,2027-09-19,Mitigation: add controls.
RAID-000125,INIT-0011,Risk,Risk: Third-party SLA risk,Critical,Medium,Escalated,Delivery Lead,2026-08-15,Mitigation: add resource.
RAID-000126,INIT-0011,Issue,Issue: Legacy interface instability,High,Medium,Closed,Business Owner,2026-03-01,Mitigation: rebaseline.
RAID-000127,INIT-0011,Risk,Risk: Change-adoption resistance,Critical,Medium,Open,Security,2027-04-25,Mitigation: add resource.
RAID-000128,INIT-0011,Decision,Decision: Regulatory approval pending,High,Low,Mitigated,Delivery Lead,2027-07-23,Mitigation: remediate.
RAID-000129,INIT-0011,Decision,Decision: Change-adoption resistance,Low,High,Mitigated,Architecture,2026-02-24,Mitigation: add controls.
RAID-000130,INIT-0011,Risk,Risk: Budget overrun risk,High,High,Open,Delivery Lead,2027-08-22,Mitigation: escalate.
RAID-000131,INIT-0011,Risk,Risk: Data quality below threshold,Low,Medium,Open,Data Lead,2027-09-21,Mitigation: add resource.
RAID-000132,INIT-0011,Decision,Decision: Scope creep from stakeholders,High,High,Closed,Business Owner,2026-11-18,Mitigation: risk-accept.
RAID-000133,INIT-0012,Decision,Decision: Key vendor resource availability,Low,High,Open,Architecture,2026-04-05,Mitigation: rebaseline.
RAID-000134,INIT-0012,Dependency,Dependency: Regulatory approval pending,Critical,Low,In Progress,Business Owner,2026-03-30,Mitigation: risk-accept.
RAID-000135,INIT-0012,Action,Action: Third-party SLA risk,Critical,Low,Closed,Delivery Lead,2027-03-04,Mitigation: risk-accept.
RAID-000136,INIT-0012,Risk,Risk: Security finding to remediate,Medium,High,Open,Delivery Lead,2026-02-25,Mitigation: rebaseline.
RAID-000137,INIT-0012,Action,Action: Dependency on platform team,Low,Low,In Progress,Business Owner,2026-05-26,Mitigation: escalate.
RAID-000138,INIT-0012,Issue,Issue: Legacy interface instability,Critical,Medium,In Progress,Delivery Lead,2027-08-09,Mitigation: add resource.
RAID-000139,INIT-0012,Issue,Issue: Third-party SLA risk,Critical,Low,In Progress,Business Owner,2026-03-04,Mitigation: rebaseline.
RAID-000140,INIT-0012,Action,Action: Skill gap in delivery team,Medium,Medium,Closed,Architecture,2027-07-13,Mitigation: remediate.
RAID-000141,INIT-0012,Action,Action: Integration test environment delay,High,High,Closed,Delivery Lead,2027-05-25,Mitigation: remediate.
RAID-000142,INIT-0012,Decision,Decision: Third-party SLA risk,Low,Medium,Closed,Data Lead,2026-12-30,Mitigation: remediate.
RAID-000143,INIT-0012,Dependency,Dependency: Scope creep from stakeholders,Critical,Low,In Progress,PMO,2026-04-04,Mitigation: add controls.
RAID-000144,INIT-0013,Dependency,Dependency: Legacy interface instability,Low,High,Closed,Data Lead,2027-09-21,Mitigation: remediate.
RAID-000145,INIT-0013,Decision,Decision: Change-adoption resistance,Low,High,Open,Vendor Manager,2027-09-25,Mitigation: add controls.
RAID-000146,INIT-0013,Decision,Decision: Skill gap in delivery team,Low,High,Open,Delivery Lead,2027-10-12,Mitigation: remediate.
RAID-000147,INIT-0013,Decision,Decision: Third-party SLA risk,Critical,Low,In Progress,Vendor Manager,2026-06-05,Mitigation: escalate.
RAID-000148,INIT-0013,Risk,Risk: Dependency on platform team,Medium,Medium,Open,Vendor Manager,2027-11-21,Mitigation: remediate.
RAID-000149,INIT-0013,Issue,Issue: Security finding to remediate,Low,Medium,Escalated,Data Lead,2027-08-10,Mitigation: add resource.
RAID-000150,INIT-0013,Action,Action: Dependency on platform team,High,High,In Progress,Data Lead,2027-05-02,Mitigation: rebaseline.
RAID-000151,INIT-0013,Decision,Decision: Budget overrun risk,Low,Low,Closed,Data Lead,2027-04-21,Mitigation: remediate.
RAID-000152,INIT-0013,Risk,Risk: Skill gap in delivery team,Low,Low,Open,Architecture,2027-02-20,Mitigation: remediate.
RAID-000153,INIT-0013,Dependency,Dependency: Legacy interface instability,Medium,Low,Closed,Delivery Lead,2027-10-02,Mitigation: add controls.
RAID-000154,INIT-0013,Action,Action: Scope creep from stakeholders,Critical,High,Escalated,Vendor Manager,2026-01-09,Mitigation: add controls.
RAID-000155,INIT-0013,Issue,Issue: Regulatory approval pending,Critical,Low,In Progress,Vendor Manager,2026-11-15,Mitigation: risk-accept.
RAID-000156,INIT-0014,Dependency,Dependency: Regulatory approval pending,High,High,In Progress,Security,2026-09-15,Mitigation: risk-accept.
RAID-000157,INIT-0014,Issue,Issue: Skill gap in delivery team,High,Low,Open,Vendor Manager,2026-05-08,Mitigation: add controls.
RAID-000158,INIT-0014,Dependency,Dependency: Skill gap in delivery team,Medium,High,Escalated,Architecture,2026-10-24,Mitigation: remediate.
RAID-000159,INIT-0014,Decision,Decision: Key vendor resource availability,Medium,Medium,Mitigated,Data Lead,2027-06-30,Mitigation: escalate.
RAID-000160,INIT-0014,Dependency,Dependency: Third-party SLA risk,Medium,Low,In Progress,Architecture,2026-02-02,Mitigation: risk-accept.
RAID-000161,INIT-0014,Risk,Risk: Scope creep from stakeholders,High,High,Mitigated,Vendor Manager,2026-04-03,Mitigation: escalate.
RAID-000162,INIT-0014,Issue,Issue: Budget overrun risk,Low,Medium,Mitigated,Delivery Lead,2026-05-09,Mitigation: risk-accept.
RAID-000163,INIT-0014,Issue,Issue: Regulatory approval pending,Critical,Low,Closed,Vendor Manager,2026-06-15,Mitigation: remediate.
RAID-000164,INIT-0014,Issue,Issue: Dependency on platform team,High,Low,Mitigated,Data Lead,2027-03-05,Mitigation: rebaseline.
RAID-000165,INIT-0014,Issue,Issue: Budget overrun risk,Critical,Medium,Mitigated,Security,2027-02-20,Mitigation: risk-accept.
RAID-000166,INIT-0014,Risk,Risk: Budget overrun risk,Low,High,In Progress,Data Lead,2026-01-26,Mitigation: rebaseline.
RAID-000167,INIT-0014,Dependency,Dependency: Third-party SLA risk,Critical,Medium,Mitigated,Security,2027-12-31,Mitigation: escalate.
RAID-000168,INIT-0014,Risk,Risk: Change-adoption resistance,Low,Low,Closed,Architecture,2027-12-01,Mitigation: escalate.
RAID-000169,INIT-0014,Decision,Decision: Scope creep from stakeholders,High,Medium,Closed,Architecture,2027-01-19,Mitigation: rebaseline.
RAID-000170,INIT-0014,Issue,Issue: Third-party SLA risk,Critical,High,In Progress,Security,2026-04-10,Mitigation: risk-accept.
RAID-000171,INIT-0014,Dependency,Dependency: Regulatory approval pending,Low,Medium,Open,Data Lead,2027-06-20,Mitigation: add controls.
RAID-000172,INIT-0015,Risk,Risk: Scope creep from stakeholders,Critical,Low,In Progress,Data Lead,2027-12-28,Mitigation: add resource.
RAID-000173,INIT-0015,Dependency,Dependency: Regulatory approval pending,Low,Low,Open,PMO,2026-01-06,Mitigation: risk-accept.
RAID-000174,INIT-0015,Dependency,Dependency: Change-adoption resistance,High,High,Closed,Security,2026-09-09,Mitigation: remediate.
RAID-000175,INIT-0015,Risk,Risk: Key vendor resource availability,Critical,Medium,Open,Security,2026-10-09,Mitigation: remediate.
RAID-000176,INIT-0015,Issue,Issue: Skill gap in delivery team,Low,High,Closed,Vendor Manager,2027-02-08,Mitigation: rebaseline.
RAID-000177,INIT-0015,Risk,Risk: Change-adoption resistance,Critical,Medium,Open,Vendor Manager,2026-01-22,Mitigation: escalate.
RAID-000178,INIT-0015,Issue,Issue: Security finding to remediate,Critical,Medium,In Progress,Vendor Manager,2026-08-09,Mitigation: add resource.
RAID-000179,INIT-0015,Dependency,Dependency: Data quality below threshold,Low,Low,In Progress,Vendor Manager,2026-01-13,Mitigation: add controls.
RAID-000180,INIT-0015,Risk,Risk: Integration test environment delay,Low,High,Open,Security,2027-09-04,Mitigation: add resource.
RAID-000181,INIT-0015,Decision,Decision: Data quality below threshold,High,Low,Mitigated,Security,2027-01-20,Mitigation: add controls.
RAID-000182,INIT-0015,Dependency,Dependency: Budget overrun risk,Low,High,In Progress,Data Lead,2026-03-28,Mitigation: rebaseline.
RAID-000183,INIT-0015,Risk,Risk: Integration test environment delay,Critical,Low,Mitigated,Security,2027-01-14,Mitigation: add controls.
RAID-000184,INIT-0016,Risk,Risk: Skill gap in delivery team,Medium,Medium,In Progress,Delivery Lead,2027-10-07,Mitigation: add resource.
RAID-000185,INIT-0016,Issue,Issue: Third-party SLA risk,Medium,Medium,Escalated,Architecture,2026-12-17,Mitigation: add resource.
RAID-000186,INIT-0016,Action,Action: Data quality below threshold,High,High,Mitigated,PMO,2027-10-07,Mitigation: add resource.
RAID-000187,INIT-0016,Risk,Risk: Dependency on platform team,Medium,Medium,Mitigated,Delivery Lead,2026-01-29,Mitigation: rebaseline.
RAID-000188,INIT-0016,Dependency,Dependency: Dependency on platform team,Medium,High,In Progress,Architecture,2026-05-19,Mitigation: remediate.
RAID-000189,INIT-0016,Risk,Risk: Budget overrun risk,Critical,Low,Open,Vendor Manager,2026-09-12,Mitigation: escalate.
RAID-000190,INIT-0016,Dependency,Dependency: Security finding to remediate,High,Medium,Open,Security,2026-07-05,Mitigation: risk-accept.
RAID-000191,INIT-0016,Dependency,Dependency: Data quality below threshold,High,Medium,Closed,Architecture,2027-02-17,Mitigation: add controls.
RAID-000192,INIT-0017,Issue,Issue: Budget overrun risk,Low,Medium,Closed,Architecture,2027-08-09,Mitigation: remediate.
RAID-000193,INIT-0017,Decision,Decision: Scope creep from stakeholders,Medium,Low,Closed,Data Lead,2026-06-30,Mitigation: add controls.
RAID-000194,INIT-0017,Dependency,Dependency: Budget overrun risk,Medium,High,Mitigated,Security,2026-10-23,Mitigation: add resource.
RAID-000195,INIT-0017,Dependency,Dependency: Legacy interface instability,Critical,High,Open,Data Lead,2026-05-22,Mitigation: risk-accept.
RAID-000196,INIT-0017,Decision,Decision: Scope creep from stakeholders,Critical,Medium,Mitigated,Business Owner,2026-05-11,Mitigation: add resource.
RAID-000197,INIT-0017,Decision,Decision: Legacy interface instability,Critical,Low,Mitigated,Vendor Manager,2026-04-08,Mitigation: add resource.
RAID-000198,INIT-0017,Decision,Decision: Key vendor resource availability,Low,High,Escalated,Architecture,2027-02-03,Mitigation: escalate.
RAID-000199,INIT-0017,Risk,Risk: Legacy interface instability,High,High,In Progress,PMO,2027-06-03,Mitigation: remediate.
RAID-000200,INIT-0017,Issue,Issue: Scope creep from stakeholders,Medium,Low,Escalated,Architecture,2027-04-13,Mitigation: rebaseline.
RAID-000201,INIT-0018,Dependency,Dependency: Third-party SLA risk,Low,Medium,Open,Vendor Manager,2027-09-10,Mitigation: remediate.
RAID-000202,INIT-0018,Dependency,Dependency: Third-party SLA risk,High,Medium,Open,Data Lead,2027-06-10,Mitigation: add resource.
RAID-000203,INIT-0018,Action,Action: Third-party SLA risk,High,High,Closed,Delivery Lead,2027-01-01,Mitigation: add controls.
RAID-000204,INIT-0018,Decision,Decision: Data quality below threshold,High,Medium,Open,Business Owner,2027-03-26,Mitigation: add resource.
RAID-000205,INIT-0018,Issue,Issue: Scope creep from stakeholders,Low,Low,Closed,Architecture,2027-06-04,Mitigation: risk-accept.
RAID-000206,INIT-0018,Dependency,Dependency: Legacy interface instability,Critical,High,Escalated,PMO,2026-05-12,Mitigation: add controls.
