entity_id,entity_name,entity_scope,parent_entity_id,parent_entity_name,portfolio_company_id,portfolio_company_name,team_id,team_name,executive_owner_role,leader_name,reports_to_role,domain,head_count_fte,offshore_pct,annual_budget_usd,decision_rights,key_initiatives_owned,source_file,source_row,value_source
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-011-vp-procurement,Corporate shared services,VP Procurement,Asha Ortiz,CFO,Business,22,,7624000,"Sourcing, supplier management, contract savings",supplier workflow modernization; renewal governance; vendor performance evidence,V7_03_org_ownership.csv,12,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-012-director-shared-services,Corporate shared services,Director Shared Services,Graham Walker,CFO,Business,140,,0,"Service center design, SLA, intake and service catalog",service catalog; SLA design; chargeback model; employee experience measurement,V7_03_org_ownership.csv,13,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-013-director-data-governance,Corporate shared services,Director Data Governance,Iris Hale,Chief Data Officer,IT,12,,26684000,"Definitions, stewardship, quality controls",semantic layer certification; data product ownership; lineage and data quality observability,V7_03_org_ownership.csv,14,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-014-director-automation-fact,Corporate shared services,Director Automation Factory,Mateo Ortiz,VP Innovation,IT,16,,20966000,RPA/AI delivery standards and production support,AI use-case intake; automation factory; 90-day value proof sprints,V7_03_org_ownership.csv,15,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-015-enterprise-architect,Corporate shared services,Enterprise Architect,Nina Santos,Corporate CIO,IT,9,,0,"Architecture standards, integration, technical debt",integration simplification; API standards; portfolio dependency map,V7_03_org_ownership.csv,16,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-016-director-change-manageme,Corporate shared services,Director Change Management,Caleb Shah,VP Innovation,Business,14,,0,"Adoption, training, stakeholder readiness",adoption roadmap; stakeholder readiness; training and communications,V7_03_org_ownership.csv,17,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-017-director-vendor-manageme,Corporate shared services,Director Vendor Management,Renee Morrison,VP Procurement,Business,8,,0,"Vendor performance, renewals, commercial governance",supplier workflow modernization; renewal governance; vendor performance evidence,V7_03_org_ownership.csv,18,tenant_file
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,OWN-HOLDCO-018-controller,Corporate shared services,Controller,Owen Bennett,CFO,Business,36,,0,"Close, consolidation, audit evidence",Kyriba control evidence; close automation; value-realization office,V7_03_org_ownership.csv,19,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-001-president,Northline leadership,President,Maya Shah,Lakeshore CEO,Business,6,,1500000000,"Owns OpCo P&L, strategy, and operating performance",Northline operating model modernization,V7_03_org_ownership.csv,20,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-002-chief-financial-officer,Northline leadership,Chief Financial Officer,Victor Ortiz,Northline President,Business,12,,0,"Owns financial performance, controls, and value proof",Northline operating model modernization,V7_03_org_ownership.csv,21,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-003-chief-operating-officer,Northline leadership,Chief Operating Officer,Elena Shah,Northline President,Business,54,,0,"Owns plant, branch, logistics, quality, and field execution",foodservice distribution and cold-chain logistics execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,22,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-004-chief-information-office,Northline leadership,Chief Information Officer,Marcus Chen,Northline President,IT,27,,32500000,"Owns OpCo technology roadmap, local systems, and corporate alignment",Northline application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,23,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-005-vp-finance,Northline leadership,VP Finance,Priya Reilly,Northline President,Business,21,,22500000,"Owns FP&A, month-end close support, and management reporting",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,24,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-006-controller,Northline leadership,Controller,Daniel Marchetti,Northline President,Business,21,,22500000,"Owns accounting controls, reconciliations, audit evidence",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,25,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-007-hr-director,Northline leadership,HR Director,Sofia Patel,Northline President,Business,15,,0,"Owns workforce planning, employee relations, HR service delivery",workforce service catalog; frontline knowledge assistant; skills/certification visibility,V7_03_org_ownership.csv,26,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-008-general-counsel-legal-le,Northline leadership,General Counsel / Legal Lead,Jordan Walker,Northline President,Business,12,,0,"Owns contracts, disputes, legal operations, compliance coordination",contract obligation evidence; compliance intake; policy-grounded AI review,V7_03_org_ownership.csv,27,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-009-vp-operations,Northline leadership,VP Operations,Leah Nguyen,Northline President,Business,54,,0,"Owns production, distribution, and service delivery performance",foodservice distribution and cold-chain logistics execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,28,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-010-vp-supply-chain,Northline leadership,VP Supply Chain,Nolan Ortiz,Northline President,Business,24,,0,"Owns procurement, planning, warehousing, logistics",foodservice distribution and cold-chain logistics execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,29,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-011-vp-commercial-operations,Northline leadership,VP Commercial Operations,Asha Santos,Northline President,Business,54,,0,"Owns sales operations, customer service, quoting",foodservice distribution and cold-chain logistics execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,30,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-012-director-data-and-analyt,Northline leadership,Director Data and Analytics,Graham Brooks,Northline President,IT,12,,0,"Owns local reporting, data stewardship, and analytics adoption",Northline operating model modernization,V7_03_org_ownership.csv,31,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-013-it-operations-manager,Northline leadership,IT Operations Manager,Iris Patel,Northline President,IT,54,,32500000,"Owns local service desk, endpoint, network, and plant/branch support",Northline application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,32,tenant_file
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,OWN-OPCO-NLS-014-business-process-owner,Northline leadership,Business Process Owner,Mateo Walker,Northline President,Business,12,,0,Owns process standardization and improvement backlog,Northline operating model modernization,V7_03_org_ownership.csv,33,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-001-president,Brightmark leadership,President,Maya Morrison,Lakeshore CEO,Business,6,,720000000,"Owns OpCo P&L, strategy, and operating performance",Brightmark operating model modernization,V7_03_org_ownership.csv,34,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-002-chief-financial-officer,Brightmark leadership,Chief Financial Officer,Victor Shah,Brightmark President,Business,5,,0,"Owns financial performance, controls, and value proof",Brightmark operating model modernization,V7_03_org_ownership.csv,35,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-003-chief-operating-officer,Brightmark leadership,Chief Operating Officer,Elena Morrison,Brightmark President,Business,23,,0,"Owns plant, branch, logistics, quality, and field execution","marketing services, promotions, loyalty operations, and fulfillment execution cockpit; exception triage; process baseline",V7_03_org_ownership.csv,36,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-004-chief-information-office,Brightmark leadership,Chief Information Officer,Marcus Okafor,Brightmark President,IT,12,,15600000,"Owns OpCo technology roadmap, local systems, and corporate alignment",Brightmark application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,37,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-005-vp-finance,Brightmark leadership,VP Finance,Priya Marchetti,Brightmark President,Business,9,,10800000,"Owns FP&A, month-end close support, and management reporting",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,38,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-006-controller,Brightmark leadership,Controller,Daniel Donnelly,Brightmark President,Business,9,,10800000,"Owns accounting controls, reconciliations, audit evidence",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,39,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-007-hr-director,Brightmark leadership,HR Director,Sofia Santos,Brightmark President,Business,7,,0,"Owns workforce planning, employee relations, HR service delivery",workforce service catalog; frontline knowledge assistant; skills/certification visibility,V7_03_org_ownership.csv,40,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-008-general-counsel-legal-le,Brightmark leadership,General Counsel / Legal Lead,Jordan Hale,Brightmark President,Business,5,,0,"Owns contracts, disputes, legal operations, compliance coordination",contract obligation evidence; compliance intake; policy-grounded AI review,V7_03_org_ownership.csv,41,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-009-vp-operations,Brightmark leadership,VP Operations,Leah Brooks,Brightmark President,Business,23,,0,"Owns production, distribution, and service delivery performance","marketing services, promotions, loyalty operations, and fulfillment execution cockpit; exception triage; process baseline",V7_03_org_ownership.csv,42,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-010-vp-supply-chain,Brightmark leadership,VP Supply Chain,Nolan Shah,Brightmark President,Business,10,,0,"Owns procurement, planning, warehousing, logistics","marketing services, promotions, loyalty operations, and fulfillment execution cockpit; exception triage; process baseline",V7_03_org_ownership.csv,43,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-011-vp-commercial-operations,Brightmark leadership,VP Commercial Operations,Asha Walker,Brightmark President,Business,23,,0,"Owns sales operations, customer service, quoting","marketing services, promotions, loyalty operations, and fulfillment execution cockpit; exception triage; process baseline",V7_03_org_ownership.csv,44,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-012-director-data-and-analyt,Brightmark leadership,Director Data and Analytics,Graham Keller,Brightmark President,IT,5,,0,"Owns local reporting, data stewardship, and analytics adoption",Brightmark operating model modernization,V7_03_org_ownership.csv,45,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-013-it-operations-manager,Brightmark leadership,IT Operations Manager,Iris Santos,Brightmark President,IT,23,,15600000,"Owns local service desk, endpoint, network, and plant/branch support",Brightmark application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,46,tenant_file
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,OWN-OPCO-BMS-014-business-process-owner,Brightmark leadership,Business Process Owner,Mateo Hale,Brightmark President,Business,5,,0,Owns process standardization and improvement backlog,Brightmark operating model modernization,V7_03_org_ownership.csv,47,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-001-president,Forge & Field leadership,President,Maya Okafor,Lakeshore CEO,Business,6,,800000000,"Owns OpCo P&L, strategy, and operating performance",Forge & Field operating model modernization,V7_03_org_ownership.csv,48,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-002-chief-financial-officer,Forge & Field leadership,Chief Financial Officer,Victor Chen,Forge & Field President,Business,5,,0,"Owns financial performance, controls, and value proof",Forge & Field operating model modernization,V7_03_org_ownership.csv,49,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-003-chief-operating-officer,Forge & Field leadership,Chief Operating Officer,Elena Okafor,Forge & Field President,Business,22,,0,"Owns plant, branch, logistics, quality, and field execution",brand-led consumer products with DTC and retail channels execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,50,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-004-chief-information-office,Forge & Field leadership,Chief Information Officer,Marcus Donnelly,Forge & Field President,IT,11,,17300000,"Owns OpCo technology roadmap, local systems, and corporate alignment",Forge & Field application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,51,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-005-vp-finance,Forge & Field leadership,VP Finance,Priya Santos,Forge & Field President,Business,8,,12000000,"Owns FP&A, month-end close support, and management reporting",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,52,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-006-controller,Forge & Field leadership,Controller,Daniel Walker,Forge & Field President,Business,8,,12000000,"Owns accounting controls, reconciliations, audit evidence",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,53,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-007-hr-director,Forge & Field leadership,HR Director,Sofia Nguyen,Forge & Field President,Business,6,,0,"Owns workforce planning, employee relations, HR service delivery",workforce service catalog; frontline knowledge assistant; skills/certification visibility,V7_03_org_ownership.csv,54,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-008-general-counsel-legal-le,Forge & Field leadership,General Counsel / Legal Lead,Jordan Keller,Forge & Field President,Business,5,,0,"Owns contracts, disputes, legal operations, compliance coordination",contract obligation evidence; compliance intake; policy-grounded AI review,V7_03_org_ownership.csv,55,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-009-vp-operations,Forge & Field leadership,VP Operations,Leah Shah,Forge & Field President,Business,22,,0,"Owns production, distribution, and service delivery performance",brand-led consumer products with DTC and retail channels execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,56,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-010-vp-supply-chain,Forge & Field leadership,VP Supply Chain,Nolan Chen,Forge & Field President,Business,10,,0,"Owns procurement, planning, warehousing, logistics",brand-led consumer products with DTC and retail channels execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,57,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-011-vp-commercial-operations,Forge & Field leadership,VP Commercial Operations,Asha Brooks,Forge & Field President,Business,22,,0,"Owns sales operations, customer service, quoting",brand-led consumer products with DTC and retail channels execution cockpit; exception triage; process baseline,V7_03_org_ownership.csv,58,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-012-director-data-and-analyt,Forge & Field leadership,Director Data and Analytics,Graham Morrison,Forge & Field President,IT,5,,0,"Owns local reporting, data stewardship, and analytics adoption",Forge & Field operating model modernization,V7_03_org_ownership.csv,59,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-013-it-operations-manager,Forge & Field leadership,IT Operations Manager,Iris Nguyen,Forge & Field President,IT,22,,17300000,"Owns local service desk, endpoint, network, and plant/branch support",Forge & Field application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,60,tenant_file
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,OWN-OPCO-FFF-014-business-process-owner,Forge & Field leadership,Business Process Owner,Mateo Keller,Forge & Field President,Business,5,,0,Owns process standardization and improvement backlog,Forge & Field operating model modernization,V7_03_org_ownership.csv,61,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-001-president,Great Lakes Pantry leadership,President,Maya Santos,Lakeshore CEO,Business,6,,540000000,"Owns OpCo P&L, strategy, and operating performance",Great Lakes Pantry operating model modernization,V7_03_org_ownership.csv,62,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-002-chief-financial-officer,Great Lakes Pantry leadership,Chief Financial Officer,Victor Patel,Great Lakes Pantry President,Business,4,,0,"Owns financial performance, controls, and value proof",Great Lakes Pantry operating model modernization,V7_03_org_ownership.csv,63,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-003-chief-operating-officer,Great Lakes Pantry leadership,Chief Operating Officer,Elena Santos,Great Lakes Pantry President,Business,18,,0,"Owns plant, branch, logistics, quality, and field execution","workplace foodservice, vending, micro-market, and route replenishment execution cockpit; exception triage; process baseline",V7_03_org_ownership.csv,64,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-004-chief-information-office,Great Lakes Pantry leadership,Chief Information Officer,Marcus Nguyen,Great Lakes Pantry President,IT,9,,11700000,"Owns OpCo technology roadmap, local systems, and corporate alignment",Great Lakes Pantry application rationalization; data quality gates; corporate platform adoption,V7_03_org_ownership.csv,65,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-005-vp-finance,Great Lakes Pantry leadership,VP Finance,Priya Keller,Great Lakes Pantry President,Business,7,,8100000,"Owns FP&A, month-end close support, and management reporting",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,66,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-006-controller,Great Lakes Pantry leadership,Controller,Daniel Ortiz,Great Lakes Pantry President,Business,7,,8100000,"Owns accounting controls, reconciliations, audit evidence",local P&L automation; billing/reconciliation evidence; margin leakage analysis,V7_03_org_ownership.csv,67,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-007-hr-director,Great Lakes Pantry leadership,HR Director,Sofia Morrison,Great Lakes Pantry President,Business,5,,0,"Owns workforce planning, employee relations, HR service delivery",workforce service catalog; frontline knowledge assistant; skills/certification visibility,V7_03_org_ownership.csv,68,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-008-general-counsel-legal-le,Great Lakes Pantry leadership,General Counsel / Legal Lead,Jordan Chen,Great Lakes Pantry President,Business,4,,0,"Owns contracts, disputes, legal operations, compliance coordination",contract obligation evidence; compliance intake; policy-grounded AI review,V7_03_org_ownership.csv,69,tenant_file
LSH-OPCO-GLP,Great Lakes Pantry Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-GLP,Great Lakes Pantry Services,OWN-OPCO-GLP-009-vp-operations,Great Lakes Pantry leadership,VP Operations,Leah Reilly,Great Lakes Pantry President,Business,18,,0,"Owns production, distribution, and service delivery performance","workplace foodservice, vending, micro-market, and route replenishment execution cockpit; exception triage; process baseline",V7_03_org_ownership.csv,70,tenant_file
