data_asset_id,data_asset_name,domain,source_systems,target_platform,data_owner,freshness,quality_score,semantic_layer_status,move_relevance
MERIDIANHEALTH-DATA-0024,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0025,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0026,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0027,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0028,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0029,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0030,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0031,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0032,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0033,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0034,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0035,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0036,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0037,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0038,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0039,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0040,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0041,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0042,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0043,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0044,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0045,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0046,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0047,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0048,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0049,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0050,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0051,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0052,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0053,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0054,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0055,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0056,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0057,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0058,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0059,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0060,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0061,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0062,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0063,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0064,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0065,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0066,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0067,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0068,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0069,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0070,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0071,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0072,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0073,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0074,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0075,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0076,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0077,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0078,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0079,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0080,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0081,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0082,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0083,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0084,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0085,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0086,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0087,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0088,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0089,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0090,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0091,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0092,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0093,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0094,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0095,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0096,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0097,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0098,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0099,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0100,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0101,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0102,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0103,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0104,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0105,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0106,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0107,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0108,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0109,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0110,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0111,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
MERIDIANHEALTH-DATA-0112,HEDIS and STAR quality mart,quality,Epic;Claims;Provider network,Databricks AWS,Chief Quality Officer,weekly target,63,partial,Provider quality performance
MERIDIANHEALTH-DATA-0113,Cost-of-care and product margin mart,finance,Claims;Contracts;GL;Capitation,Databricks AWS,CFO,monthly target,46,not_ready,Cost transparency
MERIDIANHEALTH-DATA-0114,Payment integrity pattern library,claims_integrity,Claims;Provider;FWA cases,Databricks AWS,VP Payment Integrity,daily target,55,nascent,Payment integrity leakage reduction
MERIDIANHEALTH-DATA-0115,Automated close semantic layer,finance_reporting,ERP;Claims accruals;Provider contracts,dbt semantic layer,Controller,monthly close day 2,51,not_ready,Automated close reporting
MERIDIANHEALTH-DATA-0116,Provider attribution and contract economics,provider_network,Provider contracts;Claims;Quality,Databricks AWS,Chief Network Officer,weekly target,57,partial,Provider benchmarking and margin
MERIDIANHEALTH-DATA-0117,Clinical documentation AI evidence store,clinical_ai,Epic;Ambient vendors;Audit review,Unity Catalog,Chief Medical Officer,daily target,61,partial,Ambient documentation scaling
MERIDIANHEALTH-DATA-0118,Longitudinal patient/member gold record,clinical_claims_pharmacy,Epic;Claims;Pharmacy;CRM,Databricks AWS,Chief Data Officer,target near real time,58,not_ready,Unified clinical + claims data
MERIDIANHEALTH-DATA-0119,Prior authorization evidence corpus,utilization_management,UM;Epic;Policy repo;Claims,Databricks AWS,Chief Health Plan Officer,daily target,52,not_ready,Data foundation for automation
MERIDIANHEALTH-DATA-0120,Call center transcript and intent lake,member_experience,Genesys;Salesforce;Claims;CRM,Databricks AWS,Chief Customer Experience Officer,hourly target,49,nascent,Call center optimization
