person_key,team_id,role_family,employment_type,level,location
MR-ROLE-0141,TEAM-MR-EPIC-RC,service_desk,fte,L2,Roseville
MR-ROLE-0142,TEAM-MR-EPIC-RC,product_manager,fte,L3,Oakland
MR-ROLE-0143,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L4,Remote CA
MR-ROLE-0144,TEAM-MR-EPIC-RC,analyst,contractor,director,Hybrid
MR-ROLE-0145,TEAM-MR-EPIC-RC,engineer,fte,L1,Sacramento
MR-ROLE-0146,TEAM-MR-EPIC-RC,app_specialist,fte,L2,Roseville
MR-ROLE-0147,TEAM-MR-EPIC-RC,security_engineer,fte,L3,Oakland
MR-ROLE-0148,TEAM-MR-EPIC-RC,data_engineer,fte,L4,Remote CA
MR-ROLE-0149,TEAM-MR-EPIC-RC,service_desk,fte,director,Hybrid
MR-ROLE-0150,TEAM-MR-EPIC-RC,product_manager,fte,L1,Sacramento
MR-ROLE-0151,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0152,TEAM-MR-EPIC-RC,analyst,fte,L3,Oakland
MR-ROLE-0153,TEAM-MR-EPIC-RC,engineer,contractor,L4,Remote CA
MR-ROLE-0154,TEAM-MR-EPIC-RC,app_specialist,fte,director,Hybrid
MR-ROLE-0155,TEAM-MR-EPIC-RC,security_engineer,fte,L1,Sacramento
MR-ROLE-0156,TEAM-MR-EPIC-RC,data_engineer,fte,L2,Roseville
MR-ROLE-0157,TEAM-MR-EPIC-RC,service_desk,fte,L3,Oakland
MR-ROLE-0158,TEAM-MR-EPIC-RC,product_manager,fte,L4,Remote CA
MR-ROLE-0159,TEAM-MR-EPIC-RC,clinical_informaticist,fte,director,Hybrid
MR-ROLE-0160,TEAM-MR-EPIC-RC,analyst,fte,L1,Sacramento
MR-ROLE-0161,TEAM-MR-EPIC-RC,engineer,fte,L2,Roseville
MR-ROLE-0162,TEAM-MR-EPIC-RC,app_specialist,contractor,L3,Oakland
MR-ROLE-0163,TEAM-MR-EPIC-RC,security_engineer,fte,L4,Remote CA
MR-ROLE-0164,TEAM-MR-EPIC-RC,data_engineer,fte,director,Hybrid
MR-ROLE-0165,TEAM-MR-EPIC-RC,service_desk,fte,L1,Sacramento
MR-ROLE-0166,TEAM-MR-EPIC-RC,product_manager,fte,L2,Roseville
MR-ROLE-0167,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0168,TEAM-MR-EPIC-RC,analyst,fte,L4,Remote CA
MR-ROLE-0169,TEAM-MR-EPIC-RC,engineer,fte,director,Hybrid
MR-ROLE-0170,TEAM-MR-EPIC-RC,app_specialist,fte,L1,Sacramento
MR-ROLE-0171,TEAM-MR-EPIC-RC,security_engineer,contractor,L2,Roseville
MR-ROLE-0172,TEAM-MR-EPIC-RC,data_engineer,fte,L3,Oakland
MR-ROLE-0173,TEAM-MR-EPIC-RC,service_desk,fte,L4,Remote CA
MR-ROLE-0174,TEAM-MR-EPIC-RC,product_manager,fte,director,Hybrid
MR-ROLE-0175,TEAM-MR-EPIC-RC,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0176,TEAM-MR-EPIC-RC,analyst,fte,L2,Roseville
MR-ROLE-0177,TEAM-MR-EPIC-RC,engineer,fte,L3,Oakland
MR-ROLE-0178,TEAM-MR-EPIC-RC,app_specialist,fte,L4,Remote CA
MR-ROLE-0179,TEAM-MR-EPIC-RC,security_engineer,fte,director,Hybrid
MR-ROLE-0180,TEAM-MR-EPIC-RC,data_engineer,contractor,L1,Sacramento
MR-ROLE-0181,TEAM-MR-EPIC-ANC,service_desk,fte,L2,Roseville
MR-ROLE-0182,TEAM-MR-EPIC-ANC,product_manager,fte,L3,Oakland
MR-ROLE-0183,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L4,Remote CA
MR-ROLE-0184,TEAM-MR-EPIC-ANC,analyst,fte,director,Hybrid
MR-ROLE-0185,TEAM-MR-EPIC-ANC,engineer,fte,L1,Sacramento
MR-ROLE-0186,TEAM-MR-EPIC-ANC,app_specialist,fte,L2,Roseville
MR-ROLE-0187,TEAM-MR-EPIC-ANC,security_engineer,fte,L3,Oakland
MR-ROLE-0188,TEAM-MR-EPIC-ANC,data_engineer,fte,L4,Remote CA
MR-ROLE-0189,TEAM-MR-EPIC-ANC,service_desk,contractor,director,Hybrid
MR-ROLE-0190,TEAM-MR-EPIC-ANC,product_manager,fte,L1,Sacramento
MR-ROLE-0191,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0192,TEAM-MR-EPIC-ANC,analyst,fte,L3,Oakland
MR-ROLE-0193,TEAM-MR-EPIC-ANC,engineer,fte,L4,Remote CA
MR-ROLE-0194,TEAM-MR-EPIC-ANC,app_specialist,fte,director,Hybrid
MR-ROLE-0195,TEAM-MR-EPIC-ANC,security_engineer,fte,L1,Sacramento
MR-ROLE-0196,TEAM-MR-EPIC-ANC,data_engineer,fte,L2,Roseville
MR-ROLE-0197,TEAM-MR-EPIC-ANC,service_desk,fte,L3,Oakland
MR-ROLE-0198,TEAM-MR-EPIC-ANC,product_manager,contractor,L4,Remote CA
MR-ROLE-0199,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,director,Hybrid
MR-ROLE-0200,TEAM-MR-EPIC-ANC,analyst,fte,L1,Sacramento
MR-ROLE-0201,TEAM-MR-EPIC-ANC,engineer,fte,L2,Roseville
MR-ROLE-0202,TEAM-MR-EPIC-ANC,app_specialist,fte,L3,Oakland
MR-ROLE-0203,TEAM-MR-EPIC-ANC,security_engineer,fte,L4,Remote CA
MR-ROLE-0204,TEAM-MR-EPIC-ANC,data_engineer,fte,director,Hybrid
MR-ROLE-0205,TEAM-MR-EPIC-ANC,service_desk,fte,L1,Sacramento
MR-ROLE-0206,TEAM-MR-EPIC-ANC,product_manager,fte,L2,Roseville
MR-ROLE-0207,TEAM-MR-EPIC-ANC,clinical_informaticist,contractor,L3,Oakland
MR-ROLE-0208,TEAM-MR-EPIC-ANC,analyst,fte,L4,Remote CA
MR-ROLE-0209,TEAM-MR-EPIC-ANC,engineer,fte,director,Hybrid
MR-ROLE-0210,TEAM-MR-EPIC-ANC,app_specialist,fte,L1,Sacramento
MR-ROLE-0211,TEAM-MR-EPIC-ANC,security_engineer,fte,L2,Roseville
MR-ROLE-0212,TEAM-MR-EPIC-ANC,data_engineer,fte,L3,Oakland
MR-ROLE-0213,TEAM-MR-EPIC-ANC,service_desk,fte,L4,Remote CA
MR-ROLE-0214,TEAM-MR-EPIC-ANC,product_manager,fte,director,Hybrid
MR-ROLE-0215,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0216,TEAM-MR-EPIC-ANC,analyst,contractor,L2,Roseville
MR-ROLE-0217,TEAM-MR-EPIC-ANC,engineer,fte,L3,Oakland
MR-ROLE-0218,TEAM-MR-EPIC-ANC,app_specialist,fte,L4,Remote CA
MR-ROLE-0219,TEAM-MR-EPIC-ANC,security_engineer,fte,director,Hybrid
MR-ROLE-0220,TEAM-MR-EPIC-ANC,data_engineer,fte,L1,Sacramento
MR-ROLE-0221,TEAM-MR-EPIC-ANC,service_desk,fte,L2,Roseville
MR-ROLE-0222,TEAM-MR-EPIC-ANC,product_manager,fte,L3,Oakland
MR-ROLE-0223,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L4,Remote CA
MR-ROLE-0224,TEAM-MR-EPIC-ANC,analyst,fte,director,Hybrid
MR-ROLE-0225,TEAM-MR-EPIC-ANC,engineer,contractor,L1,Sacramento
MR-ROLE-0226,TEAM-MR-EPIC-ANC,app_specialist,fte,L2,Roseville
MR-ROLE-0227,TEAM-MR-EPIC-ANC,security_engineer,fte,L3,Oakland
MR-ROLE-0228,TEAM-MR-EPIC-ANC,data_engineer,fte,L4,Remote CA
MR-ROLE-0229,TEAM-MR-EPIC-ANC,service_desk,fte,director,Hybrid
MR-ROLE-0230,TEAM-MR-EPIC-ANC,product_manager,fte,L1,Sacramento
MR-ROLE-0231,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0232,TEAM-MR-EPIC-ANC,analyst,fte,L3,Oakland
MR-ROLE-0233,TEAM-MR-EPIC-ANC,engineer,fte,L4,Remote CA
MR-ROLE-0234,TEAM-MR-EPIC-ANC,app_specialist,contractor,director,Hybrid
MR-ROLE-0235,TEAM-MR-EPIC-ANC,security_engineer,fte,L1,Sacramento
MR-ROLE-0236,TEAM-MR-EPIC-ANC,data_engineer,fte,L2,Roseville
MR-ROLE-0237,TEAM-MR-EPIC-ANC,service_desk,fte,L3,Oakland
MR-ROLE-0238,TEAM-MR-EPIC-ANC,product_manager,fte,L4,Remote CA
MR-ROLE-0239,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,director,Hybrid
MR-ROLE-0240,TEAM-MR-EPIC-ANC,analyst,fte,L1,Sacramento
MR-ROLE-0241,TEAM-MR-EPIC-ANC,engineer,fte,L2,Roseville
MR-ROLE-0242,TEAM-MR-EPIC-ANC,app_specialist,fte,L3,Oakland
MR-ROLE-0243,TEAM-MR-EPIC-ANC,security_engineer,contractor,L4,Remote CA
MR-ROLE-0244,TEAM-MR-EPIC-ANC,data_engineer,fte,director,Hybrid
MR-ROLE-0245,TEAM-MR-EPIC-ANC,service_desk,fte,L1,Sacramento
MR-ROLE-0246,TEAM-MR-EPIC-ANC,product_manager,fte,L2,Roseville
MR-ROLE-0247,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0248,TEAM-MR-EPIC-ANC,analyst,fte,L4,Remote CA
MR-ROLE-0249,TEAM-MR-EPIC-ANC,engineer,fte,director,Hybrid
MR-ROLE-0250,TEAM-MR-EPIC-ANC,app_specialist,fte,L1,Sacramento
MR-ROLE-0251,TEAM-MR-EPIC-ANC,security_engineer,fte,L2,Roseville
MR-ROLE-0252,TEAM-MR-EPIC-ANC,data_engineer,contractor,L3,Oakland
MR-ROLE-0253,TEAM-MR-EPIC-ANC,service_desk,fte,L4,Remote CA
MR-ROLE-0254,TEAM-MR-EPIC-ANC,product_manager,fte,director,Hybrid
MR-ROLE-0255,TEAM-MR-EPIC-ANC,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0256,TEAM-MR-EPIC-ANC,analyst,fte,L2,Roseville
MR-ROLE-0257,TEAM-MR-EPIC-ANC,engineer,fte,L3,Oakland
MR-ROLE-0258,TEAM-MR-EPIC-ANC,app_specialist,fte,L4,Remote CA
MR-ROLE-0259,TEAM-MR-EPIC-ANC,security_engineer,fte,director,Hybrid
MR-ROLE-0260,TEAM-MR-EPIC-ANC,data_engineer,fte,L1,Sacramento
MR-ROLE-0261,TEAM-MR-EPIC-OR-ED,service_desk,contractor,L2,Roseville
MR-ROLE-0262,TEAM-MR-EPIC-OR-ED,product_manager,fte,L3,Oakland
MR-ROLE-0263,TEAM-MR-EPIC-OR-ED,clinical_informaticist,fte,L4,Remote CA
MR-ROLE-0264,TEAM-MR-EPIC-OR-ED,analyst,fte,director,Hybrid
MR-ROLE-0265,TEAM-MR-EPIC-OR-ED,engineer,fte,L1,Sacramento
MR-ROLE-0266,TEAM-MR-EPIC-OR-ED,app_specialist,fte,L2,Roseville
MR-ROLE-0267,TEAM-MR-EPIC-OR-ED,security_engineer,fte,L3,Oakland
MR-ROLE-0268,TEAM-MR-EPIC-OR-ED,data_engineer,fte,L4,Remote CA
MR-ROLE-0269,TEAM-MR-EPIC-OR-ED,service_desk,fte,director,Hybrid
MR-ROLE-0270,TEAM-MR-EPIC-OR-ED,product_manager,contractor,L1,Sacramento
MR-ROLE-0271,TEAM-MR-EPIC-OR-ED,clinical_informaticist,fte,L2,Roseville
MR-ROLE-0272,TEAM-MR-EPIC-OR-ED,analyst,fte,L3,Oakland
MR-ROLE-0273,TEAM-MR-EPIC-OR-ED,engineer,fte,L4,Remote CA
MR-ROLE-0274,TEAM-MR-EPIC-OR-ED,app_specialist,fte,director,Hybrid
MR-ROLE-0275,TEAM-MR-EPIC-OR-ED,security_engineer,fte,L1,Sacramento
MR-ROLE-0276,TEAM-MR-EPIC-OR-ED,data_engineer,fte,L2,Roseville
MR-ROLE-0277,TEAM-MR-EPIC-OR-ED,service_desk,fte,L3,Oakland
MR-ROLE-0278,TEAM-MR-EPIC-OR-ED,product_manager,fte,L4,Remote CA
MR-ROLE-0279,TEAM-MR-EPIC-OR-ED,clinical_informaticist,contractor,director,Hybrid
MR-ROLE-0280,TEAM-MR-EPIC-OR-ED,analyst,fte,L1,Sacramento
MR-ROLE-0281,TEAM-MR-EPIC-OR-ED,engineer,fte,L2,Roseville
MR-ROLE-0282,TEAM-MR-EPIC-OR-ED,app_specialist,fte,L3,Oakland
MR-ROLE-0283,TEAM-MR-EPIC-OR-ED,security_engineer,fte,L4,Remote CA
MR-ROLE-0284,TEAM-MR-EPIC-OR-ED,data_engineer,fte,director,Hybrid
MR-ROLE-0285,TEAM-MR-EPIC-OR-ED,service_desk,fte,L1,Sacramento
MR-ROLE-0286,TEAM-MR-EPIC-OR-ED,product_manager,fte,L2,Roseville
MR-ROLE-0287,TEAM-MR-EPIC-OR-ED,clinical_informaticist,fte,L3,Oakland
MR-ROLE-0288,TEAM-MR-EPIC-OR-ED,analyst,contractor,L4,Remote CA
MR-ROLE-0289,TEAM-MR-EPIC-OR-ED,engineer,fte,director,Hybrid
MR-ROLE-0290,TEAM-MR-EPIC-OR-ED,app_specialist,fte,L1,Sacramento
MR-ROLE-0291,TEAM-MR-EPIC-OR-ED,security_engineer,fte,L2,Roseville
MR-ROLE-0292,TEAM-MR-EPIC-OR-ED,data_engineer,fte,L3,Oakland
MR-ROLE-0293,TEAM-MR-EPIC-OR-ED,service_desk,fte,L4,Remote CA
MR-ROLE-0294,TEAM-MR-EPIC-OR-ED,product_manager,fte,director,Hybrid
MR-ROLE-0295,TEAM-MR-EPIC-OR-ED,clinical_informaticist,fte,L1,Sacramento
MR-ROLE-0296,TEAM-MR-EPIC-OR-ED,analyst,fte,L2,Roseville
MR-ROLE-0297,TEAM-MR-EPIC-OR-ED,engineer,contractor,L3,Oakland
MR-ROLE-0298,TEAM-MR-EPIC-OR-ED,app_specialist,fte,L4,Remote CA
MR-ROLE-0299,TEAM-MR-EPIC-OR-ED,security_engineer,fte,director,Hybrid
MR-ROLE-0300,TEAM-MR-EPIC-OR-ED,data_engineer,fte,L1,Sacramento
MR-ROLE-0301,TEAM-MR-EPIC-OR-ED,service_desk,fte,L2,Roseville
MR-ROLE-0302,TEAM-MR-EPIC-OR-ED,product_manager,fte,L3,Oakland
