tenant_key,as_of_date,business_case_id,project_id,initiative_name,initiative_classification,primary_tool_or_platform,vendor_name,domain_key,domain_name,business_value_type,business_value_story,finance_status,committee_decision,cost_to_build_low_usd,cost_to_build_high_usd,approved_investment_usd,projected_annual_value_low_usd,projected_annual_value_high_usd,board_claimable_ytd_usd,finance_validated_ytd_usd,roi_low_multiple,roi_high_multiple,payback_months_target,benefit_realization_lag_months,success_metric,baseline_value,target_value,metric_unit,proof_needed,business_sponsor_role,finance_partner_role,cfo_approval_date,readiness_score,confidence_level,gating_constraint,value_tracking_cadence,source_system,source_record_id,extract_date,quality_state,source_object_id
meridian-health,2026-08-24,BC-MER-025,PRJ-MER-032,enterprise AI evaluation harness 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,defer,3326187,4543084,4056325,0,0,0,0,,,,3,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,61,low,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-025,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-025
meridian-health,2026-08-24,BC-MER-026,PRJ-MER-033,provider data matching remediation 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,continue,2217458,3028723,2704217,0,0,0,0,,,,6,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,VP Provider Operations,IT Finance Business Partner,,72,medium,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-026,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-026
meridian-health,2026-08-24,BC-MER-027,PRJ-MER-034,digital front door personalization wave 1,ai_use_case,Digital front door AI decisioning,Internal build,digital,Digital & Member Experience,Grow revenue,"AI improves member experience, conversion, retention, and channel containment.",finance_challenged,challenge,3510975,4795478,4281677,19135838,24520877,0,0,4,5.1,3,9,digital conversion lift,0,3.2,percent,"Show conversion, retention, channel shift, and net financial impact against baseline.",Chief Digital Officer,IT Finance Business Partner,,83,medium,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-027,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-027
meridian-health,2026-08-24,BC-MER-028,PRJ-MER-035,engineering Copilot controlled rollout 1,ai_enabled_tool_rollout,AI coding agents,OpenAI / Anthropic / Microsoft GitHub,architecture,Enterprise Architecture,Build faster,"Coding agents reduce product-development effort, lower build CAPEX, and speed releases.",cfo_approved_target,fund,2402246,3281116,2929568,14416944,19453717,0,0,4.4,5.9,3,12,software delivery capex avoided,18.4,15.1,usd_million,"Compare delivery cost, cycle time, defects, and release volume before and after rollout.",Chief Architect,IT Finance Business Partner,2026-08-15,45,high,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-028,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-028
meridian-health,2026-08-24,BC-MER-029,PRJ-MER-037,claims appeal response assistant 1,ai_assisted_automation,Prior auth document AI,Internal build,apps,Enterprise Applications,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",not_submitted,fund,2587034,3533510,3154920,16951795,19418348,0,0,4.8,5.5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Claims Operations,IT Finance Business Partner,,56,low,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-029,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-029
meridian-health,2026-08-24,BC-MER-030,PRJ-MER-038,regulated AI sandbox foundation 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,continue,3880552,5300266,4732380,0,0,0,0,,,,6,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,67,medium,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-030,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-030
meridian-health,2026-08-24,BC-MER-031,PRJ-MER-039,business glossary and value lineage cleanup 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,continue,2771822,3785904,3380271,0,0,0,0,,,,9,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,78,medium,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-031,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-031
meridian-health,2026-08-24,BC-MER-032,PRJ-MER-040,clinical inbox summarization pilot 1,ai_use_case,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",finance_challenged,challenge,4065339,5552659,4957731,22157284,29898260,0,0,4,5.4,3,12,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,,89,high,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-032,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-032
meridian-health,2026-08-24,BC-MER-033,PRJ-MER-041,Workday finance close assistant expansion 1,ai_enabled_tool_rollout,Workday AI,Workday,corporate_it,Corporate IT,Reduce cost,"AI reduces manual work in finance, claims, service, and back-office operations.",cfo_approved_target,fund,2956610,4038297,3605622,17743931,20325744,0,0,4.4,5,3,3,manual review hours avoided,1200,620,hours_per_month,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",VP Controller,IT Finance Business Partner,2026-08-15,51,low,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-033,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-033
meridian-health,2026-08-24,BC-MER-034,PRJ-MER-043,security incident narrative assistant 1,ai_assisted_automation,Security operations assistant,Microsoft,security,Cybersecurity & Risk,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",not_submitted,fund,3141399,4290691,3830974,20584321,24978201,0,0,4.8,5.8,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",CISO,IT Finance Business Partner,,62,medium,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-034,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-034
meridian-health,2026-08-24,BC-MER-035,PRJ-MER-044,AI model registry foundation 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,continue,2032669,2776329,2478865,0,0,0,0,,,,9,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,73,medium,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-035,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-035
meridian-health,2026-08-24,BC-MER-036,PRJ-MER-045,contract and policy corpus normalization 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,continue,3326187,4543084,4056325,0,0,0,0,,,,12,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,84,high,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-036,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-036
meridian-health,2026-08-24,BC-MER-037,PRJ-MER-046,member service intent detection pilot 1,ai_use_case,Contact center agent assist,Genesys,digital,Digital & Member Experience,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",finance_challenged,challenge,2217458,3028723,2704217,12085792,13844323,0,0,4,4.6,3,3,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",SVP Member Services,IT Finance Business Partner,,46,low,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-037,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-037
meridian-health,2026-08-24,BC-MER-038,PRJ-MER-047,ServiceNow virtual agent expansion 1,ai_enabled_tool_rollout,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",cfo_approved_target,fund,3510975,4795478,4281677,21070922,25568670,0,0,4.4,5.3,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Enterprise Platforms,IT Finance Business Partner,2026-08-15,57,medium,workflow adoption,monthly,AI Portfolio and Business Case Tracker,BC-MER-038,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-038
meridian-health,2026-08-24,BC-MER-039,PRJ-MER-049,clinical referral triage assistant 1,ai_assisted_automation,Epic clinical AI assist,Epic,clinical_epic,Clinical / Epic,Create capacity,"Clinical AI frees capacity by reducing documentation, triage, and access friction.",not_submitted,fund,3695763,5047871,4507028,24216847,31031740,0,0,4.8,6.1,3,9,clinical capacity released,0,4.8,fte_equivalent,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",CMIO,IT Finance Business Partner,,68,medium,control review,monthly,AI Portfolio and Business Case Tracker,BC-MER-039,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-039
meridian-health,2026-08-24,BC-MER-040,PRJ-MER-050,enterprise AI access management foundation 1,platform_foundation,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,finance_validated_actual,continue,2587034,3533510,3154920,0,0,0,0,,,,12,downstream value cases enabled,0,10,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,79,high,Finance value treatment,monthly,AI Portfolio and Business Case Tracker,BC-MER-040,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-040
meridian-health,2026-08-24,BC-MER-041,PRJ-MER-051,measurement baseline data product 1,data_readiness,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,Data & AI,Foundation,Required foundation for downstream AI value; do not count it as direct annual value until linked use cases prove benefit.,sponsor_claimed,continue,3880552,5300266,4732380,0,0,0,0,,,,3,downstream value cases enabled,0,6,count,Link this foundation to funded use cases that have measured outcomes.,Chief Data and AI Officer,IT Finance Business Partner,,90,low,baseline definition,monthly,AI Portfolio and Business Case Tracker,BC-MER-041,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-041
meridian-health,2026-08-24,BC-MER-042,PRJ-MER-052,provider service request classification 1,ai_use_case,ServiceNow Now Assist,ServiceNow,apps,Enterprise Applications,Reduce cost,"AI-assisted routing, resolution, and knowledge retrieval lower unit cost in high-volume queues.",finance_challenged,challenge,2771822,3785904,3380271,15107238,18331994,0,0,4,4.8,3,6,cost per resolved service case,41,27,usd,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",VP Provider Operations,IT Finance Business Partner,,52,medium,data quality,monthly,AI Portfolio and Business Case Tracker,BC-MER-042,2026-08-24,synthetic_review_ready,AI_USE_CASE:BC-MER-042
