kpi_observation_id,kpi_id,name,category,period_month,monthly_value,target,peer_benchmark,trend_24mo,modernization_correlation_score,client_id,client_key,segment_id,data_basis,source_artifact_path,source_ref,parser_used,approval_status,confidence,last_updated
SHA-KPI-017,customer_NPS_tier_A,customer NPS tier A,operational,2024-05,90.9,92,90,improving,0.6,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 18,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-018,mobile_app_session_conversion_pct,mobile app session conversion pct,financial,2024-06,91.6,92,90,flat,0.7,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 19,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-019,completion_factor,completion factor,customer,2025-07,77,92,90,volatile,0.8,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 20,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-020,OTP_D0,OTP D0,safety,2025-08,77.7,92,90,deteriorating,0.9,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 21,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-021,mishandled_bags_per_1k,mishandled bags per 1k,operational,2025-09,83.4,92,90,improving,0,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 22,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-022,crew_legality_recovery_minutes,crew legality recovery minutes,financial,2025-10,84.1,92,90,flat,0.1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 23,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-023,IROPs_cost_per_disruption_usd,IROPs cost per disruption usd,customer,2025-11,84.8,92,90,volatile,0.2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 24,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-024,IT_run_rate_usd,IT run rate usd,safety,2025-12,85.5,92,90,deteriorating,0.3,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 25,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-025,modernization_spend_velocity_usd,modernization spend velocity usd,operational,2025-01,86.2,92,90,improving,0.4,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 26,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-026,customer_NPS_tier_A,customer NPS tier A,financial,2025-02,91.9,92,90,flat,0.5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 27,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-027,mobile_app_session_conversion_pct,mobile app session conversion pct,customer,2025-03,92.6,92,90,volatile,0.6,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 28,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-028,completion_factor,completion factor,safety,2025-04,78,92,90,deteriorating,0.7,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 29,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-029,OTP_D0,OTP D0,operational,2025-05,78.7,92,90,improving,0.8,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 30,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-030,mishandled_bags_per_1k,mishandled bags per 1k,financial,2025-06,79.4,92,90,flat,0.9,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 31,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-031,crew_legality_recovery_minutes,crew legality recovery minutes,customer,2025-07,85.1,92,90,volatile,0,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 32,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-032,IROPs_cost_per_disruption_usd,IROPs cost per disruption usd,safety,2025-08,85.8,92,90,deteriorating,0.1,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 33,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-033,IT_run_rate_usd,IT run rate usd,operational,2025-09,86.5,92,90,improving,0.2,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 34,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-034,modernization_spend_velocity_usd,modernization spend velocity usd,financial,2025-10,87.2,92,90,flat,0.3,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 35,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-035,customer_NPS_tier_A,customer NPS tier A,customer,2025-11,87.9,92,90,volatile,0.4,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 36,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
SHA-KPI-036,mobile_app_session_conversion_pct,mobile app session conversion pct,safety,2025-12,93.6,92,90,deteriorating,0.5,6f3c8d21-9b45-4f12-8d61-4b8f7c2a9301,skyharbor-air,S14_OPERATIONAL_KPIS,synthetic_comparable,source_uploads/operational_kpi_timeseries.csv,row 37,skyharbor-structured-template-parser-v1,approved_synthetic,0.88,2026-05-27
