Metric_ID,Function,Owning_CXO,Metric_Name,Definition,Unit,Current_Value,Target_Value,Value_Stream_ID,Primary_Capability_ID
APEXRETAIL-MET-0037,cycle_time,COO,Apex Retail elapsed time for target process metric 37,Tracks elapsed time for target process for the priority transformation portfolio.,usd,53.2,65.8,VS-005,CAP-037
APEXRETAIL-MET-0038,risk_posture,CRO,Apex Retail open control and governance pressure metric 38,Tracks open control and governance pressure for the priority transformation portfolio.,percent,28.0,66.5,VS-006,CAP-038
APEXRETAIL-MET-0039,adoption,CIO,Apex Retail active usage of changed workflow metric 39,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,28.7,67.2,VS-007,CAP-039
APEXRETAIL-MET-0040,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 40,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,29.4,67.9,VS-008,CAP-040
APEXRETAIL-MET-0041,value_capture,CFO,Apex Retail benefit realization against committed value metric 41,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,30.1,68.6,VS-009,CAP-001
APEXRETAIL-MET-0042,cycle_time,COO,Apex Retail elapsed time for target process metric 42,Tracks elapsed time for target process for the priority transformation portfolio.,percent,30.8,40.6,VS-010,CAP-002
APEXRETAIL-MET-0043,risk_posture,CRO,Apex Retail open control and governance pressure metric 43,Tracks open control and governance pressure for the priority transformation portfolio.,usd,31.5,41.3,VS-011,CAP-003
APEXRETAIL-MET-0044,adoption,CIO,Apex Retail active usage of changed workflow metric 44,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,32.2,42.0,VS-012,CAP-004
APEXRETAIL-MET-0045,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 45,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,32.9,42.7,VS-013,CAP-005
APEXRETAIL-MET-0046,value_capture,CFO,Apex Retail benefit realization against committed value metric 46,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,33.6,43.4,VS-014,CAP-006
APEXRETAIL-MET-0047,cycle_time,COO,Apex Retail elapsed time for target process metric 47,Tracks elapsed time for target process for the priority transformation portfolio.,percent,34.3,44.1,VS-015,CAP-007
APEXRETAIL-MET-0048,risk_posture,CRO,Apex Retail open control and governance pressure metric 48,Tracks open control and governance pressure for the priority transformation portfolio.,percent,35.0,44.8,VS-016,CAP-008
APEXRETAIL-MET-0049,adoption,CIO,Apex Retail active usage of changed workflow metric 49,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,35.7,45.5,VS-001,CAP-009
APEXRETAIL-MET-0050,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 50,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,36.4,46.2,VS-002,CAP-010
APEXRETAIL-MET-0051,value_capture,CFO,Apex Retail benefit realization against committed value metric 51,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,37.1,46.9,VS-003,CAP-011
APEXRETAIL-MET-0052,cycle_time,COO,Apex Retail elapsed time for target process metric 52,Tracks elapsed time for target process for the priority transformation portfolio.,usd,37.8,47.6,VS-004,CAP-012
APEXRETAIL-MET-0053,risk_posture,CRO,Apex Retail open control and governance pressure metric 53,Tracks open control and governance pressure for the priority transformation portfolio.,percent,38.5,48.3,VS-005,CAP-013
APEXRETAIL-MET-0054,adoption,CIO,Apex Retail active usage of changed workflow metric 54,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,39.2,49.0,VS-006,CAP-014
APEXRETAIL-MET-0055,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 55,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,39.9,49.7,VS-007,CAP-015
APEXRETAIL-MET-0056,value_capture,CFO,Apex Retail benefit realization against committed value metric 56,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,40.6,50.4,VS-008,CAP-016
APEXRETAIL-MET-0057,cycle_time,COO,Apex Retail elapsed time for target process metric 57,Tracks elapsed time for target process for the priority transformation portfolio.,percent,41.3,51.1,VS-009,CAP-017
APEXRETAIL-MET-0058,risk_posture,CRO,Apex Retail open control and governance pressure metric 58,Tracks open control and governance pressure for the priority transformation portfolio.,usd,42.0,51.8,VS-010,CAP-018
APEXRETAIL-MET-0059,adoption,CIO,Apex Retail active usage of changed workflow metric 59,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,42.7,52.5,VS-011,CAP-019
APEXRETAIL-MET-0060,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 60,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,43.4,53.2,VS-012,CAP-020
APEXRETAIL-MET-0061,value_capture,CFO,Apex Retail benefit realization against committed value metric 61,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,44.1,53.9,VS-013,CAP-021
APEXRETAIL-MET-0062,cycle_time,COO,Apex Retail elapsed time for target process metric 62,Tracks elapsed time for target process for the priority transformation portfolio.,percent,44.8,54.6,VS-014,CAP-022
APEXRETAIL-MET-0063,risk_posture,CRO,Apex Retail open control and governance pressure metric 63,Tracks open control and governance pressure for the priority transformation portfolio.,percent,45.5,55.3,VS-015,CAP-023
APEXRETAIL-MET-0064,adoption,CIO,Apex Retail active usage of changed workflow metric 64,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,46.2,56.0,VS-016,CAP-024
APEXRETAIL-MET-0065,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 65,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,46.9,56.7,VS-001,CAP-025
APEXRETAIL-MET-0066,value_capture,CFO,Apex Retail benefit realization against committed value metric 66,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,47.6,57.4,VS-002,CAP-026
APEXRETAIL-MET-0067,cycle_time,COO,Apex Retail elapsed time for target process metric 67,Tracks elapsed time for target process for the priority transformation portfolio.,usd,48.3,58.1,VS-003,CAP-027
APEXRETAIL-MET-0068,risk_posture,CRO,Apex Retail open control and governance pressure metric 68,Tracks open control and governance pressure for the priority transformation portfolio.,percent,49.0,58.8,VS-004,CAP-028
APEXRETAIL-MET-0069,adoption,CIO,Apex Retail active usage of changed workflow metric 69,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,49.7,59.5,VS-005,CAP-029
APEXRETAIL-MET-0070,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 70,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,50.4,60.2,VS-006,CAP-030
APEXRETAIL-MET-0071,value_capture,CFO,Apex Retail benefit realization against committed value metric 71,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,51.1,60.9,VS-007,CAP-031
APEXRETAIL-MET-0072,cycle_time,COO,Apex Retail elapsed time for target process metric 72,Tracks elapsed time for target process for the priority transformation portfolio.,percent,51.8,61.6,VS-008,CAP-032
APEXRETAIL-MET-0073,risk_posture,CRO,Apex Retail open control and governance pressure metric 73,Tracks open control and governance pressure for the priority transformation portfolio.,usd,52.5,62.3,VS-009,CAP-033
APEXRETAIL-MET-0074,adoption,CIO,Apex Retail active usage of changed workflow metric 74,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,53.2,63.0,VS-010,CAP-034
APEXRETAIL-MET-0075,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 75,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,28.0,63.7,VS-011,CAP-035
APEXRETAIL-MET-0076,value_capture,CFO,Apex Retail benefit realization against committed value metric 76,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,28.7,64.4,VS-012,CAP-036
APEXRETAIL-MET-0077,cycle_time,COO,Apex Retail elapsed time for target process metric 77,Tracks elapsed time for target process for the priority transformation portfolio.,percent,29.4,65.1,VS-013,CAP-037
APEXRETAIL-MET-0078,risk_posture,CRO,Apex Retail open control and governance pressure metric 78,Tracks open control and governance pressure for the priority transformation portfolio.,percent,30.1,65.8,VS-014,CAP-038
APEXRETAIL-MET-0079,adoption,CIO,Apex Retail active usage of changed workflow metric 79,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,30.8,66.5,VS-015,CAP-039
APEXRETAIL-MET-0080,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 80,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,31.5,67.2,VS-016,CAP-040
APEXRETAIL-MET-0081,value_capture,CFO,Apex Retail benefit realization against committed value metric 81,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,32.2,67.9,VS-001,CAP-001
APEXRETAIL-MET-0082,cycle_time,COO,Apex Retail elapsed time for target process metric 82,Tracks elapsed time for target process for the priority transformation portfolio.,usd,32.9,68.6,VS-002,CAP-002
APEXRETAIL-MET-0083,risk_posture,CRO,Apex Retail open control and governance pressure metric 83,Tracks open control and governance pressure for the priority transformation portfolio.,percent,33.6,40.6,VS-003,CAP-003
APEXRETAIL-MET-0084,adoption,CIO,Apex Retail active usage of changed workflow metric 84,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,34.3,41.3,VS-004,CAP-004
APEXRETAIL-MET-0085,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 85,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,35.0,42.0,VS-005,CAP-005
APEXRETAIL-MET-0086,value_capture,CFO,Apex Retail benefit realization against committed value metric 86,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,35.7,42.7,VS-006,CAP-006
APEXRETAIL-MET-0087,cycle_time,COO,Apex Retail elapsed time for target process metric 87,Tracks elapsed time for target process for the priority transformation portfolio.,percent,36.4,43.4,VS-007,CAP-007
APEXRETAIL-MET-0088,risk_posture,CRO,Apex Retail open control and governance pressure metric 88,Tracks open control and governance pressure for the priority transformation portfolio.,usd,37.1,44.1,VS-008,CAP-008
APEXRETAIL-MET-0089,adoption,CIO,Apex Retail active usage of changed workflow metric 89,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,37.8,44.8,VS-009,CAP-009
APEXRETAIL-MET-0090,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 90,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,38.5,45.5,VS-010,CAP-010
APEXRETAIL-MET-0091,value_capture,CFO,Apex Retail benefit realization against committed value metric 91,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,39.2,46.2,VS-011,CAP-011
APEXRETAIL-MET-0092,cycle_time,COO,Apex Retail elapsed time for target process metric 92,Tracks elapsed time for target process for the priority transformation portfolio.,percent,39.9,46.9,VS-012,CAP-012
APEXRETAIL-MET-0093,risk_posture,CRO,Apex Retail open control and governance pressure metric 93,Tracks open control and governance pressure for the priority transformation portfolio.,percent,40.6,47.6,VS-013,CAP-013
APEXRETAIL-MET-0094,adoption,CIO,Apex Retail active usage of changed workflow metric 94,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,41.3,48.3,VS-014,CAP-014
APEXRETAIL-MET-0095,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 95,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,42.0,49.0,VS-015,CAP-015
APEXRETAIL-MET-0096,value_capture,CFO,Apex Retail benefit realization against committed value metric 96,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,42.7,49.7,VS-016,CAP-016
APEXRETAIL-MET-0097,cycle_time,COO,Apex Retail elapsed time for target process metric 97,Tracks elapsed time for target process for the priority transformation portfolio.,usd,43.4,50.4,VS-001,CAP-017
APEXRETAIL-MET-0098,risk_posture,CRO,Apex Retail open control and governance pressure metric 98,Tracks open control and governance pressure for the priority transformation portfolio.,percent,44.1,51.1,VS-002,CAP-018
APEXRETAIL-MET-0099,adoption,CIO,Apex Retail active usage of changed workflow metric 99,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,44.8,51.8,VS-003,CAP-019
APEXRETAIL-MET-0100,cost_to_serve,CFO,Apex Retail unit cost across served population or customer journey metric 100,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,45.5,52.5,VS-004,CAP-020
