"tenant","page","tab","component","rendered_value","generated_by","deterministic_object","storage_location","source_layer","source_files","refreshed_at","claude_prompt_file","claude_response_file","notes"
"meridian-health","Enterprise Dimensions / Business Functions","Gaps","Dimension gaps","1. missing: Finance and Actuarial function not yet fully active (candidate status) | blocks: Cost transparency and automated close use cases lack a confirmed finance function owner | needed: CFO sign-off on function scope and evidence ownership | handoff: CFO / Finance and Actuarial
2. missing: No formal data governance function identified | blocks: Semantic layer and AI audit trail evidence cannot be assigned to an owner | needed: CDAO to establish data governance operating model with named stewards | handoff: CDAO / Data Platform","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.functions","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/01_business_functions.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Business Functions","Evidence","Evidence cards","1. name: Business Functions CSV | type: doc | date: 2026-07-16 | rows: 223 | facts: 7 active functions; 217 candidate rows from executive interview alignment | st: source-backed | fields: business_name, context_item, confidence, active_candidate_status, evidence_id | supports: Function inventory and executive use case alignment | missing: Data governance function; finance function owner certification","Claude-derived or approved story fallback plus canonical rows","design_slots.EVID.functions","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/01_business_functions.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Org Ownership","Summary","Dimension header summary","key: org | name: Org Ownership | count: 223 | status: source-backed | pct: 90% | evCount: 223 | summary: Ownership is mapped to CDAO, CMO, Health Plan COO, VP Quality, CFO, CXO, and CDIO roles, but named accountable executives and decision rights still need client confirmation. | covers: 1. Enterprise Data and Analytics
2. Clinical Operations
3. Health Plan Operations
4. Quality and Provider Performance | sources: 1. 02_org_ownership.csv
2. MER-V3-EVID-0002
3. MER-V3-EVID-0003
4. MER-V3-EVID-0004","Claude-derived or approved story fallback plus canonical rows","design_slots.DIMS[org]","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Org Ownership","Summary","Story card","meaning: Meridian's operating model is cross-functional: enterprise data, clinical operations, health plan operations, finance, quality, experience, and platform security all have a stake in the AI foundation. | observed: The ownership map shows CDAO-led data governance needs, CMO and health-plan operational demand, CFO value oversight, and CDIO platform/security dependencies. | matters: A McKinsey-style read would not start with tools; it would align decision rights first, because AI Agent Assist and lakehouse work cut across clinical, claims, finance, contact center, and platform teams. | supports: Supports executive alignment, governance workshop design, Moves phase gates, and owner-specific evidence asks.","Claude-derived or approved story fallback plus canonical rows","design_slots.STORY.org","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Org Ownership","Summary","Insight findings","findings: 1. The CDAO/CDIO/CFO axis is the critical governance triangle: data ownership, platform readiness, and value proof must move together.
2. Clinical and health-plan owners create the demand signal, but cannot safely scale AI without certified data products and a patient/member identity spine.
3. Next validation: named accountable leaders, decision rights, and steering cadence for each priority use case. | breakdown: title: Org Ownership evidence posture | rows: 1. label: Source rows | value: 223 | note: Canonical input rows available to the Home data tab.
2. label: Evidence references | value: 223 | note: Evidence identifiers visible in the context layer.
3. label: Readiness | value: Decision-grade | note: Derived from confidence mix and known evidence boundaries.","Claude-derived or approved story fallback plus canonical rows","design_slots.INSIGHTS.org","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Org Ownership","Data","Data table projection","row_count: 223 | source_file: datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv | filter_fields:  | columns: 1. k: business_name | label: Business Name
2. k: owner_role | label: Owner Role
3. k: operating_model | label: Operating Model
4. k: metrics_or_kpis | label: Metrics Or Kpis
5. k: processes | label: Processes
6. k: confidence | label: Confidence | pill: status
7. k: context_item | label: Context Item
8. k: dimension | label: Dimension
9. k: evidence_id | label: Evidence Id | sample_rows: 1. business_name: Enterprise Data and Analytics | owner_role: CDAO | operating_model: central platform plus distributed analysts | metrics_or_kpis: pipeline reliability; certified semantic layer adoption; evidence-backed AI readiness | processes: data intake; data product certification; dashboard modernization; analytics demand management | confidence: high | context_item: Enterprise Data and Analytics | dimension: 02_org_ownership | evidence_id: MER-V3-EVID-0002
2. business_name: Clinical Operations | owner_role: CMO | operating_model: clinical service-line and informatics partnership | metrics_or_kpis: care quality; clinical workflow adoption; care gap closure | processes: clinical documentation; care management; longitudinal patient view | confidence: high | context_item: Clinical Operations | dimension: 02_org_ownership | evidence_id: MER-V3-EVID-0003
3. business_name: Health Plan Operations | owner_role: Health Plan COO | operating_model: payer operations with claims, pharmacy, UM, and member service | metrics_or_kpis: prior authorization turnaround; claims quality; call containment | processes: prior authorization; utilization management; claims operations; member support | confidence: high | context_item: Health Plan Operations | dimension: 02_org_ownership | evidence_id: MER-V3-EVID-0004
4. business_name: Quality and Provider Performance | owner_role: VP Quality | operating_model: quality analytics and provider performance operating model | metrics_or_kpis: HEDIS; STAR; attribution accuracy; provider benchmarking adoption | processes: measure logic; provider attribution; care gap analytics | confidence: medium | context_item: Quality and Provider Performance | dimension: 02_org_ownership | evidence_id: MER-V3-EVID-0005
5. business_name: Finance and Actuarial | owner_role: CFO | operating_model: finance analytics, actuarial, controller, and reporting teams | metrics_or_kpis: close cycle; cost-of-care visibility; margin by product/provider/population | processes: financial reporting; cost transparency; payment integrity; close automation | confidence: high | context_item: Finance and Actuarial | dimension: 02_org_ownership | evidence_id: MER-V3-EVID-0006","Deterministic full-row projection from canonical CSV; render all rows with filters","design_slots.DATA.org","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json","Full rows are in design-contract-pack.json; review table shows first 5 only."
"meridian-health","Enterprise Dimensions / Org Ownership","Relationships","Relationship story","chain: 1. Function
2. Decision owner
3. Program
4. Gate | note: Relationship interpretation is advisory until cross-domain links are validated against source evidence.","Claude-derived or approved story fallback plus canonical rows","design_slots.REL.org","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv; 12_relationships.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Org Ownership","Gaps","Dimension gaps","","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.org","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Org Ownership","Evidence","Evidence cards","1. name: 02_org_ownership.csv | type: Canonical input | date: Jul 2026 | rows: 223 | facts: 223 | st: source-backed | fields: business_name, context_item, confidence, active_candidate_status, evidence_id | supports: Org Ownership | missing: Named client validation where required","Claude-derived or approved story fallback plus canonical rows","design_slots.EVID.org","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/02_org_ownership.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Workforce Roles","Summary","Dimension header summary","key: workforce | name: Workforce Roles | count: 216 | status: source-backed | pct: 90% | evCount: 216 | summary: Executive interview evidence shows the workforce problem is not headcount; it is readiness to shift 120+ analytics resources from ad hoc maintenance toward governed data products and AI-enabled workflows. | covers: 1. CEO / Enterprise Strategy: Unified clinical + claims lakehouse
2. CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation
3. CEO / Enterprise Strategy: Call center optimization
4. CEO / Enterprise Strategy: Provider quality and performance | sources: 1. 03_workforce_roles.csv
2. MER-SA07-INT-EVID-0001
3. MER-SA07-INT-EVID-0002
4. MER-SA07-INT-EVID-0003","Claude-derived or approved story fallback plus canonical rows","design_slots.DIMS[workforce]","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Workforce Roles","Summary","Story card","meaning: The workforce layer captures how strategy, operating model, vendor, platform, and data concerns show up in executive interviews and role-level adoption risk. | observed: Interview-derived rows repeatedly point to maintenance-heavy analytics demand, unresolved governance, unclear ownership, and use-case teams waiting on the same data foundation prerequisites. | matters: AI Agent Assist is a work redesign, not a chatbot deployment. Agent workflows, analytics teams, clinical informatics, and contact-center operators all need evidence-backed changes to roles, controls, and adoption metrics. | supports: Supports change-impact framing, adoption risk review, workshop planning, and Moves evidence gates.","Claude-derived or approved story fallback plus canonical rows","design_slots.STORY.workforce","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Workforce Roles","Summary","Insight findings","findings: 1. The labor bottleneck is capacity trapped in maintenance and ad hoc reporting, not lack of AI ideas.
2. Agent Assist readiness depends on workflow ownership, transcript governance, identity linkage, and real-time integration evidence.
3. Next validation: current analytics staffing mix, call-center roles, operating procedures, and adoption baselines. | breakdown: title: Workforce Roles evidence posture | rows: 1. label: Source rows | value: 216 | note: Canonical input rows available to the Home data tab.
2. label: Evidence references | value: 216 | note: Evidence identifiers visible in the context layer.
3. label: Readiness | value: Decision-grade | note: Derived from confidence mix and known evidence boundaries.","Claude-derived or approved story fallback plus canonical rows","design_slots.INSIGHTS.workforce","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Workforce Roles","Data","Data table projection","row_count: 216 | source_file: datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv | filter_fields:  | columns: 1. k: interview_group | label: Interview Group
2. k: priority_theme | label: Priority Theme
3. k: decision_supported | label: Decision Supported
4. k: evidence_needed | label: Evidence Needed
5. k: known_challenge | label: Known Challenge
6. k: confidence | label: Confidence | pill: status
7. k: business_name | label: Business Name
8. k: context_item | label: Context Item
9. k: dimension | label: Dimension | sample_rows: 1. interview_group: CEO / Enterprise Strategy | priority_theme: strategy | decision_supported: Unified clinical + claims lakehouse phase-gate and evidence-readiness decision | evidence_needed: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | known_challenge: No certified medallion architecture | confidence: medium | business_name: CEO / Enterprise Strategy: Unified clinical + claims lakehouse | context_item: CEO / Enterprise Strategy says Unified clinical + claims lakehouse is promising, but strategy is not decision-grade until Epic Clarity evidence closes: No certified medallion architecture. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet. | dimension: 03_workforce_roles
2. interview_group: CEO / Enterprise Strategy | priority_theme: operating model | decision_supported: Governed data foundation for AI / LLM automation phase-gate and evidence-readiness decision | evidence_needed: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | known_challenge: No certified semantic layer | confidence: high | business_name: CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation | context_item: CEO / Enterprise Strategy says Governed data foundation for AI / LLM automation is promising, but operating model is not decision-grade until SQL Server reporting marts evidence closes: No certified semantic layer. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet. | dimension: 03_workforce_roles
3. interview_group: CEO / Enterprise Strategy | priority_theme: vendor | decision_supported: Call center optimization phase-gate and evidence-readiness decision | evidence_needed: Transcript governance not yet evidenced; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven | known_challenge: Intent taxonomy not certified | confidence: high | business_name: CEO / Enterprise Strategy: Call center optimization | context_item: CEO / Enterprise Strategy says Call center optimization is promising, but vendor is not decision-grade until Claims administration platform evidence closes: Intent taxonomy not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet. | dimension: 03_workforce_roles
4. interview_group: CEO / Enterprise Strategy | priority_theme: platform | decision_supported: Provider quality and performance phase-gate and evidence-readiness decision | evidence_needed: Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven | known_challenge: Near-real-time quality layer not proven | confidence: high | business_name: CEO / Enterprise Strategy: Provider quality and performance | context_item: CEO / Enterprise Strategy says Provider quality and performance is promising, but platform is not decision-grade until Power BI reporting estate evidence closes: Near-real-time quality layer not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet. | dimension: 03_workforce_roles
5. interview_group: CEO / Enterprise Strategy | priority_theme: data | decision_supported: End-to-end cost transparency phase-gate and evidence-readiness decision | evidence_needed: Provider contract terms not digitized in governed form; Claims and GL calendar alignment not proven; Cost allocation rules not yet evidenced; Margin semantic model not certified | known_challenge: Provider contract terms not digitized in governed form | confidence: medium | business_name: CEO / Enterprise Strategy: End-to-end cost transparency | context_item: CEO / Enterprise Strategy says End-to-end cost transparency is promising, but data is not decision-grade until Claims administration platform evidence closes: Provider contract terms not digitized in governed form. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet. | dimension: 03_workforce_roles","Deterministic full-row projection from canonical CSV; render all rows with filters","design_slots.DATA.workforce","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json","Full rows are in design-contract-pack.json; review table shows first 5 only."
"meridian-health","Enterprise Dimensions / Workforce Roles","Relationships","Relationship story","chain: 1. Role
2. Workflow
3. Adoption
4. Outcome | note: Relationship interpretation is advisory until cross-domain links are validated against source evidence.","Claude-derived or approved story fallback plus canonical rows","design_slots.REL.workforce","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv; 12_relationships.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Workforce Roles","Gaps","Dimension gaps","1. missing: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Moves
2. missing: No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not yet evidenced | blocks: Decision-grade dependency, value, or execution claims | needed: Client-confirmed ownership, baseline, lineage, or source evidence | handoff: Moves","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.workforce","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Workforce Roles","Evidence","Evidence cards","1. name: 03_workforce_roles.csv | type: Canonical input | date: Jul 2026 | rows: 216 | facts: 216 | st: source-backed | fields: business_name, context_item, confidence, active_candidate_status, evidence_needed | supports: Workforce Roles | missing: No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready","Claude-derived or approved story fallback plus canonical rows","design_slots.EVID.workforce","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/03_workforce_roles.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Applications & Systems","Summary","Dimension header summary","key: apps | name: Applications & Systems | count: 231 | status: source-backed | pct: 90% | evCount: 231 | summary: 15 systems are confirmed across clinical, analytics, claims, member services, finance, and target platform categories. Epic (Hyperspace, Clarity, Caboodle) is the critical clinical core. SQL Server, Tableau, Power BI, and SAS form a fragmented on-prem analytics estate. AWS and Databricks are aspirational target platforms — not yet production-ready. | covers: 1. System inventory
2. Lifecycle status
3. Integration dependencies
4. Target platform direction | sources: 1. MER-V3-EVID-0040
2. MER-V3-EVID-0041
3. MER-V3-EVID-0042
4. MER-V3-EVID-0043
5. MER-V3-EVID-0044
6. MER-V3-EVID-0045
7. MER-V3-EVID-0046
8. MER-V3-EVID-0047
9. MER-V3-EVID-0053
10. MER-V3-EVID-0054","Claude-derived or approved story fallback plus canonical rows","design_slots.DIMS[apps]","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Applications & Systems","Summary","Story card","meaning: Meridian's application landscape is a classic integrated health system pattern: a strong Epic clinical core surrounded by a fragmented analytics estate built on SQL Server marts, with multiple BI tools (Tableau, Power BI) creating duplicated metric definitions and ungoverned extract chains. | observed: 12 active systems; 3 candidate (Tableau, CRM, Databricks). AWS and Databricks carry aspirational_not_ready lifecycle status. | matters: The SQL Server mart sprawl is the primary technical debt blocking the lakehouse and governance use cases. The outsourced managed services provider consuming ~80% of capacity on maintaining this estate limits net-new delivery. | supports: System-to-use-case dependency mapping and evidence closure sequencing.","Claude-derived or approved story fallback plus canonical rows","design_slots.STORY.apps","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Applications & Systems","Summary","Insight findings","findings: 1. Epic Clarity is the critical evidence source for the lakehouse use case — its medallion architecture design must be certified first.
2. SQL Server reporting marts are fragmented with duplicated business rules across SSIS, SQL Agent, Tableau, Power BI, and SAS feeds — the root cause of the semantic layer gap.
3. AWS and Databricks are confirmed as target direction but carry no production analytics evidence. The planned S3/Unity Catalog/Delta integration has no certified medallion architecture.
4. The provider contract repository is in current_manual lifecycle — terms are in documents, not governed digital form. | breakdown: title: System Lifecycle Distribution | rows: 1. label: Current Core (Critical) | value: 5 systems | note: Epic suite, Claims, Pharmacy, GL, Contact Center
2. label: Current Reporting | value: 3 systems | note: Tableau, SAS, Power BI
3. label: Fragmented Current State | value: 1 system | note: SQL Server reporting marts
4. label: Current Manual | value: 1 system | note: Provider contract repository
5. label: Aspirational / Not Ready | value: 2 systems | note: AWS analytics foundation, Databricks on AWS","Claude-derived or approved story fallback plus canonical rows","design_slots.INSIGHTS.apps","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Applications & Systems","Data","Data table projection","row_count: 231 | source_file: datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv | filter_fields:  | columns: 1. k: business_name | label: Business Name
2. k: capability | label: Capability
3. k: owner | label: Owner
4. k: criticality | label: Criticality
5. k: lifecycle_status | label: Lifecycle Status
6. k: integrations | label: Integrations
7. k: data_dependencies | label: Data Dependencies
8. k: confidence | label: Confidence | pill: status
9. k: context_item | label: Context Item | sample_rows: 1. business_name: Epic Hyperspace | capability: clinical_ehr | owner: Clinical Platforms | criticality: critical | lifecycle_status: current_core | integrations: Epic Bridges; Clarity; Caboodle | data_dependencies: encounters; orders; results; clinical workflows | confidence: high | context_item: Epic Hyperspace
2. business_name: Epic Clarity | capability: clinical_reporting_repository | owner: Epic Analytics | criticality: critical | lifecycle_status: current_core | integrations: SQL Server extracts; Caboodle; Tableau | data_dependencies: clinical reporting; encounter data; quality extracts | confidence: high | context_item: Epic Clarity
3. business_name: Epic Caboodle | capability: clinical_warehouse | owner: Epic Analytics | criticality: high | lifecycle_status: current_core | integrations: Clarity ETL; Cogito; BI tools | data_dependencies: curated Epic clinical model; quality reporting | confidence: high | context_item: Epic Caboodle
4. business_name: On-prem SQL Server reporting marts | capability: legacy_reporting_marts | owner: Enterprise Data Warehouse | criticality: critical | lifecycle_status: fragmented_current_state | integrations: SSIS; SQL Agent; Tableau extracts; Power BI gateway; SAS feeds | data_dependencies: departmental marts; duplicated business rules; extract chains | confidence: medium | context_item: On-prem SQL Server reporting marts
5. business_name: Tableau reporting estate | capability: business_intelligence | owner: BI and Analytics | criticality: high | lifecycle_status: current_reporting | integrations: SQL Server marts; Caboodle extracts | data_dependencies: dashboards; extracts; local metric definitions | confidence: high | context_item: Tableau reporting estate","Deterministic full-row projection from canonical CSV; render all rows with filters","design_slots.DATA.apps","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json","Full rows are in design-contract-pack.json; review table shows first 5 only."
"meridian-health","Enterprise Dimensions / Applications & Systems","Relationships","Relationship story","chain: 1. Epic Clarity → SQL Server Marts → Tableau/Power BI/SAS → Reporting Outputs
2. Claims Platform → SQL Server Marts → Payment Integrity Models
3. AWS + Databricks → Target Lakehouse (planned) | note: The current extract chain runs from Epic Clarity through SQL Server to BI tools. The target state replaces this with a Databricks medallion architecture — but no certified design exists yet.","Claude-derived or approved story fallback plus canonical rows","design_slots.REL.apps","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv; 12_relationships.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
"meridian-health","Enterprise Dimensions / Applications & Systems","Gaps","Dimension gaps","1. missing: No certified medallion architecture for AWS/Databricks | blocks: Lakehouse use case cannot advance; no bronze/silver/gold data products are evidenced | needed: Architecture design and certification from Data Platform / CTO | handoff: CTO / Technology Platform / Data Platform
2. missing: Provider contract repository in manual lifecycle — terms not digitized | blocks: Cost transparency and provider quality use cases cannot produce governed contract outputs | needed: Digitization scope and governed extract design from Network Contracting | handoff: Network Contracting / CFO","Claude-derived or approved story fallback plus canonical rows","design_slots.DGAPS.apps","datasets/tenant-inputs/meridian-health/approved-content/home/design-contract-pack.json","canonical tenant inputs + executive interviews + approved Home design contract","datasets/tenant-inputs/meridian-health/standard-2026-07-v3/04_applications_systems.csv; 11_risks_controls.csv; 13_evidence_sources.csv","2026-07-17T17:47:36.422Z","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/actual-claude-prompt.txt","/Users/anand/Projects/nexus/reports/home-knowledge-design-contract/raw-claude-response.json",""
