system_id,system_name,vendor,version,deployment_model,domain,owner_person_id,annual_cost_usd,renewal_date,business_criticality,technical_debt_rating,data_sensitivity,integration_count,description,scope
system:firstcapital:zelle-network,Zelle Network Connector,Early Warning Services,n/a,SaaS,Payments,person:firstcapital:kira-tanaka-riveras,1850000,2026-06-30,High,Low,Restricted,22,P2P Zelle integration for consumer banking app.,system
system:firstcapital:rtp-network,TCH RTP Connector,The Clearing House,2024.1,Hybrid,Payments,person:firstcapital:kira-tanaka-riveras,1200000,2027-01-31,High,Low,Restricted,18,TCH Real-Time Payments network connectivity (parallel to FedNow).,system
system:firstcapital:swift-platform,SWIFT Alliance Access,SWIFT,Alliance Access 7.6,On-Premises,Payments,person:firstcapital:kira-tanaka-riveras,1450000,2026-04-30,Critical,Medium,Restricted,34,Cross-border messaging + sanctioned-payments screening.,system
system:firstcapital:fis-charlotte,FIS Wealth Management Charlotte,FIS Global,2024.3,Hosted,Wealth Management,person:firstcapital:taro-pellegrini-park,18200000,2027-12-31,Critical,High,Restricted,94,"Advisor desktop, portfolio management, client reporting.",system
system:firstcapital:fis-trust-3000,FIS TrustPortal 3000,FIS Global,2024.1,Hosted,Trust Services,person:firstcapital:taro-pellegrini-park,9400000,2027-12-31,Critical,High,Restricted,58,Trust accounting + estate administration.,system
system:firstcapital:fundamentals-pms,Fundamentals Portfolio Management,Refinitiv,FundamentalsPro 2024,SaaS,Wealth Management,person:firstcapital:taro-pellegrini-park,4800000,2026-10-31,High,Medium,Restricted,42,Portfolio analytics + research integration.,system
system:firstcapital:blackrock-aladdin,BlackRock Aladdin Wealth,BlackRock,2025,SaaS,Wealth Management,person:firstcapital:imogen-ferraro-bjornsson,6200000,2027-06-30,High,Low,Restricted,38,Risk and portfolio analytics for advisors managing complex portfolios.,system
system:firstcapital:envestnet-tamarac,Envestnet Tamarac,Envestnet,2025.1,SaaS,Wealth Management,person:firstcapital:cassius-wojcik-park,3100000,2026-09-30,High,Low,Restricted,32,Reporting + rebalancing for self-directed and advised brokerage.,system
system:firstcapital:pershing-clearing,Pershing NetX360 Clearing,BNY Pershing,2024.4,SaaS,Wealth Management,person:firstcapital:cassius-wojcik-park,7800000,2027-03-31,Critical,Medium,Restricted,52,Brokerage clearing platform; equities + fixed income + mutual funds.,system
system:firstcapital:bloomberg-terminal,Bloomberg Terminal Subscriptions,Bloomberg,2025,SaaS,Markets,person:firstcapital:persephone-quinn-aboagye,8400000,2026-12-31,Critical,Low,Restricted,34,"126 active terminals across trading, treasury, and capital markets.",system
system:firstcapital:refinitiv-eikon,Refinitiv Eikon,Refinitiv (LSEG),2024.4,SaaS,Markets,person:firstcapital:persephone-quinn-aboagye,2800000,2026-09-30,High,Low,Restricted,22,Market data + research platform; secondary to Bloomberg.,system
system:firstcapital:calypso-treasury,Calypso Treasury Platform,Adenza (Nasdaq),16.2,On-Premises,Treasury,person:firstcapital:otis-brennan-mwale,6600000,2027-06-30,Critical,High,Restricted,78,Bank treasury operations + ALM + market-risk analytics.,system
system:firstcapital:murex-trading,Murex MX.3 Trading Platform,Murex,3.1.50,On-Premises,Markets,person:firstcapital:persephone-quinn-aboagye,7200000,2027-09-30,Critical,High,Restricted,64,"Front-to-back trading + risk for fixed income, FX, derivatives.",system
system:firstcapital:fis-front-arena,FIS Front Arena,FIS Global,2024.2,Hosted,Markets,person:firstcapital:persephone-quinn-aboagye,4200000,2027-12-31,High,Medium,Restricted,38,Trading and risk for fixed-income market-making desk.,system
system:firstcapital:bloomberg-aim,Bloomberg AIM,Bloomberg,2024,SaaS,Markets,person:firstcapital:imogen-ferraro-bjornsson,1800000,2026-12-31,High,Low,Restricted,24,Asset Investment Management for in-house portfolios.,system
system:firstcapital:sas-risk-engine,SAS Risk Engine,SAS Institute,2024.3,On-Premises,Risk Management,person:firstcapital:quentin-olabode-reyes,5800000,2027-04-30,Critical,High,Restricted,56,Credit risk + economic capital + CCAR stress testing.,system
system:firstcapital:moodys-risk-frontier,Moodys RiskFrontier,Moodys Analytics,2024,SaaS,Risk Management,person:firstcapital:quentin-olabode-reyes,2400000,2026-08-31,High,Low,Restricted,22,Credit portfolio analytics + EL/UL modeling.,system
system:firstcapital:axiom-mrm,AxiomSL ControllerView,Adenza (Nasdaq),10.4,Hosted,Regulatory Reporting,person:firstcapital:eleanora-ouellette-park,8800000,2027-06-30,Critical,High,Restricted,94,Call Report + FFIEC + CCAR + Basel reporting platform.,system
system:firstcapital:onesumx-reg,Wolters Kluwer OneSumX,Wolters Kluwer,2024.4,Hosted,Regulatory Reporting,person:firstcapital:eleanora-ouellette-park,3800000,2027-03-31,High,Medium,Restricted,38,Regulatory reporting + risk + finance integration; secondary to AxiomSL.,system
system:firstcapital:nasdaq-bonds,Nasdaq Bonds Risk Platform,Adenza (Nasdaq),Calypso 16.2,Hosted,Risk Management,person:firstcapital:marisol-skouras-wendt,2200000,2026-12-31,High,Medium,Restricted,28,Market risk VaR + sensitivities + stress.,system
system:firstcapital:model-registry,Enterprise Model Registry,DataRobot,2025.1,SaaS,Model Risk Management,person:firstcapital:ferris-adekoya-park,1850000,2026-10-31,High,Low,Confidential,22,Model inventory + attestation + lineage; central tool for SR 11-7 compliance.,system
system:firstcapital:actimize-fraud,NICE Actimize FraudWise,NICE Actimize,2024.4,Hosted,Fraud & Financial Crime,person:firstcapital:saoirse-quintero,5200000,2027-04-30,Critical,Medium,Restricted,58,"Real-time fraud detection across cards, payments, deposits.",system
system:firstcapital:actimize-aml,NICE Actimize AML,NICE Actimize,2024.4,Hosted,Fraud & Financial Crime,person:firstcapital:saoirse-quintero,4800000,2027-04-30,Critical,Medium,Restricted,54,BSA/AML transaction monitoring + SAR workflow.,system
system:firstcapital:verafin-aml,Verafin Financial Crime,Nasdaq Verafin,2024.3,SaaS,Fraud & Financial Crime,person:firstcapital:saoirse-quintero,1200000,2026-12-31,High,Low,Restricted,18,Cloud-native AML + cross-institution insights; pilot/secondary.,system
system:firstcapital:lexisnexis-kyc,LexisNexis Risk Solutions KYC,LexisNexis Risk,2024,SaaS,KYC & Identity,person:firstcapital:saoirse-quintero,2600000,2026-09-30,High,Low,Restricted,32,KYC + sanctions screening + due diligence.,system
system:firstcapital:salesforce-fsc,Salesforce Financial Services Cloud,Salesforce,2025 Spring,SaaS,CRM,person:firstcapital:priya-mehta,6800000,2027-03-31,High,Medium,Restricted,68,Enterprise CRM for consumer + commercial + wealth.,system
system:firstcapital:nice-cxone,NICE CXone Contact Center,NICE,2024.4,SaaS,Customer Service,person:firstcapital:reuben-hayes-andersen,4200000,2026-08-31,Critical,Medium,Restricted,46,"Contact center platform; voice, IVR, agent desktop.",system
system:firstcapital:personetics-engage,Personetics Engage,Personetics,2024.3,SaaS,Digital Banking,person:firstcapital:priya-mehta,1600000,2026-11-15,Medium,Low,Confidential,16,AI-powered consumer banking insights; under MRM review for personalization features.,system
system:firstcapital:genesys-cloud,Genesys Cloud Voice,Genesys,2024,SaaS,Customer Service,person:firstcapital:reuben-hayes-andersen,2800000,2026-12-31,High,Low,Restricted,38,Voice + omnichannel routing.,system
system:firstcapital:digital-banking-mobile,Mobile Banking App (Q2 + Custom),Q2 Software,2024,Hosted,Digital Banking,person:firstcapital:eira-hauptmann-park,5400000,2027-06-30,Critical,Medium,Restricted,74,Consumer mobile + tablet banking; powered by Q2 + in-house React Native.,system
system:firstcapital:online-banking,Online Banking (Q2 Online + Custom),Q2 Software,2024,Hosted,Digital Banking,person:firstcapital:eira-hauptmann-park,3800000,2027-06-30,Critical,Medium,Restricted,58,Consumer + small-business online banking.,system
system:firstcapital:commercial-online,Commercial Online Banking,Bottomline,Digital Banking IQ 6.1,SaaS,Digital Banking,person:firstcapital:esteban-velasco-park,3400000,2026-09-30,High,Medium,Restricted,46,Treasury management + commercial digital experience.,system
system:firstcapital:teller-system,Teller / Branch Application,FIS Global,Bank in a Box 2024,Hosted,Branch Operations,person:firstcapital:donovan-marsh-yamaguchi,4600000,2027-12-31,Critical,High,Restricted,58,Teller workflow at 480 branches.,system
system:firstcapital:atm-driver,ATM Driver / Network,Diebold Nixdorf,Vynamic 4.2,Hybrid,Branch Operations,person:firstcapital:donovan-marsh-yamaguchi,5200000,2026-09-30,Critical,Medium,Restricted,38,ATM network and switch; ~720 ATMs across footprint.,system
system:firstcapital:oracle-erp-cloud,Oracle ERP Cloud (Finance),Oracle,25A,SaaS,Enterprise Apps,person:firstcapital:rashid-eldridge,6800000,2027-06-30,Critical,Medium,Restricted,58,GL + AP + AR + Procurement + Project Accounting.,system
system:firstcapital:workday-hcm,Workday Human Capital Management,Workday,2025R1,SaaS,Enterprise Apps,person:firstcapital:sebastian-alagbe,9200000,2027-12-31,Critical,Low,Restricted,74,HCM + payroll + recruiting + comp.,system
system:firstcapital:workday-finance,Workday Adaptive Planning,Workday,2024.4,SaaS,Enterprise Apps,person:firstcapital:rashid-eldridge,1800000,2026-09-30,High,Low,Restricted,22,Financial planning + forecasting layer above Oracle ERP.,system
system:firstcapital:coupa-procure,Coupa Procurement,Coupa Software,R34,SaaS,Enterprise Apps,person:firstcapital:nadia-rahman,2400000,2026-12-31,High,Low,Confidential,32,Source-to-pay; AP automation.,system
system:firstcapital:servicenow-itsm,ServiceNow IT Service Management,ServiceNow,Yokohama,SaaS,Enterprise Apps,person:firstcapital:cassidy-olabode-park,8400000,2027-09-30,Critical,Low,Confidential,112,"ITSM, SecOps, GRC, HR Service Delivery, Strategic Portfolio Mgmt.",system
system:firstcapital:microsoft-365,Microsoft 365 E5,Microsoft,2025,SaaS,Productivity,person:firstcapital:antoine-quartararo,18800000,2027-06-30,Critical,Low,Restricted,94,"M365 E5: Exchange, Teams, SharePoint, OneDrive, Defender, Purview, Sentinel, Copilot pilots.",system
system:firstcapital:microsoft-copilot,Microsoft 365 Copilot (Pilot),Microsoft,2024.10,SaaS,AI / Productivity,person:firstcapital:ramses-mwakikagile,1400000,2026-06-30,Medium,Low,Confidential,12,"Limited deployment under MRM oversight; 1,200 pilot licenses.",system
system:firstcapital:zoom-platform,Zoom Workplace + Phone,Zoom Communications,2024,SaaS,Productivity,person:firstcapital:antoine-quartararo,2200000,2026-09-30,High,Low,Restricted,38,Video + phone for hybrid workforce.,system
system:firstcapital:snowflake-edw,Snowflake Enterprise Data Cloud,Snowflake,2024,SaaS,Data Platform,person:firstcapital:bjorn-ngangole,7600000,2027-03-31,Critical,Low,Restricted,124,Enterprise data warehouse; LOB analytics; regulatory data marts.,system
system:firstcapital:databricks-mlops,Databricks Lakehouse (ML),Databricks,2024.4,SaaS,Data Platform,person:firstcapital:ramses-mwakikagile,4800000,2027-06-30,High,Low,Restricted,58,MLOps + feature store + model training; under MRM-scoped use cases.,system
system:firstcapital:tableau-cloud,Tableau Cloud,Salesforce Tableau,2025.1,SaaS,Data Platform,person:firstcapital:bjorn-ngangole,2400000,2027-03-31,High,Low,Restricted,46,"Self-service BI for finance, risk, LOBs.",system
system:firstcapital:alteryx-platform,Alteryx Designer + Server,Alteryx,2024.4,Hybrid,Data Platform,person:firstcapital:bjorn-ngangole,1600000,2026-12-31,Medium,Low,Restricted,32,Analytics workflow + data prep; finance + risk power-user tool.,system
system:firstcapital:collibra-governance,Collibra Data Governance,Collibra,2024.3,SaaS,Data Platform,person:firstcapital:caspian-mwale-andersen,1400000,2026-09-30,High,Low,Restricted,38,Data catalog + lineage + glossary; central to MRM data attestation.,system
system:firstcapital:crowdstrike-falcon,CrowdStrike Falcon,CrowdStrike,2025,SaaS,Cybersecurity,person:firstcapital:estela-pellegrini-bjornsdottir,5400000,2027-06-30,Critical,Low,Restricted,94,Endpoint detection and response across 46k endpoints.,system
system:firstcapital:paloalto-firewalls,Palo Alto Networks Firewalls + Prisma,Palo Alto Networks,PAN-OS 11.2,On-Premises,Cybersecurity,person:firstcapital:felicity-marsh-aldea,7800000,2027-09-30,Critical,Low,Restricted,112,Next-gen firewall + Prisma Access SASE.,system
system:firstcapital:splunk-cloud,Splunk Cloud (Security),Cisco Splunk,2025,SaaS,Cybersecurity,person:firstcapital:estela-pellegrini-bjornsdottir,4400000,2026-12-31,Critical,Medium,Restricted,74,SIEM and security analytics.,system
system:firstcapital:okta-workforce,Okta Workforce Identity,Okta,2025,SaaS,Identity & Access,person:firstcapital:bilal-quintero-park,3800000,2026-09-30,Critical,Low,Restricted,128,SSO + MFA + lifecycle for 46k workforce identities.,system
system:firstcapital:cyberark-pam,CyberArk Privileged Access,CyberArk,12.6,On-Premises,Identity & Access,person:firstcapital:bilal-quintero-park,2200000,2026-09-30,Critical,Medium,Restricted,56,Privileged-access management for technology + production.,system
system:firstcapital:proofpoint-email,Proofpoint Email Security,Proofpoint,2024,SaaS,Cybersecurity,person:firstcapital:estela-pellegrini-bjornsdottir,1400000,2026-08-31,Critical,Low,Restricted,22,Email DLP + threat protection.,system
system:firstcapital:zscaler-zia,Zscaler Internet Access,Zscaler,2025,SaaS,Cybersecurity,person:firstcapital:felicity-marsh-aldea,2600000,2026-12-31,High,Low,Restricted,54,Cloud secure web gateway.,system
system:firstcapital:aws-platform,AWS Cloud Platform,Amazon Web Services,n/a,SaaS,Cloud Platform,person:firstcapital:phaedra-andersen,32500000,2027-12-31,Critical,Low,Restricted,186,Primary public cloud; data analytics + selected production workloads.,system
system:firstcapital:azure-platform,Microsoft Azure,Microsoft,n/a,SaaS,Cloud Platform,person:firstcapital:phaedra-andersen,14200000,2027-06-30,High,Low,Restricted,94,Secondary cloud; M365 anchor + selected services + Azure OpenAI for governed AI use cases.,system
system:firstcapital:vmware-private-cloud,VMware vSphere Private Cloud,Broadcom VMware,8.0,On-Premises,Cloud Platform,person:firstcapital:garrison-veres,6800000,2026-12-31,Critical,High,Restricted,142,On-prem virtualization for core banking + regulatory systems.,system
system:firstcapital:cisco-network,Cisco Enterprise Network,Cisco Systems,Catalyst 9000 series,On-Premises,Network,person:firstcapital:antoine-quartararo,8400000,2027-04-30,Critical,Medium,Restricted,124,WAN + LAN + branch networking; 480 branches.,system
system:firstcapital:verizon-mpls,Verizon Private IP MPLS,Verizon Business,n/a,Hosted,Network,person:firstcapital:antoine-quartararo,6200000,2026-09-30,Critical,High,Restricted,112,Branch + DC + ATM private connectivity; SD-WAN migration in progress.,system
system:firstcapital:alfresco-ecm,Alfresco Enterprise Content,Hyland,23.1,Hosted,Document Management,person:firstcapital:reginald-hawthorne-bjornsson,2400000,2027-03-31,High,Medium,Restricted,54,Document management for lending + wealth + ops.,system
system:firstcapital:ondemand-image,OpenText Banking Image Suite,OpenText,23.4,Hosted,Document Management,person:firstcapital:donovan-marsh-yamaguchi,1800000,2026-12-31,High,Medium,Restricted,42,Check + document imaging; Federal Reserve image exchange.,system
system:firstcapital:docusign-clm,DocuSign Contract Lifecycle Management,DocuSign,2024,SaaS,Enterprise Apps,person:firstcapital:nadia-rahman,1200000,2026-08-31,High,Low,Restricted,34,Contract execution + lifecycle for vendor + customer agreements.,system
system:firstcapital:metricstream-grc,MetricStream GRC,MetricStream,2024.3,SaaS,GRC,person:firstcapital:reginald-atherton,2200000,2026-12-31,High,Medium,Restricted,38,"Enterprise GRC: audit, risk, compliance, vendor risk.",system
system:firstcapital:archer-grc,RSA Archer (Legacy),RSA Security,6.10,On-Premises,GRC,person:firstcapital:reginald-atherton,1400000,2026-06-30,Medium,High,Restricted,28,Legacy GRC platform; planned retirement after MetricStream consolidation.,system
system:firstcapital:nfusion-mortgage-default,Black Knight Default Servicing,Black Knight,2024,SaaS,Lending Operations,person:firstcapital:penelope-iglesias,2400000,2026-09-30,High,Medium,Restricted,38,Mortgage default + workout management.,system
system:firstcapital:equifax-cra,Equifax Credit Bureau Connector,Equifax,n/a,SaaS,Lending Operations,person:firstcapital:wesley-mtawali,3800000,2026-12-31,Critical,Low,Restricted,58,Consumer credit decisioning data feed.,system
system:firstcapital:transunion-cra,TransUnion Credit Bureau,TransUnion,n/a,SaaS,Lending Operations,person:firstcapital:wesley-mtawali,2200000,2026-09-30,High,Low,Restricted,38,Consumer credit decisioning data feed; secondary to Equifax.,system
system:firstcapital:dnb-commercial,Dun & Bradstreet Commercial Data,Dun & Bradstreet,n/a,SaaS,Commercial Banking,person:firstcapital:heinrich-aldridge,1600000,2026-09-30,High,Low,Restricted,22,Commercial credit + due-diligence data.,system
system:firstcapital:adobe-experience,Adobe Experience Platform + Campaign,Adobe,2024,SaaS,Marketing,person:firstcapital:priya-mehta,4200000,2026-12-31,High,Low,Restricted,58,Marketing CDP + campaign management.,system
system:firstcapital:segment-cdp,Segment Customer Data Platform,Twilio Segment,2024,SaaS,Marketing,person:firstcapital:priya-mehta,1100000,2026-09-30,Medium,Low,Restricted,32,Event collection + identity resolution.,system
system:firstcapital:appway-onboarding,Fenergo Client Lifecycle Mgmt,Fenergo,2024,SaaS,Onboarding,person:firstcapital:verity-nakamura-reid,3200000,2026-09-30,High,Low,Restricted,42,"Wealth + commercial client lifecycle: onboarding, KYC, periodic review.",system
system:firstcapital:rfp-trust,Innotrust Trust Accounting Subsidiary,FIS Global,2024,Hosted,Trust Services,person:firstcapital:augustin-voskanyan,1400000,2027-03-31,Medium,High,Restricted,22,Specialty trust subsidiary accounting.,system
system:firstcapital:anthropic-claude-aws,Anthropic Claude via AWS Bedrock,Anthropic / AWS,Sonnet 4.5 + Haiku 4,SaaS,AI / Productivity,person:firstcapital:ramses-mwakikagile,1200000,2026-12-31,Medium,Low,Confidential,8,Foundation model via AWS Bedrock; under MRM gating; 4 approved use cases.,system
system:firstcapital:h2o-ai,H2O AI Cloud,H2O.ai,2024.4,SaaS,AI / Productivity,person:firstcapital:ramses-mwakikagile,800000,2026-08-31,Low,Low,Confidential,8,Specialty ML for credit decisioning; pilot under MRM.,system
