evidence_name,source_type,source_system_owner,as_of_date,domains_covered,sensitivity,approval_status,approved_for_modules,reuse_scope,quality_notes,location_file,known_gaps,confidence
HARBORTRUST-BANK-HT-LENDING-EV01 - Loan origination extract,SME interview / exported source inventory,Head of Consumer Lending,2026-07-14,Consumer Lending Operations; Consumer Lending; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-lending-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-LENDING-EV02 - Underwriting process map,Source extract / architecture artifact,Head of Consumer Lending,2026-07-14,Consumer Lending Operations; Consumer Lending; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-lending-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-WEALTH-EV01 - Wealth platform inventory,SME interview / exported source inventory,Head of Wealth,2026-07-14,Wealth Advisory and Brokerage; Wealth Management; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-wealth-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-WEALTH-EV02 - Advisor reporting catalog,Source extract / architecture artifact,Head of Wealth,2026-07-14,Wealth Advisory and Brokerage; Wealth Management; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-wealth-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-FRAUD-RISK-EV01 - Fraud alert extract,SME interview / exported source inventory,CRO,2026-07-14,Fraud and Risk Operations; Enterprise Risk; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-fraud-risk-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-FRAUD-RISK-EV02 - Risk case workflow sample,Source extract / architecture artifact,CRO,2026-07-14,Fraud and Risk Operations; Enterprise Risk; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-fraud-risk-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-COMPLIANCE-EV01 - Model inventory export,SME interview / exported source inventory,Chief Compliance Officer,2026-07-14,Compliance and Model Risk Management; Compliance and Model Risk; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-compliance-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-COMPLIANCE-EV02 - Regulatory reporting evidence pack,Source extract / architecture artifact,Chief Compliance Officer,2026-07-14,Compliance and Model Risk Management; Compliance and Model Risk; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-compliance-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CONTACT-CENTER-EV01 - Call reason taxonomy,SME interview / exported source inventory,Chief Experience Officer,2026-07-14,Contact Center and Servicing; Customer Experience; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-contact-center-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CONTACT-CENTER-EV02 - CRM case extract,Source extract / architecture artifact,Chief Experience Officer,2026-07-14,Contact Center and Servicing; Customer Experience; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-contact-center-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-DIGITAL-ONBOARDING-EV01 - Digital onboarding funnel extract,SME interview / exported source inventory,Digital Banking Product Owner,2026-07-14,Digital Account Opening and Onboarding; Digital Banking; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-digital-onboarding-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-DIGITAL-ONBOARDING-EV02 - KYC vendor report,Source extract / architecture artifact,Digital Banking Product Owner,2026-07-14,Digital Account Opening and Onboarding; Digital Banking; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-digital-onboarding-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CORE-MODERNIZATION-EV01 - Core banking roadmap,SME interview / exported source inventory,CIO,2026-07-14,Core Banking Modernization; Technology Modernization; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-core-modernization-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CORE-MODERNIZATION-EV02 - Mainframe application dependency map,Source extract / architecture artifact,CIO,2026-07-14,Core Banking Modernization; Technology Modernization; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-core-modernization-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CUSTOMER-360-EV01 - Customer 360 blueprint,SME interview / exported source inventory,CDAO,2026-07-14,Customer 360 Data Product; Enterprise Data; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-customer-360-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CUSTOMER-360-EV02 - Identity resolution workshop,Source extract / architecture artifact,CDAO,2026-07-14,Customer 360 Data Product; Enterprise Data; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-customer-360-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-RETAIL-ANALYTICS-EV01 - Retail mart inventory,SME interview / exported source inventory,Retail Analytics Lead,2026-07-14,Retail Banking Analytics; Retail Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-retail-analytics-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-RETAIL-ANALYTICS-EV02 - Branch dashboard catalog,Source extract / architecture artifact,Retail Analytics Lead,2026-07-14,Retail Banking Analytics; Retail Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-retail-analytics-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CARDS-ANALYTICS-EV01 - Cards mart inventory,SME interview / exported source inventory,Cards Analytics Lead,2026-07-14,Cards Portfolio Analytics; Cards Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-cards-analytics-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CARDS-ANALYTICS-EV02 - Rewards dashboard catalog,Source extract / architecture artifact,Cards Analytics Lead,2026-07-14,Cards Portfolio Analytics; Cards Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-cards-analytics-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-PAYMENTS-ANALYTICS-EV01 - Payments mart inventory,SME interview / exported source inventory,Payments Analytics Lead,2026-07-14,Payments and Settlement Analytics; Payments Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-payments-analytics-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-PAYMENTS-ANALYTICS-EV02 - Settlement dashboard catalog,Source extract / architecture artifact,Payments Analytics Lead,2026-07-14,Payments and Settlement Analytics; Payments Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-payments-analytics-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-FRAUD-ANALYTICS-EV01 - Fraud feature store inventory,SME interview / exported source inventory,Fraud Analytics Lead,2026-07-14,Fraud and Risk Analytics; Risk Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-fraud-analytics-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-FRAUD-ANALYTICS-EV02 - Case outcome extract,Source extract / architecture artifact,Fraud Analytics Lead,2026-07-14,Fraud and Risk Analytics; Risk Analytics; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-fraud-analytics-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-DATA-PLATFORM-EV01 - Cloud data platform architecture,SME interview / exported source inventory,CDAO,2026-07-14,Cloud Data Platform; Enterprise Data; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-data-platform-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-DATA-PLATFORM-EV02 - Data product certification checklist,Source extract / architecture artifact,CDAO,2026-07-14,Cloud Data Platform; Enterprise Data; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-data-platform-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-IT-BUDGET-EV01 - FY26 IT budget export,SME interview / exported source inventory,CIO / CFO,2026-07-14,IT Budget and Tower Baseline; Technology Finance; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-it-budget-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-IT-BUDGET-EV02 - Tower baseline workshop,Source extract / architecture artifact,CIO / CFO,2026-07-14,IT Budget and Tower Baseline; Technology Finance; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-it-budget-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-VENDOR-SOURCING-EV01 - Vendor contract extract,SME interview / exported source inventory,Chief Procurement Officer,2026-07-14,Vendor and Contract Optimization; Procurement and Vendor Management; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-vendor-sourcing-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-VENDOR-SOURCING-EV02 - AP spend export,Source extract / architecture artifact,Chief Procurement Officer,2026-07-14,Vendor and Contract Optimization; Procurement and Vendor Management; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-vendor-sourcing-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CMDB-INFRA-EV01 - ServiceNow CMDB export,SME interview / exported source inventory,CTO,2026-07-14,Infrastructure and CMDB; Technology Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-cmdb-infra-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-CMDB-INFRA-EV02 - Cloud inventory extract,Source extract / architecture artifact,CTO,2026-07-14,Infrastructure and CMDB; Technology Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-cmdb-infra-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-INCIDENTS-EV01 - ServiceNow incident export,SME interview / exported source inventory,VP IT Operations,2026-07-14,Incident Problem Change Operations; Technology Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-incidents-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
HARBORTRUST-BANK-HT-INCIDENTS-EV02 - CAB log,Source extract / architecture artifact,VP IT Operations,2026-07-14,Incident Problem Change Operations; Technology Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/harbortrust-bank/standard-2026-07-v3/evidence-manifest/harbortrust-bank-ht-incidents-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
