record_id,service_area,period,incidents_p1_p2,incidents_total,mttr_hours,change_failure_rate_pct,availability_pct,notes
SHA-OPS-0045,SAP,2026-09,8,84,5.5,4,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0046,Salesforce,2026-10,0,85,5.9,4.7,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0047,Adobe,2026-11,1,86,6.3,5.4,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0048,AWS platform,2026-12,2,87,6.7,6.1,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0049,PSS/mainframe,2026-01,3,88,7.1,6.8,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0050,IROPS,2026-02,4,89,7.5,7.5,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0051,crew,2026-03,5,90,7.9,8.2,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0052,airport,2026-04,6,91,1.5,8.9,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0053,baggage,2026-05,7,92,1.9,9.6,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0054,digital,2026-06,8,93,2.3,10.3,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0055,loyalty,2026-07,0,94,2.7,11,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0056,Teradata EDW,2026-08,1,95,3.1,4,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0057,SAP,2026-09,2,96,3.5,4.7,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0058,Salesforce,2026-10,3,97,3.9,5.4,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0059,Adobe,2026-11,4,98,4.3,6.1,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0060,AWS platform,2026-12,5,99,4.7,6.8,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0061,PSS/mainframe,2026-01,6,40,5.1,7.5,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0062,IROPS,2026-02,7,41,5.5,8.2,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0063,crew,2026-03,8,42,5.9,8.9,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0064,airport,2026-04,0,43,6.3,9.6,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0065,baggage,2026-05,1,44,6.7,10.3,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0066,digital,2026-06,2,45,7.1,11,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0067,loyalty,2026-07,3,46,7.5,4,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0068,Teradata EDW,2026-08,4,47,7.9,4.7,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0069,SAP,2026-09,5,48,1.5,5.4,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0070,Salesforce,2026-10,6,49,1.9,6.1,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0071,Adobe,2026-11,7,50,2.3,6.8,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0072,AWS platform,2026-12,8,51,2.7,7.5,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0073,PSS/mainframe,2026-01,0,52,3.1,8.2,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0074,IROPS,2026-02,1,53,3.5,8.9,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0075,crew,2026-03,2,54,3.9,9.6,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0076,airport,2026-04,3,55,4.3,10.3,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0077,baggage,2026-05,4,56,4.7,11,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0078,digital,2026-06,5,57,5.1,4,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0079,loyalty,2026-07,6,58,5.5,4.7,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0080,Teradata EDW,2026-08,7,59,5.9,5.4,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0081,SAP,2026-09,8,60,6.3,6.1,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0082,Salesforce,2026-10,0,61,6.7,6.8,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0083,Adobe,2026-11,1,62,7.1,7.5,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0084,AWS platform,2026-12,2,63,7.5,8.2,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0085,PSS/mainframe,2026-01,3,64,7.9,8.9,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0086,IROPS,2026-02,4,65,1.5,9.6,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0087,crew,2026-03,5,66,1.9,10.3,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0088,airport,2026-04,6,67,2.3,11,99.64,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0089,baggage,2026-05,7,68,2.7,4,99.73,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0090,digital,2026-06,8,69,3.1,4.7,99.82,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0091,loyalty,2026-07,0,70,3.5,5.4,99.1,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0092,Teradata EDW,2026-08,1,71,3.9,6.1,99.19,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0093,SAP,2026-09,2,72,4.3,6.8,99.28,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0094,Salesforce,2026-10,3,73,4.7,7.5,99.37,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0095,Adobe,2026-11,4,74,5.1,8.2,99.46,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
SHA-OPS-0096,AWS platform,2026-12,5,75,5.5,8.9,99.55,Synthetic operational reliability time series for Tower and Intelligence cross-dimension reasoning
