tenant,metric,status,nonempty,details
first-capital,capex_opex,gap,0,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}]"
first-capital,owners,ready,405,"[{""file"": ""F03"", ""rows"": 13, ""fields"": [""executive_owner_role""], ""nonempty"": 13}, {""file"": ""F13"", ""rows"": 90, ""fields"": [""owner_role""], ""nonempty"": 90}, {""file"": ""T01"", ""rows"": 42, ""fields"": [""owner_role""], ""nonempty"": 42}, {""file"": ""F19"", ""rows"": 260, ""fields"": [""executive_owner_role""], ""nonempty"": 260}]"
first-capital,named_owner_person,gap,0,"[{""file"": ""F03"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}]"
first-capital,evidence_lineage,gap,0,"[{""file"": ""T07"", ""rows"": 126, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 42, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 90, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,business_profile,ready,3,"[{""file"": ""F01"", ""rows"": 1, ""fields"": [""revenue_fy25_usd"", ""employees_fte"", ""annual_technology_budget_usd""], ""nonempty"": 3}]"
lakeshore-industries,it_budget,ready,72,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T01"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 10, ""fields"": [""annual_budget_usd""], ""nonempty"": 10}, {""file"": ""F13"", ""rows"": 62, ""fields"": [""budget_usd""], ""nonempty"": 62}]"
lakeshore-industries,actual_spend_ytd,ready,10,"[{""file"": ""T08"", ""rows"": 10, ""fields"": [""ytd_spend_usd""], ""nonempty"": 10}]"
lakeshore-industries,promised_value,ready,82,"[{""file"": ""T01"", ""rows"": 10, ""fields"": [""promised_benefit_usd""], ""nonempty"": 10}, {""file"": ""T07"", ""rows"": 10, ""fields"": [""promised_benefit_usd""], ""nonempty"": 10}, {""file"": ""F13"", ""rows"": 62, ""fields"": [""promised_benefit_usd""], ""nonempty"": 62}, {""file"": ""F24"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,measured_value,ready,30,"[{""file"": ""T01"", ""rows"": 10, ""fields"": [""measured_value_usd""], ""nonempty"": 10}, {""file"": ""T07"", ""rows"": 10, ""fields"": [""measured_value_usd""], ""nonempty"": 10}, {""file"": ""F13"", ""rows"": 62, ""fields"": [], ""nonempty"": 0}, {""file"": ""F17"", ""rows"": 10, ""fields"": [""measured_value_usd""], ""nonempty"": 10}, {""file"": ""F24"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,vendor_contract_amount,ready,100,"[{""file"": ""F11"", ""rows"": 90, ""fields"": [""annual_contract_value_usd""], ""nonempty"": 90}, {""file"": ""T08"", ""rows"": 10, ""fields"": [""contract_value_usd""], ""nonempty"": 10}, {""file"": ""F22"", ""rows"": 90, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,renewals,ready,100,"[{""file"": ""F11"", ""rows"": 90, ""fields"": [""renewal_date""], ""nonempty"": 90}, {""file"": ""T08"", ""rows"": 10, ""fields"": [""renewal_date""], ""nonempty"": 10}]"
lakeshore-industries,run_change,ready,10,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [""change_budget_usd"", ""run_budget_usd""], ""nonempty"": 10}]"
lakeshore-industries,capex_opex,gap,0,"[{""file"": ""F12"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,owners,ready,212,"[{""file"": ""F03"", ""rows"": 10, ""fields"": [""executive_owner_role""], ""nonempty"": 10}, {""file"": ""F13"", ""rows"": 62, ""fields"": [""owner_role""], ""nonempty"": 62}, {""file"": ""T01"", ""rows"": 10, ""fields"": [""owner_role""], ""nonempty"": 10}, {""file"": ""F19"", ""rows"": 130, ""fields"": [""executive_owner_role""], ""nonempty"": 130}]"
lakeshore-industries,named_owner_person,gap,0,"[{""file"": ""F03"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}]"
lakeshore-industries,evidence_lineage,gap,0,"[{""file"": ""T07"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 10, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 62, ""fields"": [], ""nonempty"": 0}]"
meridian-health,business_profile,ready,3,"[{""file"": ""F01"", ""rows"": 1, ""fields"": [""revenue_fy25_usd"", ""employees_fte"", ""annual_technology_budget_usd""], ""nonempty"": 3}]"
meridian-health,it_budget,ready,86,"[{""file"": ""F12"", ""rows"": 12, ""fields"": [], ""nonempty"": 0}, {""file"": ""T01"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 14, ""fields"": [""annual_budget_usd""], ""nonempty"": 14}, {""file"": ""F13"", ""rows"": 72, ""fields"": [""budget_usd""], ""nonempty"": 72}]"
meridian-health,actual_spend_ytd,ready,14,"[{""file"": ""T08"", ""rows"": 14, ""fields"": [""ytd_spend_usd""], ""nonempty"": 14}]"
meridian-health,promised_value,ready,100,"[{""file"": ""T01"", ""rows"": 14, ""fields"": [""promised_benefit_usd""], ""nonempty"": 14}, {""file"": ""T07"", ""rows"": 14, ""fields"": [""promised_benefit_usd""], ""nonempty"": 14}, {""file"": ""F13"", ""rows"": 72, ""fields"": [""promised_benefit_usd""], ""nonempty"": 72}, {""file"": ""F24"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
meridian-health,measured_value,ready,42,"[{""file"": ""T01"", ""rows"": 14, ""fields"": [""measured_value_usd""], ""nonempty"": 14}, {""file"": ""T07"", ""rows"": 14, ""fields"": [""measured_value_usd""], ""nonempty"": 14}, {""file"": ""F13"", ""rows"": 72, ""fields"": [], ""nonempty"": 0}, {""file"": ""F17"", ""rows"": 14, ""fields"": [""measured_value_usd""], ""nonempty"": 14}, {""file"": ""F24"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
meridian-health,vendor_contract_amount,ready,109,"[{""file"": ""F11"", ""rows"": 95, ""fields"": [""annual_contract_value_usd""], ""nonempty"": 95}, {""file"": ""T08"", ""rows"": 14, ""fields"": [""contract_value_usd""], ""nonempty"": 14}, {""file"": ""F22"", ""rows"": 95, ""fields"": [], ""nonempty"": 0}]"
meridian-health,renewals,ready,109,"[{""file"": ""F11"", ""rows"": 95, ""fields"": [""renewal_date""], ""nonempty"": 95}, {""file"": ""T08"", ""rows"": 14, ""fields"": [""renewal_date""], ""nonempty"": 14}]"
meridian-health,run_change,ready,12,"[{""file"": ""F12"", ""rows"": 12, ""fields"": [""change_budget_usd"", ""run_budget_usd""], ""nonempty"": 12}]"
meridian-health,capex_opex,gap,0,"[{""file"": ""F12"", ""rows"": 12, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}]"
meridian-health,owners,ready,248,"[{""file"": ""F03"", ""rows"": 12, ""fields"": [""executive_owner_role""], ""nonempty"": 12}, {""file"": ""F13"", ""rows"": 72, ""fields"": [""owner_role""], ""nonempty"": 72}, {""file"": ""T01"", ""rows"": 14, ""fields"": [""owner_role""], ""nonempty"": 14}, {""file"": ""F19"", ""rows"": 150, ""fields"": [""executive_owner_role""], ""nonempty"": 150}]"
meridian-health,named_owner_person,gap,0,"[{""file"": ""F03"", ""rows"": 12, ""fields"": [], ""nonempty"": 0}]"
meridian-health,evidence_lineage,gap,0,"[{""file"": ""T07"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""T09"", ""rows"": 14, ""fields"": [], ""nonempty"": 0}, {""file"": ""F13"", ""rows"": 72, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,business_profile,ready,3,"[{""file"": ""F01"", ""rows"": 1, ""fields"": [""revenue_fy25_usd"", ""employees_fte"", ""annual_technology_budget_usd""], ""nonempty"": 3}]"
skyharbor-air,it_budget,ready,253,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [""fy26_budget_usd""], ""nonempty"": 13}, {""file"": ""T01"", ""rows"": 30, ""fields"": [], ""nonempty"": 0}, {""file"": ""T08"", ""rows"": 120, ""fields"": [""fy26_budget_usd""], ""nonempty"": 120}, {""file"": ""F13"", ""rows"": 120, ""fields"": [""fy26_budget_usd""], ""nonempty"": 120}]"
skyharbor-air,actual_spend_ytd,ready,120,"[{""file"": ""T08"", ""rows"": 120, ""fields"": [""actual_ytd_usd""], ""nonempty"": 120}]"
skyharbor-air,promised_value,ready,180,"[{""file"": ""T01"", ""rows"": 30, ""fields"": [""promised_value_usd""], ""nonempty"": 30}, {""file"": ""T07"", ""rows"": 30, ""fields"": [""committed_value_usd""], ""nonempty"": 30}, {""file"": ""F13"", ""rows"": 120, ""fields"": [""target_value_usd""], ""nonempty"": 120}, {""file"": ""F24"", ""rows"": 72, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,measured_value,ready,60,"[{""file"": ""T01"", ""rows"": 30, ""fields"": [""measured_value_ytd_usd""], ""nonempty"": 30}, {""file"": ""T07"", ""rows"": 30, ""fields"": [""realized_value_ytd_usd""], ""nonempty"": 30}, {""file"": ""F13"", ""rows"": 120, ""fields"": [], ""nonempty"": 0}, {""file"": ""F17"", ""rows"": 72, ""fields"": [], ""nonempty"": 0}, {""file"": ""F24"", ""rows"": 72, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,vendor_contract_amount,ready,320,"[{""file"": ""F11"", ""rows"": 320, ""fields"": [""annual_run_rate_usd""], ""nonempty"": 320}, {""file"": ""T08"", ""rows"": 120, ""fields"": [], ""nonempty"": 0}, {""file"": ""F22"", ""rows"": 320, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,renewals,ready,440,"[{""file"": ""F11"", ""rows"": 320, ""fields"": [""renewal_date""], ""nonempty"": 320}, {""file"": ""T08"", ""rows"": 120, ""fields"": [""renewal_or_gate_date""], ""nonempty"": 120}]"
skyharbor-air,run_change,gap,0,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,capex_opex,partial_taxonomy_only,133,"[{""file"": ""F12"", ""rows"": 13, ""fields"": [""spend_type""], ""nonempty"": 13}, {""file"": ""T08"", ""rows"": 120, ""fields"": [""spend_category""], ""nonempty"": 120}]"
skyharbor-air,owners,ready,850,"[{""file"": ""F03"", ""rows"": 18, ""fields"": [""executive_owner_role""], ""nonempty"": 18}, {""file"": ""F13"", ""rows"": 120, ""fields"": [""owning_team""], ""nonempty"": 120}, {""file"": ""T01"", ""rows"": 30, ""fields"": [""business_sponsor_role"", ""owner_role""], ""nonempty"": 30}, {""file"": ""F19"", ""rows"": 900, ""fields"": [""executive_owner_role""], ""nonempty"": 682}]"
skyharbor-air,named_owner_person,gap,0,"[{""file"": ""F03"", ""rows"": 18, ""fields"": [], ""nonempty"": 0}]"
skyharbor-air,evidence_lineage,ready,180,"[{""file"": ""T07"", ""rows"": 30, ""fields"": [""evidence_id""], ""nonempty"": 30}, {""file"": ""T09"", ""rows"": 150, ""fields"": [""evidence_id""], ""nonempty"": 150}, {""file"": ""F13"", ""rows"": 120, ""fields"": [], ""nonempty"": 0}]"
