check,tested,matched,rate,severity,src_fields,target_fields,unmatched_sample,tenant
F17 parent system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],lakeshore-industries
F19 owning team -> F03 team,6,5,0.8333333333333334,high,['owning_team_id'],['team_id'],['Lakeshore platform services'],lakeshore-industries
F20 capability -> F04 capability,0,0,,not_applicable,['capability_id'],['capability_id'],[],lakeshore-industries
F20 system -> F05 app inventory,74,74,1.0,ok,['system_id'],['application_id'],[],lakeshore-industries
F21 data product -> F09 data product,105,0,0.0,critical,['data_product_id'],[],"['lakeshore-industries-DATA-1', 'lakeshore-industries-DATA-10', 'lakeshore-industries-DATA-100', 'lakeshore-industries-DATA-101', 'lakeshore-industries-DATA-102', 'lakeshore-industries-DATA-103', 'lakeshore-industries-DATA-104', 'lakeshore-industries-DATA-105']",lakeshore-industries
F21 source system -> F05 app inventory,0,0,,not_applicable,['source_system_id'],['application_id'],[],lakeshore-industries
F22 vendor -> F11 vendor,90,90,1.0,ok,['vendor_id'],['vendor_id'],[],lakeshore-industries
F22 system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],lakeshore-industries
F23 related system -> F05 app inventory,0,0,,not_applicable,['related_system_id'],['application_id'],[],lakeshore-industries
F06 application/system -> F05 app inventory,80,80,1.0,ok,['application_id'],['application_id'],[],meridian-health
F10 source endpoint -> F05 app inventory,66,66,1.0,ok,['source_system'],"['application_id', 'application_name']",[],meridian-health
F10 target endpoint -> F05 app inventory,56,56,1.0,ok,['target_system'],"['application_id', 'application_name']",[],meridian-health
F17 parent system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],meridian-health
F19 owning team -> F03 team,7,6,0.8571428571428571,high,['owning_team_id'],['team_id'],['Meridian platform services'],meridian-health
F20 capability -> F04 capability,0,0,,not_applicable,['capability_id'],['capability_id'],[],meridian-health
F20 system -> F05 app inventory,80,80,1.0,ok,['system_id'],['application_id'],[],meridian-health
F21 data product -> F09 data product,120,0,0.0,critical,['data_product_id'],[],"['meridian-health-DATA-1', 'meridian-health-DATA-10', 'meridian-health-DATA-100', 'meridian-health-DATA-101', 'meridian-health-DATA-102', 'meridian-health-DATA-103', 'meridian-health-DATA-104', 'meridian-health-DATA-105']",meridian-health
F21 source system -> F05 app inventory,0,0,,not_applicable,['source_system_id'],['application_id'],[],meridian-health
F22 vendor -> F11 vendor,95,95,1.0,ok,['vendor_id'],['vendor_id'],[],meridian-health
F22 system -> F05 app inventory,0,0,,not_applicable,[],['application_id'],[],meridian-health
F23 related system -> F05 app inventory,0,0,,not_applicable,['related_system_id'],['application_id'],[],meridian-health
F06 application/system -> F05 app inventory,95,0,0.0,critical,['app_id'],['app_id'],"['SHA-APP-001', 'SHA-APP-002', 'SHA-APP-003', 'SHA-APP-004', 'SHA-APP-005', 'SHA-APP-006', 'SHA-APP-007', 'SHA-APP-008']",skyharbor-air
F10 source endpoint -> F05 app inventory,1300,455,0.35,critical,['from_system_id'],"['app_id', 'name']","['APP-00905', 'APP-00906', 'APP-00910', 'APP-00913', 'APP-00914', 'APP-00916', 'APP-00918', 'APP-00919']",skyharbor-air
F10 target endpoint -> F05 app inventory,1262,467,0.37004754358161646,critical,['to_system_id'],"['app_id', 'name']","['APP-00901', 'APP-00902', 'APP-00904', 'APP-00908', 'APP-00909', 'APP-00910', 'APP-00911', 'APP-00913']",skyharbor-air
F17 parent system -> F05 app inventory,72,0,0.0,critical,['parent_system_id'],['app_id'],"['SHA-APP-001', 'SHA-APP-002', 'SHA-APP-003', 'SHA-APP-004', 'SHA-APP-005', 'SHA-APP-006', 'SHA-APP-007', 'SHA-APP-008']",skyharbor-air
F19 owning team -> F03 team,10,7,0.7,high,['owning_team_id'],['team_id'],"['Data & Analytics', 'EUC', 'Network']",skyharbor-air
F20 capability -> F04 capability,35,35,1.0,ok,['capability_id'],['capability_id'],[],skyharbor-air
F20 system -> F05 app inventory,95,0,0.0,critical,['system_id'],['app_id'],"['SHA-APP-001', 'SHA-APP-002', 'SHA-APP-003', 'SHA-APP-004', 'SHA-APP-005', 'SHA-APP-006', 'SHA-APP-007', 'SHA-APP-008']",skyharbor-air
F21 data product -> F09 data product,420,420,1.0,ok,['data_product_id'],['data_product_id'],[],skyharbor-air
F21 source system -> F05 app inventory,0,0,,not_applicable,['source_system_id'],['app_id'],[],skyharbor-air
F22 vendor -> F11 vendor,320,320,1.0,ok,['vendor_id'],['vendor_id'],[],skyharbor-air
F22 system -> F05 app inventory,0,0,,not_applicable,[],['app_id'],[],skyharbor-air
F23 related system -> F05 app inventory,0,0,,not_applicable,['related_system_id'],['app_id'],[],skyharbor-air
