tenant,code,path,rows,headers
apex-retail,F23,datasets/apex-retail-synthetic-v4/family-8-semantic-enrichment/F23_operational-service-map.csv,12,tenant_key|service_map_id|service_or_process|ticket_or_event_type|monthly_volume_or_count|mttr_hours|backlog_or_change_signal|owning_team_id|owning_team_name|related_system_id|related_system_name|automation_candidate|source_basis|confidence|caveat
apex-retail,F24,datasets/apex-retail-synthetic-v4/family-8-semantic-enrichment/F24_ai-use-case-system-value-map.csv,14,tenant_key|ai_value_map_id|ai_asset_id|ai_asset_name|business_area|tool_or_model|stage_or_status|governance_status|measured_or_committed_value_usd|linked_kpi|value_basis|confidence|caveat
apex-retail,T01,datasets/apex-retail-synthetic-v4/ai-control-tower/T01_initiative-registry.csv,14,initiative_id|initiative_name|business_area|owner_role|stage|promised_benefit_usd|measured_value_usd|value_confidence|status|primary_blocker|evidence_id
apex-retail,T07,datasets/apex-retail-synthetic-v4/ai-control-tower/T07_benefit-realization.csv,14,initiative_id|metric_basis|promised_benefit_usd|measured_value_usd|unrealized_or_blocked_value_usd|confidence|evidence_status
apex-retail,T08,datasets/apex-retail-synthetic-v4/ai-control-tower/T08_spend-contracts.csv,14,initiative_id|vendor_or_tool|ytd_spend_usd|annual_budget_usd|contract_value_usd|renewal_date|unit_economic_note
apex-retail,T09,datasets/apex-retail-synthetic-v4/ai-control-tower/T09_risk-governance.csv,14,initiative_id|risk_id|risk_domain|severity|control_status|exception_or_gap|owner_role
first-capital,F01,datasets/first-capital-financial-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,1,
first-capital,F03,datasets/first-capital-financial-synthetic-v4/family-1-enterprise-operating-model/F03_it-org-ownership.csv,13,team_id|team_name|executive_owner_role|domain|head_count_fte|offshore_pct|annual_budget_usd
first-capital,F04,datasets/first-capital-financial-synthetic-v4/family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,12,capability_id|capability_name|value_stream|business_owner|maturity|ai_relevance|primary_systems|known_gap
first-capital,F05,datasets/first-capital-financial-synthetic-v4/family-2-technology-estate/F05_applications-systems.csv,260,application_id|application_name|domain|primary_business_owner|technical_owner_team|platform_type|hosting_model|environment|criticality|annual_run_cost_usd|users_or_entities_supported|integration_count|data_classification|modernization_state|evidence_id
first-capital,F06,datasets/first-capital-financial-synthetic-v4/family-2-technology-estate/F06_system-function-mapping.csv,120,mapping_id|application_id|application_name|business_function|process_supported|fit_score|pain_point|move_relevance
first-capital,F09,datasets/first-capital-financial-synthetic-v4/family-3-data-connectivity/F09_data-analytics-estate.csv,140,data_asset_id|data_asset_name|domain|source_systems|target_platform|data_owner|freshness|quality_score|semantic_layer_status|move_relevance
first-capital,F10,datasets/first-capital-financial-synthetic-v4/family-3-data-connectivity/F10_integrations-interfaces.csv,320,integration_id|source_system|target_system|interface_type|protocol_or_standard|cadence|data_domain|avg_daily_volume|latency_sla_minutes|failure_rate_30d_pct|owning_team|control_gap|evidence_id
first-capital,F11,datasets/first-capital-financial-synthetic-v4/family-4-financial-commercial/F11_vendors-contracts-licenses.csv,120,vendor_id|vendor_name|category|owned_by|annual_contract_value_usd|renewal_date|criticality|license_or_unit_basis|commercial_risk|evidence_id
first-capital,F12,datasets/first-capital-financial-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,13,budget_id|budget_area|owner_role|run_budget_usd|change_budget_usd|ai_or_data_budget_usd|labor_pct|vendor_pct|cloud_or_infra_pct|budget_pressure
first-capital,F13,datasets/first-capital-financial-synthetic-v4/family-5-execution-operations/F13_initiatives-portfolio.csv,90,initiative_id|initiative_name|business_area|owner_role|stage|budget_usd|promised_benefit_usd|target_date|dependency|risk_status|move_relevance
first-capital,F17,datasets/first-capital-financial-synthetic-v4/family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,42,ai_asset_id|ai_asset_name|business_area|tool_or_model|stage|monthly_users_or_cases|measured_value_usd|risk_tier|evidence_status|next_gate
first-capital,F19,datasets/first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,260,tenant_key|application_id|application_name|business_domain|business_owner_role|owning_team_id|owning_team_name|executive_owner_role|technical_owner_role|source_basis|source_files|confidence|caveat
first-capital,F20,datasets/first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F20_capability-system-dependency.csv,120,tenant_key|dependency_id|capability_id|capability_name|system_id|system_name|support_level|criticality|evidence_basis|confidence|caveat
first-capital,F21,datasets/first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,140,tenant_key|data_product_id|data_product_name|platform|source_system_id|source_system_name|owner_role|trust_score|lineage_basis|confidence|caveat
first-capital,F22,datasets/first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F22_contract-system-service-map.csv,120,tenant_key|map_id|vendor_id|vendor_name|contract_or_scope|annual_value_usd|renewal_date|supported_system_id|supported_system_name|owner_role|source_basis|confidence|caveat
first-capital,F23,datasets/first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F23_operational-service-map.csv,12,tenant_key|service_map_id|service_or_process|ticket_or_event_type|monthly_volume_or_count|mttr_hours|backlog_or_change_signal|owning_team_id|owning_team_name|related_system_id|related_system_name|automation_candidate|source_basis|confidence|caveat
first-capital,F24,datasets/first-capital-financial-synthetic-v4/family-8-semantic-enrichment/F24_ai-use-case-system-value-map.csv,42,tenant_key|ai_value_map_id|ai_asset_id|ai_asset_name|business_area|tool_or_model|stage_or_status|governance_status|measured_or_committed_value_usd|linked_kpi|value_basis|confidence|caveat
first-capital,T01,datasets/first-capital-financial-synthetic-v4/ai-control-tower/T01_initiative-registry.csv,42,initiative_id|initiative_name|business_area|owner_role|stage|promised_benefit_usd|measured_value_usd|value_confidence|status|primary_blocker|evidence_id
first-capital,T07,datasets/first-capital-financial-synthetic-v4/ai-control-tower/T07_benefit-realization.csv,126,initiative_id|metric_basis|promised_benefit_usd|measured_value_usd|unrealized_or_blocked_value_usd|confidence|evidence_status
first-capital,T08,datasets/first-capital-financial-synthetic-v4/ai-control-tower/T08_spend-contracts.csv,42,initiative_id|vendor_or_tool|ytd_spend_usd|annual_budget_usd|contract_value_usd|renewal_date|unit_economic_note
first-capital,T09,datasets/first-capital-financial-synthetic-v4/ai-control-tower/T09_risk-governance.csv,42,initiative_id|risk_id|risk_domain|severity|control_status|exception_or_gap|owner_role
lakeshore-industries,F01,datasets/lakeshore-industries-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,1,
lakeshore-industries,F03,datasets/lakeshore-industries-synthetic-v4/family-1-enterprise-operating-model/F03_it-org-ownership.csv,10,team_id|team_name|executive_owner_role|domain|head_count_fte|offshore_pct|annual_budget_usd
lakeshore-industries,F04,datasets/lakeshore-industries-synthetic-v4/family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,8,capability_id|capability_name|value_stream|business_owner|maturity|ai_relevance|primary_systems|known_gap
lakeshore-industries,F05,datasets/lakeshore-industries-synthetic-v4/family-2-technology-estate/F05_applications-systems.csv,130,application_id|application_name|domain|primary_business_owner|technical_owner_team|platform_type|hosting_model|environment|criticality|annual_run_cost_usd|users_or_entities_supported|integration_count|data_classification|modernization_state|evidence_id
lakeshore-industries,F06,datasets/lakeshore-industries-synthetic-v4/family-2-technology-estate/F06_system-function-mapping.csv,74,mapping_id|application_id|application_name|business_function|process_supported|fit_score|pain_point|move_relevance
lakeshore-industries,F09,datasets/lakeshore-industries-synthetic-v4/family-3-data-connectivity/F09_data-analytics-estate.csv,105,data_asset_id|data_asset_name|domain|source_systems|target_platform|data_owner|freshness|quality_score|semantic_layer_status|move_relevance
lakeshore-industries,F10,datasets/lakeshore-industries-synthetic-v4/family-3-data-connectivity/F10_integrations-interfaces.csv,200,integration_id|source_system|target_system|interface_type|protocol_or_standard|cadence|data_domain|avg_daily_volume|latency_sla_minutes|failure_rate_30d_pct|owning_team|control_gap|evidence_id
lakeshore-industries,F11,datasets/lakeshore-industries-synthetic-v4/family-4-financial-commercial/F11_vendors-contracts-licenses.csv,90,vendor_id|vendor_name|category|owned_by|annual_contract_value_usd|renewal_date|criticality|license_or_unit_basis|commercial_risk|evidence_id
lakeshore-industries,F12,datasets/lakeshore-industries-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,10,budget_id|budget_area|owner_role|run_budget_usd|change_budget_usd|ai_or_data_budget_usd|labor_pct|vendor_pct|cloud_or_infra_pct|budget_pressure
lakeshore-industries,F13,datasets/lakeshore-industries-synthetic-v4/family-5-execution-operations/F13_initiatives-portfolio.csv,62,initiative_id|initiative_name|business_area|owner_role|stage|budget_usd|promised_benefit_usd|target_date|dependency|risk_status|move_relevance
lakeshore-industries,F17,datasets/lakeshore-industries-synthetic-v4/family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,10,ai_asset_id|ai_asset_name|business_area|tool_or_model|stage|monthly_users_or_cases|measured_value_usd|risk_tier|evidence_status|next_gate
lakeshore-industries,F19,datasets/lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,130,tenant_key|application_id|application_name|business_domain|business_owner_role|owning_team_id|owning_team_name|executive_owner_role|technical_owner_role|source_basis|source_files|confidence|caveat
lakeshore-industries,F20,datasets/lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F20_capability-system-dependency.csv,74,tenant_key|dependency_id|capability_id|capability_name|system_id|system_name|support_level|criticality|evidence_basis|confidence|caveat
lakeshore-industries,F21,datasets/lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,105,tenant_key|data_product_id|data_product_name|platform|source_system_id|source_system_name|owner_role|trust_score|lineage_basis|confidence|caveat
lakeshore-industries,F22,datasets/lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F22_contract-system-service-map.csv,90,tenant_key|map_id|vendor_id|vendor_name|contract_or_scope|annual_value_usd|renewal_date|supported_system_id|supported_system_name|owner_role|source_basis|confidence|caveat
lakeshore-industries,F23,datasets/lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F23_operational-service-map.csv,10,tenant_key|service_map_id|service_or_process|ticket_or_event_type|monthly_volume_or_count|mttr_hours|backlog_or_change_signal|owning_team_id|owning_team_name|related_system_id|related_system_name|automation_candidate|source_basis|confidence|caveat
lakeshore-industries,F24,datasets/lakeshore-industries-synthetic-v4/family-8-semantic-enrichment/F24_ai-use-case-system-value-map.csv,10,tenant_key|ai_value_map_id|ai_asset_id|ai_asset_name|business_area|tool_or_model|stage_or_status|governance_status|measured_or_committed_value_usd|linked_kpi|value_basis|confidence|caveat
lakeshore-industries,T01,datasets/lakeshore-industries-synthetic-v4/ai-control-tower/T01_initiative-registry.csv,10,initiative_id|initiative_name|business_area|owner_role|stage|promised_benefit_usd|measured_value_usd|value_confidence|status|primary_blocker|evidence_id
lakeshore-industries,T07,datasets/lakeshore-industries-synthetic-v4/ai-control-tower/T07_benefit-realization.csv,10,initiative_id|metric_basis|promised_benefit_usd|measured_value_usd|unrealized_or_blocked_value_usd|confidence|evidence_status
lakeshore-industries,T08,datasets/lakeshore-industries-synthetic-v4/ai-control-tower/T08_spend-contracts.csv,10,initiative_id|vendor_or_tool|ytd_spend_usd|annual_budget_usd|contract_value_usd|renewal_date|unit_economic_note
lakeshore-industries,T09,datasets/lakeshore-industries-synthetic-v4/ai-control-tower/T09_risk-governance.csv,10,initiative_id|risk_id|risk_domain|severity|control_status|exception_or_gap|owner_role
meridian-health,F01,datasets/meridian-health-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,1,
meridian-health,F03,datasets/meridian-health-synthetic-v4/family-1-enterprise-operating-model/F03_it-org-ownership.csv,12,team_id|team_name|executive_owner_role|domain|head_count_fte|offshore_pct|annual_budget_usd
meridian-health,F04,datasets/meridian-health-synthetic-v4/family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,10,capability_id|capability_name|value_stream|business_owner|maturity|ai_relevance|primary_systems|known_gap
meridian-health,F05,datasets/meridian-health-synthetic-v4/family-2-technology-estate/F05_applications-systems.csv,150,application_id|application_name|domain|primary_business_owner|technical_owner_team|platform_type|hosting_model|environment|criticality|annual_run_cost_usd|users_or_entities_supported|integration_count|data_classification|modernization_state|evidence_id
meridian-health,F06,datasets/meridian-health-synthetic-v4/family-2-technology-estate/F06_system-function-mapping.csv,80,mapping_id|application_id|application_name|business_function|process_supported|fit_score|pain_point|move_relevance
meridian-health,F09,datasets/meridian-health-synthetic-v4/family-3-data-connectivity/F09_data-analytics-estate.csv,120,data_asset_id|data_asset_name|domain|source_systems|target_platform|data_owner|freshness|quality_score|semantic_layer_status|move_relevance
meridian-health,F10,datasets/meridian-health-synthetic-v4/family-3-data-connectivity/F10_integrations-interfaces.csv,240,integration_id|source_system|target_system|interface_type|protocol_or_standard|cadence|data_domain|avg_daily_volume|latency_sla_minutes|failure_rate_30d_pct|owning_team|control_gap|evidence_id
meridian-health,F11,datasets/meridian-health-synthetic-v4/family-4-financial-commercial/F11_vendors-contracts-licenses.csv,95,vendor_id|vendor_name|category|owned_by|annual_contract_value_usd|renewal_date|criticality|license_or_unit_basis|commercial_risk|evidence_id
meridian-health,F12,datasets/meridian-health-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,12,budget_id|budget_area|owner_role|run_budget_usd|change_budget_usd|ai_or_data_budget_usd|labor_pct|vendor_pct|cloud_or_infra_pct|budget_pressure
meridian-health,F13,datasets/meridian-health-synthetic-v4/family-5-execution-operations/F13_initiatives-portfolio.csv,72,initiative_id|initiative_name|business_area|owner_role|stage|budget_usd|promised_benefit_usd|target_date|dependency|risk_status|move_relevance
meridian-health,F17,datasets/meridian-health-synthetic-v4/family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,14,ai_asset_id|ai_asset_name|business_area|tool_or_model|stage|monthly_users_or_cases|measured_value_usd|risk_tier|evidence_status|next_gate
meridian-health,F19,datasets/meridian-health-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,150,tenant_key|application_id|application_name|business_domain|business_owner_role|owning_team_id|owning_team_name|executive_owner_role|technical_owner_role|source_basis|source_files|confidence|caveat
meridian-health,F20,datasets/meridian-health-synthetic-v4/family-8-semantic-enrichment/F20_capability-system-dependency.csv,80,tenant_key|dependency_id|capability_id|capability_name|system_id|system_name|support_level|criticality|evidence_basis|confidence|caveat
meridian-health,F21,datasets/meridian-health-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,120,tenant_key|data_product_id|data_product_name|platform|source_system_id|source_system_name|owner_role|trust_score|lineage_basis|confidence|caveat
meridian-health,F22,datasets/meridian-health-synthetic-v4/family-8-semantic-enrichment/F22_contract-system-service-map.csv,95,tenant_key|map_id|vendor_id|vendor_name|contract_or_scope|annual_value_usd|renewal_date|supported_system_id|supported_system_name|owner_role|source_basis|confidence|caveat
meridian-health,F23,datasets/meridian-health-synthetic-v4/family-8-semantic-enrichment/F23_operational-service-map.csv,12,tenant_key|service_map_id|service_or_process|ticket_or_event_type|monthly_volume_or_count|mttr_hours|backlog_or_change_signal|owning_team_id|owning_team_name|related_system_id|related_system_name|automation_candidate|source_basis|confidence|caveat
meridian-health,F24,datasets/meridian-health-synthetic-v4/family-8-semantic-enrichment/F24_ai-use-case-system-value-map.csv,14,tenant_key|ai_value_map_id|ai_asset_id|ai_asset_name|business_area|tool_or_model|stage_or_status|governance_status|measured_or_committed_value_usd|linked_kpi|value_basis|confidence|caveat
meridian-health,T01,datasets/meridian-health-synthetic-v4/ai-control-tower/T01_initiative-registry.csv,14,initiative_id|initiative_name|business_area|owner_role|stage|promised_benefit_usd|measured_value_usd|value_confidence|status|primary_blocker|evidence_id
meridian-health,T07,datasets/meridian-health-synthetic-v4/ai-control-tower/T07_benefit-realization.csv,14,initiative_id|metric_basis|promised_benefit_usd|measured_value_usd|unrealized_or_blocked_value_usd|confidence|evidence_status
meridian-health,T08,datasets/meridian-health-synthetic-v4/ai-control-tower/T08_spend-contracts.csv,14,initiative_id|vendor_or_tool|ytd_spend_usd|annual_budget_usd|contract_value_usd|renewal_date|unit_economic_note
meridian-health,T09,datasets/meridian-health-synthetic-v4/ai-control-tower/T09_risk-governance.csv,14,initiative_id|risk_id|risk_domain|severity|control_status|exception_or_gap|owner_role
skyharbor-air,F01,datasets/skyharbor-air-synthetic-v4/family-1-enterprise-operating-model/F01_enterprise-profile.yaml,1,
skyharbor-air,F03,datasets/skyharbor-air-synthetic-v4/family-1-enterprise-operating-model/F03_it-org-ownership.csv,18,team_id|team_name|executive_owner_role|domain|head_count_fte|offshore_pct|annual_budget_usd
skyharbor-air,F04,datasets/skyharbor-air-synthetic-v4/family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,35,capability_id|capability_name|owning_function_id|value_stream|ai_maturity|business_criticality|description
skyharbor-air,F05,datasets/skyharbor-air-synthetic-v4/family-2-technology-estate/F05_applications-systems.csv,900,app_id|name|vendor|category|it_owner_team|business_function|deployment|lifecycle_stage|criticality|run_cost_fy26_usd|primary_dataclass|integration_count
skyharbor-air,F06,datasets/skyharbor-air-synthetic-v4/family-2-technology-estate/F06_system-function-mapping.csv,95,mapping_id|app_id|capability_id|support_type|process_area|user_count|operational_risk
skyharbor-air,F09,datasets/skyharbor-air-synthetic-v4/family-3-data-connectivity/F09_data-analytics-estate.csv,420,data_product_id|name|platform|domain|status|trust_score|notes
skyharbor-air,F10,datasets/skyharbor-air-synthetic-v4/family-3-data-connectivity/F10_integrations-interfaces.csv,1800,integration_id|name|from_system_id|to_system_id|integration_type|frequency|criticality|notes
skyharbor-air,F11,datasets/skyharbor-air-synthetic-v4/family-4-financial-commercial/F11_vendors-contracts-licenses.csv,320,vendor_id|vendor_name|scope|annual_run_rate_usd|renewal_date|criticality|notes
skyharbor-air,F12,datasets/skyharbor-air-synthetic-v4/family-4-financial-commercial/F12_it-budget-financials.csv,13,budget_line_id|budget_area|spend_type|fy26_budget_usd|owner_team_id
skyharbor-air,F13,datasets/skyharbor-air-synthetic-v4/family-5-execution-operations/F13_initiatives-portfolio.csv,120,initiative_id|initiative_name|business_function|owning_team|stage|fy26_budget_usd|target_value_usd|primary_blocker
skyharbor-air,F17,datasets/skyharbor-air-synthetic-v4/family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,72,ai_asset_id|asset_name|asset_type|business_function|parent_system_id|status|regulated_workflow|approved_data_scope|model_risk_status|notes
skyharbor-air,F19,datasets/skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F19_team-application-ownership.csv,900,tenant_key|application_id|application_name|business_domain|business_owner_role|owning_team_id|owning_team_name|executive_owner_role|technical_owner_role|source_basis|source_files|confidence|caveat
skyharbor-air,F20,datasets/skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F20_capability-system-dependency.csv,95,tenant_key|dependency_id|capability_id|capability_name|system_id|system_name|support_level|criticality|evidence_basis|confidence|caveat
skyharbor-air,F21,datasets/skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F21_data-product-ownership-lineage.csv,420,tenant_key|data_product_id|data_product_name|platform|source_system_id|source_system_name|owner_role|trust_score|lineage_basis|confidence|caveat
skyharbor-air,F22,datasets/skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F22_contract-system-service-map.csv,320,tenant_key|map_id|vendor_id|vendor_name|contract_or_scope|annual_value_usd|renewal_date|supported_system_id|supported_system_name|owner_role|source_basis|confidence|caveat
skyharbor-air,F23,datasets/skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F23_operational-service-map.csv,96,tenant_key|service_map_id|service_or_process|ticket_or_event_type|monthly_volume_or_count|mttr_hours|backlog_or_change_signal|owning_team_id|owning_team_name|related_system_id|related_system_name|automation_candidate|source_basis|confidence|caveat
skyharbor-air,F24,datasets/skyharbor-air-synthetic-v4/family-8-semantic-enrichment/F24_ai-use-case-system-value-map.csv,72,tenant_key|ai_value_map_id|ai_asset_id|ai_asset_name|business_area|tool_or_model|stage_or_status|governance_status|measured_or_committed_value_usd|linked_kpi|value_basis|confidence|caveat
skyharbor-air,T01,datasets/skyharbor-air-synthetic-v4/ai-control-tower/T01_initiative-registry.csv,30,initiative_id|initiative_name|portfolio_segment|owner_role|business_sponsor_role|stage|promised_value_usd|measured_value_ytd_usd|confidence|evidence_status|scale_decision|primary_blocker
skyharbor-air,T07,datasets/skyharbor-air-synthetic-v4/ai-control-tower/T07_benefit-realization.csv,30,initiative_id|value_basis|committed_value_usd|realized_value_ytd_usd|confidence|measurement_method|finance_attested|evidence_id
skyharbor-air,T08,datasets/skyharbor-air-synthetic-v4/ai-control-tower/T08_spend-contracts.csv,120,spend_id|initiative_id|vendor_or_internal|spend_category|fy26_budget_usd|actual_ytd_usd|renewal_or_gate_date|unit_economics|notes
skyharbor-air,T09,datasets/skyharbor-air-synthetic-v4/ai-control-tower/T09_risk-governance.csv,150,risk_id|initiative_id|risk_type|severity|control_status|owner_role|mitigation|evidence_id
