name,path,size,mtime
tower-chat-quality-fix-2026-06-27T03-29-39-855Z,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T03-29-39-855Z,352,2026-06-26T22:29:52
semantic2-crown-proof-4f27f361.zip,/Users/anand/Downloads/semantic2-crown-proof-4f27f361.zip,727313,2026-06-27T13:44:04
tower-chat-quality-fix-2026-06-27T03-42-28-355Z.zip,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T03-42-28-355Z.zip,2379442,2026-06-26T22:42:39
abarva-tower-design-spec.md,/Users/anand/Downloads/abarva-tower-design-spec.md,50840,2026-04-27T22:32:34
semantic-layer-purge-plan-not-executed-20260624.sql,/Users/anand/Downloads/semantic-layer-purge-plan-not-executed-20260624.sql,7998,2026-06-24T08:23:37
tenant-dataset-volumetrics.csv,/Users/anand/Downloads/tenant-dataset-volumetrics.csv,3228,2026-06-24T00:23:42
tower-live-scorer-2026-06-27T02-17-06-791Z,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-17-06-791Z,224,2026-06-26T21:17:06
new datasets.zip,/Users/anand/Downloads/new datasets.zip,107002,2026-04-29T23:52:56
abarva-tower-audit-20260625,/Users/anand/Downloads/abarva-tower-audit-20260625,352,2026-06-25T16:01:29
V4_TEMPLATE_SYNTHETIC_DATA_READINESS_AUDIT_2026-06-27.json,/Users/anand/Downloads/V4_TEMPLATE_SYNTHETIC_DATA_READINESS_AUDIT_2026-06-27.json,177676,2026-06-27T08:29:09
semantic2-best-in-class-substrate-candidate-20260624.zip,/Users/anand/Downloads/semantic2-best-in-class-substrate-candidate-20260624.zip,270785,2026-06-24T09:16:01
lakeshore-tower-data-reset-audit-20260625-204304.html,/Users/anand/Downloads/lakeshore-tower-data-reset-audit-20260625-204304.html,17574,2026-06-25T20:43:04
abarva-intelligence-tower-clickable-wireframe-v3.html,/Users/anand/Downloads/abarva-intelligence-tower-clickable-wireframe-v3.html,32971,2026-06-18T21:51:29
abarva-tower-passB-delta-20260626T153940Z,/Users/anand/Downloads/abarva-tower-passB-delta-20260626T153940Z,512,2026-06-26T10:39:40
lakeshore-holdings-v4-tower-enriched-ready-20260626T200116Z.zip,/Users/anand/Downloads/lakeshore-holdings-v4-tower-enriched-ready-20260626T200116Z.zip,96613,2026-06-26T15:02:10
tower-fix-package.zip,/Users/anand/Downloads/tower-fix-package.zip,19902,2026-05-07T15:04:07
tower-outcome-report__skyharbor__2026-06-01.docx,/Users/anand/Downloads/tower-outcome-report__skyharbor__2026-06-01.docx,14559,2026-06-01T17:10:28
lakeshore-tower-sanitized-preload-20260626T195245Z.zip,/Users/anand/Downloads/lakeshore-tower-sanitized-preload-20260626T195245Z.zip,15042,2026-06-26T14:52:45
abarva-canonical-vision-package-v4-2026-05-02.zip,/Users/anand/Downloads/abarva-canonical-vision-package-v4-2026-05-02.zip,79068,2026-05-02T11:28:20
tower-chat-quality-audit-20260626,/Users/anand/Downloads/tower-chat-quality-audit-20260626,160,2026-06-26T17:07:35
tower-live-scorer-2026-06-27T21-45-07-182Z.zip,/Users/anand/Downloads/tower-live-scorer-2026-06-27T21-45-07-182Z.zip,5565,2026-06-27T16:45:08
db-audit-vnet-semantic2-summary-20260625.json,/Users/anand/Downloads/db-audit-vnet-semantic2-summary-20260625.json,7109,2026-06-25T09:21:26
semantic2-best-in-class-substrate-report-20260624.zip,/Users/anand/Downloads/semantic2-best-in-class-substrate-report-20260624.zip,15018,2026-06-24T11:10:49
lakeshore-industries-synthetic-v4-dataset.zip,/Users/anand/Downloads/lakeshore-industries-synthetic-v4-dataset.zip,90473,2026-06-24T08:26:23
tower-live-scorer-2026-06-27T02-42-14-567Z,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-42-14-567Z,224,2026-06-26T21:42:14
TOWER.zip,/Users/anand/Downloads/TOWER.zip,977067,2026-05-06T13:35:02
AbarVa_Wireframe_Specifications_Program_Intelligence_Tower,/Users/anand/Downloads/AbarVa_Wireframe_Specifications_Program_Intelligence_Tower,160,2026-04-26T23:12:01
semantic2-crown-proof-4f27f361,/Users/anand/Downloads/semantic2-crown-proof-4f27f361,512,2026-06-27T13:43:17
tower-data-trust-gate-2026-06-26T20-11-11-202Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-11-11-202Z.zip,10314,2026-06-26T15:11:11
tower-auth-debug.png,/Users/anand/Downloads/tower-auth-debug.png,161933,2026-06-26T22:43:31
tower-question-bank-report-20260627.html,/Users/anand/Downloads/tower-question-bank-report-20260627.html,26799,2026-06-26T21:54:12
tower-data-trust-gate-2026-06-26T20-29-34-847Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-29-34-847Z.zip,11183,2026-06-26T15:29:34
tower-chat-quality-fix-2026-06-27T05-27-38-014Z.zip,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T05-27-38-014Z.zip,2551802,2026-06-27T00:27:55
TENANT_DATASET_VOLUMETRICS.md,/Users/anand/Downloads/TENANT_DATASET_VOLUMETRICS.md,4483,2026-06-24T00:23:42
tower-ava-polish-proof-20260626,/Users/anand/Downloads/tower-ava-polish-proof-20260626,224,2026-06-26T13:43:49
abarva-tower-code-kickoff-prompt.md,/Users/anand/Downloads/abarva-tower-code-kickoff-prompt.md,6148,2026-04-27T22:40:00
AbarVa Home Intelligence Tower Compact Wireframe.html,/Users/anand/Downloads/AbarVa Home Intelligence Tower Compact Wireframe.html,46265,2026-06-18T21:58:14
abarva-tenant-v4-datasets-20260623-090646.zip,/Users/anand/Downloads/abarva-tenant-v4-datasets-20260623-090646.zip,732638,2026-06-23T09:06:46
abarva-v4-pilot-load-skyharbor-air-first-capital-meridian-health-lakeshore-apex-retail-2026-06-18T22-02-45.zip,/Users/anand/Downloads/abarva-v4-pilot-load-skyharbor-air-first-capital-meridian-health-lakeshore-apex-retail-2026-06-18T22-02-45.zip,672966,2026-06-18T17:02:45
tower-live-scorer-2026-06-27T21-05-55-218Z.zip,/Users/anand/Downloads/tower-live-scorer-2026-06-27T21-05-55-218Z.zip,193786,2026-06-27T16:09:36
semantic2-dossier-active-eligibility-20260626T234851Z.zip,/Users/anand/Downloads/semantic2-dossier-active-eligibility-20260626T234851Z.zip,94703,2026-06-26T18:51:09
AbarVa Control Tower v2 (standalone) (4).html,/Users/anand/Downloads/AbarVa Control Tower v2 (standalone) (4).html,696167,2026-06-27T16:47:21
tower-chat-quality-fix-2026-06-27T05-02-41-848Z.zip,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T05-02-41-848Z.zip,2552021,2026-06-27T00:02:57
tower-chat-shared-fix-20260627T002907Z,/Users/anand/Downloads/tower-chat-shared-fix-20260627T002907Z,288,2026-06-26T19:33:47
abarva-canonical-vision-package-v4-2026-05-02,/Users/anand/Downloads/abarva-canonical-vision-package-v4-2026-05-02,320,2026-05-02T11:28:24
abarva-tower-dossier-build-2026-06-26T14-50-55-930Z,/Users/anand/Downloads/abarva-tower-dossier-build-2026-06-26T14-50-55-930Z,320,2026-06-26T09:50:55
lakeshore-tower-proof-20260626,/Users/anand/Downloads/lakeshore-tower-proof-20260626,192,2026-06-26T16:50:28
tower-data-trust-gate-2026-06-26T20-21-59-615Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-21-59-615Z,224,2026-06-26T15:21:59
tower-data-trust-gate-2026-06-26T19-00-13-615Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T19-00-13-615Z,224,2026-06-26T14:00:13
tower-data-trust-gate-2026-06-26T19-00-13-615Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T19-00-13-615Z.zip,10392,2026-06-26T14:00:13
AbarVa_Wireframe_Specifications_Program_Intelligence_Tower.zip,/Users/anand/Downloads/AbarVa_Wireframe_Specifications_Program_Intelligence_Tower.zip,130744,2026-04-26T23:10:44
abarva-semantic2-morgan-is-lakeshore-correction-2026-06-25T16-08-24-149Z.zip,/Users/anand/Downloads/abarva-semantic2-morgan-is-lakeshore-correction-2026-06-25T16-08-24-149Z.zip,2505,2026-06-25T11:08:24
enterprise-semantic-layer-erd-volumetric-20260624-assets,/Users/anand/Downloads/enterprise-semantic-layer-erd-volumetric-20260624-assets,128,2026-06-24T00:59:30
tower-data-trust-gate-2026-06-26T20-32-38-312Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-32-38-312Z,224,2026-06-26T15:32:38
AbarVa Tower Answer Routing (standalone).html,/Users/anand/Downloads/AbarVa Tower Answer Routing (standalone).html,655802,2026-06-27T15:45:57
V4_TEMPLATE_SYNTHETIC_DATA_READINESS_AUDIT_2026-06-27.html,/Users/anand/Downloads/V4_TEMPLATE_SYNTHETIC_DATA_READINESS_AUDIT_2026-06-27.html,39555,2026-06-27T08:29:09
tower-chat-quality-fix-2026-06-27T04-33-46-017Z,/Users/anand/Downloads/tower-chat-quality-fix-2026-06-27T04-33-46-017Z,352,2026-06-26T23:33:59
lakeshore-tower-data-reset-audit-20260625-204304.json,/Users/anand/Downloads/lakeshore-tower-data-reset-audit-20260625-204304.json,16591,2026-06-25T20:43:04
TOWER_SEMANTIC_MART_END_TO_END_DESIGN.md,/Users/anand/Downloads/TOWER_SEMANTIC_MART_END_TO_END_DESIGN.md,17248,2026-06-26T20:05:27
tower-ava-brand-proof-20260625-final,/Users/anand/Downloads/tower-ava-brand-proof-20260625-final,192,2026-06-25T18:05:22
lakeshore-tower-sanitized-preload-20260626T195245Z,/Users/anand/Downloads/lakeshore-tower-sanitized-preload-20260626T195245Z,608,2026-06-26T14:52:45
tower-chat-shared-fix-20260626T232817Z,/Users/anand/Downloads/tower-chat-shared-fix-20260626T232817Z,288,2026-06-26T18:33:28
skyharbor-lakeshore-v4-datasets.zip,/Users/anand/Downloads/skyharbor-lakeshore-v4-datasets.zip,390846,2026-06-24T08:26:23
tower-semantic-projection-proof-2026-06-25T23-40-05-124Z,/Users/anand/Downloads/tower-semantic-projection-proof-2026-06-25T23-40-05-124Z,128,2026-06-25T18:40:13
AbarVa Control Tower v2 (standalone) (2).html,/Users/anand/Downloads/AbarVa Control Tower v2 (standalone) (2).html,688646,2026-06-19T11:11:00
abarva-semantic2-morgan-is-lakeshore-correction-2026-06-25T16-08-24-149Z,/Users/anand/Downloads/abarva-semantic2-morgan-is-lakeshore-correction-2026-06-25T16-08-24-149Z,160,2026-06-25T11:08:24
tower-live-scorer-2026-06-27T02-12-14-148Z,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-12-14-148Z,224,2026-06-26T21:12:14
tower-chat-shared-fix-20260626T225710Z,/Users/anand/Downloads/tower-chat-shared-fix-20260626T225710Z,288,2026-06-26T17:59:25
SkyHarbor_Dataset_and_Ingestion_Plan.html,/Users/anand/Downloads/SkyHarbor_Dataset_and_Ingestion_Plan.html,18417,2026-06-10T10:12:42
tower-live-scorer-2026-06-27T02-12-14-148Z.zip,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-12-14-148Z.zip,8211,2026-06-26T21:12:14
tower-question-bank.json,/Users/anand/Downloads/tower-question-bank.json,5047579,2026-06-26T20:03:47
tower-data-trust-gate-2026-06-26T20-27-33-867Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-27-33-867Z,224,2026-06-26T15:27:33
semantic2-best-in-class-substrate-report-20260624.html,/Users/anand/Downloads/semantic2-best-in-class-substrate-report-20260624.html,23426,2026-06-24T11:10:49
first-capital-ai-control-tower-data-model-dump.html,/Users/anand/Downloads/first-capital-ai-control-tower-data-model-dump.html,62348,2026-06-17T22:13:52
tower-live-scorer-2026-06-27T02-42-14-567Z.zip,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-42-14-567Z.zip,8213,2026-06-26T21:42:14
tower-semantic-mart-question-bank-20260626.zip,/Users/anand/Downloads/tower-semantic-mart-question-bank-20260626.zip,113825,2026-06-26T20:06:18
abarva-intelligence-tower-clickable-wireframe.html,/Users/anand/Downloads/abarva-intelligence-tower-clickable-wireframe.html,25659,2026-06-18T21:41:52
abarva-brief-tower-primer-qa.png,/Users/anand/Downloads/abarva-brief-tower-primer-qa.png,329382,2026-05-28T00:41:29
abarva_launch_deck_v5.html,/Users/anand/Downloads/abarva_launch_deck_v5.html,483888,2026-06-26T14:22:13
abarva-tower-inputs-by-tenant-2026-06-26T11-15-32-829Z.zip,/Users/anand/Downloads/abarva-tower-inputs-by-tenant-2026-06-26T11-15-32-829Z.zip,329442,2026-06-26T06:15:32
abarva-v4-plus-morgan-operational-v5-datasets-20260625-073919.zip,/Users/anand/Downloads/abarva-v4-plus-morgan-operational-v5-datasets-20260625-073919.zip,5867553,2026-06-25T07:39:19
tower-live-scorer-2026-06-27T02-17-32-419Z.zip,/Users/anand/Downloads/tower-live-scorer-2026-06-27T02-17-32-419Z.zip,3888425,2026-06-26T21:39:41
semantic2-shadow-qa-ava-ux-proof-20260624-assets,/Users/anand/Downloads/semantic2-shadow-qa-ava-ux-proof-20260624-assets,224,2026-06-24T12:40:58
ABARVA_BACKLOG_COMPLETION_CONTROL_TOWER_2026-06-04.md,/Users/anand/Downloads/ABARVA_BACKLOG_COMPLETION_CONTROL_TOWER_2026-06-04.md,3835,2026-06-03T23:20:01
tower-data-trust-gate-2026-06-26T20-29-34-847Z,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-29-34-847Z,224,2026-06-26T15:29:34
v4-semantic-density-reconciliation-20260624.html,/Users/anand/Downloads/v4-semantic-density-reconciliation-20260624.html,3361,2026-06-24T08:02:02
AbarVa Control Tower v2 (standalone).html,/Users/anand/Downloads/AbarVa Control Tower v2 (standalone).html,673462,2026-06-19T09:34:51
enterprise-semantic-runtime-proof-20260624.zip,/Users/anand/Downloads/enterprise-semantic-runtime-proof-20260624.zip,49381,2026-06-24T01:27:18
tower-chat-shared-fix-20260627T002907Z 2,/Users/anand/Downloads/tower-chat-shared-fix-20260627T002907Z 2,320,2026-06-26T19:34:53
lakeshore-tower-sanitized-preload-20260626T195036Z.zip,/Users/anand/Downloads/lakeshore-tower-sanitized-preload-20260626T195036Z.zip,15836,2026-06-26T14:50:36
abarva-tower-dossier-build-2026-06-26T14-49-44-243Z,/Users/anand/Downloads/abarva-tower-dossier-build-2026-06-26T14-49-44-243Z,320,2026-06-26T09:49:44
tower-chat-shared-fix-20260627T002907Z.zip,/Users/anand/Downloads/tower-chat-shared-fix-20260627T002907Z.zip,101705,2026-06-26T19:34:06
semantic-layer-quality-gauntlet-200q-20260624.html,/Users/anand/Downloads/semantic-layer-quality-gauntlet-200q-20260624.html,944849,2026-06-24T07:17:08
tower-demo-readiness-proof-20260626,/Users/anand/Downloads/tower-demo-readiness-proof-20260626,192,2026-06-26T12:33:07
tower-agentdock-proof-20260625,/Users/anand/Downloads/tower-agentdock-proof-20260625,288,2026-06-25T16:50:35
abarva-tower-passB-delta-20260626T153817Z,/Users/anand/Downloads/abarva-tower-passB-delta-20260626T153817Z,512,2026-06-26T10:38:18
AbarVa Control Tower v2 (standalone) (1).html,/Users/anand/Downloads/AbarVa Control Tower v2 (standalone) (1).html,674524,2026-06-19T09:54:44
tower-data-trust-gate-2026-06-26T20-21-59-615Z.zip,/Users/anand/Downloads/tower-data-trust-gate-2026-06-26T20-21-59-615Z.zip,11183,2026-06-26T15:21:59
lakeshore-holdings-v4-tower-enriched-ready-20260626T200116Z,/Users/anand/Downloads/lakeshore-holdings-v4-tower-enriched-ready-20260626T200116Z,256,2026-06-26T15:01:16
abarva-tower-dossier-build-2026-06-26T14-52-35-358Z,/Users/anand/Downloads/abarva-tower-dossier-build-2026-06-26T14-52-35-358Z,320,2026-06-26T09:52:35
tower-live-scorer-2026-06-27T21-45-07-182Z,/Users/anand/Downloads/tower-live-scorer-2026-06-27T21-45-07-182Z,288,2026-06-27T16:45:08
abarva-semantic2-l1-l4-audit-2026-06-25T15-56-50-556Z,/Users/anand/Downloads/abarva-semantic2-l1-l4-audit-2026-06-25T15-56-50-556Z,160,2026-06-25T10:56:50
tower-question-bank-summary.json,/Users/anand/Downloads/tower-question-bank-summary.json,562,2026-06-26T20:03:47
tower_dashboard_wireframe.html,/Users/anand/Downloads/tower_dashboard_wireframe.html,15303,2026-06-26T16:40:22
v4-v5-tenant-dataset-gap-audit-20260627.zip,/Users/anand/Downloads/v4-v5-tenant-dataset-gap-audit-20260627.zip,42973,2026-06-27T16:58:20
AbarVa Control Tower (standalone).html,/Users/anand/Downloads/AbarVa Control Tower (standalone).html,680513,2026-06-17T23:27:59
semantic2-dossier-surface-eligibility-20260626T211253Z.zip,/Users/anand/Downloads/semantic2-dossier-surface-eligibility-20260626T211253Z.zip,100283,2026-06-26T16:15:57
v4-v5-tenant-dataset-gap-audit-20260627,/Users/anand/Downloads/v4-v5-tenant-dataset-gap-audit-20260627,224,2026-06-27T16:58:20
abarva-azure-data-ecosystem-depth-erd-v4-operational-semantic-20260624.zip,/Users/anand/Downloads/abarva-azure-data-ecosystem-depth-erd-v4-operational-semantic-20260624.zip,31342,2026-06-24T08:14:08
enterprise-semantic-layer-erd-volumetric-20260624.zip,/Users/anand/Downloads/enterprise-semantic-layer-erd-volumetric-20260624.zip,13669,2026-06-24T00:59:30
abarva_launch_deck_v4.html,/Users/anand/Downloads/abarva_launch_deck_v4.html,574512,2026-06-26T14:06:39
AbarVa Control Tower v2 (standalone) (3).html,/Users/anand/Downloads/AbarVa Control Tower v2 (standalone) (3).html,692616,2026-06-27T15:38:51
Tower overview.png,/Users/anand/Downloads/Tower overview.png,237760,2026-06-25T20:11:28
tower-ava-brand-proof-20260625,/Users/anand/Downloads/tower-ava-brand-proof-20260625,128,2026-06-25T17:39:58
