system_id,name,vendor,category,domain,deployment_model,owner_id,business_owner,version,annual_cost_usd,renewal_date,contract_end,integration_count,data_sensitivity,business_criticality,technical_debt_rating,sunset_planned,notes
sys:apex:atlassian,Jira + Confluence,Atlassian,Dev Tools,Engineering,SaaS,person:apex:raj-patel,person:apex:carlos-rivera,Cloud,180000,2026-12-31,2027-12-31,N/A,Confidential,Medium,Low,No,"Standard dev tooling"
sys:apex:github,GitHub Enterprise,GitHub,SCM / DevOps,Engineering,SaaS,person:apex:raj-patel,person:apex:carlos-rivera,Enterprise Cloud,140000,2026-09-30,2027-09-30,N/A,Confidential,High,Low,No,"GitHub Copilot evaluated 2025; deferred"
sys:apex:aws-landing-zone,AWS (primary),AWS,Cloud Infra,Infrastructure,Cloud (AWS),person:apex:raj-patel,person:apex:carlos-rivera,N/A,4280000,N/A — EDP,2027-06-30,N/A,Confidential,Critical,Low,No,"EDP commit $4.5M annually; phase 2 migration in progress"
sys:apex:azure-tenant,Azure (M365 + select workloads),Microsoft,Cloud Infra,Infrastructure,Cloud (Azure),person:apex:raj-patel,person:apex:carlos-rivera,N/A,940000,2027-06-30,2027-06-30,N/A,Confidential,High,Low,No,"M365-anchored; growing slowly; not strategic to expand"
sys:apex:cloudflare,Cloudflare,Cloudflare,CDN / Edge,Digital,SaaS,person:apex:priya-iyer,person:apex:priya-iyer,N/A,240000,2026-08-31,2027-08-31,N/A,Confidential,Critical,Low,No,"Powers e-commerce edge; recent WAF refresh"
sys:apex:datadog,Datadog,Datadog,Observability,IT Operations,SaaS,person:apex:raj-patel,person:apex:carlos-rivera,N/A,420000,2026-12-31,2026-12-31,N/A,Confidential,High,Low,No,"Renewal coming up; cost growth concern"
sys:apex:newrelic,New Relic,New Relic,APM,Engineering,SaaS,person:apex:priya-iyer,person:apex:priya-iyer,N/A,180000,2027-03-31,2027-03-31,N/A,Confidential,Medium,Low,Considering,"Overlap with Datadog under review"
sys:apex:klaviyo,Klaviyo,Klaviyo,Email Marketing,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,420000,2026-08-15,2026-08-15,8,Confidential,High,Medium,No,"Compliance gap flagged: Klaviyo not on approved-systems list for Confidential data; remediation in progress"
sys:apex:braze,Braze,Braze,Mobile + Push Marketing,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,310000,2026-10-31,2027-10-31,6,Confidential,High,Low,No,"Mobile push; AI features in current plan"
sys:apex:google-analytics-360,Google Analytics 360,Google,Web Analytics,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,GA4,180000,2026-09-30,2026-09-30,N/A,Internal,High,Medium,No,"GA4 migration completed; data quality concerns from MarTech team"
sys:apex:adobe-analytics,Adobe Analytics,Adobe,Web Analytics,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,290000,2026-12-31,2026-12-31,N/A,Internal,Medium,Medium,Likely sunset,"Overlapping use case with GA360; consolidation likely"
sys:apex:adobe-target,Adobe Target,Adobe,A/B Testing,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,220000,2026-12-31,2026-12-31,N/A,Confidential,Medium,Low,No,"Used for e-commerce experimentation"
sys:apex:tealium-cdp,Tealium CDP,Tealium,Tag Management + CDP-lite,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,310000,2026-08-15,2026-08-15,18,Confidential,High,High,Yes — CDP target,"Tealium being replaced by full CDP; co-renewal date with Klaviyo creates leverage"
sys:apex:dynamic-yield,Dynamic Yield,Mastercard / Dynamic Yield,Personalization,Digital,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,440000,2026-09-30,2026-09-30,9,Confidential,High,Medium,No,"Underutilized; relationship under review"
sys:apex:contentful,Contentful,Contentful,Headless CMS,Digital,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,180000,2027-04-30,2027-04-30,12,Internal,High,Low,No,"Stable; powers e-commerce content"
sys:apex:shopify-pos-pilot,Shopify POS (pilot),Shopify,POS Pilot,Stores,SaaS,person:apex:vacant-store-tech,person:apex:david-okonjo,N/A,80000,2026-07-15,2026-07-15,4,Confidential,Low,Low,Pilot — TBD,"Pilot in 6 stores; assessing as POS modernization option; vacant VP role slowing decision"
sys:apex:zendesk,Zendesk,Zendesk,Customer Service Platform,Customer Service,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,380000,2026-09-30,2027-09-30,11,Confidential,High,Medium,Considering,"AI features under evaluation as part of Contact Center AI program"
sys:apex:five9-pilot,Five9 Voice + AI (pilot),Five9,Contact Center Voice + AI,Customer Service,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,120000,2026-12-31,2026-12-31,6,Confidential,Medium,Low,Pilot — TBD,"Pilot for Contact Center AI program; alternative to Genesys"
sys:apex:nice-cxone,NICE CXone (incumbent),NICE,Contact Center IVR + WFM,Customer Service,SaaS,person:apex:priya-iyer,person:apex:david-okonjo,N/A,820000,2026-11-30,2027-11-30,18,Confidential,Critical,High,Considering,"Incumbent; aging; AI capabilities lag; subject to Contact Center AI program"
sys:apex:google-workspace,Google Workspace (legacy team),Google,Productivity (legacy),Selective,SaaS,person:apex:raj-patel,(varied),N/A,80000,2026-12-31,2026-12-31,N/A,Confidential,Low,Medium,Yes,"Legacy use by ~150 users from a 2018 acquisition; M365 standardization ongoing"
sys:apex:dropbox,Dropbox Business,Dropbox,Cloud Storage (legacy),Selective,SaaS,person:apex:raj-patel,(varied),N/A,60000,2026-08-31,2026-08-31,N/A,Confidential,Low,Medium,Yes,"Legacy; SharePoint replacement in progress"
sys:apex:docusign,DocuSign,DocuSign,E-signature,Legal + HR,SaaS,person:apex:rebecca-singh,person:apex:rebecca-singh,N/A,160000,2026-11-30,2027-11-30,9,Confidential,High,Low,No,"Standard tool"
sys:apex:concur,SAP Concur,SAP,Travel + Expense,Finance,SaaS,person:apex:diana-lopez,person:apex:margaret-chen,N/A,210000,2026-12-31,2027-12-31,4,Confidential,Medium,Low,No,"Stable"
sys:apex:coupa,Coupa,Coupa,Procure-to-Pay,Procurement,SaaS,person:apex:nathan-kohl,person:apex:nathan-kohl,N/A,440000,2027-03-31,2027-03-31,8,Confidential,High,Low,No,"Implemented 2024; performing well"
sys:apex:ariba-supplier,SAP Ariba Supplier,SAP,Supplier Network (legacy),Procurement,SaaS,person:apex:nathan-kohl,person:apex:nathan-kohl,N/A,140000,2026-12-31,2026-12-31,3,Internal,Medium,High,Likely sunset,"Subset of suppliers only; consolidation candidate"
sys:apex:snowflake-pii-vault,Snowflake PII Vault,Snowflake,Data Privacy Vault,Data,SaaS (AWS),person:apex:james-wright,person:apex:rebecca-singh,N/A,180000,2026-11-30,2027-11-30,6,Restricted,Critical,Low,No,"Tokenization for customer PII"
sys:apex:fivetran,Fivetran,Fivetran,Data Integration,Data,SaaS,person:apex:james-wright,person:apex:lynne-stratham,N/A,240000,2027-01-31,2027-01-31,32,Confidential,High,Low,No,"Solid; growing usage"
sys:apex:dbt-cloud,dbt Cloud,dbt Labs,Data Transformation,Data,SaaS,person:apex:james-wright,person:apex:lynne-stratham,N/A,160000,2026-09-30,2026-09-30,N/A,Confidential,High,Low,No,"Data engineering standard"
sys:apex:airbyte-pilot,Airbyte (open source / cloud pilot),Airbyte,Data Integration (alt),Data,SaaS,person:apex:james-wright,person:apex:james-wright,N/A,40000,2026-12-31,2026-12-31,4,Confidential,Low,Low,Pilot — TBD,"Pilot as Fivetran alternative"
sys:apex:pinecone,Pinecone Vector DB,Pinecone,Vector Database,Data,SaaS,person:apex:james-wright,person:apex:elena-fischer,N/A,120000,2026-08-31,2026-08-31,4,Confidential,Medium,Low,Considering,"Used for early AI experiments; pgvector being evaluated as alternative"
sys:apex:openai-api,OpenAI API,OpenAI,LLM Provider,AI,SaaS,person:apex:elena-fischer,person:apex:lynne-stratham,N/A,180000,N/A — pay-as-you-go,N/A,N/A,Restricted,High,Low,No,"Approved for select use cases; usage monitoring in place"
sys:apex:anthropic-api,Anthropic API,Anthropic,LLM Provider,AI,SaaS,person:apex:elena-fischer,person:apex:lynne-stratham,N/A,140000,N/A — pay-as-you-go,N/A,N/A,Restricted,High,Low,No,"Added 2025 for diversity; growing usage"
sys:apex:amazon-bedrock,Amazon Bedrock,AWS,LLM Platform,AI,Cloud (AWS),person:apex:james-wright,person:apex:lynne-stratham,N/A,80000,N/A — included EDP,N/A,N/A,Restricted,Medium,Low,No,"Through EDP; selected models only"
sys:apex:hugging-face,Hugging Face Hub,Hugging Face,ML Models / Hosting,AI,SaaS,person:apex:james-wright,person:apex:lynne-stratham,Pro,40000,2026-12-31,2026-12-31,N/A,Internal,Low,Low,No,"Open source models for select use cases"
sys:apex:weights-and-biases,Weights & Biases,W&B,MLOps Tracking,AI,SaaS,person:apex:james-wright,person:apex:lynne-stratham,N/A,80000,2026-09-30,2026-09-30,N/A,Internal,Medium,Low,No,"Standard ML experimentation tracking"
sys:apex:legacy-store-crm,Legacy In-Store CRM,Custom (in-house),Customer Database (legacy),Stores,On-prem,person:apex:vacant-store-tech,person:apex:david-okonjo,N/A,180000,N/A,N/A,2,Confidential,Medium,Critical,Yes — long-planned,"Built in-house 2008; chronic data quality issues; target sunset 2027 with CDP completion"
sys:apex:ovaa-planning,OVAA Demand Planning,OVAA Solutions,Demand Planning,Supply Chain,On-prem,person:apex:michael-tanaka,person:apex:michael-tanaka,12.4,420000,2027-03-31,2027-03-31,11,Confidential,Critical,High,Likely — apex-forecast-2026 outcome,"Aging system; subject of demand forecasting modernization program"
sys:apex:manhattan-wms,Manhattan WMS,Manhattan,Warehouse Management,Supply Chain,On-prem,person:apex:michael-tanaka,person:apex:michael-tanaka,2022,680000,2027-09-30,2027-09-30,8,Confidential,Critical,Medium,No,"DC operations; performing"
sys:apex:retalix-allocation,Retalix Store Allocation,NCR / Retalix,Store Allocation,Supply Chain,On-prem,person:apex:michael-tanaka,person:apex:angela-foster,2018 release,140000,2026-12-31,2026-12-31,6,Confidential,High,High,Yes — under evaluation,"Aging; allocation drift contributes to inventory turn problem"
sys:apex:edi-platform-legacy,Legacy EDI Gateway,Sterling Commerce,EDI Integration,Supply Chain,On-prem,person:apex:raj-patel,person:apex:michael-tanaka,Sterling,180000,2027-06-30,2027-06-30,28,Internal,High,High,Yes — modernization candidate,"Critical for vendor EDI; aging; modernization deferred multiple times"
sys:apex:appsflyer,AppsFlyer,AppsFlyer,Mobile Attribution,Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,120000,2026-09-30,2026-09-30,6,Confidential,Medium,Low,No,"Mobile measurement"
sys:apex:segment,Twilio Segment,Twilio,Customer Data Pipeline,Marketing,SaaS,person:apex:priya-iyer,person:apex:james-wright,N/A,240000,2026-08-31,2026-08-31,12,Confidential,High,Medium,Likely consolidate w/ CDP,"CDP-adjacent; likely consolidates with future CDP"
sys:apex:hubspot-marketing,HubSpot Marketing (B2B),HubSpot,B2B Marketing (legacy),Marketing,SaaS,person:apex:priya-iyer,person:apex:jennifer-park,N/A,60000,2026-12-31,2026-12-31,2,Internal,Low,Low,Yes,"Used by a 5-person B2B sales team; consolidation candidate"
sys:apex:slack,Slack,Slack / Salesforce,Collaboration,All,SaaS,person:apex:thomas-brennan,person:apex:thomas-brennan,N/A,420000,2026-12-31,2027-12-31,N/A,Confidential,High,Low,No,"Primary collaboration tool; renewal recently completed"
sys:apex:zoom,Zoom,Zoom,Video Conferencing,All,SaaS,person:apex:raj-patel,person:apex:thomas-brennan,N/A,240000,2026-09-30,2026-09-30,N/A,Confidential,High,Low,No,"Standard"
sys:apex:asana,Asana,Asana,Project Management (selective),Marketing + Creative,SaaS,person:apex:thomas-brennan,person:apex:jennifer-park,N/A,80000,2026-12-31,2026-12-31,N/A,Internal,Medium,Low,No,"Used by marketing/creative; not standardized enterprise-wide"
sys:apex:miro,Miro,Miro,Whiteboarding,All,SaaS,person:apex:thomas-brennan,(varied),N/A,40000,2026-12-31,2026-12-31,N/A,Internal,Low,Low,No,"Standard"
