vendor_id,vendor_name,scope,annual_run_rate_usd,renewal_date,criticality,notes
CON-00001,SAP,Managed Service,85440000,2026-09-04,critical,tower=Network; owner=CDO; utilization=91; action=Right-size
CON-00056,Oracle,Managed Service,23210000,2025-10-31,critical,tower=Integration; owner=VP Data; utilization=23; action=Competitive Bid
CON-00057,Amadeus,Managed Service,138080000,2027-10-08,critical,tower=Cloud; owner=VP Engineering; utilization=45; action=Terminate
CON-00058,Sabre,SaaS Subscription,47140000,2025-04-27,critical,tower=Cloud; owner=CIO; utilization=78; action=Consolidate
CON-00059,NetApp,Managed Service,63320000,2026-11-17,critical,tower=Cloud; owner=VP Engineering; utilization=67; action=Terminate
CON-00060,Cisco,Consumption Commit,118290000,2028-09-20,critical,tower=Data & Analytics; owner=CDO; utilization=84; action=Renegotiate
CON-00061,ServiceNow,Consumption Commit,86300000,2025-07-24,critical,tower=Network; owner=CIO; utilization=34; action=Competitive Bid
CON-00062,IBM,Professional Services,134009999,2028-03-23,critical,tower=Network; owner=CIO; utilization=60; action=Competitive Bid
CON-00063,NetApp,Consumption Commit,112960000,2030-01-16,critical,tower=Mainframe; owner=CISO; utilization=26; action=Consolidate
CON-00064,Palo Alto,Perpetual License,23660000,2024-12-22,critical,tower=ERP; owner=VP Engineering; utilization=81; action=Right-size
CON-00065,Palo Alto,SaaS Subscription,58950000,2025-12-19,critical,tower=Cloud; owner=VP Engineering; utilization=54; action=Competitive Bid
CON-00066,Fortinet,Managed Service,127340000,2023-11-22,critical,tower=EUC; owner=COO; utilization=78; action=Benchmark
CON-00067,TCS,Managed Service,120170000,2025-12-25,critical,tower=Mainframe; owner=CDO; utilization=69; action=Right-size
CON-00068,SAP,Capacity Reservation,98580000,2026-11-12,critical,tower=Security; owner=CIO; utilization=95; action=Renegotiate
CON-00069,Microsoft,Perpetual License,84830000,2029-01-01,critical,tower=Network; owner=CIO; utilization=81; action=Terminate
CON-00070,Snowflake,Professional Services,3820000,2026-12-05,important,tower=Network; owner=Chief Digital Officer; utilization=87; action=Renew
CON-00071,Accenture,Support & Maintenance,104030000,2026-12-27,critical,tower=Security; owner=CDO; utilization=20; action=Benchmark
CON-00072,TCS,Professional Services,83510000,2026-10-30,critical,tower=ERP; owner=CIO; utilization=67; action=Consolidate
CON-00073,Workday,Managed Service,32920000,2026-02-11,critical,tower=EUC; owner=CTO; utilization=57; action=Benchmark
CON-00074,AWS,Capacity Reservation,19530000,2025-12-22,important,tower=Integration; owner=CDO; utilization=87; action=Terminate
CON-00075,TCS,Enterprise Agreement,30010000,2025-08-28,critical,tower=ERP; owner=CTO; utilization=45; action=Competitive Bid
CON-00076,Snowflake,SaaS Subscription,105020000,2028-12-06,critical,tower=Integration; owner=Chief Digital Officer; utilization=33; action=Terminate
CON-00077,IBM,SaaS Subscription,52620000,2029-03-17,critical,tower=Data & Analytics; owner=CTO; utilization=61; action=Consolidate
CON-00078,IBM,Perpetual License,79170000,2029-03-27,critical,tower=ERP; owner=Chief Digital Officer; utilization=28; action=Right-size
CON-00079,AWS,Professional Services,27950000,2025-09-19,critical,tower=Digital; owner=COO; utilization=23; action=Right-size
CON-00080,MuleSoft,Enterprise Agreement,4810000,2028-07-17,important,tower=EUC; owner=Chief Digital Officer; utilization=55; action=Terminate
CON-00081,MuleSoft,Professional Services,70400000,2026-12-03,critical,tower=Data & Analytics; owner=CISO; utilization=37; action=Competitive Bid
CON-00082,TCS,Perpetual License,78050000,2026-09-13,critical,tower=EUC; owner=COO; utilization=49; action=Benchmark
CON-00083,Oracle,Professional Services,68300000,2028-04-18,critical,tower=Integration; owner=CTO; utilization=78; action=Renegotiate
CON-00084,Salesforce,Capacity Reservation,11220000,2027-04-25,important,tower=Integration; owner=CTO; utilization=95; action=Renew
CON-00085,NetApp,Perpetual License,76370000,2026-08-27,critical,tower=Integration; owner=VP Data; utilization=48; action=Competitive Bid
CON-00086,Informatica,Consumption Commit,74310000,2029-01-03,critical,tower=Digital; owner=VP Infrastructure; utilization=98; action=Renew
CON-00087,Salesforce,SaaS Subscription,135210000,2028-08-17,critical,tower=Digital; owner=CISO; utilization=58; action=Benchmark
CON-00088,TCS,Managed Service,18050000,2024-12-12,important,tower=Digital; owner=VP Infrastructure; utilization=73; action=Benchmark
CON-00089,MuleSoft,Capacity Reservation,2020000,2028-06-04,important,tower=Digital; owner=CFO; utilization=55; action=Renegotiate
CON-00090,Accenture,Enterprise Agreement,114050000,2026-12-24,critical,tower=Integration; owner=CIO; utilization=96; action=Competitive Bid
CON-00091,Cisco,SaaS Subscription,61490000,2023-11-19,critical,tower=Security; owner=CFO; utilization=27; action=Renew
CON-00092,TCS,Managed Service,43440000,2029-11-30,critical,tower=Cloud; owner=CFO; utilization=85; action=Renew
CON-00093,Informatica,Professional Services,48060000,2023-04-26,critical,tower=Network; owner=CTO; utilization=97; action=Renew
CON-00094,Infosys,Support & Maintenance,87920000,2028-07-06,critical,tower=Data & Analytics; owner=CTO; utilization=68; action=Right-size
CON-00095,Snowflake,Capacity Reservation,44330000,2025-06-04,critical,tower=Digital; owner=CISO; utilization=99; action=Renew
CON-00096,TCS,Capacity Reservation,91900000,2026-09-01,critical,tower=Network; owner=COO; utilization=32; action=Right-size
CON-00097,VMware,Capacity Reservation,123930000,2028-01-07,critical,tower=Cloud; owner=VP Data; utilization=89; action=Consolidate
CON-00098,Fortinet,Managed Service,1180000,2025-04-10,important,tower=Cloud; owner=CISO; utilization=37; action=Terminate
CON-00099,IBM,Enterprise Agreement,72640000,2025-11-25,critical,tower=EUC; owner=VP Engineering; utilization=57; action=Terminate
CON-00100,TCS,Managed Service,77470000,2028-01-14,critical,tower=Data & Analytics; owner=VP Engineering; utilization=50; action=Renegotiate
CON-00101,NetApp,Support & Maintenance,41240000,2025-07-12,critical,tower=Digital; owner=CTO; utilization=70; action=Right-size
CON-00102,Cisco,Professional Services,101970000,2026-06-15,critical,tower=Network; owner=CDO; utilization=53; action=Benchmark
CON-00103,TCS,Perpetual License,66239999,2028-05-18,critical,tower=EUC; owner=CIO; utilization=73; action=Consolidate
CON-00104,Informatica,Perpetual License,28320000,2027-04-02,critical,tower=Cloud; owner=VP Data; utilization=84; action=Terminate
CON-00105,SAP,Enterprise Agreement,53600000,2023-10-18,critical,tower=EUC; owner=VP Data; utilization=53; action=Consolidate
CON-00106,Infosys,Support & Maintenance,106130000,2026-11-10,critical,tower=Cloud; owner=CISO; utilization=30; action=Benchmark
CON-00107,Sabre,Managed Service,7440000,2027-09-18,important,tower=Cloud; owner=CTO; utilization=54; action=Consolidate
CON-00108,Snowflake,Support & Maintenance,10840000,2023-10-01,important,tower=Digital; owner=VP Infrastructure; utilization=53; action=Benchmark
CON-00109,Red Hat,Managed Service,25430000,2023-09-12,critical,tower=Network; owner=Chief Digital Officer; utilization=82; action=Terminate
CON-00110,Salesforce,Enterprise Agreement,40670000,2030-02-12,critical,tower=Security; owner=VP Infrastructure; utilization=90; action=Benchmark
CON-00111,Cisco,Enterprise Agreement,118090000,2027-01-21,critical,tower=ERP; owner=COO; utilization=23; action=Competitive Bid
CON-00112,Accenture,Managed Service,52580000,2025-09-01,critical,tower=ERP; owner=CISO; utilization=47; action=Terminate
CON-00113,Infosys,Managed Service,125340000,2026-10-31,critical,tower=Digital; owner=VP Infrastructure; utilization=38; action=Benchmark
CON-00114,VMware,Perpetual License,58560000,2027-11-23,critical,tower=EUC; owner=CISO; utilization=94; action=Renegotiate
CON-00115,VMware,Support & Maintenance,50890000,2027-02-26,critical,tower=Network; owner=VP Data; utilization=23; action=Renegotiate
CON-00116,Cisco,Consumption Commit,107410000,2029-01-04,critical,tower=ERP; owner=CTO; utilization=40; action=Benchmark
CON-00117,VMware,Managed Service,76130000,2028-11-03,critical,tower=ERP; owner=VP Engineering; utilization=60; action=Benchmark
CON-00118,Informatica,Consumption Commit,35630000,2026-07-03,critical,tower=Integration; owner=CISO; utilization=96; action=Competitive Bid
CON-00119,Teradata,Professional Services,15420000,2026-06-28,important,tower=Data & Analytics; owner=CDO; utilization=83; action=Right-size
CON-00120,VMware,Professional Services,28150000,2027-09-15,critical,tower=Network; owner=CFO; utilization=78; action=Consolidate
CON-00121,ServiceNow,Perpetual License,62500000,2026-05-23,critical,tower=Data & Analytics; owner=COO; utilization=74; action=Renegotiate
CON-00122,IBM,Capacity Reservation,126810000,2026-02-18,critical,tower=Cloud; owner=CIO; utilization=94; action=Renew
CON-00123,Microsoft,Capacity Reservation,41000000,2027-05-13,critical,tower=Integration; owner=VP Infrastructure; utilization=99; action=Consolidate
CON-00124,Fortinet,Enterprise Agreement,61680000,2028-05-10,critical,tower=Mainframe; owner=VP Data; utilization=30; action=Terminate
CON-00125,Workday,Professional Services,46960000,2030-04-26,critical,tower=Data & Analytics; owner=VP Data; utilization=26; action=Right-size
CON-00126,VMware,Professional Services,5200000,2026-01-16,important,tower=Data & Analytics; owner=VP Infrastructure; utilization=35; action=Terminate
CON-00127,ServiceNow,Perpetual License,74060000,2027-03-04,critical,tower=ERP; owner=Chief Digital Officer; utilization=55; action=Consolidate
CON-00128,VMware,Consumption Commit,129250000,2026-01-07,critical,tower=ERP; owner=CIO; utilization=80; action=Benchmark
CON-00129,Cisco,Managed Service,11170000,2027-01-14,important,tower=Mainframe; owner=VP Data; utilization=41; action=Benchmark
CON-00130,Microsoft,Managed Service,91460000,2026-03-09,critical,tower=Data & Analytics; owner=COO; utilization=46; action=Terminate
CON-00131,Fortinet,Perpetual License,59430000,2029-01-18,critical,tower=EUC; owner=VP Engineering; utilization=67; action=Benchmark
CON-00132,Microsoft,SaaS Subscription,32330000,2028-09-14,critical,tower=Security; owner=VP Infrastructure; utilization=52; action=Competitive Bid
CON-00133,MuleSoft,Capacity Reservation,129160000,2028-01-14,critical,tower=Mainframe; owner=COO; utilization=42; action=Competitive Bid
CON-00134,AWS,SaaS Subscription,46690000,2027-02-18,critical,tower=Cloud; owner=VP Data; utilization=24; action=Terminate
CON-00135,Oracle,Consumption Commit,92770000,2025-09-11,critical,tower=Security; owner=COO; utilization=40; action=Renew
CON-00136,Cisco,Support & Maintenance,16890000,2029-06-17,important,tower=Mainframe; owner=CISO; utilization=23; action=Consolidate
CON-00137,Workday,Perpetual License,24810000,2024-11-07,critical,tower=Data & Analytics; owner=CIO; utilization=72; action=Renegotiate
CON-00138,Workday,Professional Services,104420000,2024-09-09,critical,tower=Security; owner=CIO; utilization=79; action=Renegotiate
CON-00139,Snowflake,Support & Maintenance,68280000,2024-12-31,critical,tower=Mainframe; owner=VP Data; utilization=23; action=Benchmark
CON-00140,Cisco,Managed Service,20490000,2025-02-16,critical,tower=Cloud; owner=CFO; utilization=55; action=Terminate
CON-00141,Amadeus,Enterprise Agreement,32850000,2026-06-04,critical,tower=Cloud; owner=CFO; utilization=88; action=Renegotiate
CON-00142,ServiceNow,Capacity Reservation,135970000,2026-07-23,critical,tower=Mainframe; owner=Chief Digital Officer; utilization=71; action=Competitive Bid
CON-00143,Salesforce,Support & Maintenance,4820000,2026-11-29,important,tower=EUC; owner=Chief Digital Officer; utilization=51; action=Renegotiate
CON-00144,Snowflake,Capacity Reservation,109490000,2027-07-07,critical,tower=EUC; owner=Chief Digital Officer; utilization=47; action=Renew
CON-00145,SAP,Capacity Reservation,101260000,2024-10-20,critical,tower=Mainframe; owner=CDO; utilization=78; action=Consolidate
CON-00146,TCS,Capacity Reservation,18420000,2025-08-31,important,tower=Cloud; owner=Chief Digital Officer; utilization=78; action=Benchmark
CON-00147,Workday,Perpetual License,6670000,2024-05-02,important,tower=ERP; owner=CISO; utilization=61; action=Competitive Bid
CON-00148,Sabre,Capacity Reservation,12750000,2023-03-03,important,tower=ERP; owner=VP Engineering; utilization=68; action=Right-size
CON-00149,Databricks,Managed Service,83610000,2028-08-19,critical,tower=Integration; owner=Chief Digital Officer; utilization=68; action=Renegotiate
CON-00150,IBM,Support & Maintenance,4760000,2027-08-21,important,tower=Cloud; owner=CIO; utilization=51; action=Consolidate
CON-00151,SAP,Perpetual License,34470000,2028-11-23,critical,tower=ERP; owner=COO; utilization=20; action=Benchmark
CON-00152,Palo Alto,Support & Maintenance,27530000,2025-01-22,critical,tower=Data & Analytics; owner=CIO; utilization=88; action=Renew
CON-00153,Salesforce,Consumption Commit,118590000,2028-06-24,critical,tower=ERP; owner=CFO; utilization=75; action=Competitive Bid
CON-00154,Amadeus,Professional Services,21370000,2026-10-24,critical,tower=Network; owner=VP Engineering; utilization=48; action=Consolidate
CON-00155,Snowflake,Enterprise Agreement,71680000,2027-06-27,critical,tower=Cloud; owner=CISO; utilization=35; action=Competitive Bid
CON-00156,Oracle,Capacity Reservation,24540000,2028-08-17,critical,tower=Cloud; owner=VP Data; utilization=21; action=Benchmark
CON-00157,Red Hat,Perpetual License,104790000,2025-06-30,critical,tower=ERP; owner=Chief Digital Officer; utilization=84; action=Renegotiate
CON-00158,ServiceNow,Perpetual License,62050000,2029-04-05,critical,tower=Security; owner=COO; utilization=74; action=Benchmark
CON-00159,Sabre,Perpetual License,102760000,2028-10-10,critical,tower=Integration; owner=VP Data; utilization=100; action=Renew
CON-00160,TCS,Support & Maintenance,137840000,2027-03-19,critical,tower=Security; owner=CDO; utilization=20; action=Terminate
CON-00161,NetApp,Support & Maintenance,123420000,2024-04-19,critical,tower=Network; owner=CDO; utilization=38; action=Benchmark
CON-00162,ServiceNow,Managed Service,17900000,2023-07-20,important,tower=Mainframe; owner=CISO; utilization=81; action=Competitive Bid
CON-00163,Amadeus,Consumption Commit,103000000,2028-02-16,critical,tower=Data & Analytics; owner=CDO; utilization=38; action=Competitive Bid
CON-00164,MuleSoft,Managed Service,56450000,2030-12-21,critical,tower=ERP; owner=CDO; utilization=95; action=Renegotiate
CON-00165,Dell EMC,Support & Maintenance,123660000,2025-10-27,critical,tower=Security; owner=COO; utilization=45; action=Competitive Bid
CON-00166,ServiceNow,Enterprise Agreement,130180000,2029-05-10,critical,tower=EUC; owner=VP Engineering; utilization=68; action=Right-size
CON-00167,MuleSoft,Professional Services,58000000,2029-05-01,critical,tower=Integration; owner=VP Data; utilization=96; action=Terminate
CON-00168,Accenture,Support & Maintenance,47860000,2027-01-16,critical,tower=Digital; owner=VP Data; utilization=75; action=Renegotiate
CON-00169,Salesforce,Perpetual License,136380000,2028-01-19,critical,tower=Data & Analytics; owner=CDO; utilization=57; action=Competitive Bid
CON-00170,Teradata,Capacity Reservation,58730000,2026-07-29,critical,tower=Network; owner=CISO; utilization=92; action=Terminate
CON-00171,Accenture,SaaS Subscription,130199999,2024-05-17,critical,tower=Security; owner=VP Infrastructure; utilization=66; action=Benchmark
CON-00172,Oracle,Support & Maintenance,45100000,2027-07-03,critical,tower=ERP; owner=CIO; utilization=33; action=Benchmark
CON-00173,Snowflake,Perpetual License,28110000,2024-11-21,critical,tower=Network; owner=VP Data; utilization=68; action=Renegotiate
CON-00174,Databricks,Professional Services,54350000,2026-08-26,critical,tower=Digital; owner=CFO; utilization=33; action=Renegotiate
CON-00175,Sabre,Capacity Reservation,11580000,2027-05-08,important,tower=Mainframe; owner=CFO; utilization=40; action=Right-size
CON-00176,AWS,Enterprise Agreement,76770000,2026-04-26,critical,tower=ERP; owner=COO; utilization=20; action=Renegotiate
CON-00177,Red Hat,Managed Service,131910000,2026-12-17,critical,tower=EUC; owner=VP Data; utilization=33; action=Competitive Bid
CON-00178,NetApp,Support & Maintenance,33110000,2027-05-16,critical,tower=Mainframe; owner=CISO; utilization=93; action=Consolidate
CON-00179,Databricks,Consumption Commit,15840000,2028-12-24,important,tower=Cloud; owner=VP Data; utilization=35; action=Right-size
CON-00180,Snowflake,Support & Maintenance,68430000,2027-05-11,critical,tower=Network; owner=CISO; utilization=100; action=Renew
CON-00181,Salesforce,Enterprise Agreement,128789999,2025-06-29,critical,tower=Cloud; owner=CFO; utilization=40; action=Benchmark
CON-00182,Dell EMC,Capacity Reservation,89490000,2028-09-24,critical,tower=EUC; owner=COO; utilization=44; action=Renegotiate
CON-00183,AWS,Perpetual License,138390000,2027-06-13,critical,tower=ERP; owner=CDO; utilization=36; action=Terminate
CON-00184,Accenture,Enterprise Agreement,47650000,2028-03-19,critical,tower=Cloud; owner=CFO; utilization=79; action=Right-size
CON-00185,Snowflake,Professional Services,35860000,2026-03-22,critical,tower=Security; owner=VP Infrastructure; utilization=78; action=Consolidate
CON-00186,Dell EMC,Capacity Reservation,125650000,2030-04-02,critical,tower=Digital; owner=CTO; utilization=74; action=Terminate
CON-00187,Amadeus,Capacity Reservation,48940000,2025-02-17,critical,tower=Mainframe; owner=CIO; utilization=77; action=Right-size
CON-00188,Sabre,Enterprise Agreement,116580000,2029-07-23,critical,tower=Network; owner=CIO; utilization=87; action=Competitive Bid
CON-00189,Workday,Capacity Reservation,84310000,2027-02-04,critical,tower=Digital; owner=VP Infrastructure; utilization=50; action=Consolidate
CON-00190,Amadeus,Support & Maintenance,113510000,2024-06-23,critical,tower=Security; owner=VP Engineering; utilization=44; action=Benchmark
CON-00191,Sabre,Support & Maintenance,98820000,2030-01-07,critical,tower=Digital; owner=CIO; utilization=98; action=Terminate
CON-00192,Informatica,Managed Service,39070000,2027-03-25,critical,tower=Mainframe; owner=Chief Digital Officer; utilization=92; action=Renew
CON-00193,Microsoft,Perpetual License,87880000,2029-07-25,critical,tower=Digital; owner=CTO; utilization=73; action=Competitive Bid
CON-00194,MuleSoft,Managed Service,29760000,2026-12-08,critical,tower=EUC; owner=VP Infrastructure; utilization=38; action=Right-size
CON-00195,TCS,Capacity Reservation,9680000,2027-12-05,important,tower=Integration; owner=CISO; utilization=100; action=Renegotiate
CON-00196,Microsoft,Perpetual License,37480000,2027-02-23,critical,tower=EUC; owner=COO; utilization=32; action=Competitive Bid
CON-00197,Amadeus,Capacity Reservation,20620000,2026-02-15,critical,tower=Data & Analytics; owner=CISO; utilization=92; action=Right-size
CON-00198,Microsoft,Capacity Reservation,29840000,2025-08-13,critical,tower=Security; owner=VP Data; utilization=69; action=Consolidate
CON-00199,ServiceNow,Managed Service,75300000,2025-10-09,critical,tower=Mainframe; owner=CIO; utilization=95; action=Competitive Bid
CON-00200,Oracle,SaaS Subscription,133669999,2029-05-16,critical,tower=Security; owner=VP Engineering; utilization=77; action=Consolidate
CON-00201,VMware,Support & Maintenance,75690000,2026-05-25,critical,tower=Mainframe; owner=CDO; utilization=66; action=Consolidate
CON-00202,Microsoft,Enterprise Agreement,35730000,2028-09-13,critical,tower=Network; owner=VP Data; utilization=28; action=Benchmark
CON-00203,Dell EMC,Support & Maintenance,20560000,2024-07-11,critical,tower=Cloud; owner=Chief Digital Officer; utilization=46; action=Benchmark
CON-00204,IBM,Professional Services,38750000,2025-10-03,critical,tower=Data & Analytics; owner=Chief Digital Officer; utilization=63; action=Benchmark
CON-00205,Salesforce,Managed Service,51060000,2025-12-20,critical,tower=Data & Analytics; owner=CFO; utilization=50; action=Right-size
CON-00206,SAP,SaaS Subscription,75060000,2027-10-13,critical,tower=Mainframe; owner=CIO; utilization=32; action=Right-size
CON-00207,Sabre,Capacity Reservation,65640000,2024-09-29,critical,tower=Network; owner=CFO; utilization=20; action=Consolidate
CON-00208,Snowflake,Professional Services,102460000,2026-11-17,critical,tower=Mainframe; owner=Chief Digital Officer; utilization=71; action=Right-size
CON-00209,NetApp,Consumption Commit,68940000,2025-02-21,critical,tower=Digital; owner=CIO; utilization=89; action=Competitive Bid
CON-00210,Sabre,Capacity Reservation,131479999,2027-08-05,critical,tower=Mainframe; owner=CFO; utilization=94; action=Right-size
CON-00211,ServiceNow,Managed Service,3810000,2026-05-30,important,tower=EUC; owner=CIO; utilization=73; action=Benchmark
CON-00212,Red Hat,Managed Service,126620000,2028-04-15,critical,tower=ERP; owner=Chief Digital Officer; utilization=76; action=Consolidate
CON-00213,Teradata,Perpetual License,49800000,2025-02-18,critical,tower=Digital; owner=VP Infrastructure; utilization=29; action=Renegotiate
CON-00214,SAP,Managed Service,109970000,2024-04-26,critical,tower=Data & Analytics; owner=Chief Digital Officer; utilization=65; action=Renew
CON-00215,Fortinet,SaaS Subscription,70390000,2024-01-18,critical,tower=Network; owner=COO; utilization=38; action=Benchmark
CON-00216,Palo Alto,SaaS Subscription,13090000,2027-10-03,important,tower=Mainframe; owner=CISO; utilization=24; action=Benchmark
CON-00217,ServiceNow,Managed Service,1160000,2028-10-20,important,tower=Security; owner=COO; utilization=24; action=Renew
CON-00218,TCS,Perpetual License,72310000,2026-10-09,critical,tower=ERP; owner=CDO; utilization=80; action=Benchmark
CON-00219,Sabre,Enterprise Agreement,1310000,2028-02-07,important,tower=EUC; owner=VP Data; utilization=65; action=Terminate
CON-00220,Infosys,Support & Maintenance,95050000,2028-07-01,critical,tower=Cloud; owner=COO; utilization=24; action=Right-size
