incident_id,system_id,severity,opened_at,closed_at,root_cause
NST-INC-0038,NST-APP-039,P2,2026-03-12,2026-03-13,QMS validation defect
NST-INC-0039,NST-APP-040,P2,2026-04-13,,cloud identity sync
NST-INC-0040,NST-APP-041,P2,2026-05-14,2026-05-15,ERP batch failure
NST-INC-0041,NST-APP-042,P2,2026-06-15,2026-06-16,plant edge network
NST-INC-0042,NST-APP-043,P2,2026-07-16,2026-07-17,QMS validation defect
NST-INC-0043,NST-APP-044,P2,2026-08-17,2026-08-18,cloud identity sync
NST-INC-0044,NST-APP-045,P1,2026-09-18,2026-09-19,ERP batch failure
NST-INC-0045,NST-APP-046,P2,2026-10-19,2026-10-20,plant edge network
NST-INC-0046,NST-APP-047,P2,2026-11-20,2026-11-21,QMS validation defect
NST-INC-0047,NST-APP-048,P2,2026-12-21,2026-12-22,cloud identity sync
NST-INC-0048,NST-APP-049,P2,2026-01-22,2026-01-23,ERP batch failure
NST-INC-0049,NST-APP-050,P2,2026-02-23,2026-02-24,plant edge network
NST-INC-0050,NST-APP-051,P2,2026-03-24,2026-03-25,QMS validation defect
NST-INC-0051,NST-APP-052,P2,2026-04-25,2026-04-26,cloud identity sync
NST-INC-0052,NST-APP-053,P2,2026-05-26,,ERP batch failure
NST-INC-0053,NST-APP-054,P2,2026-06-27,2026-06-28,plant edge network
NST-INC-0054,NST-APP-055,P2,2026-07-01,2026-07-02,QMS validation defect
NST-INC-0055,NST-APP-056,P1,2026-08-02,2026-08-03,cloud identity sync
NST-INC-0056,NST-APP-057,P2,2026-09-03,2026-09-04,ERP batch failure
NST-INC-0057,NST-APP-058,P2,2026-10-04,2026-10-05,plant edge network
NST-INC-0058,NST-APP-059,P2,2026-11-05,2026-11-06,QMS validation defect
NST-INC-0059,NST-APP-060,P2,2026-12-06,2026-12-07,cloud identity sync
NST-INC-0060,NST-APP-061,P2,2026-01-07,2026-01-08,ERP batch failure
NST-INC-0061,NST-APP-062,P2,2026-02-08,2026-02-09,plant edge network
NST-INC-0062,NST-APP-063,P0,2026-03-09,2026-03-10,QMS validation defect
NST-INC-0063,NST-APP-064,P2,2026-04-10,2026-04-11,cloud identity sync
NST-INC-0064,NST-APP-065,P2,2026-05-11,2026-05-12,ERP batch failure
NST-INC-0065,NST-APP-066,P2,2026-06-12,,plant edge network
NST-INC-0066,NST-APP-067,P1,2026-07-13,2026-07-14,QMS validation defect
NST-INC-0067,NST-APP-068,P2,2026-08-14,2026-08-15,cloud identity sync
NST-INC-0068,NST-APP-069,P2,2026-09-15,2026-09-16,ERP batch failure
NST-INC-0069,NST-APP-070,P2,2026-10-16,2026-10-17,plant edge network
NST-INC-0070,NST-APP-071,P2,2026-11-17,2026-11-18,QMS validation defect
NST-INC-0071,NST-APP-072,P2,2026-12-18,2026-12-19,cloud identity sync
NST-INC-0072,NST-APP-073,P2,2026-01-19,2026-01-20,ERP batch failure
NST-INC-0073,NST-APP-074,P2,2026-02-20,2026-02-21,plant edge network
NST-INC-0074,NST-APP-075,P2,2026-03-21,2026-03-22,QMS validation defect
NST-INC-0075,NST-APP-076,P2,2026-04-22,2026-04-23,cloud identity sync
NST-INC-0076,NST-APP-077,P2,2026-05-23,2026-05-24,ERP batch failure
NST-INC-0077,NST-APP-078,P1,2026-06-24,2026-06-25,plant edge network
NST-INC-0078,NST-APP-079,P2,2026-07-25,,QMS validation defect
NST-INC-0079,NST-APP-080,P2,2026-08-26,2026-08-27,cloud identity sync
NST-INC-0080,NST-APP-081,P2,2026-09-27,2026-09-28,ERP batch failure
NST-INC-0081,NST-APP-082,P2,2026-10-01,2026-10-02,plant edge network
NST-INC-0082,NST-APP-083,P2,2026-11-02,2026-11-03,QMS validation defect
NST-INC-0083,NST-APP-084,P2,2026-12-03,2026-12-04,cloud identity sync
NST-INC-0084,NST-APP-085,P2,2026-01-04,2026-01-05,ERP batch failure
NST-INC-0085,NST-APP-086,P2,2026-02-05,2026-02-06,plant edge network
NST-INC-0086,NST-APP-087,P2,2026-03-06,2026-03-07,QMS validation defect
NST-INC-0087,NST-APP-088,P2,2026-04-07,2026-04-08,cloud identity sync
NST-INC-0088,NST-APP-089,P1,2026-05-08,2026-05-09,ERP batch failure
NST-INC-0089,NST-APP-090,P2,2026-06-09,2026-06-10,plant edge network
NST-INC-0090,NST-APP-091,P2,2026-07-10,2026-07-11,QMS validation defect
NST-INC-0091,NST-APP-092,P2,2026-08-11,,cloud identity sync
NST-INC-0092,NST-APP-093,P2,2026-09-12,2026-09-13,ERP batch failure
NST-INC-0093,NST-APP-094,P0,2026-10-13,2026-10-14,plant edge network
NST-INC-0094,NST-APP-095,P2,2026-11-14,2026-11-15,QMS validation defect
NST-INC-0095,NST-APP-096,P2,2026-12-15,2026-12-16,cloud identity sync
NST-INC-0096,NST-APP-097,P2,2026-01-16,2026-01-17,ERP batch failure
NST-INC-0097,NST-APP-098,P2,2026-02-17,2026-02-18,plant edge network
NST-INC-0098,NST-APP-099,P2,2026-03-18,2026-03-19,QMS validation defect
NST-INC-0099,NST-APP-100,P1,2026-04-19,2026-04-20,cloud identity sync
NST-INC-0100,NST-APP-101,P2,2026-05-20,2026-05-21,ERP batch failure
NST-INC-0101,NST-APP-102,P2,2026-06-21,2026-06-22,plant edge network
NST-INC-0102,NST-APP-103,P2,2026-07-22,2026-07-23,QMS validation defect
NST-INC-0103,NST-APP-104,P2,2026-08-23,2026-08-24,cloud identity sync
NST-INC-0104,NST-APP-105,P2,2026-09-24,,ERP batch failure
NST-INC-0105,NST-APP-106,P2,2026-10-25,2026-10-26,plant edge network
NST-INC-0106,NST-APP-107,P2,2026-11-26,2026-11-27,QMS validation defect
NST-INC-0107,NST-APP-108,P2,2026-12-27,2026-12-28,cloud identity sync
NST-INC-0108,NST-APP-109,P2,2026-01-01,2026-01-02,ERP batch failure
NST-INC-0109,NST-APP-110,P2,2026-02-02,2026-02-03,plant edge network
NST-INC-0110,NST-APP-111,P1,2026-03-03,2026-03-04,QMS validation defect
NST-INC-0111,NST-APP-112,P2,2026-04-04,2026-04-05,cloud identity sync
NST-INC-0112,NST-APP-113,P2,2026-05-05,2026-05-06,ERP batch failure
NST-INC-0113,NST-APP-114,P2,2026-06-06,2026-06-07,plant edge network
NST-INC-0114,NST-APP-115,P2,2026-07-07,2026-07-08,QMS validation defect
NST-INC-0115,NST-APP-116,P2,2026-08-08,2026-08-09,cloud identity sync
NST-INC-0116,NST-APP-117,P2,2026-09-09,2026-09-10,ERP batch failure
NST-INC-0117,NST-APP-118,P2,2026-10-10,,plant edge network
NST-INC-0118,NST-APP-119,P2,2026-11-11,2026-11-12,QMS validation defect
NST-INC-0119,NST-APP-120,P2,2026-12-12,2026-12-13,cloud identity sync
NST-INC-0120,NST-APP-121,P2,2026-01-13,2026-01-14,ERP batch failure
NST-INC-0121,NST-APP-122,P1,2026-02-14,2026-02-15,plant edge network
NST-INC-0122,NST-APP-123,P2,2026-03-15,2026-03-16,QMS validation defect
NST-INC-0123,NST-APP-124,P2,2026-04-16,2026-04-17,cloud identity sync
NST-INC-0124,NST-APP-125,P0,2026-05-17,2026-05-18,ERP batch failure
NST-INC-0125,NST-APP-126,P2,2026-06-18,2026-06-19,plant edge network
NST-INC-0126,NST-APP-127,P2,2026-07-19,2026-07-20,QMS validation defect
NST-INC-0127,NST-APP-128,P2,2026-08-20,2026-08-21,cloud identity sync
NST-INC-0128,NST-APP-129,P2,2026-09-21,2026-09-22,ERP batch failure
NST-INC-0129,NST-APP-130,P2,2026-10-22,2026-10-23,plant edge network
NST-INC-0130,NST-APP-131,P2,2026-11-23,,QMS validation defect
NST-INC-0131,NST-APP-132,P2,2026-12-24,2026-12-25,cloud identity sync
NST-INC-0132,NST-APP-133,P1,2026-01-25,2026-01-26,ERP batch failure
NST-INC-0133,NST-APP-134,P2,2026-02-26,2026-02-27,plant edge network
NST-INC-0134,NST-APP-135,P2,2026-03-27,2026-03-28,QMS validation defect
NST-INC-0135,NST-APP-136,P2,2026-04-01,2026-04-02,cloud identity sync
NST-INC-0136,NST-APP-137,P2,2026-05-02,2026-05-03,ERP batch failure
NST-INC-0137,NST-APP-138,P2,2026-06-03,2026-06-04,plant edge network
NST-INC-0138,NST-APP-139,P2,2026-07-04,2026-07-05,QMS validation defect
NST-INC-0139,NST-APP-140,P2,2026-08-05,2026-08-06,cloud identity sync
NST-INC-0140,NST-APP-141,P2,2026-09-06,2026-09-07,ERP batch failure
NST-INC-0141,NST-APP-142,P2,2026-10-07,2026-10-08,plant edge network
NST-INC-0142,NST-APP-143,P2,2026-11-08,2026-11-09,QMS validation defect
NST-INC-0143,NST-APP-144,P1,2026-12-09,,cloud identity sync
NST-INC-0144,NST-APP-145,P2,2026-01-10,2026-01-11,ERP batch failure
NST-INC-0145,NST-APP-146,P2,2026-02-11,2026-02-12,plant edge network
NST-INC-0146,NST-APP-147,P2,2026-03-12,2026-03-13,QMS validation defect
NST-INC-0147,NST-APP-148,P2,2026-04-13,2026-04-14,cloud identity sync
NST-INC-0148,NST-APP-149,P2,2026-05-14,2026-05-15,ERP batch failure
NST-INC-0149,NST-APP-150,P2,2026-06-15,2026-06-16,plant edge network
NST-INC-0150,NST-APP-151,P2,2026-07-16,2026-07-17,QMS validation defect
NST-INC-0151,NST-APP-152,P2,2026-08-17,2026-08-18,cloud identity sync
NST-INC-0152,NST-APP-153,P2,2026-09-18,2026-09-19,ERP batch failure
NST-INC-0153,NST-APP-154,P2,2026-10-19,2026-10-20,plant edge network
NST-INC-0154,NST-APP-155,P1,2026-11-20,2026-11-21,QMS validation defect
NST-INC-0155,NST-APP-156,P0,2026-12-21,2026-12-22,cloud identity sync
NST-INC-0156,NST-APP-157,P2,2026-01-22,,ERP batch failure
NST-INC-0157,NST-APP-158,P2,2026-02-23,2026-02-24,plant edge network
NST-INC-0158,NST-APP-159,P2,2026-03-24,2026-03-25,QMS validation defect
NST-INC-0159,NST-APP-160,P2,2026-04-25,2026-04-26,cloud identity sync
NST-INC-0160,NST-APP-161,P2,2026-05-26,2026-05-27,ERP batch failure
NST-INC-0161,NST-APP-162,P2,2026-06-27,2026-06-28,plant edge network
NST-INC-0162,NST-APP-163,P2,2026-07-01,2026-07-02,QMS validation defect
NST-INC-0163,NST-APP-164,P2,2026-08-02,2026-08-03,cloud identity sync
NST-INC-0164,NST-APP-165,P2,2026-09-03,2026-09-04,ERP batch failure
NST-INC-0165,NST-APP-166,P1,2026-10-04,2026-10-05,plant edge network
NST-INC-0166,NST-APP-167,P2,2026-11-05,2026-11-06,QMS validation defect
NST-INC-0167,NST-APP-168,P2,2026-12-06,2026-12-07,cloud identity sync
NST-INC-0168,NST-APP-169,P2,2026-01-07,2026-01-08,ERP batch failure
NST-INC-0169,NST-APP-170,P2,2026-02-08,,plant edge network
NST-INC-0170,NST-APP-171,P2,2026-03-09,2026-03-10,QMS validation defect
NST-INC-0171,NST-APP-172,P2,2026-04-10,2026-04-11,cloud identity sync
NST-INC-0172,NST-APP-173,P2,2026-05-11,2026-05-12,ERP batch failure
NST-INC-0173,NST-APP-174,P2,2026-06-12,2026-06-13,plant edge network
NST-INC-0174,NST-APP-175,P2,2026-07-13,2026-07-14,QMS validation defect
NST-INC-0175,NST-APP-176,P2,2026-08-14,2026-08-15,cloud identity sync
NST-INC-0176,NST-APP-177,P1,2026-09-15,2026-09-16,ERP batch failure
NST-INC-0177,NST-APP-178,P2,2026-10-16,2026-10-17,plant edge network
NST-INC-0178,NST-APP-179,P2,2026-11-17,2026-11-18,QMS validation defect
NST-INC-0179,NST-APP-180,P2,2026-12-18,2026-12-19,cloud identity sync
NST-INC-0180,NST-APP-181,P2,2026-01-19,2026-01-20,ERP batch failure
