report_id,report_name,business_function,lifecycle_status,refresh_cadence,source_data_product_id,evidence_gap
BI-HCDN-00021,finance report 00021,Surgery,duplicate,quarterly,DATA-HCDN-00064,source-backed candidate
BI-HCDN-00022,actuarial report 00022,Imaging,stale,real-time,DATA-HCDN-00067,source-backed candidate
BI-HCDN-00023,pharmacy report 00023,Lab,candidate retire,ad hoc,DATA-HCDN-00070,source-backed candidate
BI-HCDN-00024,provider-network report 00024,Pharmacy,executive critical,daily,DATA-HCDN-00073,KPI definition conflict
BI-HCDN-00025,executive report 00025,Oncology,active,weekly,DATA-HCDN-00076,source-backed candidate
BI-HCDN-00026,Stars report 00026,Cardiology,duplicate,monthly,DATA-HCDN-00079,source-backed candidate
BI-HCDN-00027,HEDIS report 00027,Data and Analytics,stale,quarterly,DATA-HCDN-00082,owner unclear
BI-HCDN-00028,CAHPS report 00028,Clinical Analytics,candidate retire,real-time,DATA-HCDN-00085,source-backed candidate
BI-HCDN-00029,RAF report 00029,Actuarial,executive critical,ad hoc,DATA-HCDN-00088,source-backed candidate
BI-HCDN-00030,clinical report 00030,Departmental Reporting,active,daily,DATA-HCDN-00091,source-backed candidate
BI-HCDN-00031,claims report 00031,AI Transformation,duplicate,weekly,DATA-HCDN-00094,source-backed candidate
BI-HCDN-00032,denials report 00032,Technology,stale,monthly,DATA-HCDN-00097,source-backed candidate
BI-HCDN-00033,access report 00033,Security,candidate retire,quarterly,DATA-HCDN-00100,source-backed candidate
BI-HCDN-00034,finance report 00034,Procurement,executive critical,real-time,DATA-HCDN-00103,source-backed candidate
BI-HCDN-00035,actuarial report 00035,HR,active,ad hoc,DATA-HCDN-00106,source-backed candidate
BI-HCDN-00036,pharmacy report 00036,Supply Chain,duplicate,daily,DATA-HCDN-00109,KPI definition conflict
BI-HCDN-00037,provider-network report 00037,Privacy,stale,weekly,DATA-HCDN-00112,source-backed candidate
BI-HCDN-00038,executive report 00038,Compliance,candidate retire,monthly,DATA-HCDN-00115,source-backed candidate
BI-HCDN-00039,Stars report 00039,Provider Network,executive critical,quarterly,DATA-HCDN-00118,source-backed candidate
BI-HCDN-00040,HEDIS report 00040,Value-Based Care,active,real-time,DATA-HCDN-00121,source-backed candidate
BI-HCDN-00041,CAHPS report 00041,Clinical Operations,duplicate,ad hoc,DATA-HCDN-00124,source-backed candidate
BI-HCDN-00042,RAF report 00042,Revenue Cycle,stale,daily,DATA-HCDN-00127,source-backed candidate
BI-HCDN-00043,clinical report 00043,Patient Access,candidate retire,weekly,DATA-HCDN-00130,source-backed candidate
BI-HCDN-00044,claims report 00044,Interoperability,executive critical,monthly,DATA-HCDN-00133,source-backed candidate
BI-HCDN-00045,denials report 00045,Population Health,active,quarterly,DATA-HCDN-00136,owner unclear
BI-HCDN-00046,access report 00046,Health Plan Operations,duplicate,real-time,DATA-HCDN-00139,source-backed candidate
BI-HCDN-00047,finance report 00047,Medicare Advantage,stale,ad hoc,DATA-HCDN-00142,source-backed candidate
BI-HCDN-00048,actuarial report 00048,Claims Operations,candidate retire,daily,DATA-HCDN-00145,KPI definition conflict
BI-HCDN-00049,pharmacy report 00049,Utilization Management,executive critical,weekly,DATA-HCDN-00148,source-backed candidate
BI-HCDN-00050,provider-network report 00050,Member Services,active,monthly,DATA-HCDN-00151,source-backed candidate
BI-HCDN-00051,executive report 00051,Quality and Stars,duplicate,quarterly,DATA-HCDN-00154,source-backed candidate
BI-HCDN-00052,Stars report 00052,Risk Adjustment,stale,real-time,DATA-HCDN-00157,source-backed candidate
BI-HCDN-00053,HEDIS report 00053,Care Management,candidate retire,ad hoc,DATA-HCDN-00160,source-backed candidate
BI-HCDN-00054,CAHPS report 00054,Finance,executive critical,daily,DATA-HCDN-00163,owner unclear
BI-HCDN-00055,RAF report 00055,Coding,active,weekly,DATA-HCDN-00166,source-backed candidate
BI-HCDN-00056,clinical report 00056,Payer Contracting,duplicate,monthly,DATA-HCDN-00169,source-backed candidate
BI-HCDN-00057,claims report 00057,Digital Front Door,stale,quarterly,DATA-HCDN-00172,source-backed candidate
BI-HCDN-00058,denials report 00058,Contact Center,candidate retire,real-time,DATA-HCDN-00175,source-backed candidate
BI-HCDN-00059,access report 00059,Ambulatory Care,executive critical,ad hoc,DATA-HCDN-00178,source-backed candidate
BI-HCDN-00060,finance report 00060,Emergency Department,active,daily,DATA-HCDN-00181,KPI definition conflict
BI-HCDN-00061,actuarial report 00061,Inpatient,duplicate,weekly,DATA-HCDN-00184,source-backed candidate
BI-HCDN-00062,pharmacy report 00062,Surgery,stale,monthly,DATA-HCDN-00187,source-backed candidate
BI-HCDN-00063,provider-network report 00063,Imaging,candidate retire,quarterly,DATA-HCDN-00190,owner unclear
BI-HCDN-00064,executive report 00064,Lab,executive critical,real-time,DATA-HCDN-00193,source-backed candidate
BI-HCDN-00065,Stars report 00065,Pharmacy,active,ad hoc,DATA-HCDN-00196,source-backed candidate
BI-HCDN-00066,HEDIS report 00066,Oncology,duplicate,daily,DATA-HCDN-00199,source-backed candidate
BI-HCDN-00067,CAHPS report 00067,Cardiology,stale,weekly,DATA-HCDN-00202,source-backed candidate
BI-HCDN-00068,RAF report 00068,Data and Analytics,candidate retire,monthly,DATA-HCDN-00205,source-backed candidate
BI-HCDN-00069,clinical report 00069,Clinical Analytics,executive critical,quarterly,DATA-HCDN-00208,source-backed candidate
BI-HCDN-00070,claims report 00070,Actuarial,active,real-time,DATA-HCDN-00211,source-backed candidate
BI-HCDN-00071,denials report 00071,Departmental Reporting,duplicate,ad hoc,DATA-HCDN-00214,source-backed candidate
BI-HCDN-00072,access report 00072,AI Transformation,stale,daily,DATA-HCDN-00217,KPI definition conflict
BI-HCDN-00073,finance report 00073,Technology,candidate retire,weekly,DATA-HCDN-00220,source-backed candidate
BI-HCDN-00074,actuarial report 00074,Security,executive critical,monthly,DATA-HCDN-00223,source-backed candidate
BI-HCDN-00075,pharmacy report 00075,Procurement,active,quarterly,DATA-HCDN-00226,source-backed candidate
BI-HCDN-00076,provider-network report 00076,HR,duplicate,real-time,DATA-HCDN-00229,source-backed candidate
BI-HCDN-00077,executive report 00077,Supply Chain,stale,ad hoc,DATA-HCDN-00232,source-backed candidate
BI-HCDN-00078,Stars report 00078,Privacy,candidate retire,daily,DATA-HCDN-00235,source-backed candidate
BI-HCDN-00079,HEDIS report 00079,Compliance,executive critical,weekly,DATA-HCDN-00238,source-backed candidate
BI-HCDN-00080,CAHPS report 00080,Provider Network,active,monthly,DATA-HCDN-00241,source-backed candidate
BI-HCDN-00081,RAF report 00081,Value-Based Care,duplicate,quarterly,DATA-HCDN-00244,owner unclear
BI-HCDN-00082,clinical report 00082,Clinical Operations,stale,real-time,DATA-HCDN-00247,source-backed candidate
BI-HCDN-00083,claims report 00083,Revenue Cycle,candidate retire,ad hoc,DATA-HCDN-00250,source-backed candidate
BI-HCDN-00084,denials report 00084,Patient Access,executive critical,daily,DATA-HCDN-00253,KPI definition conflict
BI-HCDN-00085,access report 00085,Interoperability,active,weekly,DATA-HCDN-00256,source-backed candidate
BI-HCDN-00086,finance report 00086,Population Health,duplicate,monthly,DATA-HCDN-00259,source-backed candidate
BI-HCDN-00087,actuarial report 00087,Health Plan Operations,stale,quarterly,DATA-HCDN-00262,source-backed candidate
BI-HCDN-00088,pharmacy report 00088,Medicare Advantage,candidate retire,real-time,DATA-HCDN-00265,source-backed candidate
BI-HCDN-00089,provider-network report 00089,Claims Operations,executive critical,ad hoc,DATA-HCDN-00268,source-backed candidate
BI-HCDN-00090,executive report 00090,Utilization Management,active,daily,DATA-HCDN-00271,owner unclear
BI-HCDN-00091,Stars report 00091,Member Services,duplicate,weekly,DATA-HCDN-00274,source-backed candidate
BI-HCDN-00092,HEDIS report 00092,Quality and Stars,stale,monthly,DATA-HCDN-00277,source-backed candidate
BI-HCDN-00093,CAHPS report 00093,Risk Adjustment,candidate retire,quarterly,DATA-HCDN-00280,source-backed candidate
BI-HCDN-00094,RAF report 00094,Care Management,executive critical,real-time,DATA-HCDN-00283,source-backed candidate
BI-HCDN-00095,clinical report 00095,Finance,active,ad hoc,DATA-HCDN-00286,source-backed candidate
BI-HCDN-00096,claims report 00096,Coding,duplicate,daily,DATA-HCDN-00289,KPI definition conflict
BI-HCDN-00097,denials report 00097,Payer Contracting,stale,weekly,DATA-HCDN-00292,source-backed candidate
BI-HCDN-00098,access report 00098,Digital Front Door,candidate retire,monthly,DATA-HCDN-00295,source-backed candidate
BI-HCDN-00099,finance report 00099,Contact Center,executive critical,quarterly,DATA-HCDN-00298,owner unclear
BI-HCDN-00100,actuarial report 00100,Ambulatory Care,active,real-time,DATA-HCDN-00301,source-backed candidate
BI-HCDN-00101,pharmacy report 00101,Emergency Department,duplicate,ad hoc,DATA-HCDN-00304,source-backed candidate
BI-HCDN-00102,provider-network report 00102,Inpatient,stale,daily,DATA-HCDN-00307,source-backed candidate
BI-HCDN-00103,executive report 00103,Surgery,candidate retire,weekly,DATA-HCDN-00310,source-backed candidate
BI-HCDN-00104,Stars report 00104,Imaging,executive critical,monthly,DATA-HCDN-00313,source-backed candidate
BI-HCDN-00105,HEDIS report 00105,Lab,active,quarterly,DATA-HCDN-00316,source-backed candidate
BI-HCDN-00106,CAHPS report 00106,Pharmacy,duplicate,real-time,DATA-HCDN-00319,source-backed candidate
BI-HCDN-00107,RAF report 00107,Oncology,stale,ad hoc,DATA-HCDN-00322,source-backed candidate
BI-HCDN-00108,clinical report 00108,Cardiology,candidate retire,daily,DATA-HCDN-00325,KPI definition conflict
BI-HCDN-00109,claims report 00109,Data and Analytics,executive critical,weekly,DATA-HCDN-00328,source-backed candidate
BI-HCDN-00110,denials report 00110,Clinical Analytics,active,monthly,DATA-HCDN-00331,source-backed candidate
BI-HCDN-00111,access report 00111,Actuarial,duplicate,quarterly,DATA-HCDN-00334,source-backed candidate
BI-HCDN-00112,finance report 00112,Departmental Reporting,stale,real-time,DATA-HCDN-00337,source-backed candidate
BI-HCDN-00113,actuarial report 00113,AI Transformation,candidate retire,ad hoc,DATA-HCDN-00340,source-backed candidate
BI-HCDN-00114,pharmacy report 00114,Technology,executive critical,daily,DATA-HCDN-00343,source-backed candidate
BI-HCDN-00115,provider-network report 00115,Security,active,weekly,DATA-HCDN-00346,source-backed candidate
BI-HCDN-00116,executive report 00116,Procurement,duplicate,monthly,DATA-HCDN-00349,source-backed candidate
BI-HCDN-00117,Stars report 00117,HR,stale,quarterly,DATA-HCDN-00352,owner unclear
BI-HCDN-00118,HEDIS report 00118,Supply Chain,candidate retire,real-time,DATA-HCDN-00355,source-backed candidate
BI-HCDN-00119,CAHPS report 00119,Privacy,executive critical,ad hoc,DATA-HCDN-00358,source-backed candidate
BI-HCDN-00120,RAF report 00120,Compliance,active,daily,DATA-HCDN-00361,KPI definition conflict
BI-HCDN-00121,clinical report 00121,Provider Network,duplicate,weekly,DATA-HCDN-00364,source-backed candidate
BI-HCDN-00122,claims report 00122,Value-Based Care,stale,monthly,DATA-HCDN-00367,source-backed candidate
BI-HCDN-00123,denials report 00123,Clinical Operations,candidate retire,quarterly,DATA-HCDN-00370,source-backed candidate
BI-HCDN-00124,access report 00124,Revenue Cycle,executive critical,real-time,DATA-HCDN-00373,source-backed candidate
BI-HCDN-00125,finance report 00125,Patient Access,active,ad hoc,DATA-HCDN-00376,source-backed candidate
BI-HCDN-00126,actuarial report 00126,Interoperability,duplicate,daily,DATA-HCDN-00379,owner unclear
BI-HCDN-00127,pharmacy report 00127,Population Health,stale,weekly,DATA-HCDN-00382,source-backed candidate
BI-HCDN-00128,provider-network report 00128,Health Plan Operations,candidate retire,monthly,DATA-HCDN-00385,source-backed candidate
BI-HCDN-00129,executive report 00129,Medicare Advantage,executive critical,quarterly,DATA-HCDN-00388,source-backed candidate
BI-HCDN-00130,Stars report 00130,Claims Operations,active,real-time,DATA-HCDN-00391,source-backed candidate
BI-HCDN-00131,HEDIS report 00131,Utilization Management,duplicate,ad hoc,DATA-HCDN-00394,source-backed candidate
BI-HCDN-00132,CAHPS report 00132,Member Services,stale,daily,DATA-HCDN-00397,KPI definition conflict
BI-HCDN-00133,RAF report 00133,Quality and Stars,candidate retire,weekly,DATA-HCDN-00400,source-backed candidate
BI-HCDN-00134,clinical report 00134,Risk Adjustment,executive critical,monthly,DATA-HCDN-00403,source-backed candidate
BI-HCDN-00135,claims report 00135,Care Management,active,quarterly,DATA-HCDN-00406,owner unclear
BI-HCDN-00136,denials report 00136,Finance,duplicate,real-time,DATA-HCDN-00409,source-backed candidate
BI-HCDN-00137,access report 00137,Coding,stale,ad hoc,DATA-HCDN-00412,source-backed candidate
BI-HCDN-00138,finance report 00138,Payer Contracting,candidate retire,daily,DATA-HCDN-00415,source-backed candidate
BI-HCDN-00139,actuarial report 00139,Digital Front Door,executive critical,weekly,DATA-HCDN-00418,source-backed candidate
BI-HCDN-00140,pharmacy report 00140,Contact Center,active,monthly,DATA-HCDN-00421,source-backed candidate
BI-HCDN-00141,provider-network report 00141,Ambulatory Care,duplicate,quarterly,DATA-HCDN-00424,source-backed candidate
BI-HCDN-00142,executive report 00142,Emergency Department,stale,real-time,DATA-HCDN-00427,source-backed candidate
BI-HCDN-00143,Stars report 00143,Inpatient,candidate retire,ad hoc,DATA-HCDN-00430,source-backed candidate
BI-HCDN-00144,HEDIS report 00144,Surgery,executive critical,daily,DATA-HCDN-00433,KPI definition conflict
BI-HCDN-00145,CAHPS report 00145,Imaging,active,weekly,DATA-HCDN-00436,source-backed candidate
BI-HCDN-00146,RAF report 00146,Lab,duplicate,monthly,DATA-HCDN-00439,source-backed candidate
BI-HCDN-00147,clinical report 00147,Pharmacy,stale,quarterly,DATA-HCDN-00442,source-backed candidate
BI-HCDN-00148,claims report 00148,Oncology,candidate retire,real-time,DATA-HCDN-00445,source-backed candidate
BI-HCDN-00149,denials report 00149,Cardiology,executive critical,ad hoc,DATA-HCDN-00448,source-backed candidate
BI-HCDN-00150,access report 00150,Data and Analytics,active,daily,DATA-HCDN-00451,source-backed candidate
BI-HCDN-00151,finance report 00151,Clinical Analytics,duplicate,weekly,DATA-HCDN-00454,source-backed candidate
BI-HCDN-00152,actuarial report 00152,Actuarial,stale,monthly,DATA-HCDN-00457,source-backed candidate
BI-HCDN-00153,pharmacy report 00153,Departmental Reporting,candidate retire,quarterly,DATA-HCDN-00460,owner unclear
BI-HCDN-00154,provider-network report 00154,AI Transformation,executive critical,real-time,DATA-HCDN-00463,source-backed candidate
BI-HCDN-00155,executive report 00155,Technology,active,ad hoc,DATA-HCDN-00466,source-backed candidate
BI-HCDN-00156,Stars report 00156,Security,duplicate,daily,DATA-HCDN-00469,KPI definition conflict
BI-HCDN-00157,HEDIS report 00157,Procurement,stale,weekly,DATA-HCDN-00472,source-backed candidate
BI-HCDN-00158,CAHPS report 00158,HR,candidate retire,monthly,DATA-HCDN-00475,source-backed candidate
BI-HCDN-00159,RAF report 00159,Supply Chain,executive critical,quarterly,DATA-HCDN-00478,source-backed candidate
BI-HCDN-00160,clinical report 00160,Privacy,active,real-time,DATA-HCDN-00481,source-backed candidate
BI-HCDN-00161,claims report 00161,Compliance,duplicate,ad hoc,DATA-HCDN-00484,source-backed candidate
BI-HCDN-00162,denials report 00162,Provider Network,stale,daily,DATA-HCDN-00487,owner unclear
BI-HCDN-00163,access report 00163,Value-Based Care,candidate retire,weekly,DATA-HCDN-00490,source-backed candidate
BI-HCDN-00164,finance report 00164,Clinical Operations,executive critical,monthly,DATA-HCDN-00493,source-backed candidate
BI-HCDN-00165,actuarial report 00165,Revenue Cycle,active,quarterly,DATA-HCDN-00496,source-backed candidate
BI-HCDN-00166,pharmacy report 00166,Patient Access,duplicate,real-time,DATA-HCDN-00499,source-backed candidate
BI-HCDN-00167,provider-network report 00167,Interoperability,stale,ad hoc,DATA-HCDN-00502,source-backed candidate
BI-HCDN-00168,executive report 00168,Population Health,candidate retire,daily,DATA-HCDN-00505,KPI definition conflict
BI-HCDN-00169,Stars report 00169,Health Plan Operations,executive critical,weekly,DATA-HCDN-00508,source-backed candidate
BI-HCDN-00170,HEDIS report 00170,Medicare Advantage,active,monthly,DATA-HCDN-00511,source-backed candidate
BI-HCDN-00171,CAHPS report 00171,Claims Operations,duplicate,quarterly,DATA-HCDN-00514,owner unclear
BI-HCDN-00172,RAF report 00172,Utilization Management,stale,real-time,DATA-HCDN-00517,source-backed candidate
BI-HCDN-00173,clinical report 00173,Member Services,candidate retire,ad hoc,DATA-HCDN-00520,source-backed candidate
BI-HCDN-00174,claims report 00174,Quality and Stars,executive critical,daily,DATA-HCDN-00523,source-backed candidate
BI-HCDN-00175,denials report 00175,Risk Adjustment,active,weekly,DATA-HCDN-00526,source-backed candidate
BI-HCDN-00176,access report 00176,Care Management,duplicate,monthly,DATA-HCDN-00529,source-backed candidate
BI-HCDN-00177,finance report 00177,Finance,stale,quarterly,DATA-HCDN-00532,source-backed candidate
BI-HCDN-00178,actuarial report 00178,Coding,candidate retire,real-time,DATA-HCDN-00535,source-backed candidate
BI-HCDN-00179,pharmacy report 00179,Payer Contracting,executive critical,ad hoc,DATA-HCDN-00538,source-backed candidate
BI-HCDN-00180,provider-network report 00180,Digital Front Door,active,daily,DATA-HCDN-00541,KPI definition conflict
BI-HCDN-00181,executive report 00181,Contact Center,duplicate,weekly,DATA-HCDN-00544,source-backed candidate
BI-HCDN-00182,Stars report 00182,Ambulatory Care,stale,monthly,DATA-HCDN-00547,source-backed candidate
BI-HCDN-00183,HEDIS report 00183,Emergency Department,candidate retire,quarterly,DATA-HCDN-00550,source-backed candidate
BI-HCDN-00184,CAHPS report 00184,Inpatient,executive critical,real-time,DATA-HCDN-00553,source-backed candidate
BI-HCDN-00185,RAF report 00185,Surgery,active,ad hoc,DATA-HCDN-00556,source-backed candidate
BI-HCDN-00186,clinical report 00186,Imaging,duplicate,daily,DATA-HCDN-00559,source-backed candidate
BI-HCDN-00187,claims report 00187,Lab,stale,weekly,DATA-HCDN-00562,source-backed candidate
BI-HCDN-00188,denials report 00188,Pharmacy,candidate retire,monthly,DATA-HCDN-00565,source-backed candidate
BI-HCDN-00189,access report 00189,Oncology,executive critical,quarterly,DATA-HCDN-00568,owner unclear
BI-HCDN-00190,finance report 00190,Cardiology,active,real-time,DATA-HCDN-00571,source-backed candidate
BI-HCDN-00191,actuarial report 00191,Data and Analytics,duplicate,ad hoc,DATA-HCDN-00574,source-backed candidate
BI-HCDN-00192,pharmacy report 00192,Clinical Analytics,stale,daily,DATA-HCDN-00577,KPI definition conflict
BI-HCDN-00193,provider-network report 00193,Actuarial,candidate retire,weekly,DATA-HCDN-00580,source-backed candidate
BI-HCDN-00194,executive report 00194,Departmental Reporting,executive critical,monthly,DATA-HCDN-00583,source-backed candidate
BI-HCDN-00195,Stars report 00195,AI Transformation,active,quarterly,DATA-HCDN-00586,source-backed candidate
BI-HCDN-00196,HEDIS report 00196,Technology,duplicate,real-time,DATA-HCDN-00589,source-backed candidate
BI-HCDN-00197,CAHPS report 00197,Security,stale,ad hoc,DATA-HCDN-00592,source-backed candidate
BI-HCDN-00198,RAF report 00198,Procurement,candidate retire,daily,DATA-HCDN-00595,owner unclear
BI-HCDN-00199,clinical report 00199,HR,executive critical,weekly,DATA-HCDN-00598,source-backed candidate
BI-HCDN-00200,claims report 00200,Supply Chain,active,monthly,DATA-HCDN-00601,source-backed candidate
BI-HCDN-00201,denials report 00201,Privacy,duplicate,quarterly,DATA-HCDN-00604,source-backed candidate
BI-HCDN-00202,access report 00202,Compliance,stale,real-time,DATA-HCDN-00607,source-backed candidate
BI-HCDN-00203,finance report 00203,Provider Network,candidate retire,ad hoc,DATA-HCDN-00610,source-backed candidate
BI-HCDN-00204,actuarial report 00204,Value-Based Care,executive critical,daily,DATA-HCDN-00613,KPI definition conflict
BI-HCDN-00205,pharmacy report 00205,Clinical Operations,active,weekly,DATA-HCDN-00616,source-backed candidate
BI-HCDN-00206,provider-network report 00206,Revenue Cycle,duplicate,monthly,DATA-HCDN-00619,source-backed candidate
BI-HCDN-00207,executive report 00207,Patient Access,stale,quarterly,DATA-HCDN-00622,owner unclear
BI-HCDN-00208,Stars report 00208,Interoperability,candidate retire,real-time,DATA-HCDN-00625,source-backed candidate
BI-HCDN-00209,HEDIS report 00209,Population Health,executive critical,ad hoc,DATA-HCDN-00628,source-backed candidate
BI-HCDN-00210,CAHPS report 00210,Health Plan Operations,active,daily,DATA-HCDN-00631,source-backed candidate
BI-HCDN-00211,RAF report 00211,Medicare Advantage,duplicate,weekly,DATA-HCDN-00634,source-backed candidate
BI-HCDN-00212,clinical report 00212,Claims Operations,stale,monthly,DATA-HCDN-00637,source-backed candidate
BI-HCDN-00213,claims report 00213,Utilization Management,candidate retire,quarterly,DATA-HCDN-00640,source-backed candidate
BI-HCDN-00214,denials report 00214,Member Services,executive critical,real-time,DATA-HCDN-00643,source-backed candidate
BI-HCDN-00215,access report 00215,Quality and Stars,active,ad hoc,DATA-HCDN-00646,source-backed candidate
BI-HCDN-00216,finance report 00216,Risk Adjustment,duplicate,daily,DATA-HCDN-00649,KPI definition conflict
BI-HCDN-00217,actuarial report 00217,Care Management,stale,weekly,DATA-HCDN-00652,source-backed candidate
BI-HCDN-00218,pharmacy report 00218,Finance,candidate retire,monthly,DATA-HCDN-00655,source-backed candidate
BI-HCDN-00219,provider-network report 00219,Coding,executive critical,quarterly,DATA-HCDN-00658,source-backed candidate
BI-HCDN-00220,executive report 00220,Payer Contracting,active,real-time,DATA-HCDN-00661,source-backed candidate
BI-HCDN-00221,Stars report 00221,Digital Front Door,duplicate,ad hoc,DATA-HCDN-00664,source-backed candidate
BI-HCDN-00222,HEDIS report 00222,Contact Center,stale,daily,DATA-HCDN-00667,source-backed candidate
BI-HCDN-00223,CAHPS report 00223,Ambulatory Care,candidate retire,weekly,DATA-HCDN-00670,source-backed candidate
BI-HCDN-00224,RAF report 00224,Emergency Department,executive critical,monthly,DATA-HCDN-00673,source-backed candidate
BI-HCDN-00225,clinical report 00225,Inpatient,active,quarterly,DATA-HCDN-00676,owner unclear
BI-HCDN-00226,claims report 00226,Surgery,duplicate,real-time,DATA-HCDN-00679,source-backed candidate
BI-HCDN-00227,denials report 00227,Imaging,stale,ad hoc,DATA-HCDN-00682,source-backed candidate
BI-HCDN-00228,access report 00228,Lab,candidate retire,daily,DATA-HCDN-00685,KPI definition conflict
BI-HCDN-00229,finance report 00229,Pharmacy,executive critical,weekly,DATA-HCDN-00688,source-backed candidate
BI-HCDN-00230,actuarial report 00230,Oncology,active,monthly,DATA-HCDN-00691,source-backed candidate
BI-HCDN-00231,pharmacy report 00231,Cardiology,duplicate,quarterly,DATA-HCDN-00694,source-backed candidate
BI-HCDN-00232,provider-network report 00232,Data and Analytics,stale,real-time,DATA-HCDN-00697,source-backed candidate
BI-HCDN-00233,executive report 00233,Clinical Analytics,candidate retire,ad hoc,DATA-HCDN-00700,source-backed candidate
BI-HCDN-00234,Stars report 00234,Actuarial,executive critical,daily,DATA-HCDN-00703,owner unclear
BI-HCDN-00235,HEDIS report 00235,Departmental Reporting,active,weekly,DATA-HCDN-00706,source-backed candidate
BI-HCDN-00236,CAHPS report 00236,AI Transformation,duplicate,monthly,DATA-HCDN-00709,source-backed candidate
BI-HCDN-00237,RAF report 00237,Technology,stale,quarterly,DATA-HCDN-00712,source-backed candidate
BI-HCDN-00238,clinical report 00238,Security,candidate retire,real-time,DATA-HCDN-00715,source-backed candidate
BI-HCDN-00239,claims report 00239,Procurement,executive critical,ad hoc,DATA-HCDN-00718,source-backed candidate
BI-HCDN-00240,denials report 00240,HR,active,daily,DATA-HCDN-00721,KPI definition conflict
BI-HCDN-00241,access report 00241,Supply Chain,duplicate,weekly,DATA-HCDN-00724,source-backed candidate
BI-HCDN-00242,finance report 00242,Privacy,stale,monthly,DATA-HCDN-00727,source-backed candidate
BI-HCDN-00243,actuarial report 00243,Compliance,candidate retire,quarterly,DATA-HCDN-00730,owner unclear
BI-HCDN-00244,pharmacy report 00244,Provider Network,executive critical,real-time,DATA-HCDN-00733,source-backed candidate
BI-HCDN-00245,provider-network report 00245,Value-Based Care,active,ad hoc,DATA-HCDN-00736,source-backed candidate
BI-HCDN-00246,executive report 00246,Clinical Operations,duplicate,daily,DATA-HCDN-00739,source-backed candidate
BI-HCDN-00247,Stars report 00247,Revenue Cycle,stale,weekly,DATA-HCDN-00742,source-backed candidate
BI-HCDN-00248,HEDIS report 00248,Patient Access,candidate retire,monthly,DATA-HCDN-00745,source-backed candidate
BI-HCDN-00249,CAHPS report 00249,Interoperability,executive critical,quarterly,DATA-HCDN-00748,source-backed candidate
BI-HCDN-00250,RAF report 00250,Population Health,active,real-time,DATA-HCDN-00751,source-backed candidate
BI-HCDN-00251,clinical report 00251,Health Plan Operations,duplicate,ad hoc,DATA-HCDN-00754,source-backed candidate
BI-HCDN-00252,claims report 00252,Medicare Advantage,stale,daily,DATA-HCDN-00757,KPI definition conflict
BI-HCDN-00253,denials report 00253,Claims Operations,candidate retire,weekly,DATA-HCDN-00760,source-backed candidate
BI-HCDN-00254,access report 00254,Utilization Management,executive critical,monthly,DATA-HCDN-00763,source-backed candidate
BI-HCDN-00255,finance report 00255,Member Services,active,quarterly,DATA-HCDN-00766,source-backed candidate
BI-HCDN-00256,actuarial report 00256,Quality and Stars,duplicate,real-time,DATA-HCDN-00769,source-backed candidate
BI-HCDN-00257,pharmacy report 00257,Risk Adjustment,stale,ad hoc,DATA-HCDN-00772,source-backed candidate
