fact_id,proposal_id,lot_id,fact_type,fact_state,source_location,source_id
FACT-HCDN-LOT-HCDN-01-C-03,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-01-C-04,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-01-C-05,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-01-C-06,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-02-A-01,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-02-A-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-02-A-03,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-02-A-04,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-02-A-05,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-02-A-06,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-02-B-01,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-02-B-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-02-B-03,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-02-B-04,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-02-B-05,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-02-B-06,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-02-C-01,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-02-C-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-02-C-03,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-02-C-04,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-02-C-05,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-02-C-06,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-03-A-01,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-03-A-02,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-03-A-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-03-A-04,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-03-A-05,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-03-A-06,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-03-B-01,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-03-B-02,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-03-B-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-03-B-04,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-03-B-05,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-03-B-06,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-03-C-01,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-03-C-02,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-03-C-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-03-C-04,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-03-C-05,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-03-C-06,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-04-A-01,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-04-A-02,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-04-A-03,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-04-A-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-04-A-05,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-04-A-06,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-04-B-01,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-04-B-02,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-04-B-03,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-04-B-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-04-B-05,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-04-B-06,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-04-C-01,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-04-C-02,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-04-C-03,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-04-C-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-04-C-05,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-04-C-06,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-05-A-01,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-05-A-02,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-05-A-03,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-05-A-04,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-05-A-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-05-A-06,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-05-B-01,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-05-B-02,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-05-B-03,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-05-B-04,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-05-B-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-05-B-06,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-05-C-01,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-05-C-02,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-05-C-03,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-05-C-04,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-05-C-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-05-C-06,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-06-A-01,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-06-A-02,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-06-A-03,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-06-A-04,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-06-A-05,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-06-A-06,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-06-B-01,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-06-B-02,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-06-B-03,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-06-B-04,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-06-B-05,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-06-B-06,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-06-C-01,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-06-C-02,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-06-C-03,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-06-C-04,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-06-C-05,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-06-C-06,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-07-A-01,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-07-A-02,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-07-A-03,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-07-A-04,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-07-A-05,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-07-A-06,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-07-B-01,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-07-B-02,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-07-B-03,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-07-B-04,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-07-B-05,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-07-B-06,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-07-C-01,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-07-C-02,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-07-C-03,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-07-C-04,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-07-C-05,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-07-C-06,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-08-A-01,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-08-A-02,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-08-A-03,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-08-A-04,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-08-A-05,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-08-A-06,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-08-B-01,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-08-B-02,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-08-B-03,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-08-B-04,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-08-B-05,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-08-B-06,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-08-C-01,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-08-C-02,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-08-C-03,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-08-C-04,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-08-C-05,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-08-C-06,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-09-A-01,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,automation,needs clarification,source section 1,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-09-A-02,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,transition,exception noted,source section 2,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-09-A-03,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,security,assumption dependent,source section 3,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-09-A-04,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,value,claim source-backed,source section 4,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-09-A-05,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,staffing,needs clarification,source section 5,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-09-A-06,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-A
FACT-HCDN-LOT-HCDN-09-B-01,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,automation,needs clarification,source section 1,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-09-B-02,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,transition,exception noted,source section 2,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-09-B-03,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,security,assumption dependent,source section 3,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-09-B-04,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,value,claim source-backed,source section 4,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-09-B-05,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,staffing,needs clarification,source section 5,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-09-B-06,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,delivery_model,exception noted,source section 6,SRC-HCDN-PROP-B
FACT-HCDN-LOT-HCDN-09-C-01,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,automation,needs clarification,source section 1,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-09-C-02,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,transition,exception noted,source section 2,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-09-C-03,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,security,assumption dependent,source section 3,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-09-C-04,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,value,claim source-backed,source section 4,SRC-HCDN-PROP-C
FACT-HCDN-LOT-HCDN-09-C-05,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,staffing,needs clarification,source section 5,SRC-HCDN-PROP-C
