control_id,control_name,business_function,control_status,source_id
CTRL-HCDN-0051,incident review,Quality and Stars,operating,SRC-HCDN-CTRL-052
CTRL-HCDN-0052,financial approval,Risk Adjustment,gap,SRC-HCDN-CTRL-053
CTRL-HCDN-0053,privacy review,Care Management,needs evidence,SRC-HCDN-CTRL-054
CTRL-HCDN-0054,model-risk review,Finance,candidate,SRC-HCDN-CTRL-055
CTRL-HCDN-0055,PHI access review,Coding,designed,SRC-HCDN-CTRL-056
CTRL-HCDN-0056,measure attestation,Payer Contracting,operating,SRC-HCDN-CTRL-057
CTRL-HCDN-0057,CMS submission control,Digital Front Door,gap,SRC-HCDN-CTRL-058
CTRL-HCDN-0058,change control,Contact Center,needs evidence,SRC-HCDN-CTRL-059
CTRL-HCDN-0059,data lineage certification,Ambulatory Care,candidate,SRC-HCDN-CTRL-060
CTRL-HCDN-0060,vendor BAA review,Emergency Department,designed,SRC-HCDN-CTRL-061
CTRL-HCDN-0061,resilience test,Inpatient,operating,SRC-HCDN-CTRL-062
CTRL-HCDN-0062,incident review,Surgery,gap,SRC-HCDN-CTRL-063
CTRL-HCDN-0063,financial approval,Imaging,needs evidence,SRC-HCDN-CTRL-064
CTRL-HCDN-0064,privacy review,Lab,candidate,SRC-HCDN-CTRL-065
CTRL-HCDN-0065,model-risk review,Pharmacy,designed,SRC-HCDN-CTRL-066
CTRL-HCDN-0066,PHI access review,Oncology,operating,SRC-HCDN-CTRL-067
CTRL-HCDN-0067,measure attestation,Cardiology,gap,SRC-HCDN-CTRL-068
CTRL-HCDN-0068,CMS submission control,Data and Analytics,needs evidence,SRC-HCDN-CTRL-069
CTRL-HCDN-0069,change control,Clinical Analytics,candidate,SRC-HCDN-CTRL-070
CTRL-HCDN-0070,data lineage certification,Actuarial,designed,SRC-HCDN-CTRL-071
CTRL-HCDN-0071,vendor BAA review,Departmental Reporting,operating,SRC-HCDN-CTRL-072
CTRL-HCDN-0072,resilience test,AI Transformation,gap,SRC-HCDN-CTRL-073
CTRL-HCDN-0073,incident review,Technology,needs evidence,SRC-HCDN-CTRL-074
CTRL-HCDN-0074,financial approval,Security,candidate,SRC-HCDN-CTRL-075
CTRL-HCDN-0075,privacy review,Procurement,designed,SRC-HCDN-CTRL-076
CTRL-HCDN-0076,model-risk review,HR,operating,SRC-HCDN-CTRL-077
CTRL-HCDN-0077,PHI access review,Supply Chain,gap,SRC-HCDN-CTRL-078
CTRL-HCDN-0078,measure attestation,Privacy,needs evidence,SRC-HCDN-CTRL-079
CTRL-HCDN-0079,CMS submission control,Compliance,candidate,SRC-HCDN-CTRL-080
CTRL-HCDN-0080,change control,Provider Network,designed,SRC-HCDN-CTRL-081
CTRL-HCDN-0081,data lineage certification,Value-Based Care,operating,SRC-HCDN-CTRL-082
CTRL-HCDN-0082,vendor BAA review,Clinical Operations,gap,SRC-HCDN-CTRL-083
CTRL-HCDN-0083,resilience test,Revenue Cycle,needs evidence,SRC-HCDN-CTRL-084
CTRL-HCDN-0084,incident review,Patient Access,candidate,SRC-HCDN-CTRL-085
CTRL-HCDN-0085,financial approval,Interoperability,designed,SRC-HCDN-CTRL-086
CTRL-HCDN-0086,privacy review,Population Health,operating,SRC-HCDN-CTRL-087
CTRL-HCDN-0087,model-risk review,Health Plan Operations,gap,SRC-HCDN-CTRL-088
CTRL-HCDN-0088,PHI access review,Medicare Advantage,needs evidence,SRC-HCDN-CTRL-089
CTRL-HCDN-0089,measure attestation,Claims Operations,candidate,SRC-HCDN-CTRL-090
CTRL-HCDN-0090,CMS submission control,Utilization Management,designed,SRC-HCDN-CTRL-091
CTRL-HCDN-0091,change control,Member Services,operating,SRC-HCDN-CTRL-092
CTRL-HCDN-0092,data lineage certification,Quality and Stars,gap,SRC-HCDN-CTRL-093
CTRL-HCDN-0093,vendor BAA review,Risk Adjustment,needs evidence,SRC-HCDN-CTRL-094
CTRL-HCDN-0094,resilience test,Care Management,candidate,SRC-HCDN-CTRL-095
CTRL-HCDN-0095,incident review,Finance,designed,SRC-HCDN-CTRL-096
CTRL-HCDN-0096,financial approval,Coding,operating,SRC-HCDN-CTRL-097
CTRL-HCDN-0097,privacy review,Payer Contracting,gap,SRC-HCDN-CTRL-098
CTRL-HCDN-0098,model-risk review,Digital Front Door,needs evidence,SRC-HCDN-CTRL-099
CTRL-HCDN-0099,PHI access review,Contact Center,candidate,SRC-HCDN-CTRL-100
CTRL-HCDN-0100,measure attestation,Ambulatory Care,designed,SRC-HCDN-CTRL-101
CTRL-HCDN-0101,CMS submission control,Emergency Department,operating,SRC-HCDN-CTRL-102
CTRL-HCDN-0102,change control,Inpatient,gap,SRC-HCDN-CTRL-103
CTRL-HCDN-0103,data lineage certification,Surgery,needs evidence,SRC-HCDN-CTRL-104
CTRL-HCDN-0104,vendor BAA review,Imaging,candidate,SRC-HCDN-CTRL-105
CTRL-HCDN-0105,resilience test,Lab,designed,SRC-HCDN-CTRL-106
CTRL-HCDN-0106,incident review,Pharmacy,operating,SRC-HCDN-CTRL-107
CTRL-HCDN-0107,financial approval,Oncology,gap,SRC-HCDN-CTRL-108
CTRL-HCDN-0108,privacy review,Cardiology,needs evidence,SRC-HCDN-CTRL-109
CTRL-HCDN-0109,model-risk review,Data and Analytics,candidate,SRC-HCDN-CTRL-110
CTRL-HCDN-0110,PHI access review,Clinical Analytics,designed,SRC-HCDN-CTRL-111
CTRL-HCDN-0111,measure attestation,Actuarial,operating,SRC-HCDN-CTRL-112
CTRL-HCDN-0112,CMS submission control,Departmental Reporting,gap,SRC-HCDN-CTRL-113
CTRL-HCDN-0113,change control,AI Transformation,needs evidence,SRC-HCDN-CTRL-114
CTRL-HCDN-0114,data lineage certification,Technology,candidate,SRC-HCDN-CTRL-115
CTRL-HCDN-0115,vendor BAA review,Security,designed,SRC-HCDN-CTRL-116
CTRL-HCDN-0116,resilience test,Procurement,operating,SRC-HCDN-CTRL-117
CTRL-HCDN-0117,incident review,HR,gap,SRC-HCDN-CTRL-118
CTRL-HCDN-0118,financial approval,Supply Chain,needs evidence,SRC-HCDN-CTRL-119
CTRL-HCDN-0119,privacy review,Privacy,candidate,SRC-HCDN-CTRL-120
CTRL-HCDN-0120,model-risk review,Compliance,designed,SRC-HCDN-CTRL-121
CTRL-HCDN-0121,PHI access review,Provider Network,operating,SRC-HCDN-CTRL-122
CTRL-HCDN-0122,measure attestation,Value-Based Care,gap,SRC-HCDN-CTRL-123
CTRL-HCDN-0123,CMS submission control,Clinical Operations,needs evidence,SRC-HCDN-CTRL-124
CTRL-HCDN-0124,change control,Revenue Cycle,candidate,SRC-HCDN-CTRL-125
CTRL-HCDN-0125,data lineage certification,Patient Access,designed,SRC-HCDN-CTRL-126
CTRL-HCDN-0126,vendor BAA review,Interoperability,operating,SRC-HCDN-CTRL-127
CTRL-HCDN-0127,resilience test,Population Health,gap,SRC-HCDN-CTRL-128
CTRL-HCDN-0128,incident review,Health Plan Operations,needs evidence,SRC-HCDN-CTRL-129
CTRL-HCDN-0129,financial approval,Medicare Advantage,candidate,SRC-HCDN-CTRL-130
CTRL-HCDN-0130,privacy review,Claims Operations,designed,SRC-HCDN-CTRL-131
CTRL-HCDN-0131,model-risk review,Utilization Management,operating,SRC-HCDN-CTRL-132
CTRL-HCDN-0132,PHI access review,Member Services,gap,SRC-HCDN-CTRL-133
CTRL-HCDN-0133,measure attestation,Quality and Stars,needs evidence,SRC-HCDN-CTRL-134
CTRL-HCDN-0134,CMS submission control,Risk Adjustment,candidate,SRC-HCDN-CTRL-135
CTRL-HCDN-0135,change control,Care Management,designed,SRC-HCDN-CTRL-136
CTRL-HCDN-0136,data lineage certification,Finance,operating,SRC-HCDN-CTRL-137
CTRL-HCDN-0137,vendor BAA review,Coding,gap,SRC-HCDN-CTRL-138
CTRL-HCDN-0138,resilience test,Payer Contracting,needs evidence,SRC-HCDN-CTRL-139
CTRL-HCDN-0139,incident review,Digital Front Door,candidate,SRC-HCDN-CTRL-140
CTRL-HCDN-0140,financial approval,Contact Center,designed,SRC-HCDN-CTRL-141
CTRL-HCDN-0141,privacy review,Ambulatory Care,operating,SRC-HCDN-CTRL-142
CTRL-HCDN-0142,model-risk review,Emergency Department,gap,SRC-HCDN-CTRL-143
CTRL-HCDN-0143,PHI access review,Inpatient,needs evidence,SRC-HCDN-CTRL-144
CTRL-HCDN-0144,measure attestation,Surgery,candidate,SRC-HCDN-CTRL-145
CTRL-HCDN-0145,CMS submission control,Imaging,designed,SRC-HCDN-CTRL-146
CTRL-HCDN-0146,change control,Lab,operating,SRC-HCDN-CTRL-147
CTRL-HCDN-0147,data lineage certification,Pharmacy,gap,SRC-HCDN-CTRL-148
CTRL-HCDN-0148,vendor BAA review,Oncology,needs evidence,SRC-HCDN-CTRL-149
CTRL-HCDN-0149,resilience test,Cardiology,candidate,SRC-HCDN-CTRL-150
CTRL-HCDN-0150,incident review,Data and Analytics,designed,SRC-HCDN-CTRL-151
CTRL-HCDN-0151,financial approval,Clinical Analytics,operating,SRC-HCDN-CTRL-152
CTRL-HCDN-0152,privacy review,Actuarial,gap,SRC-HCDN-CTRL-153
CTRL-HCDN-0153,model-risk review,Departmental Reporting,needs evidence,SRC-HCDN-CTRL-154
CTRL-HCDN-0154,PHI access review,AI Transformation,candidate,SRC-HCDN-CTRL-155
CTRL-HCDN-0155,measure attestation,Technology,designed,SRC-HCDN-CTRL-156
CTRL-HCDN-0156,CMS submission control,Security,operating,SRC-HCDN-CTRL-157
CTRL-HCDN-0157,change control,Procurement,gap,SRC-HCDN-CTRL-158
CTRL-HCDN-0158,data lineage certification,HR,needs evidence,SRC-HCDN-CTRL-159
CTRL-HCDN-0159,vendor BAA review,Supply Chain,candidate,SRC-HCDN-CTRL-160
CTRL-HCDN-0160,resilience test,Privacy,designed,SRC-HCDN-CTRL-001
CTRL-HCDN-0161,incident review,Compliance,operating,SRC-HCDN-CTRL-002
CTRL-HCDN-0162,financial approval,Provider Network,gap,SRC-HCDN-CTRL-003
CTRL-HCDN-0163,privacy review,Value-Based Care,needs evidence,SRC-HCDN-CTRL-004
CTRL-HCDN-0164,model-risk review,Clinical Operations,candidate,SRC-HCDN-CTRL-005
CTRL-HCDN-0165,PHI access review,Revenue Cycle,designed,SRC-HCDN-CTRL-006
CTRL-HCDN-0166,measure attestation,Patient Access,operating,SRC-HCDN-CTRL-007
CTRL-HCDN-0167,CMS submission control,Interoperability,gap,SRC-HCDN-CTRL-008
CTRL-HCDN-0168,change control,Population Health,needs evidence,SRC-HCDN-CTRL-009
CTRL-HCDN-0169,data lineage certification,Health Plan Operations,candidate,SRC-HCDN-CTRL-010
CTRL-HCDN-0170,vendor BAA review,Medicare Advantage,designed,SRC-HCDN-CTRL-011
CTRL-HCDN-0171,resilience test,Claims Operations,operating,SRC-HCDN-CTRL-012
CTRL-HCDN-0172,incident review,Utilization Management,gap,SRC-HCDN-CTRL-013
CTRL-HCDN-0173,financial approval,Member Services,needs evidence,SRC-HCDN-CTRL-014
CTRL-HCDN-0174,privacy review,Quality and Stars,candidate,SRC-HCDN-CTRL-015
CTRL-HCDN-0175,model-risk review,Risk Adjustment,designed,SRC-HCDN-CTRL-016
CTRL-HCDN-0176,PHI access review,Care Management,operating,SRC-HCDN-CTRL-017
CTRL-HCDN-0177,measure attestation,Finance,gap,SRC-HCDN-CTRL-018
CTRL-HCDN-0178,CMS submission control,Coding,needs evidence,SRC-HCDN-CTRL-019
CTRL-HCDN-0179,change control,Payer Contracting,candidate,SRC-HCDN-CTRL-020
CTRL-HCDN-0180,data lineage certification,Digital Front Door,designed,SRC-HCDN-CTRL-021
CTRL-HCDN-0181,vendor BAA review,Contact Center,operating,SRC-HCDN-CTRL-022
CTRL-HCDN-0182,resilience test,Ambulatory Care,gap,SRC-HCDN-CTRL-023
CTRL-HCDN-0183,incident review,Emergency Department,needs evidence,SRC-HCDN-CTRL-024
CTRL-HCDN-0184,financial approval,Inpatient,candidate,SRC-HCDN-CTRL-025
CTRL-HCDN-0185,privacy review,Surgery,designed,SRC-HCDN-CTRL-026
CTRL-HCDN-0186,model-risk review,Imaging,operating,SRC-HCDN-CTRL-027
CTRL-HCDN-0187,PHI access review,Lab,gap,SRC-HCDN-CTRL-028
CTRL-HCDN-0188,measure attestation,Pharmacy,needs evidence,SRC-HCDN-CTRL-029
CTRL-HCDN-0189,CMS submission control,Oncology,candidate,SRC-HCDN-CTRL-030
CTRL-HCDN-0190,change control,Cardiology,designed,SRC-HCDN-CTRL-031
CTRL-HCDN-0191,data lineage certification,Data and Analytics,operating,SRC-HCDN-CTRL-032
CTRL-HCDN-0192,vendor BAA review,Clinical Analytics,gap,SRC-HCDN-CTRL-033
CTRL-HCDN-0193,resilience test,Actuarial,needs evidence,SRC-HCDN-CTRL-034
CTRL-HCDN-0194,incident review,Departmental Reporting,candidate,SRC-HCDN-CTRL-035
CTRL-HCDN-0195,financial approval,AI Transformation,designed,SRC-HCDN-CTRL-036
CTRL-HCDN-0196,privacy review,Technology,operating,SRC-HCDN-CTRL-037
CTRL-HCDN-0197,model-risk review,Security,gap,SRC-HCDN-CTRL-038
CTRL-HCDN-0198,PHI access review,Procurement,needs evidence,SRC-HCDN-CTRL-039
CTRL-HCDN-0199,measure attestation,HR,candidate,SRC-HCDN-CTRL-040
CTRL-HCDN-0200,CMS submission control,Supply Chain,designed,SRC-HCDN-CTRL-041
CTRL-HCDN-0201,change control,Privacy,operating,SRC-HCDN-CTRL-042
CTRL-HCDN-0202,data lineage certification,Compliance,gap,SRC-HCDN-CTRL-043
CTRL-HCDN-0203,vendor BAA review,Provider Network,needs evidence,SRC-HCDN-CTRL-044
CTRL-HCDN-0204,resilience test,Value-Based Care,candidate,SRC-HCDN-CTRL-045
CTRL-HCDN-0205,incident review,Clinical Operations,designed,SRC-HCDN-CTRL-046
CTRL-HCDN-0206,financial approval,Revenue Cycle,operating,SRC-HCDN-CTRL-047
CTRL-HCDN-0207,privacy review,Patient Access,gap,SRC-HCDN-CTRL-048
CTRL-HCDN-0208,model-risk review,Interoperability,needs evidence,SRC-HCDN-CTRL-049
CTRL-HCDN-0209,PHI access review,Population Health,candidate,SRC-HCDN-CTRL-050
CTRL-HCDN-0210,measure attestation,Health Plan Operations,designed,SRC-HCDN-CTRL-051
CTRL-HCDN-0211,CMS submission control,Medicare Advantage,operating,SRC-HCDN-CTRL-052
CTRL-HCDN-0212,change control,Claims Operations,gap,SRC-HCDN-CTRL-053
CTRL-HCDN-0213,data lineage certification,Utilization Management,needs evidence,SRC-HCDN-CTRL-054
CTRL-HCDN-0214,vendor BAA review,Member Services,candidate,SRC-HCDN-CTRL-055
CTRL-HCDN-0215,resilience test,Quality and Stars,designed,SRC-HCDN-CTRL-056
CTRL-HCDN-0216,incident review,Risk Adjustment,operating,SRC-HCDN-CTRL-057
CTRL-HCDN-0217,financial approval,Care Management,gap,SRC-HCDN-CTRL-058
CTRL-HCDN-0218,privacy review,Finance,needs evidence,SRC-HCDN-CTRL-059
CTRL-HCDN-0219,model-risk review,Coding,candidate,SRC-HCDN-CTRL-060
CTRL-HCDN-0220,PHI access review,Payer Contracting,designed,SRC-HCDN-CTRL-061
CTRL-HCDN-0221,measure attestation,Digital Front Door,operating,SRC-HCDN-CTRL-062
CTRL-HCDN-0222,CMS submission control,Contact Center,gap,SRC-HCDN-CTRL-063
CTRL-HCDN-0223,change control,Ambulatory Care,needs evidence,SRC-HCDN-CTRL-064
CTRL-HCDN-0224,data lineage certification,Emergency Department,candidate,SRC-HCDN-CTRL-065
CTRL-HCDN-0225,vendor BAA review,Inpatient,designed,SRC-HCDN-CTRL-066
CTRL-HCDN-0226,resilience test,Surgery,operating,SRC-HCDN-CTRL-067
CTRL-HCDN-0227,incident review,Imaging,gap,SRC-HCDN-CTRL-068
CTRL-HCDN-0228,financial approval,Lab,needs evidence,SRC-HCDN-CTRL-069
CTRL-HCDN-0229,privacy review,Pharmacy,candidate,SRC-HCDN-CTRL-070
CTRL-HCDN-0230,model-risk review,Oncology,designed,SRC-HCDN-CTRL-071
CTRL-HCDN-0231,PHI access review,Cardiology,operating,SRC-HCDN-CTRL-072
CTRL-HCDN-0232,measure attestation,Data and Analytics,gap,SRC-HCDN-CTRL-073
CTRL-HCDN-0233,CMS submission control,Clinical Analytics,needs evidence,SRC-HCDN-CTRL-074
CTRL-HCDN-0234,change control,Actuarial,candidate,SRC-HCDN-CTRL-075
CTRL-HCDN-0235,data lineage certification,Departmental Reporting,designed,SRC-HCDN-CTRL-076
CTRL-HCDN-0236,vendor BAA review,AI Transformation,operating,SRC-HCDN-CTRL-077
CTRL-HCDN-0237,resilience test,Technology,gap,SRC-HCDN-CTRL-078
CTRL-HCDN-0238,incident review,Security,needs evidence,SRC-HCDN-CTRL-079
CTRL-HCDN-0239,financial approval,Procurement,candidate,SRC-HCDN-CTRL-080
CTRL-HCDN-0240,privacy review,HR,designed,SRC-HCDN-CTRL-081
CTRL-HCDN-0241,model-risk review,Supply Chain,operating,SRC-HCDN-CTRL-082
CTRL-HCDN-0242,PHI access review,Privacy,gap,SRC-HCDN-CTRL-083
CTRL-HCDN-0243,measure attestation,Compliance,needs evidence,SRC-HCDN-CTRL-084
CTRL-HCDN-0244,CMS submission control,Provider Network,candidate,SRC-HCDN-CTRL-085
CTRL-HCDN-0245,change control,Value-Based Care,designed,SRC-HCDN-CTRL-086
CTRL-HCDN-0246,data lineage certification,Clinical Operations,operating,SRC-HCDN-CTRL-087
CTRL-HCDN-0247,vendor BAA review,Revenue Cycle,gap,SRC-HCDN-CTRL-088
CTRL-HCDN-0248,resilience test,Patient Access,needs evidence,SRC-HCDN-CTRL-089
CTRL-HCDN-0249,incident review,Interoperability,candidate,SRC-HCDN-CTRL-090
CTRL-HCDN-0250,financial approval,Population Health,designed,SRC-HCDN-CTRL-091
CTRL-HCDN-0251,privacy review,Health Plan Operations,operating,SRC-HCDN-CTRL-092
CTRL-HCDN-0252,model-risk review,Medicare Advantage,gap,SRC-HCDN-CTRL-093
CTRL-HCDN-0253,PHI access review,Claims Operations,needs evidence,SRC-HCDN-CTRL-094
CTRL-HCDN-0254,measure attestation,Utilization Management,candidate,SRC-HCDN-CTRL-095
CTRL-HCDN-0255,CMS submission control,Member Services,designed,SRC-HCDN-CTRL-096
CTRL-HCDN-0256,change control,Quality and Stars,operating,SRC-HCDN-CTRL-097
CTRL-HCDN-0257,data lineage certification,Risk Adjustment,gap,SRC-HCDN-CTRL-098
CTRL-HCDN-0258,vendor BAA review,Care Management,needs evidence,SRC-HCDN-CTRL-099
CTRL-HCDN-0259,resilience test,Finance,candidate,SRC-HCDN-CTRL-100
CTRL-HCDN-0260,incident review,Coding,designed,SRC-HCDN-CTRL-101
CTRL-HCDN-0261,financial approval,Payer Contracting,operating,SRC-HCDN-CTRL-102
CTRL-HCDN-0262,privacy review,Digital Front Door,gap,SRC-HCDN-CTRL-103
CTRL-HCDN-0263,model-risk review,Contact Center,needs evidence,SRC-HCDN-CTRL-104
CTRL-HCDN-0264,PHI access review,Ambulatory Care,candidate,SRC-HCDN-CTRL-105
CTRL-HCDN-0265,measure attestation,Emergency Department,designed,SRC-HCDN-CTRL-106
CTRL-HCDN-0266,CMS submission control,Inpatient,operating,SRC-HCDN-CTRL-107
CTRL-HCDN-0267,change control,Surgery,gap,SRC-HCDN-CTRL-108
CTRL-HCDN-0268,data lineage certification,Imaging,needs evidence,SRC-HCDN-CTRL-109
CTRL-HCDN-0269,vendor BAA review,Lab,candidate,SRC-HCDN-CTRL-110
CTRL-HCDN-0270,resilience test,Pharmacy,designed,SRC-HCDN-CTRL-111
CTRL-HCDN-0271,incident review,Oncology,operating,SRC-HCDN-CTRL-112
CTRL-HCDN-0272,financial approval,Cardiology,gap,SRC-HCDN-CTRL-113
CTRL-HCDN-0273,privacy review,Data and Analytics,needs evidence,SRC-HCDN-CTRL-114
CTRL-HCDN-0274,model-risk review,Clinical Analytics,candidate,SRC-HCDN-CTRL-115
CTRL-HCDN-0275,PHI access review,Actuarial,designed,SRC-HCDN-CTRL-116
CTRL-HCDN-0276,measure attestation,Departmental Reporting,operating,SRC-HCDN-CTRL-117
CTRL-HCDN-0277,CMS submission control,AI Transformation,gap,SRC-HCDN-CTRL-118
CTRL-HCDN-0278,change control,Technology,needs evidence,SRC-HCDN-CTRL-119
CTRL-HCDN-0279,data lineage certification,Security,candidate,SRC-HCDN-CTRL-120
CTRL-HCDN-0280,vendor BAA review,Procurement,designed,SRC-HCDN-CTRL-121
CTRL-HCDN-0281,resilience test,HR,operating,SRC-HCDN-CTRL-122
CTRL-HCDN-0282,incident review,Supply Chain,gap,SRC-HCDN-CTRL-123
CTRL-HCDN-0283,financial approval,Privacy,needs evidence,SRC-HCDN-CTRL-124
CTRL-HCDN-0284,privacy review,Compliance,candidate,SRC-HCDN-CTRL-125
CTRL-HCDN-0285,model-risk review,Provider Network,designed,SRC-HCDN-CTRL-126
CTRL-HCDN-0286,PHI access review,Value-Based Care,operating,SRC-HCDN-CTRL-127
CTRL-HCDN-0287,measure attestation,Clinical Operations,gap,SRC-HCDN-CTRL-128
CTRL-HCDN-0288,CMS submission control,Revenue Cycle,needs evidence,SRC-HCDN-CTRL-129
CTRL-HCDN-0289,change control,Patient Access,candidate,SRC-HCDN-CTRL-130
CTRL-HCDN-0290,data lineage certification,Interoperability,designed,SRC-HCDN-CTRL-131
CTRL-HCDN-0291,vendor BAA review,Population Health,operating,SRC-HCDN-CTRL-132
CTRL-HCDN-0292,resilience test,Health Plan Operations,gap,SRC-HCDN-CTRL-133
CTRL-HCDN-0293,incident review,Medicare Advantage,needs evidence,SRC-HCDN-CTRL-134
CTRL-HCDN-0294,financial approval,Claims Operations,candidate,SRC-HCDN-CTRL-135
CTRL-HCDN-0295,privacy review,Utilization Management,designed,SRC-HCDN-CTRL-136
CTRL-HCDN-0296,model-risk review,Member Services,operating,SRC-HCDN-CTRL-137
CTRL-HCDN-0297,PHI access review,Quality and Stars,gap,SRC-HCDN-CTRL-138
CTRL-HCDN-0298,measure attestation,Risk Adjustment,needs evidence,SRC-HCDN-CTRL-139
CTRL-HCDN-0299,CMS submission control,Care Management,candidate,SRC-HCDN-CTRL-140
CTRL-HCDN-0300,change control,Finance,designed,SRC-HCDN-CTRL-141
CTRL-HCDN-0301,data lineage certification,Coding,operating,SRC-HCDN-CTRL-142
CTRL-HCDN-0302,vendor BAA review,Payer Contracting,gap,SRC-HCDN-CTRL-143
CTRL-HCDN-0303,resilience test,Digital Front Door,needs evidence,SRC-HCDN-CTRL-144
CTRL-HCDN-0304,incident review,Contact Center,candidate,SRC-HCDN-CTRL-145
CTRL-HCDN-0305,financial approval,Ambulatory Care,designed,SRC-HCDN-CTRL-146
CTRL-HCDN-0306,privacy review,Emergency Department,operating,SRC-HCDN-CTRL-147
CTRL-HCDN-0307,model-risk review,Inpatient,gap,SRC-HCDN-CTRL-148
CTRL-HCDN-0308,PHI access review,Surgery,needs evidence,SRC-HCDN-CTRL-149
CTRL-HCDN-0309,measure attestation,Imaging,candidate,SRC-HCDN-CTRL-150
CTRL-HCDN-0310,CMS submission control,Lab,designed,SRC-HCDN-CTRL-151
CTRL-HCDN-0311,change control,Pharmacy,operating,SRC-HCDN-CTRL-152
