relationship_id,from_object_type,from_source_native_id,relationship_type,to_object_type,to_source_native_id,business_meaning,scope,criticality,current_target_state,source_document
REL-HCDN-000033,application,APP-HCDN-00007,covered_by_contract,contract,CONT-HCDN-0031,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-035
REL-HCDN-000034,application,APP-HCDN-00007,feeds_data_product,data_product,DATA-HCDN-00019,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-036
REL-HCDN-000035,application,APP-HCDN-00007,measured_by,kpi,KPI-HCDN-0067,Application/process outcome measured by KPI,performance,high,target,SRC-HCDN-REL-037
REL-HCDN-000036,application,APP-HCDN-00008,supports_process,business_process,PROC-HCDN-008,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-038
REL-HCDN-000037,application,APP-HCDN-00008,hosted_on,infrastructure,INFRA-HCDN-00050,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-039
REL-HCDN-000038,application,APP-HCDN-00008,covered_by_contract,contract,CONT-HCDN-0036,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-040
REL-HCDN-000039,application,APP-HCDN-00008,feeds_data_product,data_product,DATA-HCDN-00022,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-041
REL-HCDN-000040,application,APP-HCDN-00008,measured_by,kpi,KPI-HCDN-0078,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-042
REL-HCDN-000041,application,APP-HCDN-00009,supports_process,business_process,PROC-HCDN-009,Application supports healthcare operating process,operations,high,target,SRC-HCDN-REL-043
REL-HCDN-000042,application,APP-HCDN-00009,hosted_on,infrastructure,INFRA-HCDN-00057,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-044
REL-HCDN-000043,application,APP-HCDN-00009,covered_by_contract,contract,CONT-HCDN-0041,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-045
REL-HCDN-000044,application,APP-HCDN-00009,feeds_data_product,data_product,DATA-HCDN-00025,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-046
REL-HCDN-000045,application,APP-HCDN-00009,measured_by,kpi,KPI-HCDN-0089,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-047
REL-HCDN-000046,application,APP-HCDN-00010,supports_process,business_process,PROC-HCDN-010,Application supports healthcare operating process,operations,critical,current,SRC-HCDN-REL-048
REL-HCDN-000047,application,APP-HCDN-00010,hosted_on,infrastructure,INFRA-HCDN-00064,Hosting dependency affects resilience and modernization,technology,high,target,SRC-HCDN-REL-049
REL-HCDN-000048,application,APP-HCDN-00010,covered_by_contract,contract,CONT-HCDN-0046,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-050
REL-HCDN-000049,application,APP-HCDN-00010,feeds_data_product,data_product,DATA-HCDN-00028,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-051
REL-HCDN-000050,application,APP-HCDN-00010,measured_by,kpi,KPI-HCDN-0100,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-052
REL-HCDN-000051,application,APP-HCDN-00011,supports_process,business_process,PROC-HCDN-011,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-053
REL-HCDN-000052,application,APP-HCDN-00011,hosted_on,infrastructure,INFRA-HCDN-00071,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-054
REL-HCDN-000053,application,APP-HCDN-00011,covered_by_contract,contract,CONT-HCDN-0051,Application support/operation tied to supplier obligation,source_event,high,target,SRC-HCDN-REL-055
REL-HCDN-000054,application,APP-HCDN-00011,feeds_data_product,data_product,DATA-HCDN-00031,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-056
REL-HCDN-000055,application,APP-HCDN-00011,measured_by,kpi,KPI-HCDN-0111,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-057
REL-HCDN-000056,application,APP-HCDN-00012,supports_process,business_process,PROC-HCDN-012,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-058
REL-HCDN-000057,application,APP-HCDN-00012,hosted_on,infrastructure,INFRA-HCDN-00078,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-059
REL-HCDN-000058,application,APP-HCDN-00012,covered_by_contract,contract,CONT-HCDN-0056,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-060
REL-HCDN-000059,application,APP-HCDN-00012,feeds_data_product,data_product,DATA-HCDN-00034,Application contributes source data to analytics/AI layer,data,high,target,SRC-HCDN-REL-061
REL-HCDN-000060,application,APP-HCDN-00012,measured_by,kpi,KPI-HCDN-0122,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-062
REL-HCDN-000061,application,APP-HCDN-00013,supports_process,business_process,PROC-HCDN-013,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-063
REL-HCDN-000062,application,APP-HCDN-00013,hosted_on,infrastructure,INFRA-HCDN-00085,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-064
REL-HCDN-000063,application,APP-HCDN-00013,covered_by_contract,contract,CONT-HCDN-0061,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-065
REL-HCDN-000064,application,APP-HCDN-00013,feeds_data_product,data_product,DATA-HCDN-00037,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-066
REL-HCDN-000065,application,APP-HCDN-00013,measured_by,kpi,KPI-HCDN-0133,Application/process outcome measured by KPI,performance,high,target,SRC-HCDN-REL-067
REL-HCDN-000066,application,APP-HCDN-00014,supports_process,business_process,PROC-HCDN-001,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-068
REL-HCDN-000067,application,APP-HCDN-00014,hosted_on,infrastructure,INFRA-HCDN-00092,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-069
REL-HCDN-000068,application,APP-HCDN-00014,covered_by_contract,contract,CONT-HCDN-0066,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-070
REL-HCDN-000069,application,APP-HCDN-00014,feeds_data_product,data_product,DATA-HCDN-00040,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-071
REL-HCDN-000070,application,APP-HCDN-00014,measured_by,kpi,KPI-HCDN-0144,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-072
REL-HCDN-000071,application,APP-HCDN-00015,supports_process,business_process,PROC-HCDN-002,Application supports healthcare operating process,operations,high,target,SRC-HCDN-REL-073
REL-HCDN-000072,application,APP-HCDN-00015,hosted_on,infrastructure,INFRA-HCDN-00099,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-074
REL-HCDN-000073,application,APP-HCDN-00015,covered_by_contract,contract,CONT-HCDN-0071,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-075
REL-HCDN-000074,application,APP-HCDN-00015,feeds_data_product,data_product,DATA-HCDN-00043,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-076
REL-HCDN-000075,application,APP-HCDN-00015,measured_by,kpi,KPI-HCDN-0155,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-077
REL-HCDN-000076,application,APP-HCDN-00016,supports_process,business_process,PROC-HCDN-003,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-078
REL-HCDN-000077,application,APP-HCDN-00016,hosted_on,infrastructure,INFRA-HCDN-00106,Hosting dependency affects resilience and modernization,technology,high,target,SRC-HCDN-REL-079
REL-HCDN-000078,application,APP-HCDN-00016,covered_by_contract,contract,CONT-HCDN-0076,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-080
REL-HCDN-000079,application,APP-HCDN-00016,feeds_data_product,data_product,DATA-HCDN-00046,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-081
REL-HCDN-000080,application,APP-HCDN-00016,measured_by,kpi,KPI-HCDN-0166,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-082
REL-HCDN-000081,application,APP-HCDN-00017,supports_process,business_process,PROC-HCDN-004,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-083
REL-HCDN-000082,application,APP-HCDN-00017,hosted_on,infrastructure,INFRA-HCDN-00113,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-084
REL-HCDN-000083,application,APP-HCDN-00017,covered_by_contract,contract,CONT-HCDN-0081,Application support/operation tied to supplier obligation,source_event,high,target,SRC-HCDN-REL-085
REL-HCDN-000084,application,APP-HCDN-00017,feeds_data_product,data_product,DATA-HCDN-00049,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-086
REL-HCDN-000085,application,APP-HCDN-00017,measured_by,kpi,KPI-HCDN-0177,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-087
REL-HCDN-000086,application,APP-HCDN-00018,supports_process,business_process,PROC-HCDN-005,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-088
REL-HCDN-000087,application,APP-HCDN-00018,hosted_on,infrastructure,INFRA-HCDN-00120,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-089
REL-HCDN-000088,application,APP-HCDN-00018,covered_by_contract,contract,CONT-HCDN-0086,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-090
REL-HCDN-000089,application,APP-HCDN-00018,feeds_data_product,data_product,DATA-HCDN-00052,Application contributes source data to analytics/AI layer,data,high,target,SRC-HCDN-REL-091
REL-HCDN-000090,application,APP-HCDN-00018,measured_by,kpi,KPI-HCDN-0188,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-092
REL-HCDN-000091,application,APP-HCDN-00019,supports_process,business_process,PROC-HCDN-006,Application supports healthcare operating process,operations,critical,current,SRC-HCDN-REL-093
REL-HCDN-000092,application,APP-HCDN-00019,hosted_on,infrastructure,INFRA-HCDN-00127,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-094
REL-HCDN-000093,application,APP-HCDN-00019,covered_by_contract,contract,CONT-HCDN-0091,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-095
REL-HCDN-000094,application,APP-HCDN-00019,feeds_data_product,data_product,DATA-HCDN-00055,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-096
REL-HCDN-000095,application,APP-HCDN-00019,measured_by,kpi,KPI-HCDN-0199,Application/process outcome measured by KPI,performance,high,target,SRC-HCDN-REL-097
REL-HCDN-000096,application,APP-HCDN-00020,supports_process,business_process,PROC-HCDN-007,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-098
REL-HCDN-000097,application,APP-HCDN-00020,hosted_on,infrastructure,INFRA-HCDN-00134,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-099
REL-HCDN-000098,application,APP-HCDN-00020,covered_by_contract,contract,CONT-HCDN-0096,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-100
REL-HCDN-000099,application,APP-HCDN-00020,feeds_data_product,data_product,DATA-HCDN-00058,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-101
REL-HCDN-000100,application,APP-HCDN-00020,measured_by,kpi,KPI-HCDN-0210,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-102
REL-HCDN-000101,application,APP-HCDN-00021,supports_process,business_process,PROC-HCDN-008,Application supports healthcare operating process,operations,high,target,SRC-HCDN-REL-103
REL-HCDN-000102,application,APP-HCDN-00021,hosted_on,infrastructure,INFRA-HCDN-00141,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-104
REL-HCDN-000103,application,APP-HCDN-00021,covered_by_contract,contract,CONT-HCDN-0101,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-105
REL-HCDN-000104,application,APP-HCDN-00021,feeds_data_product,data_product,DATA-HCDN-00061,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-106
REL-HCDN-000105,application,APP-HCDN-00021,measured_by,kpi,KPI-HCDN-0221,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-107
REL-HCDN-000106,application,APP-HCDN-00022,supports_process,business_process,PROC-HCDN-009,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-108
REL-HCDN-000107,application,APP-HCDN-00022,hosted_on,infrastructure,INFRA-HCDN-00148,Hosting dependency affects resilience and modernization,technology,high,target,SRC-HCDN-REL-109
REL-HCDN-000108,application,APP-HCDN-00022,covered_by_contract,contract,CONT-HCDN-0106,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-110
REL-HCDN-000109,application,APP-HCDN-00022,feeds_data_product,data_product,DATA-HCDN-00064,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-111
REL-HCDN-000110,application,APP-HCDN-00022,measured_by,kpi,KPI-HCDN-0232,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-112
REL-HCDN-000111,application,APP-HCDN-00023,supports_process,business_process,PROC-HCDN-010,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-113
REL-HCDN-000112,application,APP-HCDN-00023,hosted_on,infrastructure,INFRA-HCDN-00155,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-114
REL-HCDN-000113,application,APP-HCDN-00023,covered_by_contract,contract,CONT-HCDN-0111,Application support/operation tied to supplier obligation,source_event,high,target,SRC-HCDN-REL-115
REL-HCDN-000114,application,APP-HCDN-00023,feeds_data_product,data_product,DATA-HCDN-00067,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-116
REL-HCDN-000115,application,APP-HCDN-00023,measured_by,kpi,KPI-HCDN-0243,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-117
REL-HCDN-000116,application,APP-HCDN-00024,supports_process,business_process,PROC-HCDN-011,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-118
REL-HCDN-000117,application,APP-HCDN-00024,hosted_on,infrastructure,INFRA-HCDN-00162,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-119
REL-HCDN-000118,application,APP-HCDN-00024,covered_by_contract,contract,CONT-HCDN-0116,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-120
REL-HCDN-000119,application,APP-HCDN-00024,feeds_data_product,data_product,DATA-HCDN-00070,Application contributes source data to analytics/AI layer,data,high,target,SRC-HCDN-REL-121
REL-HCDN-000120,application,APP-HCDN-00024,measured_by,kpi,KPI-HCDN-0254,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-122
REL-HCDN-000121,application,APP-HCDN-00025,supports_process,business_process,PROC-HCDN-012,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-123
REL-HCDN-000122,application,APP-HCDN-00025,hosted_on,infrastructure,INFRA-HCDN-00169,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-124
REL-HCDN-000123,application,APP-HCDN-00025,covered_by_contract,contract,CONT-HCDN-0121,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-125
REL-HCDN-000124,application,APP-HCDN-00025,feeds_data_product,data_product,DATA-HCDN-00073,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-126
REL-HCDN-000125,application,APP-HCDN-00025,measured_by,kpi,KPI-HCDN-0265,Application/process outcome measured by KPI,performance,high,target,SRC-HCDN-REL-127
REL-HCDN-000126,application,APP-HCDN-00026,supports_process,business_process,PROC-HCDN-013,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-128
REL-HCDN-000127,application,APP-HCDN-00026,hosted_on,infrastructure,INFRA-HCDN-00176,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-129
REL-HCDN-000128,application,APP-HCDN-00026,covered_by_contract,contract,CONT-HCDN-0126,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-130
REL-HCDN-000129,application,APP-HCDN-00026,feeds_data_product,data_product,DATA-HCDN-00076,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-131
REL-HCDN-000130,application,APP-HCDN-00026,measured_by,kpi,KPI-HCDN-0276,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-132
REL-HCDN-000131,application,APP-HCDN-00027,supports_process,business_process,PROC-HCDN-001,Application supports healthcare operating process,operations,high,target,SRC-HCDN-REL-133
REL-HCDN-000132,application,APP-HCDN-00027,hosted_on,infrastructure,INFRA-HCDN-00183,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-134
REL-HCDN-000133,application,APP-HCDN-00027,covered_by_contract,contract,CONT-HCDN-0131,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-135
REL-HCDN-000134,application,APP-HCDN-00027,feeds_data_product,data_product,DATA-HCDN-00079,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-136
REL-HCDN-000135,application,APP-HCDN-00027,measured_by,kpi,KPI-HCDN-0287,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-137
REL-HCDN-000136,application,APP-HCDN-00028,supports_process,business_process,PROC-HCDN-002,Application supports healthcare operating process,operations,critical,current,SRC-HCDN-REL-138
REL-HCDN-000137,application,APP-HCDN-00028,hosted_on,infrastructure,INFRA-HCDN-00190,Hosting dependency affects resilience and modernization,technology,high,target,SRC-HCDN-REL-139
REL-HCDN-000138,application,APP-HCDN-00028,covered_by_contract,contract,CONT-HCDN-0136,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-140
REL-HCDN-000139,application,APP-HCDN-00028,feeds_data_product,data_product,DATA-HCDN-00082,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-141
REL-HCDN-000140,application,APP-HCDN-00028,measured_by,kpi,KPI-HCDN-0298,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-142
REL-HCDN-000141,application,APP-HCDN-00029,supports_process,business_process,PROC-HCDN-003,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-143
REL-HCDN-000142,application,APP-HCDN-00029,hosted_on,infrastructure,INFRA-HCDN-00197,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-144
REL-HCDN-000143,application,APP-HCDN-00029,covered_by_contract,contract,CONT-HCDN-0141,Application support/operation tied to supplier obligation,source_event,high,target,SRC-HCDN-REL-145
REL-HCDN-000144,application,APP-HCDN-00029,feeds_data_product,data_product,DATA-HCDN-00085,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-146
REL-HCDN-000145,application,APP-HCDN-00029,measured_by,kpi,KPI-HCDN-0309,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-147
REL-HCDN-000146,application,APP-HCDN-00030,supports_process,business_process,PROC-HCDN-004,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-148
REL-HCDN-000147,application,APP-HCDN-00030,hosted_on,infrastructure,INFRA-HCDN-00204,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-149
REL-HCDN-000148,application,APP-HCDN-00030,covered_by_contract,contract,CONT-HCDN-0146,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-150
REL-HCDN-000149,application,APP-HCDN-00030,feeds_data_product,data_product,DATA-HCDN-00088,Application contributes source data to analytics/AI layer,data,high,target,SRC-HCDN-REL-151
REL-HCDN-000150,application,APP-HCDN-00030,measured_by,kpi,KPI-HCDN-0320,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-152
REL-HCDN-000151,application,APP-HCDN-00031,supports_process,business_process,PROC-HCDN-005,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-153
REL-HCDN-000152,application,APP-HCDN-00031,hosted_on,infrastructure,INFRA-HCDN-00211,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-154
REL-HCDN-000153,application,APP-HCDN-00031,covered_by_contract,contract,CONT-HCDN-0151,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-155
REL-HCDN-000154,application,APP-HCDN-00031,feeds_data_product,data_product,DATA-HCDN-00091,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-156
REL-HCDN-000155,application,APP-HCDN-00031,measured_by,kpi,KPI-HCDN-0331,Application/process outcome measured by KPI,performance,high,target,SRC-HCDN-REL-157
REL-HCDN-000156,application,APP-HCDN-00032,supports_process,business_process,PROC-HCDN-006,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-158
REL-HCDN-000157,application,APP-HCDN-00032,hosted_on,infrastructure,INFRA-HCDN-00218,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-159
REL-HCDN-000158,application,APP-HCDN-00032,covered_by_contract,contract,CONT-HCDN-0156,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-160
REL-HCDN-000159,application,APP-HCDN-00032,feeds_data_product,data_product,DATA-HCDN-00094,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-161
REL-HCDN-000160,application,APP-HCDN-00032,measured_by,kpi,KPI-HCDN-0342,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-162
REL-HCDN-000161,application,APP-HCDN-00033,supports_process,business_process,PROC-HCDN-007,Application supports healthcare operating process,operations,high,target,SRC-HCDN-REL-163
REL-HCDN-000162,application,APP-HCDN-00033,hosted_on,infrastructure,INFRA-HCDN-00225,Hosting dependency affects resilience and modernization,technology,high,current,SRC-HCDN-REL-164
REL-HCDN-000163,application,APP-HCDN-00033,covered_by_contract,contract,CONT-HCDN-0161,Application support/operation tied to supplier obligation,source_event,high,current,SRC-HCDN-REL-165
REL-HCDN-000164,application,APP-HCDN-00033,feeds_data_product,data_product,DATA-HCDN-00097,Application contributes source data to analytics/AI layer,data,high,current,SRC-HCDN-REL-166
REL-HCDN-000165,application,APP-HCDN-00033,measured_by,kpi,KPI-HCDN-0353,Application/process outcome measured by KPI,performance,high,current,SRC-HCDN-REL-167
REL-HCDN-000166,application,APP-HCDN-00034,supports_process,business_process,PROC-HCDN-008,Application supports healthcare operating process,operations,high,current,SRC-HCDN-REL-168
REL-HCDN-000167,application,APP-HCDN-00034,hosted_on,infrastructure,INFRA-HCDN-00232,Hosting dependency affects resilience and modernization,technology,high,target,SRC-HCDN-REL-169
