sql_asset_id,asset_type,business_function,version_family,hosting_model,upstream_source,lifecycle_status,evidence_gap
SQL-HCDN-00077,SQL Server instance,Clinical Analytics,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,lineage incomplete
SQL-HCDN-00078,SQL database,Departmental Reporting,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00079,departmental mart,Actuarial,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00080,SSIS package group,Finance,SQL Server 2012,private cloud,claims warehouse,active,measure definition conflict
SQL-HCDN-00081,SSAS cube/model,Quality and Stars,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00082,SSRS report server,Revenue Cycle,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00083,SQL Agent schedule group,Population Health,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00084,SQL Server instance,Claims Operations,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00085,SQL database,Clinical Analytics,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00086,departmental mart,Departmental Reporting,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00087,SSIS package group,Actuarial,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00088,SSAS cube/model,Finance,SQL Server 2019,departmental server,Oracle feed,retire candidate,measure definition conflict
SQL-HCDN-00089,SSRS report server,Quality and Stars,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00090,SQL Agent schedule group,Revenue Cycle,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00091,SQL Server instance,Population Health,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00092,SQL database,Claims Operations,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00093,departmental mart,Clinical Analytics,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00094,SSIS package group,Departmental Reporting,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00095,SSAS cube/model,Actuarial,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00096,SSRS report server,Finance,SQL Server 2014,on-prem data center,Epic Clarity,stale,measure definition conflict
SQL-HCDN-00097,SQL Agent schedule group,Quality and Stars,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00098,SQL Server instance,Revenue Cycle,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00099,SQL database,Population Health,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,lineage incomplete
SQL-HCDN-00100,departmental mart,Claims Operations,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00101,SSIS package group,Clinical Analytics,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00102,SSAS cube/model,Departmental Reporting,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00103,SSRS report server,Actuarial,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00104,SQL Agent schedule group,Finance,SQL Server 2022,private cloud,claims warehouse,owner conflict,measure definition conflict
SQL-HCDN-00105,SQL Server instance,Quality and Stars,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00106,SQL database,Revenue Cycle,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00107,departmental mart,Population Health,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00108,SSIS package group,Claims Operations,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00109,SSAS cube/model,Clinical Analytics,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00110,SSRS report server,Departmental Reporting,SQL Server 2012,private cloud,claims warehouse,active,lineage incomplete
SQL-HCDN-00111,SQL Agent schedule group,Actuarial,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00112,SQL Server instance,Finance,SQL Server 2016,departmental server,Oracle feed,duplicate,measure definition conflict
SQL-HCDN-00113,SQL database,Quality and Stars,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00114,departmental mart,Revenue Cycle,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00115,SSIS package group,Population Health,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00116,SSAS cube/model,Claims Operations,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00117,SSRS report server,Clinical Analytics,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00118,SQL Agent schedule group,Departmental Reporting,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00119,SQL Server instance,Actuarial,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00120,SQL database,Finance,SQL Server 2012,on-prem data center,Epic Clarity,active,measure definition conflict
SQL-HCDN-00121,departmental mart,Quality and Stars,SQL Server 2014,departmental server,legacy EDW,stale,lineage incomplete
SQL-HCDN-00122,SSIS package group,Revenue Cycle,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00123,SSAS cube/model,Population Health,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00124,SSRS report server,Claims Operations,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00125,SQL Agent schedule group,Clinical Analytics,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00126,SQL Server instance,Departmental Reporting,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00127,SQL database,Actuarial,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00128,departmental mart,Finance,SQL Server 2019,private cloud,claims warehouse,retire candidate,measure definition conflict
SQL-HCDN-00129,SSIS package group,Quality and Stars,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00130,SSAS cube/model,Revenue Cycle,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00131,SSRS report server,Population Health,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00132,SQL Agent schedule group,Claims Operations,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,lineage incomplete
SQL-HCDN-00133,SQL Server instance,Clinical Analytics,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00134,SQL database,Departmental Reporting,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00135,departmental mart,Actuarial,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00136,SSIS package group,Finance,SQL Server 2014,departmental server,Oracle feed,stale,measure definition conflict
SQL-HCDN-00137,SSAS cube/model,Quality and Stars,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00138,SSRS report server,Revenue Cycle,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,source-backed candidate
SQL-HCDN-00139,SQL Agent schedule group,Population Health,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00140,SQL Server instance,Claims Operations,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00141,SQL database,Clinical Analytics,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00142,departmental mart,Departmental Reporting,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00143,SSIS package group,Actuarial,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,lineage incomplete
SQL-HCDN-00144,SSAS cube/model,Finance,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,measure definition conflict
SQL-HCDN-00145,SSRS report server,Quality and Stars,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00146,SQL Agent schedule group,Revenue Cycle,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00147,SQL Server instance,Population Health,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00148,SQL database,Claims Operations,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00149,departmental mart,Clinical Analytics,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00150,SSIS package group,Departmental Reporting,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00151,SSAS cube/model,Actuarial,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00152,SSRS report server,Finance,SQL Server 2016,private cloud,claims warehouse,duplicate,measure definition conflict
SQL-HCDN-00153,SQL Agent schedule group,Quality and Stars,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00154,SQL Server instance,Revenue Cycle,SQL Server 2022,departmental server,Oracle feed,owner conflict,lineage incomplete
SQL-HCDN-00155,SQL database,Population Health,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00156,departmental mart,Claims Operations,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00157,SSIS package group,Clinical Analytics,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00158,SSAS cube/model,Departmental Reporting,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00159,SSRS report server,Actuarial,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00160,SQL Agent schedule group,Finance,SQL Server 2012,departmental server,Oracle feed,active,measure definition conflict
SQL-HCDN-00161,SQL Server instance,Quality and Stars,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00162,SQL database,Revenue Cycle,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00163,departmental mart,Population Health,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00164,SSIS package group,Claims Operations,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00165,SSAS cube/model,Clinical Analytics,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,lineage incomplete
SQL-HCDN-00166,SSRS report server,Departmental Reporting,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00167,SQL Agent schedule group,Actuarial,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00168,SQL Server instance,Finance,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,measure definition conflict
SQL-HCDN-00169,SQL database,Quality and Stars,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00170,departmental mart,Revenue Cycle,SQL Server 2012,private cloud,claims warehouse,active,source-backed candidate
SQL-HCDN-00171,SSIS package group,Population Health,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00172,SSAS cube/model,Claims Operations,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00173,SSRS report server,Clinical Analytics,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00174,SQL Agent schedule group,Departmental Reporting,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00175,SQL Server instance,Actuarial,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00176,SQL database,Finance,SQL Server 2014,private cloud,claims warehouse,stale,measure definition conflict
SQL-HCDN-00177,departmental mart,Quality and Stars,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00178,SSIS package group,Revenue Cycle,SQL Server 2019,departmental server,Oracle feed,retire candidate,source-backed candidate
SQL-HCDN-00179,SSAS cube/model,Population Health,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,source-backed candidate
SQL-HCDN-00180,SSRS report server,Claims Operations,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00181,SQL Agent schedule group,Clinical Analytics,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00182,SQL Server instance,Departmental Reporting,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00183,SQL database,Actuarial,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00184,departmental mart,Finance,SQL Server 2022,departmental server,Oracle feed,owner conflict,measure definition conflict
SQL-HCDN-00185,SSIS package group,Quality and Stars,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00186,SSAS cube/model,Revenue Cycle,SQL Server 2014,on-prem data center,Epic Clarity,stale,source-backed candidate
SQL-HCDN-00187,SSRS report server,Population Health,SQL Server 2016,departmental server,legacy EDW,duplicate,lineage incomplete
SQL-HCDN-00188,SQL Agent schedule group,Claims Operations,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00189,SQL Server instance,Clinical Analytics,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00190,SQL database,Departmental Reporting,SQL Server 2012,departmental server,Oracle feed,active,source-backed candidate
SQL-HCDN-00191,departmental mart,Actuarial,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00192,SSIS package group,Finance,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,measure definition conflict
SQL-HCDN-00193,SSAS cube/model,Quality and Stars,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
SQL-HCDN-00194,SSRS report server,Revenue Cycle,SQL Server 2022,private cloud,claims warehouse,owner conflict,source-backed candidate
SQL-HCDN-00195,SQL Agent schedule group,Population Health,SQL Server 2012,on-prem data center,manual spreadsheet upload,active,source-backed candidate
SQL-HCDN-00196,SQL Server instance,Claims Operations,SQL Server 2014,departmental server,Oracle feed,stale,source-backed candidate
SQL-HCDN-00197,SQL database,Clinical Analytics,SQL Server 2016,private cloud,flat-file/SFTP,duplicate,source-backed candidate
SQL-HCDN-00198,departmental mart,Departmental Reporting,SQL Server 2019,on-prem data center,Epic Clarity,retire candidate,lineage incomplete
SQL-HCDN-00199,SSIS package group,Actuarial,SQL Server 2022,departmental server,legacy EDW,owner conflict,source-backed candidate
SQL-HCDN-00200,SSAS cube/model,Finance,SQL Server 2012,private cloud,claims warehouse,active,measure definition conflict
SQL-HCDN-00201,SSRS report server,Quality and Stars,SQL Server 2014,on-prem data center,manual spreadsheet upload,stale,source-backed candidate
SQL-HCDN-00202,SQL Agent schedule group,Revenue Cycle,SQL Server 2016,departmental server,Oracle feed,duplicate,source-backed candidate
SQL-HCDN-00203,SQL Server instance,Population Health,SQL Server 2019,private cloud,flat-file/SFTP,retire candidate,source-backed candidate
SQL-HCDN-00204,SQL database,Claims Operations,SQL Server 2022,on-prem data center,Epic Clarity,owner conflict,source-backed candidate
SQL-HCDN-00205,departmental mart,Clinical Analytics,SQL Server 2012,departmental server,legacy EDW,active,source-backed candidate
SQL-HCDN-00206,SSIS package group,Departmental Reporting,SQL Server 2014,private cloud,claims warehouse,stale,source-backed candidate
SQL-HCDN-00207,SSAS cube/model,Actuarial,SQL Server 2016,on-prem data center,manual spreadsheet upload,duplicate,source-backed candidate
SQL-HCDN-00208,SSRS report server,Finance,SQL Server 2019,departmental server,Oracle feed,retire candidate,measure definition conflict
SQL-HCDN-00209,SQL Agent schedule group,Quality and Stars,SQL Server 2022,private cloud,flat-file/SFTP,owner conflict,lineage incomplete
SQL-HCDN-00210,SQL Server instance,Revenue Cycle,SQL Server 2012,on-prem data center,Epic Clarity,active,source-backed candidate
SQL-HCDN-00211,SQL database,Population Health,SQL Server 2014,departmental server,legacy EDW,stale,source-backed candidate
SQL-HCDN-00212,departmental mart,Claims Operations,SQL Server 2016,private cloud,claims warehouse,duplicate,source-backed candidate
SQL-HCDN-00213,SSIS package group,Clinical Analytics,SQL Server 2019,on-prem data center,manual spreadsheet upload,retire candidate,source-backed candidate
SQL-HCDN-00214,SSAS cube/model,Departmental Reporting,SQL Server 2022,departmental server,Oracle feed,owner conflict,source-backed candidate
SQL-HCDN-00215,SSRS report server,Actuarial,SQL Server 2012,private cloud,flat-file/SFTP,active,source-backed candidate
SQL-HCDN-00216,SQL Agent schedule group,Finance,SQL Server 2014,on-prem data center,Epic Clarity,stale,measure definition conflict
SQL-HCDN-00217,SQL Server instance,Quality and Stars,SQL Server 2016,departmental server,legacy EDW,duplicate,source-backed candidate
SQL-HCDN-00218,SQL database,Revenue Cycle,SQL Server 2019,private cloud,claims warehouse,retire candidate,source-backed candidate
SQL-HCDN-00219,departmental mart,Population Health,SQL Server 2022,on-prem data center,manual spreadsheet upload,owner conflict,source-backed candidate
SQL-HCDN-00220,SSIS package group,Claims Operations,SQL Server 2012,departmental server,Oracle feed,active,lineage incomplete
SQL-HCDN-00221,SSAS cube/model,Clinical Analytics,SQL Server 2014,private cloud,flat-file/SFTP,stale,source-backed candidate
SQL-HCDN-00222,SSRS report server,Departmental Reporting,SQL Server 2016,on-prem data center,Epic Clarity,duplicate,source-backed candidate
SQL-HCDN-00223,SQL Agent schedule group,Actuarial,SQL Server 2019,departmental server,legacy EDW,retire candidate,source-backed candidate
