truth_object_id,truth_object_type,required_for_publication,visible_source_count,independent_source_count,source_ids,expected_parser_path,expected_candidate_fact_count,expected_relationship_count,ambiguity_class,conflict_class,review_required,reconstructable,reason_if_not_reconstructable
TRUTH-HCDN-0123,kpi,required,4,1,SRC-HCDN-PROP-024,proposal parser,12,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0124,contract,required,5,2,SRC-HCDN-APP-025,cmdb parser,1,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0125,relationship,required,1,1,SRC-HCDN-SQL-026,SQL parser,2,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0126,program,required,2,1,SRC-HCDN-STARS-027,measure parser,3,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0127,risk_control,required,3,2,SRC-HCDN-CONT-028,contract parser,4,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0128,application,optional,4,1,SRC-HCDN-INT-029,interface parser,5,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0129,data_product,required,5,1,SRC-HCDN-DATA-030,proposal parser,6,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0130,kpi,required,1,2,SRC-HCDN-SLA-031,cmdb parser,7,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0131,contract,required,2,1,SRC-HCDN-PROP-032,SQL parser,8,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0132,relationship,required,3,1,SRC-HCDN-APP-033,measure parser,9,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0133,program,required,4,2,SRC-HCDN-SQL-034,contract parser,10,15,ambiguous owner,conflicting owner,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0134,risk_control,required,5,1,SRC-HCDN-STARS-035,interface parser,11,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0135,application,optional,1,1,SRC-HCDN-CONT-036,proposal parser,12,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0136,data_product,required,2,2,SRC-HCDN-INT-037,cmdb parser,1,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0137,kpi,required,3,1,SRC-HCDN-DATA-038,SQL parser,2,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0138,contract,required,4,1,SRC-HCDN-SLA-039,measure parser,3,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0139,relationship,required,5,2,SRC-HCDN-PROP-040,contract parser,4,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0140,program,required,1,1,SRC-HCDN-APP-041,interface parser,5,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0141,risk_control,required,2,1,SRC-HCDN-SQL-042,proposal parser,6,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0142,application,optional,3,2,SRC-HCDN-STARS-043,cmdb parser,7,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0143,data_product,required,4,1,SRC-HCDN-CONT-044,SQL parser,8,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0144,kpi,required,5,1,SRC-HCDN-INT-045,measure parser,9,6,none,none,true,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0145,contract,required,1,2,SRC-HCDN-DATA-046,contract parser,10,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0146,relationship,required,2,1,SRC-HCDN-SLA-047,interface parser,11,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0147,program,required,3,1,SRC-HCDN-PROP-048,proposal parser,12,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0148,risk_control,required,4,2,SRC-HCDN-APP-049,cmdb parser,1,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0149,application,optional,5,1,SRC-HCDN-SQL-050,SQL parser,2,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0150,data_product,required,1,1,SRC-HCDN-STARS-051,measure parser,3,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0151,kpi,required,2,2,SRC-HCDN-CONT-052,contract parser,4,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0152,contract,required,3,1,SRC-HCDN-INT-053,interface parser,5,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0153,relationship,required,4,1,SRC-HCDN-DATA-054,proposal parser,6,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0154,program,required,5,2,SRC-HCDN-SLA-055,cmdb parser,7,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0155,risk_control,required,1,1,SRC-HCDN-PROP-056,SQL parser,8,17,retired/active collision,value mismatch,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0156,application,optional,2,1,SRC-HCDN-APP-057,measure parser,9,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0157,data_product,required,3,2,SRC-HCDN-SQL-058,contract parser,10,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0158,kpi,required,4,1,SRC-HCDN-STARS-059,interface parser,11,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0159,contract,required,5,1,SRC-HCDN-CONT-060,proposal parser,12,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0160,relationship,required,1,2,SRC-HCDN-INT-061,cmdb parser,1,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0161,program,required,2,1,SRC-HCDN-DATA-062,SQL parser,2,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0162,risk_control,required,3,1,SRC-HCDN-SLA-063,measure parser,3,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0163,application,optional,4,2,SRC-HCDN-PROP-064,contract parser,4,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0164,data_product,required,5,1,SRC-HCDN-APP-065,interface parser,5,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0165,kpi,required,1,1,SRC-HCDN-SQL-066,proposal parser,6,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0166,contract,required,2,2,SRC-HCDN-STARS-067,cmdb parser,7,8,duplicate native ID,conflicting KPI definition,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0167,relationship,required,3,1,SRC-HCDN-CONT-068,SQL parser,8,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0168,program,required,4,1,SRC-HCDN-INT-069,measure parser,9,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0169,risk_control,required,5,2,SRC-HCDN-DATA-070,contract parser,10,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0170,application,optional,1,1,SRC-HCDN-SLA-071,interface parser,11,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0171,data_product,required,2,1,SRC-HCDN-PROP-072,proposal parser,12,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0172,kpi,required,3,2,SRC-HCDN-APP-073,cmdb parser,1,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0173,contract,required,4,1,SRC-HCDN-SQL-074,SQL parser,2,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0174,relationship,required,5,1,SRC-HCDN-STARS-075,measure parser,3,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0175,program,required,1,2,SRC-HCDN-CONT-076,contract parser,4,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0176,risk_control,required,2,1,SRC-HCDN-INT-077,interface parser,5,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0177,application,optional,3,1,SRC-HCDN-DATA-078,proposal parser,6,19,ambiguous owner,conflicting owner,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0178,data_product,required,4,2,SRC-HCDN-SLA-079,cmdb parser,7,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0179,kpi,required,5,1,SRC-HCDN-PROP-080,SQL parser,8,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0180,contract,required,1,1,SRC-HCDN-APP-081,measure parser,9,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0181,relationship,required,2,2,SRC-HCDN-SQL-082,contract parser,10,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0182,program,required,3,1,SRC-HCDN-STARS-083,interface parser,11,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0183,risk_control,required,4,1,SRC-HCDN-CONT-084,proposal parser,12,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0184,application,optional,5,2,SRC-HCDN-INT-085,cmdb parser,1,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0185,data_product,required,1,1,SRC-HCDN-DATA-086,SQL parser,2,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0186,kpi,required,2,1,SRC-HCDN-SLA-087,measure parser,3,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0187,contract,required,3,2,SRC-HCDN-PROP-088,contract parser,4,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0188,relationship,required,4,1,SRC-HCDN-APP-089,interface parser,5,10,none,none,true,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0189,program,required,5,1,SRC-HCDN-SQL-090,proposal parser,6,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0190,risk_control,required,1,2,SRC-HCDN-STARS-091,cmdb parser,7,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0191,application,optional,2,1,SRC-HCDN-CONT-092,SQL parser,8,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0192,data_product,required,3,1,SRC-HCDN-INT-093,measure parser,9,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0193,kpi,required,4,2,SRC-HCDN-DATA-094,contract parser,10,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0194,contract,required,5,1,SRC-HCDN-SLA-095,interface parser,11,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0195,relationship,required,1,1,SRC-HCDN-PROP-096,proposal parser,12,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0196,program,required,2,2,SRC-HCDN-APP-001,cmdb parser,1,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0197,risk_control,required,3,1,SRC-HCDN-SQL-002,SQL parser,2,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0198,application,optional,4,1,SRC-HCDN-STARS-003,measure parser,3,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0199,data_product,required,5,2,SRC-HCDN-CONT-004,contract parser,4,21,retired/active collision,value mismatch,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0200,kpi,required,1,1,SRC-HCDN-INT-005,interface parser,5,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0201,contract,required,2,1,SRC-HCDN-DATA-006,proposal parser,6,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0202,relationship,required,3,2,SRC-HCDN-SLA-007,cmdb parser,7,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0203,program,required,4,1,SRC-HCDN-PROP-008,SQL parser,8,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0204,risk_control,required,5,1,SRC-HCDN-APP-009,measure parser,9,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0205,application,optional,1,2,SRC-HCDN-SQL-010,contract parser,10,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0206,data_product,required,2,1,SRC-HCDN-STARS-011,interface parser,11,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0207,kpi,required,3,1,SRC-HCDN-CONT-012,proposal parser,12,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0208,contract,required,4,2,SRC-HCDN-INT-013,cmdb parser,1,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0209,relationship,required,5,1,SRC-HCDN-DATA-014,SQL parser,2,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0210,program,required,1,1,SRC-HCDN-SLA-015,measure parser,3,12,duplicate native ID,conflicting KPI definition,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0211,risk_control,required,2,2,SRC-HCDN-PROP-016,contract parser,4,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0212,application,optional,3,1,SRC-HCDN-APP-017,interface parser,5,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0213,data_product,required,4,1,SRC-HCDN-SQL-018,proposal parser,6,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0214,kpi,required,5,2,SRC-HCDN-STARS-019,cmdb parser,7,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0215,contract,required,1,1,SRC-HCDN-CONT-020,SQL parser,8,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0216,relationship,required,2,1,SRC-HCDN-INT-021,measure parser,9,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0217,program,required,3,2,SRC-HCDN-DATA-022,contract parser,10,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0218,risk_control,required,4,1,SRC-HCDN-SLA-023,interface parser,11,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0219,application,optional,5,1,SRC-HCDN-PROP-024,proposal parser,12,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0220,data_product,required,1,2,SRC-HCDN-APP-025,cmdb parser,1,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0221,kpi,required,2,1,SRC-HCDN-SQL-026,SQL parser,2,3,ambiguous owner,conflicting owner,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0222,contract,required,3,1,SRC-HCDN-STARS-027,measure parser,3,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0223,relationship,required,4,2,SRC-HCDN-CONT-028,contract parser,4,5,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0224,program,required,5,1,SRC-HCDN-INT-029,interface parser,5,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0225,risk_control,required,1,1,SRC-HCDN-DATA-030,proposal parser,6,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0226,application,optional,2,2,SRC-HCDN-SLA-031,cmdb parser,7,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0227,data_product,required,3,1,SRC-HCDN-PROP-032,SQL parser,8,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0228,kpi,required,4,1,SRC-HCDN-APP-033,measure parser,9,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0229,contract,required,5,2,SRC-HCDN-SQL-034,contract parser,10,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0230,relationship,required,1,1,SRC-HCDN-STARS-035,interface parser,11,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0231,program,required,2,1,SRC-HCDN-CONT-036,proposal parser,12,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0232,risk_control,required,3,2,SRC-HCDN-INT-037,cmdb parser,1,14,none,none,true,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0233,application,optional,4,1,SRC-HCDN-DATA-038,SQL parser,2,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0234,data_product,required,5,1,SRC-HCDN-SLA-039,measure parser,3,16,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0235,kpi,required,1,2,SRC-HCDN-PROP-040,contract parser,4,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0236,contract,required,2,1,SRC-HCDN-APP-041,interface parser,5,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0237,relationship,required,3,1,SRC-HCDN-SQL-042,proposal parser,6,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0238,program,required,4,2,SRC-HCDN-STARS-043,cmdb parser,7,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0239,risk_control,required,5,1,SRC-HCDN-CONT-044,SQL parser,8,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0240,application,optional,1,1,SRC-HCDN-INT-045,measure parser,9,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0241,data_product,required,2,2,SRC-HCDN-DATA-046,contract parser,10,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0242,kpi,required,3,1,SRC-HCDN-SLA-047,interface parser,11,4,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0243,contract,required,4,1,SRC-HCDN-PROP-048,proposal parser,12,5,retired/active collision,value mismatch,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0244,relationship,required,5,2,SRC-HCDN-APP-049,cmdb parser,1,6,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0245,program,required,1,1,SRC-HCDN-SQL-050,SQL parser,2,7,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0246,risk_control,required,2,1,SRC-HCDN-STARS-051,measure parser,3,8,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0247,application,optional,3,2,SRC-HCDN-CONT-052,contract parser,4,9,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0248,data_product,required,4,1,SRC-HCDN-INT-053,interface parser,5,10,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0249,kpi,required,5,1,SRC-HCDN-DATA-054,proposal parser,6,11,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0250,contract,required,1,2,SRC-HCDN-SLA-055,cmdb parser,7,12,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0251,relationship,required,2,1,SRC-HCDN-PROP-056,SQL parser,8,13,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0252,program,required,3,1,SRC-HCDN-APP-057,measure parser,9,14,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0253,risk_control,required,4,2,SRC-HCDN-SQL-058,contract parser,10,15,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0254,application,optional,5,1,SRC-HCDN-STARS-059,interface parser,11,16,duplicate native ID,conflicting KPI definition,false,false,visible evidence exists but ownership/source conflict blocks publication
TRUTH-HCDN-0255,data_product,required,1,1,SRC-HCDN-CONT-060,proposal parser,12,17,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0256,kpi,required,2,2,SRC-HCDN-INT-061,cmdb parser,1,18,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0257,contract,required,3,1,SRC-HCDN-DATA-062,SQL parser,2,19,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0258,relationship,required,4,1,SRC-HCDN-SLA-063,measure parser,3,20,duplicate native ID,conflicting KPI definition,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0259,program,required,5,2,SRC-HCDN-PROP-064,contract parser,4,21,retired/active collision,value mismatch,false,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0260,risk_control,required,1,1,SRC-HCDN-APP-065,interface parser,5,2,none,none,true,true,reconstructable with available parser-visible evidence
TRUTH-HCDN-0261,application,optional,2,1,SRC-HCDN-SQL-066,proposal parser,6,3,ambiguous owner,conflicting owner,false,true,reconstructable with available parser-visible evidence
