score_id,proposal_id,lot_id,bidder,criterion,score,evidence_fact_id,moderation_state
SCORE-HCDN-LOT-HCDN-01-B-0011,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,clinical continuity,4,FACT-HCDN-LOT-HCDN-01-B-05,evidence weak
SCORE-HCDN-LOT-HCDN-01-B-0012,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,payer operations depth,5,FACT-HCDN-LOT-HCDN-01-B-06,conflict
SCORE-HCDN-LOT-HCDN-01-B-0013,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-01-B-01,accepted
SCORE-HCDN-LOT-HCDN-01-B-0014,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,data modernization credibility,3,FACT-HCDN-LOT-HCDN-01-B-02,moderation needed
SCORE-HCDN-LOT-HCDN-01-B-0015,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,Azure current-state support,4,FACT-HCDN-LOT-HCDN-01-B-03,evidence weak
SCORE-HCDN-LOT-HCDN-01-B-0016,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-01-B-04,conflict
SCORE-HCDN-LOT-HCDN-01-B-0017,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,commercial transparency,2,FACT-HCDN-LOT-HCDN-01-B-05,accepted
SCORE-HCDN-LOT-HCDN-01-B-0018,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,transition risk,3,FACT-HCDN-LOT-HCDN-01-B-06,moderation needed
SCORE-HCDN-LOT-HCDN-01-B-0019,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,PHI/security controls,4,FACT-HCDN-LOT-HCDN-01-B-01,evidence weak
SCORE-HCDN-LOT-HCDN-01-B-0020,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,B,value commitment evidence,5,FACT-HCDN-LOT-HCDN-01-B-02,conflict
SCORE-HCDN-LOT-HCDN-01-C-0021,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,clinical continuity,2,FACT-HCDN-LOT-HCDN-01-C-03,accepted
SCORE-HCDN-LOT-HCDN-01-C-0022,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,payer operations depth,3,FACT-HCDN-LOT-HCDN-01-C-04,moderation needed
SCORE-HCDN-LOT-HCDN-01-C-0023,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-01-C-05,evidence weak
SCORE-HCDN-LOT-HCDN-01-C-0024,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,data modernization credibility,5,FACT-HCDN-LOT-HCDN-01-C-06,conflict
SCORE-HCDN-LOT-HCDN-01-C-0025,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,Azure current-state support,2,FACT-HCDN-LOT-HCDN-01-C-01,accepted
SCORE-HCDN-LOT-HCDN-01-C-0026,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-01-C-02,moderation needed
SCORE-HCDN-LOT-HCDN-01-C-0027,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,commercial transparency,4,FACT-HCDN-LOT-HCDN-01-C-03,evidence weak
SCORE-HCDN-LOT-HCDN-01-C-0028,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,transition risk,5,FACT-HCDN-LOT-HCDN-01-C-04,conflict
SCORE-HCDN-LOT-HCDN-01-C-0029,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,PHI/security controls,2,FACT-HCDN-LOT-HCDN-01-C-05,accepted
SCORE-HCDN-LOT-HCDN-01-C-0030,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,C,value commitment evidence,3,FACT-HCDN-LOT-HCDN-01-C-06,moderation needed
SCORE-HCDN-LOT-HCDN-02-A-0031,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,clinical continuity,4,FACT-HCDN-LOT-HCDN-02-A-01,evidence weak
SCORE-HCDN-LOT-HCDN-02-A-0032,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,payer operations depth,5,FACT-HCDN-LOT-HCDN-02-A-02,conflict
SCORE-HCDN-LOT-HCDN-02-A-0033,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-02-A-03,accepted
SCORE-HCDN-LOT-HCDN-02-A-0034,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,data modernization credibility,3,FACT-HCDN-LOT-HCDN-02-A-04,moderation needed
SCORE-HCDN-LOT-HCDN-02-A-0035,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,Azure current-state support,4,FACT-HCDN-LOT-HCDN-02-A-05,evidence weak
SCORE-HCDN-LOT-HCDN-02-A-0036,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-02-A-06,conflict
SCORE-HCDN-LOT-HCDN-02-A-0037,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,commercial transparency,2,FACT-HCDN-LOT-HCDN-02-A-01,accepted
SCORE-HCDN-LOT-HCDN-02-A-0038,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,transition risk,3,FACT-HCDN-LOT-HCDN-02-A-02,moderation needed
SCORE-HCDN-LOT-HCDN-02-A-0039,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,PHI/security controls,4,FACT-HCDN-LOT-HCDN-02-A-03,evidence weak
SCORE-HCDN-LOT-HCDN-02-A-0040,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,value commitment evidence,5,FACT-HCDN-LOT-HCDN-02-A-04,conflict
SCORE-HCDN-LOT-HCDN-02-B-0041,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,clinical continuity,2,FACT-HCDN-LOT-HCDN-02-B-05,accepted
SCORE-HCDN-LOT-HCDN-02-B-0042,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,payer operations depth,3,FACT-HCDN-LOT-HCDN-02-B-06,moderation needed
SCORE-HCDN-LOT-HCDN-02-B-0043,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-02-B-01,evidence weak
SCORE-HCDN-LOT-HCDN-02-B-0044,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,data modernization credibility,5,FACT-HCDN-LOT-HCDN-02-B-02,conflict
SCORE-HCDN-LOT-HCDN-02-B-0045,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,Azure current-state support,2,FACT-HCDN-LOT-HCDN-02-B-03,accepted
SCORE-HCDN-LOT-HCDN-02-B-0046,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-02-B-04,moderation needed
SCORE-HCDN-LOT-HCDN-02-B-0047,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,commercial transparency,4,FACT-HCDN-LOT-HCDN-02-B-05,evidence weak
SCORE-HCDN-LOT-HCDN-02-B-0048,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,transition risk,5,FACT-HCDN-LOT-HCDN-02-B-06,conflict
SCORE-HCDN-LOT-HCDN-02-B-0049,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,PHI/security controls,2,FACT-HCDN-LOT-HCDN-02-B-01,accepted
SCORE-HCDN-LOT-HCDN-02-B-0050,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,value commitment evidence,3,FACT-HCDN-LOT-HCDN-02-B-02,moderation needed
SCORE-HCDN-LOT-HCDN-02-C-0051,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,clinical continuity,4,FACT-HCDN-LOT-HCDN-02-C-03,evidence weak
SCORE-HCDN-LOT-HCDN-02-C-0052,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,payer operations depth,5,FACT-HCDN-LOT-HCDN-02-C-04,conflict
SCORE-HCDN-LOT-HCDN-02-C-0053,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-02-C-05,accepted
SCORE-HCDN-LOT-HCDN-02-C-0054,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,data modernization credibility,3,FACT-HCDN-LOT-HCDN-02-C-06,moderation needed
SCORE-HCDN-LOT-HCDN-02-C-0055,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,Azure current-state support,4,FACT-HCDN-LOT-HCDN-02-C-01,evidence weak
SCORE-HCDN-LOT-HCDN-02-C-0056,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-02-C-02,conflict
SCORE-HCDN-LOT-HCDN-02-C-0057,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,commercial transparency,2,FACT-HCDN-LOT-HCDN-02-C-03,accepted
SCORE-HCDN-LOT-HCDN-02-C-0058,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,transition risk,3,FACT-HCDN-LOT-HCDN-02-C-04,moderation needed
SCORE-HCDN-LOT-HCDN-02-C-0059,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,PHI/security controls,4,FACT-HCDN-LOT-HCDN-02-C-05,evidence weak
SCORE-HCDN-LOT-HCDN-02-C-0060,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,value commitment evidence,5,FACT-HCDN-LOT-HCDN-02-C-06,conflict
SCORE-HCDN-LOT-HCDN-03-A-0061,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,clinical continuity,2,FACT-HCDN-LOT-HCDN-03-A-01,accepted
SCORE-HCDN-LOT-HCDN-03-A-0062,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,payer operations depth,3,FACT-HCDN-LOT-HCDN-03-A-02,moderation needed
SCORE-HCDN-LOT-HCDN-03-A-0063,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-03-A-03,evidence weak
SCORE-HCDN-LOT-HCDN-03-A-0064,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,data modernization credibility,5,FACT-HCDN-LOT-HCDN-03-A-04,conflict
SCORE-HCDN-LOT-HCDN-03-A-0065,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,Azure current-state support,2,FACT-HCDN-LOT-HCDN-03-A-05,accepted
SCORE-HCDN-LOT-HCDN-03-A-0066,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-03-A-06,moderation needed
SCORE-HCDN-LOT-HCDN-03-A-0067,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,commercial transparency,4,FACT-HCDN-LOT-HCDN-03-A-01,evidence weak
SCORE-HCDN-LOT-HCDN-03-A-0068,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,transition risk,5,FACT-HCDN-LOT-HCDN-03-A-02,conflict
SCORE-HCDN-LOT-HCDN-03-A-0069,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,PHI/security controls,2,FACT-HCDN-LOT-HCDN-03-A-03,accepted
SCORE-HCDN-LOT-HCDN-03-A-0070,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,value commitment evidence,3,FACT-HCDN-LOT-HCDN-03-A-04,moderation needed
SCORE-HCDN-LOT-HCDN-03-B-0071,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,clinical continuity,4,FACT-HCDN-LOT-HCDN-03-B-05,evidence weak
SCORE-HCDN-LOT-HCDN-03-B-0072,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,payer operations depth,5,FACT-HCDN-LOT-HCDN-03-B-06,conflict
SCORE-HCDN-LOT-HCDN-03-B-0073,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-03-B-01,accepted
SCORE-HCDN-LOT-HCDN-03-B-0074,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,data modernization credibility,3,FACT-HCDN-LOT-HCDN-03-B-02,moderation needed
SCORE-HCDN-LOT-HCDN-03-B-0075,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,Azure current-state support,4,FACT-HCDN-LOT-HCDN-03-B-03,evidence weak
SCORE-HCDN-LOT-HCDN-03-B-0076,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-03-B-04,conflict
SCORE-HCDN-LOT-HCDN-03-B-0077,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,commercial transparency,2,FACT-HCDN-LOT-HCDN-03-B-05,accepted
SCORE-HCDN-LOT-HCDN-03-B-0078,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,transition risk,3,FACT-HCDN-LOT-HCDN-03-B-06,moderation needed
SCORE-HCDN-LOT-HCDN-03-B-0079,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,PHI/security controls,4,FACT-HCDN-LOT-HCDN-03-B-01,evidence weak
SCORE-HCDN-LOT-HCDN-03-B-0080,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,value commitment evidence,5,FACT-HCDN-LOT-HCDN-03-B-02,conflict
SCORE-HCDN-LOT-HCDN-03-C-0081,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,clinical continuity,2,FACT-HCDN-LOT-HCDN-03-C-03,accepted
SCORE-HCDN-LOT-HCDN-03-C-0082,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,payer operations depth,3,FACT-HCDN-LOT-HCDN-03-C-04,moderation needed
SCORE-HCDN-LOT-HCDN-03-C-0083,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-03-C-05,evidence weak
SCORE-HCDN-LOT-HCDN-03-C-0084,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,data modernization credibility,5,FACT-HCDN-LOT-HCDN-03-C-06,conflict
SCORE-HCDN-LOT-HCDN-03-C-0085,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,Azure current-state support,2,FACT-HCDN-LOT-HCDN-03-C-01,accepted
SCORE-HCDN-LOT-HCDN-03-C-0086,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-03-C-02,moderation needed
SCORE-HCDN-LOT-HCDN-03-C-0087,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,commercial transparency,4,FACT-HCDN-LOT-HCDN-03-C-03,evidence weak
SCORE-HCDN-LOT-HCDN-03-C-0088,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,transition risk,5,FACT-HCDN-LOT-HCDN-03-C-04,conflict
SCORE-HCDN-LOT-HCDN-03-C-0089,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,PHI/security controls,2,FACT-HCDN-LOT-HCDN-03-C-05,accepted
SCORE-HCDN-LOT-HCDN-03-C-0090,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,value commitment evidence,3,FACT-HCDN-LOT-HCDN-03-C-06,moderation needed
SCORE-HCDN-LOT-HCDN-04-A-0091,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,clinical continuity,4,FACT-HCDN-LOT-HCDN-04-A-01,evidence weak
SCORE-HCDN-LOT-HCDN-04-A-0092,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,payer operations depth,5,FACT-HCDN-LOT-HCDN-04-A-02,conflict
SCORE-HCDN-LOT-HCDN-04-A-0093,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-04-A-03,accepted
SCORE-HCDN-LOT-HCDN-04-A-0094,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,data modernization credibility,3,FACT-HCDN-LOT-HCDN-04-A-04,moderation needed
SCORE-HCDN-LOT-HCDN-04-A-0095,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,Azure current-state support,4,FACT-HCDN-LOT-HCDN-04-A-05,evidence weak
SCORE-HCDN-LOT-HCDN-04-A-0096,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-04-A-06,conflict
SCORE-HCDN-LOT-HCDN-04-A-0097,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,commercial transparency,2,FACT-HCDN-LOT-HCDN-04-A-01,accepted
SCORE-HCDN-LOT-HCDN-04-A-0098,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,transition risk,3,FACT-HCDN-LOT-HCDN-04-A-02,moderation needed
SCORE-HCDN-LOT-HCDN-04-A-0099,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,PHI/security controls,4,FACT-HCDN-LOT-HCDN-04-A-03,evidence weak
SCORE-HCDN-LOT-HCDN-04-A-0100,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,value commitment evidence,5,FACT-HCDN-LOT-HCDN-04-A-04,conflict
SCORE-HCDN-LOT-HCDN-04-B-0101,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,clinical continuity,2,FACT-HCDN-LOT-HCDN-04-B-05,accepted
SCORE-HCDN-LOT-HCDN-04-B-0102,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,payer operations depth,3,FACT-HCDN-LOT-HCDN-04-B-06,moderation needed
SCORE-HCDN-LOT-HCDN-04-B-0103,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-04-B-01,evidence weak
SCORE-HCDN-LOT-HCDN-04-B-0104,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,data modernization credibility,5,FACT-HCDN-LOT-HCDN-04-B-02,conflict
SCORE-HCDN-LOT-HCDN-04-B-0105,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,Azure current-state support,2,FACT-HCDN-LOT-HCDN-04-B-03,accepted
SCORE-HCDN-LOT-HCDN-04-B-0106,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-04-B-04,moderation needed
SCORE-HCDN-LOT-HCDN-04-B-0107,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,commercial transparency,4,FACT-HCDN-LOT-HCDN-04-B-05,evidence weak
SCORE-HCDN-LOT-HCDN-04-B-0108,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,transition risk,5,FACT-HCDN-LOT-HCDN-04-B-06,conflict
SCORE-HCDN-LOT-HCDN-04-B-0109,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,PHI/security controls,2,FACT-HCDN-LOT-HCDN-04-B-01,accepted
SCORE-HCDN-LOT-HCDN-04-B-0110,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,value commitment evidence,3,FACT-HCDN-LOT-HCDN-04-B-02,moderation needed
SCORE-HCDN-LOT-HCDN-04-C-0111,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,clinical continuity,4,FACT-HCDN-LOT-HCDN-04-C-03,evidence weak
SCORE-HCDN-LOT-HCDN-04-C-0112,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,payer operations depth,5,FACT-HCDN-LOT-HCDN-04-C-04,conflict
SCORE-HCDN-LOT-HCDN-04-C-0113,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-04-C-05,accepted
SCORE-HCDN-LOT-HCDN-04-C-0114,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,data modernization credibility,3,FACT-HCDN-LOT-HCDN-04-C-06,moderation needed
SCORE-HCDN-LOT-HCDN-04-C-0115,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,Azure current-state support,4,FACT-HCDN-LOT-HCDN-04-C-01,evidence weak
SCORE-HCDN-LOT-HCDN-04-C-0116,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-04-C-02,conflict
SCORE-HCDN-LOT-HCDN-04-C-0117,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,commercial transparency,2,FACT-HCDN-LOT-HCDN-04-C-03,accepted
SCORE-HCDN-LOT-HCDN-04-C-0118,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,transition risk,3,FACT-HCDN-LOT-HCDN-04-C-04,moderation needed
SCORE-HCDN-LOT-HCDN-04-C-0119,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,PHI/security controls,4,FACT-HCDN-LOT-HCDN-04-C-05,evidence weak
SCORE-HCDN-LOT-HCDN-04-C-0120,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,value commitment evidence,5,FACT-HCDN-LOT-HCDN-04-C-06,conflict
SCORE-HCDN-LOT-HCDN-05-A-0121,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,clinical continuity,2,FACT-HCDN-LOT-HCDN-05-A-01,accepted
SCORE-HCDN-LOT-HCDN-05-A-0122,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,payer operations depth,3,FACT-HCDN-LOT-HCDN-05-A-02,moderation needed
SCORE-HCDN-LOT-HCDN-05-A-0123,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,Stars/quality evidence,4,FACT-HCDN-LOT-HCDN-05-A-03,evidence weak
SCORE-HCDN-LOT-HCDN-05-A-0124,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,data modernization credibility,5,FACT-HCDN-LOT-HCDN-05-A-04,conflict
SCORE-HCDN-LOT-HCDN-05-A-0125,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,Azure current-state support,2,FACT-HCDN-LOT-HCDN-05-A-05,accepted
SCORE-HCDN-LOT-HCDN-05-A-0126,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,AWS transformation roadmap,3,FACT-HCDN-LOT-HCDN-05-A-06,moderation needed
SCORE-HCDN-LOT-HCDN-05-A-0127,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,commercial transparency,4,FACT-HCDN-LOT-HCDN-05-A-01,evidence weak
SCORE-HCDN-LOT-HCDN-05-A-0128,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,transition risk,5,FACT-HCDN-LOT-HCDN-05-A-02,conflict
SCORE-HCDN-LOT-HCDN-05-A-0129,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,PHI/security controls,2,FACT-HCDN-LOT-HCDN-05-A-03,accepted
SCORE-HCDN-LOT-HCDN-05-A-0130,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,value commitment evidence,3,FACT-HCDN-LOT-HCDN-05-A-04,moderation needed
SCORE-HCDN-LOT-HCDN-05-B-0131,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,clinical continuity,4,FACT-HCDN-LOT-HCDN-05-B-05,evidence weak
SCORE-HCDN-LOT-HCDN-05-B-0132,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,payer operations depth,5,FACT-HCDN-LOT-HCDN-05-B-06,conflict
SCORE-HCDN-LOT-HCDN-05-B-0133,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,Stars/quality evidence,2,FACT-HCDN-LOT-HCDN-05-B-01,accepted
SCORE-HCDN-LOT-HCDN-05-B-0134,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,data modernization credibility,3,FACT-HCDN-LOT-HCDN-05-B-02,moderation needed
SCORE-HCDN-LOT-HCDN-05-B-0135,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,Azure current-state support,4,FACT-HCDN-LOT-HCDN-05-B-03,evidence weak
SCORE-HCDN-LOT-HCDN-05-B-0136,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,AWS transformation roadmap,5,FACT-HCDN-LOT-HCDN-05-B-04,conflict
SCORE-HCDN-LOT-HCDN-05-B-0137,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,commercial transparency,2,FACT-HCDN-LOT-HCDN-05-B-05,accepted
SCORE-HCDN-LOT-HCDN-05-B-0138,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,transition risk,3,FACT-HCDN-LOT-HCDN-05-B-06,moderation needed
SCORE-HCDN-LOT-HCDN-05-B-0139,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,PHI/security controls,4,FACT-HCDN-LOT-HCDN-05-B-01,evidence weak
