proposal_id,lot_id,service_tower,bidder,solution_model,strength,risk_or_exception,pricing_ref,bafo_ref,evaluation_ref
PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-06,BAFO-HCDN-B-LOT-HCDN-06,EVAL-HCDN-LOT-HCDN-06
PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-06,BAFO-HCDN-C-LOT-HCDN-06,EVAL-HCDN-LOT-HCDN-06
PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-07,BAFO-HCDN-A-LOT-HCDN-07,EVAL-HCDN-LOT-HCDN-07
PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-07,BAFO-HCDN-B-LOT-HCDN-07,EVAL-HCDN-LOT-HCDN-07
PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-07,BAFO-HCDN-C-LOT-HCDN-07,EVAL-HCDN-LOT-HCDN-07
PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-08,BAFO-HCDN-A-LOT-HCDN-08,EVAL-HCDN-LOT-HCDN-08
PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-08,BAFO-HCDN-B-LOT-HCDN-08,EVAL-HCDN-LOT-HCDN-08
PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-08,BAFO-HCDN-C-LOT-HCDN-08,EVAL-HCDN-LOT-HCDN-08
PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,Bidder A,continuity-led Epic/on-prem transition,lower disruption,slower AI transformation,PRICE-HCDN-A-LOT-HCDN-09,BAFO-HCDN-A-LOT-HCDN-09,EVAL-HCDN-LOT-HCDN-09
PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,Bidder B,automation-led Azure current-state optimization plus AWS roadmap,highest modernization ambition,higher transition and data-foundation dependency,PRICE-HCDN-B-LOT-HCDN-09,BAFO-HCDN-B-LOT-HCDN-09,EVAL-HCDN-LOT-HCDN-09
PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,ERP and Corporate Platforms,Bidder C,hybrid provider/payer operating model with selective AWS transformation,balanced risk/value,needs strong governance,PRICE-HCDN-C-LOT-HCDN-09,BAFO-HCDN-C-LOT-HCDN-09,EVAL-HCDN-LOT-HCDN-09
