exception_id,proposal_id,lot_id,bidder,exception,review_path,source_id
EXC-HCDN-LOT-HCDN-02-A-01,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-02-A-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-02-A-03,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-02-A-04,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-02-A-05,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-02-B-01,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-02-B-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-02-B-03,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-02-B-04,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-02-B-05,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-02-C-01,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-02-C-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-02-C-03,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-02-C-04,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-02-C-05,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-03-A-01,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-03-A-02,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-03-A-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-03-A-04,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-03-A-05,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-03-B-01,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-03-B-02,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-03-B-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-03-B-04,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-03-B-05,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-03-C-01,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-03-C-02,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-03-C-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-03-C-04,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-03-C-05,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-04-A-01,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-04-A-02,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-04-A-03,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-04-A-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-04-A-05,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-04-B-01,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-04-B-02,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-04-B-03,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-04-B-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-04-B-05,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-04-C-01,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-04-C-02,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-04-C-03,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-04-C-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-04-C-05,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-05-A-01,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-05-A-02,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-05-A-03,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-05-A-04,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-05-A-05,PROP-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-05-B-01,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-05-B-02,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-05-B-03,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-05-B-04,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-05-B-05,PROP-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-05-C-01,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-05-C-02,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-05-C-03,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-05-C-04,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-05-C-05,PROP-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-06-A-01,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-06-A-02,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-06-A-03,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-06-A-04,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-06-A-05,PROP-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-06-B-01,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-06-B-02,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-06-B-03,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-06-B-04,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-06-B-05,PROP-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-06-C-01,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-06-C-02,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-06-C-03,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-06-C-04,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-06-C-05,PROP-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-07-A-01,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-07-A-02,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-07-A-03,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-07-A-04,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-07-A-05,PROP-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-07-B-01,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-07-B-02,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-07-B-03,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-07-B-04,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-07-B-05,PROP-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-07-C-01,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-07-C-02,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-07-C-03,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-07-C-04,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-07-C-05,PROP-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-08-A-01,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-08-A-02,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-08-A-03,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-08-A-04,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-08-A-05,PROP-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-08-B-01,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-08-B-02,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-08-B-03,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-08-B-04,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-08-B-05,PROP-HCDN-B-LOT-HCDN-08,LOT-HCDN-08,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-08-C-01,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-08-C-02,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-08-C-03,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-08-C-04,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-08-C-05,PROP-HCDN-C-LOT-HCDN-08,LOT-HCDN-08,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-09-A-01,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,limited SLA credit,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-09-A-02,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,extra transition fee,security review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-09-A-03,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,PHI access dependency,executive decision,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-09-A-04,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,cloud tooling carve-out,legal review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-09-A-05,PROP-HCDN-A-LOT-HCDN-09,LOT-HCDN-09,A,excluded legacy remediation,commercial review,SRC-HCDN-PROP-A
EXC-HCDN-LOT-HCDN-09-B-01,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,limited SLA credit,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-09-B-02,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,extra transition fee,security review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-09-B-03,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,PHI access dependency,executive decision,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-09-B-04,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,cloud tooling carve-out,legal review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-09-B-05,PROP-HCDN-B-LOT-HCDN-09,LOT-HCDN-09,B,excluded legacy remediation,commercial review,SRC-HCDN-PROP-B
EXC-HCDN-LOT-HCDN-09-C-01,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,limited SLA credit,commercial review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-09-C-02,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,extra transition fee,security review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-09-C-03,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,PHI access dependency,executive decision,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-09-C-04,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,cloud tooling carve-out,legal review,SRC-HCDN-PROP-C
EXC-HCDN-LOT-HCDN-09-C-05,PROP-HCDN-C-LOT-HCDN-09,LOT-HCDN-09,C,excluded legacy remediation,commercial review,SRC-HCDN-PROP-C
