change_order_id,lot_id,service_tower,contract_id,change_type,status,source_id
CO-HCDN-LOT-HCDN-05-005,LOT-HCDN-05,Cloud Infrastructure and Data Center,CONT-HCDN-0066,scope expansion,pending,SRC-HCDN-CO-005
CO-HCDN-LOT-HCDN-05-006,LOT-HCDN-05,Cloud Infrastructure and Data Center,CONT-HCDN-0079,urgent remediation,disputed,SRC-HCDN-CO-006
CO-HCDN-LOT-HCDN-05-007,LOT-HCDN-05,Cloud Infrastructure and Data Center,CONT-HCDN-0092,cloud migration,needs evidence,SRC-HCDN-CO-007
CO-HCDN-LOT-HCDN-05-008,LOT-HCDN-05,Cloud Infrastructure and Data Center,CONT-HCDN-0105,interface remediation,approved,SRC-HCDN-CO-008
CO-HCDN-LOT-HCDN-05-009,LOT-HCDN-05,Cloud Infrastructure and Data Center,CONT-HCDN-0118,Epic upgrade support,pending,SRC-HCDN-CO-009
CO-HCDN-LOT-HCDN-05-010,LOT-HCDN-05,Cloud Infrastructure and Data Center,CONT-HCDN-0131,scope expansion,disputed,SRC-HCDN-CO-010
CO-HCDN-LOT-HCDN-06-001,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0014,urgent remediation,pending,SRC-HCDN-CO-001
CO-HCDN-LOT-HCDN-06-002,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0027,cloud migration,disputed,SRC-HCDN-CO-002
CO-HCDN-LOT-HCDN-06-003,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0040,interface remediation,needs evidence,SRC-HCDN-CO-003
CO-HCDN-LOT-HCDN-06-004,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0053,Epic upgrade support,approved,SRC-HCDN-CO-004
CO-HCDN-LOT-HCDN-06-005,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0066,scope expansion,pending,SRC-HCDN-CO-005
CO-HCDN-LOT-HCDN-06-006,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0079,urgent remediation,disputed,SRC-HCDN-CO-006
CO-HCDN-LOT-HCDN-06-007,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0092,cloud migration,needs evidence,SRC-HCDN-CO-007
CO-HCDN-LOT-HCDN-06-008,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0105,interface remediation,approved,SRC-HCDN-CO-008
CO-HCDN-LOT-HCDN-06-009,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0118,Epic upgrade support,pending,SRC-HCDN-CO-009
CO-HCDN-LOT-HCDN-06-010,LOT-HCDN-06,Workplace and Contact Center,CONT-HCDN-0131,scope expansion,disputed,SRC-HCDN-CO-010
CO-HCDN-LOT-HCDN-07-001,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0014,urgent remediation,pending,SRC-HCDN-CO-001
CO-HCDN-LOT-HCDN-07-002,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0027,cloud migration,disputed,SRC-HCDN-CO-002
CO-HCDN-LOT-HCDN-07-003,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0040,interface remediation,needs evidence,SRC-HCDN-CO-003
CO-HCDN-LOT-HCDN-07-004,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0053,Epic upgrade support,approved,SRC-HCDN-CO-004
CO-HCDN-LOT-HCDN-07-005,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0066,scope expansion,pending,SRC-HCDN-CO-005
CO-HCDN-LOT-HCDN-07-006,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0079,urgent remediation,disputed,SRC-HCDN-CO-006
CO-HCDN-LOT-HCDN-07-007,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0092,cloud migration,needs evidence,SRC-HCDN-CO-007
CO-HCDN-LOT-HCDN-07-008,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0105,interface remediation,approved,SRC-HCDN-CO-008
CO-HCDN-LOT-HCDN-07-009,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0118,Epic upgrade support,pending,SRC-HCDN-CO-009
CO-HCDN-LOT-HCDN-07-010,LOT-HCDN-07,Security Identity and Compliance,CONT-HCDN-0131,scope expansion,disputed,SRC-HCDN-CO-010
CO-HCDN-LOT-HCDN-08-001,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0014,urgent remediation,pending,SRC-HCDN-CO-001
CO-HCDN-LOT-HCDN-08-002,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0027,cloud migration,disputed,SRC-HCDN-CO-002
CO-HCDN-LOT-HCDN-08-003,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0040,interface remediation,needs evidence,SRC-HCDN-CO-003
CO-HCDN-LOT-HCDN-08-004,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0053,Epic upgrade support,approved,SRC-HCDN-CO-004
CO-HCDN-LOT-HCDN-08-005,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0066,scope expansion,pending,SRC-HCDN-CO-005
CO-HCDN-LOT-HCDN-08-006,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0079,urgent remediation,disputed,SRC-HCDN-CO-006
CO-HCDN-LOT-HCDN-08-007,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0092,cloud migration,needs evidence,SRC-HCDN-CO-007
CO-HCDN-LOT-HCDN-08-008,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0105,interface remediation,approved,SRC-HCDN-CO-008
CO-HCDN-LOT-HCDN-08-009,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0118,Epic upgrade support,pending,SRC-HCDN-CO-009
CO-HCDN-LOT-HCDN-08-010,LOT-HCDN-08,Integration and Interoperability,CONT-HCDN-0131,scope expansion,disputed,SRC-HCDN-CO-010
CO-HCDN-LOT-HCDN-09-001,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0014,urgent remediation,pending,SRC-HCDN-CO-001
CO-HCDN-LOT-HCDN-09-002,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0027,cloud migration,disputed,SRC-HCDN-CO-002
CO-HCDN-LOT-HCDN-09-003,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0040,interface remediation,needs evidence,SRC-HCDN-CO-003
CO-HCDN-LOT-HCDN-09-004,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0053,Epic upgrade support,approved,SRC-HCDN-CO-004
CO-HCDN-LOT-HCDN-09-005,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0066,scope expansion,pending,SRC-HCDN-CO-005
CO-HCDN-LOT-HCDN-09-006,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0079,urgent remediation,disputed,SRC-HCDN-CO-006
CO-HCDN-LOT-HCDN-09-007,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0092,cloud migration,needs evidence,SRC-HCDN-CO-007
CO-HCDN-LOT-HCDN-09-008,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0105,interface remediation,approved,SRC-HCDN-CO-008
CO-HCDN-LOT-HCDN-09-009,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0118,Epic upgrade support,pending,SRC-HCDN-CO-009
CO-HCDN-LOT-HCDN-09-010,LOT-HCDN-09,ERP and Corporate Platforms,CONT-HCDN-0131,scope expansion,disputed,SRC-HCDN-CO-010
