volume_id,service_tower,business_function,metric,value_disclosure_mode,period,evidence_state,source_id
VOL-HCDN-0033,Security Identity and Compliance,Security,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-034
VOL-HCDN-0034,Integration and Interoperability,Procurement,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-035
VOL-HCDN-0035,ERP and Corporate Platforms,HR,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-036
VOL-HCDN-0036,Clinical and Epic AMS,Supply Chain,incident tickets,exact,monthly,source-backed candidate,SRC-HCDN-VOL-037
VOL-HCDN-0037,Payer Platform Operations,Privacy,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-038
VOL-HCDN-0038,Data Analytics and AI,Compliance,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-039
VOL-HCDN-0039,Revenue Cycle Technology,Provider Network,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-040
VOL-HCDN-0040,Cloud Infrastructure and Data Center,Value-Based Care,member calls,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-041
VOL-HCDN-0041,Workplace and Contact Center,Clinical Operations,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-042
VOL-HCDN-0042,Security Identity and Compliance,Revenue Cycle,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-043
VOL-HCDN-0043,Integration and Interoperability,Patient Access,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-044
VOL-HCDN-0044,ERP and Corporate Platforms,Interoperability,care-gap outreaches,exact,annual,source-backed candidate,SRC-HCDN-VOL-045
VOL-HCDN-0045,Clinical and Epic AMS,Population Health,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-046
VOL-HCDN-0046,Payer Platform Operations,Health Plan Operations,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-047
VOL-HCDN-0047,Data Analytics and AI,Medicare Advantage,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-048
VOL-HCDN-0048,Revenue Cycle Technology,Claims Operations,prior-auth requests,exact,monthly,needs finance signoff,SRC-HCDN-VOL-049
VOL-HCDN-0049,Cloud Infrastructure and Data Center,Utilization Management,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-050
VOL-HCDN-0050,Workplace and Contact Center,Member Services,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-051
VOL-HCDN-0051,Security Identity and Compliance,Quality and Stars,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-052
VOL-HCDN-0052,Integration and Interoperability,Risk Adjustment,BI report executions,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-053
VOL-HCDN-0053,ERP and Corporate Platforms,Care Management,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-054
VOL-HCDN-0054,Clinical and Epic AMS,Finance,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-055
VOL-HCDN-0055,Payer Platform Operations,Coding,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-056
VOL-HCDN-0056,Data Analytics and AI,Payer Contracting,claims transactions,exact,annual,needs finance signoff,SRC-HCDN-VOL-057
VOL-HCDN-0057,Revenue Cycle Technology,Digital Front Door,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-058
VOL-HCDN-0058,Cloud Infrastructure and Data Center,Contact Center,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-059
VOL-HCDN-0059,Workplace and Contact Center,Ambulatory Care,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-060
VOL-HCDN-0060,Security Identity and Compliance,Emergency Department,SQL batch jobs,exact,monthly,source-backed candidate,SRC-HCDN-VOL-061
VOL-HCDN-0061,Integration and Interoperability,Inpatient,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-062
VOL-HCDN-0062,ERP and Corporate Platforms,Surgery,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-063
VOL-HCDN-0063,Clinical and Epic AMS,Imaging,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-064
VOL-HCDN-0064,Payer Platform Operations,Lab,enhancement backlog,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-001
VOL-HCDN-0065,Data Analytics and AI,Pharmacy,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-002
VOL-HCDN-0066,Revenue Cycle Technology,Oncology,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-003
VOL-HCDN-0067,Cloud Infrastructure and Data Center,Cardiology,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-004
VOL-HCDN-0068,Workplace and Contact Center,Data and Analytics,Epic change requests,exact,annual,source-backed candidate,SRC-HCDN-VOL-005
VOL-HCDN-0069,Security Identity and Compliance,Clinical Analytics,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-006
VOL-HCDN-0070,Integration and Interoperability,Actuarial,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-007
VOL-HCDN-0071,ERP and Corporate Platforms,Departmental Reporting,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-008
VOL-HCDN-0072,Clinical and Epic AMS,AI Transformation,incident tickets,exact,monthly,needs finance signoff,SRC-HCDN-VOL-009
VOL-HCDN-0073,Payer Platform Operations,Technology,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-010
VOL-HCDN-0074,Data Analytics and AI,Security,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-011
VOL-HCDN-0075,Revenue Cycle Technology,Procurement,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-012
VOL-HCDN-0076,Cloud Infrastructure and Data Center,HR,member calls,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-013
VOL-HCDN-0077,Workplace and Contact Center,Supply Chain,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-014
VOL-HCDN-0078,Security Identity and Compliance,Privacy,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-015
VOL-HCDN-0079,Integration and Interoperability,Compliance,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-016
VOL-HCDN-0080,ERP and Corporate Platforms,Provider Network,care-gap outreaches,exact,annual,needs finance signoff,SRC-HCDN-VOL-017
VOL-HCDN-0081,Clinical and Epic AMS,Value-Based Care,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-018
VOL-HCDN-0082,Payer Platform Operations,Clinical Operations,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-019
VOL-HCDN-0083,Data Analytics and AI,Revenue Cycle,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-020
VOL-HCDN-0084,Revenue Cycle Technology,Patient Access,prior-auth requests,exact,monthly,source-backed candidate,SRC-HCDN-VOL-021
VOL-HCDN-0085,Cloud Infrastructure and Data Center,Interoperability,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-022
VOL-HCDN-0086,Workplace and Contact Center,Population Health,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-023
VOL-HCDN-0087,Security Identity and Compliance,Health Plan Operations,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-024
VOL-HCDN-0088,Integration and Interoperability,Medicare Advantage,BI report executions,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-025
VOL-HCDN-0089,ERP and Corporate Platforms,Claims Operations,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-026
VOL-HCDN-0090,Clinical and Epic AMS,Utilization Management,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-027
VOL-HCDN-0091,Payer Platform Operations,Member Services,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-028
VOL-HCDN-0092,Data Analytics and AI,Quality and Stars,claims transactions,exact,annual,source-backed candidate,SRC-HCDN-VOL-029
VOL-HCDN-0093,Revenue Cycle Technology,Risk Adjustment,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-030
VOL-HCDN-0094,Cloud Infrastructure and Data Center,Care Management,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-031
VOL-HCDN-0095,Workplace and Contact Center,Finance,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-032
VOL-HCDN-0096,Security Identity and Compliance,Coding,SQL batch jobs,exact,monthly,needs finance signoff,SRC-HCDN-VOL-033
VOL-HCDN-0097,Integration and Interoperability,Payer Contracting,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-034
VOL-HCDN-0098,ERP and Corporate Platforms,Digital Front Door,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-035
VOL-HCDN-0099,Clinical and Epic AMS,Contact Center,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-036
VOL-HCDN-0100,Payer Platform Operations,Ambulatory Care,enhancement backlog,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-037
VOL-HCDN-0101,Data Analytics and AI,Emergency Department,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-038
VOL-HCDN-0102,Revenue Cycle Technology,Inpatient,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-039
VOL-HCDN-0103,Cloud Infrastructure and Data Center,Surgery,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-040
VOL-HCDN-0104,Workplace and Contact Center,Imaging,Epic change requests,exact,annual,needs finance signoff,SRC-HCDN-VOL-041
VOL-HCDN-0105,Security Identity and Compliance,Lab,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-042
VOL-HCDN-0106,Integration and Interoperability,Pharmacy,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-043
VOL-HCDN-0107,ERP and Corporate Platforms,Oncology,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-044
VOL-HCDN-0108,Clinical and Epic AMS,Cardiology,incident tickets,exact,monthly,source-backed candidate,SRC-HCDN-VOL-045
VOL-HCDN-0109,Payer Platform Operations,Data and Analytics,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-046
VOL-HCDN-0110,Data Analytics and AI,Clinical Analytics,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-047
VOL-HCDN-0111,Revenue Cycle Technology,Actuarial,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-048
VOL-HCDN-0112,Cloud Infrastructure and Data Center,Departmental Reporting,member calls,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-049
VOL-HCDN-0113,Workplace and Contact Center,AI Transformation,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-050
VOL-HCDN-0114,Security Identity and Compliance,Technology,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-051
VOL-HCDN-0115,Integration and Interoperability,Security,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-052
VOL-HCDN-0116,ERP and Corporate Platforms,Procurement,care-gap outreaches,exact,annual,source-backed candidate,SRC-HCDN-VOL-053
VOL-HCDN-0117,Clinical and Epic AMS,HR,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-054
VOL-HCDN-0118,Payer Platform Operations,Supply Chain,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-055
VOL-HCDN-0119,Data Analytics and AI,Privacy,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-056
VOL-HCDN-0120,Revenue Cycle Technology,Compliance,prior-auth requests,exact,monthly,needs finance signoff,SRC-HCDN-VOL-057
VOL-HCDN-0121,Cloud Infrastructure and Data Center,Provider Network,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-058
VOL-HCDN-0122,Workplace and Contact Center,Value-Based Care,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-059
VOL-HCDN-0123,Security Identity and Compliance,Clinical Operations,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-060
VOL-HCDN-0124,Integration and Interoperability,Revenue Cycle,BI report executions,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-061
VOL-HCDN-0125,ERP and Corporate Platforms,Patient Access,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-062
VOL-HCDN-0126,Clinical and Epic AMS,Interoperability,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-063
VOL-HCDN-0127,Payer Platform Operations,Population Health,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-064
VOL-HCDN-0128,Data Analytics and AI,Health Plan Operations,claims transactions,exact,annual,needs finance signoff,SRC-HCDN-VOL-001
VOL-HCDN-0129,Revenue Cycle Technology,Medicare Advantage,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-002
VOL-HCDN-0130,Cloud Infrastructure and Data Center,Claims Operations,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-003
VOL-HCDN-0131,Workplace and Contact Center,Utilization Management,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-004
VOL-HCDN-0132,Security Identity and Compliance,Member Services,SQL batch jobs,exact,monthly,source-backed candidate,SRC-HCDN-VOL-005
VOL-HCDN-0133,Integration and Interoperability,Quality and Stars,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-006
VOL-HCDN-0134,ERP and Corporate Platforms,Risk Adjustment,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-007
VOL-HCDN-0135,Clinical and Epic AMS,Care Management,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-008
VOL-HCDN-0136,Payer Platform Operations,Finance,enhancement backlog,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-009
VOL-HCDN-0137,Data Analytics and AI,Coding,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-010
VOL-HCDN-0138,Revenue Cycle Technology,Payer Contracting,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-011
VOL-HCDN-0139,Cloud Infrastructure and Data Center,Digital Front Door,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-012
VOL-HCDN-0140,Workplace and Contact Center,Contact Center,Epic change requests,exact,annual,source-backed candidate,SRC-HCDN-VOL-013
VOL-HCDN-0141,Security Identity and Compliance,Ambulatory Care,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-014
VOL-HCDN-0142,Integration and Interoperability,Emergency Department,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-015
VOL-HCDN-0143,ERP and Corporate Platforms,Inpatient,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-016
VOL-HCDN-0144,Clinical and Epic AMS,Surgery,incident tickets,exact,monthly,needs finance signoff,SRC-HCDN-VOL-017
VOL-HCDN-0145,Payer Platform Operations,Imaging,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-018
VOL-HCDN-0146,Data Analytics and AI,Lab,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-019
VOL-HCDN-0147,Revenue Cycle Technology,Pharmacy,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-020
VOL-HCDN-0148,Cloud Infrastructure and Data Center,Oncology,member calls,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-021
VOL-HCDN-0149,Workplace and Contact Center,Cardiology,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-022
VOL-HCDN-0150,Security Identity and Compliance,Data and Analytics,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-023
VOL-HCDN-0151,Integration and Interoperability,Clinical Analytics,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-024
VOL-HCDN-0152,ERP and Corporate Platforms,Actuarial,care-gap outreaches,exact,annual,needs finance signoff,SRC-HCDN-VOL-025
VOL-HCDN-0153,Clinical and Epic AMS,Departmental Reporting,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-026
VOL-HCDN-0154,Payer Platform Operations,AI Transformation,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-027
VOL-HCDN-0155,Data Analytics and AI,Technology,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-028
VOL-HCDN-0156,Revenue Cycle Technology,Security,prior-auth requests,exact,monthly,source-backed candidate,SRC-HCDN-VOL-029
VOL-HCDN-0157,Cloud Infrastructure and Data Center,Procurement,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-030
VOL-HCDN-0158,Workplace and Contact Center,HR,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-031
VOL-HCDN-0159,Security Identity and Compliance,Supply Chain,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-032
VOL-HCDN-0160,Integration and Interoperability,Privacy,BI report executions,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-033
VOL-HCDN-0161,ERP and Corporate Platforms,Compliance,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-034
VOL-HCDN-0162,Clinical and Epic AMS,Provider Network,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-035
VOL-HCDN-0163,Payer Platform Operations,Value-Based Care,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-036
VOL-HCDN-0164,Data Analytics and AI,Clinical Operations,claims transactions,exact,annual,source-backed candidate,SRC-HCDN-VOL-037
VOL-HCDN-0165,Revenue Cycle Technology,Revenue Cycle,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-038
VOL-HCDN-0166,Cloud Infrastructure and Data Center,Patient Access,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-039
VOL-HCDN-0167,Workplace and Contact Center,Interoperability,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-040
VOL-HCDN-0168,Security Identity and Compliance,Population Health,SQL batch jobs,exact,monthly,needs finance signoff,SRC-HCDN-VOL-041
VOL-HCDN-0169,Integration and Interoperability,Health Plan Operations,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-042
VOL-HCDN-0170,ERP and Corporate Platforms,Medicare Advantage,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-043
VOL-HCDN-0171,Clinical and Epic AMS,Claims Operations,incident tickets,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-044
VOL-HCDN-0172,Payer Platform Operations,Utilization Management,enhancement backlog,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-045
VOL-HCDN-0173,Data Analytics and AI,Member Services,claims transactions,range,annual,source-backed candidate,SRC-HCDN-VOL-046
VOL-HCDN-0174,Revenue Cycle Technology,Quality and Stars,prior-auth requests,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-047
VOL-HCDN-0175,Cloud Infrastructure and Data Center,Risk Adjustment,member calls,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-048
VOL-HCDN-0176,Workplace and Contact Center,Care Management,Epic change requests,exact,annual,needs finance signoff,SRC-HCDN-VOL-049
VOL-HCDN-0177,Security Identity and Compliance,Finance,SQL batch jobs,range,monthly,source-backed candidate,SRC-HCDN-VOL-050
VOL-HCDN-0178,Integration and Interoperability,Coding,BI report executions,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-051
VOL-HCDN-0179,ERP and Corporate Platforms,Payer Contracting,care-gap outreaches,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-052
VOL-HCDN-0180,Clinical and Epic AMS,Digital Front Door,incident tickets,exact,monthly,source-backed candidate,SRC-HCDN-VOL-053
VOL-HCDN-0181,Payer Platform Operations,Contact Center,enhancement backlog,range,quarterly,source-backed candidate,SRC-HCDN-VOL-054
VOL-HCDN-0182,Data Analytics and AI,Ambulatory Care,claims transactions,indexed,annual,source-backed candidate,SRC-HCDN-VOL-055
VOL-HCDN-0183,Revenue Cycle Technology,Emergency Department,prior-auth requests,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-056
VOL-HCDN-0184,Cloud Infrastructure and Data Center,Inpatient,member calls,exact,quarterly,needs finance signoff,SRC-HCDN-VOL-057
VOL-HCDN-0185,Workplace and Contact Center,Surgery,Epic change requests,range,annual,source-backed candidate,SRC-HCDN-VOL-058
VOL-HCDN-0186,Security Identity and Compliance,Imaging,SQL batch jobs,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-059
VOL-HCDN-0187,Integration and Interoperability,Lab,BI report executions,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-060
VOL-HCDN-0188,ERP and Corporate Platforms,Pharmacy,care-gap outreaches,exact,annual,source-backed candidate,SRC-HCDN-VOL-061
VOL-HCDN-0189,Clinical and Epic AMS,Oncology,incident tickets,range,monthly,source-backed candidate,SRC-HCDN-VOL-062
VOL-HCDN-0190,Payer Platform Operations,Cardiology,enhancement backlog,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-063
VOL-HCDN-0191,Data Analytics and AI,Data and Analytics,claims transactions,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-064
VOL-HCDN-0192,Revenue Cycle Technology,Clinical Analytics,prior-auth requests,exact,monthly,needs finance signoff,SRC-HCDN-VOL-001
VOL-HCDN-0193,Cloud Infrastructure and Data Center,Actuarial,member calls,range,quarterly,source-backed candidate,SRC-HCDN-VOL-002
VOL-HCDN-0194,Workplace and Contact Center,Departmental Reporting,Epic change requests,indexed,annual,source-backed candidate,SRC-HCDN-VOL-003
VOL-HCDN-0195,Security Identity and Compliance,AI Transformation,SQL batch jobs,trend-only,monthly,source-backed candidate,SRC-HCDN-VOL-004
VOL-HCDN-0196,Integration and Interoperability,Technology,BI report executions,exact,quarterly,source-backed candidate,SRC-HCDN-VOL-005
VOL-HCDN-0197,ERP and Corporate Platforms,Security,care-gap outreaches,range,annual,source-backed candidate,SRC-HCDN-VOL-006
VOL-HCDN-0198,Clinical and Epic AMS,Procurement,incident tickets,indexed,monthly,source-backed candidate,SRC-HCDN-VOL-007
VOL-HCDN-0199,Payer Platform Operations,HR,enhancement backlog,trend-only,quarterly,source-backed candidate,SRC-HCDN-VOL-008
VOL-HCDN-0200,Data Analytics and AI,Supply Chain,claims transactions,exact,annual,needs finance signoff,SRC-HCDN-VOL-009
VOL-HCDN-0201,Revenue Cycle Technology,Privacy,prior-auth requests,range,monthly,source-backed candidate,SRC-HCDN-VOL-010
VOL-HCDN-0202,Cloud Infrastructure and Data Center,Compliance,member calls,indexed,quarterly,source-backed candidate,SRC-HCDN-VOL-011
VOL-HCDN-0203,Workplace and Contact Center,Provider Network,Epic change requests,trend-only,annual,source-backed candidate,SRC-HCDN-VOL-012
VOL-HCDN-0204,Security Identity and Compliance,Value-Based Care,SQL batch jobs,exact,monthly,source-backed candidate,SRC-HCDN-VOL-013
VOL-HCDN-0205,Integration and Interoperability,Clinical Operations,BI report executions,range,quarterly,source-backed candidate,SRC-HCDN-VOL-014
VOL-HCDN-0206,ERP and Corporate Platforms,Revenue Cycle,care-gap outreaches,indexed,annual,source-backed candidate,SRC-HCDN-VOL-015
