pricing_line_id,proposal_id,lot_id,service_tower,bidder,role_family,delivery_location,level,unit,value_disclosure_mode,evidence_state
PRICE-HCDN-LOT-HCDN-01-B-10,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-11,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-B-12,PROP-HCDN-B-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-01-C-01,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-02,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-03,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-04,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-01-C-05,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-06,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-07,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-08,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-01-C-09,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-10,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-11,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-01-C-12,PROP-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-02-A-01,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-02,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-03,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-04,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-02-A-05,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-06,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-07,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-08,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-02-A-09,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-10,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-11,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-A-12,PROP-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-02-B-01,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-02,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-03,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-04,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-02-B-05,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-06,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-07,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-08,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-02-B-09,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-10,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-11,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-B-12,PROP-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-02-C-01,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-02,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-03,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-04,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-02-C-05,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-06,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-07,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-08,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-02-C-09,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-10,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-11,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-02-C-12,PROP-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-03-A-01,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-02,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-03,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-04,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-03-A-05,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-06,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-07,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-08,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-03-A-09,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-10,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-11,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-A-12,PROP-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-03-B-01,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-02,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-03,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-04,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-03-B-05,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-06,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-07,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-08,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-03-B-09,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-10,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-11,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-B-12,PROP-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-03-C-01,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-02,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-03,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-04,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-03-C-05,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-06,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-07,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,data engineer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-08,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,cloud engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-03-C-09,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,service desk analyst,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-10,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,security engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-11,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,integration engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-03-C-12,PROP-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,C,revenue-cycle analyst,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-04-A-01,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,service desk analyst,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-02,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,security engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-03,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,integration engineer,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-04,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,revenue-cycle analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-04-A-05,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,Epic analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-06,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,SQL/BI engineer,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-07,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,claims ops analyst,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-08,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,UM nurse reviewer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-04-A-09,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,data engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-10,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,cloud engineer,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-11,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,service desk analyst,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-A-12,PROP-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,A,security engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-04-B-01,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,security engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-02,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,integration engineer,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-03,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,revenue-cycle analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-04,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,Epic analyst,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-04-B-05,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,SQL/BI engineer,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-06,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,claims ops analyst,offshore,L2,unit,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-07,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,UM nurse reviewer,hybrid,L3,outcome,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-08,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,data engineer,onsite,lead,hourly,indexed,assumption dependent
PRICE-HCDN-LOT-HCDN-04-B-09,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,cloud engineer,nearshore,architect,monthly,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-10,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,service desk analyst,offshore,L1,unit,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-11,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,security engineer,hybrid,L2,outcome,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-B-12,PROP-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,B,integration engineer,onsite,L3,hourly,exact,assumption dependent
PRICE-HCDN-LOT-HCDN-04-C-01,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,integration engineer,nearshore,L2,monthly,range,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-02,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,revenue-cycle analyst,offshore,L3,unit,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-03,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,Epic analyst,hybrid,lead,outcome,exact,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-04,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,SQL/BI engineer,onsite,architect,hourly,range,assumption dependent
PRICE-HCDN-LOT-HCDN-04-C-05,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,claims ops analyst,nearshore,L1,monthly,indexed,source-backed candidate
PRICE-HCDN-LOT-HCDN-04-C-06,PROP-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,C,UM nurse reviewer,offshore,L2,unit,exact,source-backed candidate
