bafo_response_id,bafo_id,lot_id,service_tower,bafo_question_id,response_status,response_effect,source_id
BAFOR-HCDN-LOT-HCDN-01-C-04,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-01-C-05,BAFO-HCDN-C-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,BAFOQ-HCDN-LOT-HCDN-01-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-02-A-01,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-02-A-02,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-02-A-03,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-02-A-04,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-02-A-05,BAFO-HCDN-A-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-02-B-01,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-02-B-02,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-02-B-03,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-02-B-04,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-02-B-05,BAFO-HCDN-B-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-02-C-01,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-02-C-02,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-02-C-03,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-02-C-04,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-02-C-05,BAFO-HCDN-C-LOT-HCDN-02,LOT-HCDN-02,Payer Platform Operations,BAFOQ-HCDN-LOT-HCDN-02-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-03-A-01,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-03-A-02,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-03-A-03,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-03-A-04,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-03-A-05,BAFO-HCDN-A-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-03-B-01,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-03-B-02,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-03-B-03,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-03-B-04,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-03-B-05,BAFO-HCDN-B-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-03-C-01,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-03-C-02,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-03-C-03,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-03-C-04,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-03-C-05,BAFO-HCDN-C-LOT-HCDN-03,LOT-HCDN-03,Data Analytics and AI,BAFOQ-HCDN-LOT-HCDN-03-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-04-A-01,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-04-A-02,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-04-A-03,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-04-A-04,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-04-A-05,BAFO-HCDN-A-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-04-B-01,BAFO-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-04-B-02,BAFO-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-04-B-03,BAFO-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-04-B-04,BAFO-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-04-B-05,BAFO-HCDN-B-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-04-C-01,BAFO-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-04-C-02,BAFO-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-04-C-03,BAFO-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-04-C-04,BAFO-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-04-C-05,BAFO-HCDN-C-LOT-HCDN-04,LOT-HCDN-04,Revenue Cycle Technology,BAFOQ-HCDN-LOT-HCDN-04-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-05-A-01,BAFO-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-05-A-02,BAFO-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-05-A-03,BAFO-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-05-A-04,BAFO-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-05-A-05,BAFO-HCDN-A-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-05-B-01,BAFO-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-05-B-02,BAFO-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-05-B-03,BAFO-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-05-B-04,BAFO-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-05-B-05,BAFO-HCDN-B-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-05-C-01,BAFO-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-05-C-02,BAFO-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-05-C-03,BAFO-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-05-C-04,BAFO-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-05-C-05,BAFO-HCDN-C-LOT-HCDN-05,LOT-HCDN-05,Cloud Infrastructure and Data Center,BAFOQ-HCDN-LOT-HCDN-05-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-06-A-01,BAFO-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-06-A-02,BAFO-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-06-A-03,BAFO-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-06-A-04,BAFO-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-06-A-05,BAFO-HCDN-A-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-06-B-01,BAFO-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-06-B-02,BAFO-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-06-B-03,BAFO-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-06-B-04,BAFO-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-06-B-05,BAFO-HCDN-B-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-06-C-01,BAFO-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-06-C-02,BAFO-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-06-C-03,BAFO-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-06-C-04,BAFO-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-06-C-05,BAFO-HCDN-C-LOT-HCDN-06,LOT-HCDN-06,Workplace and Contact Center,BAFOQ-HCDN-LOT-HCDN-06-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-07-A-01,BAFO-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-07-A-02,BAFO-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-07-A-03,BAFO-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-07-A-04,BAFO-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-07-A-05,BAFO-HCDN-A-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-07-B-01,BAFO-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-B-01,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-07-B-02,BAFO-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-B-02,rejected,commitment clarified,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-07-B-03,BAFO-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-B-03,alternative offered,requires contract language,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-07-B-04,BAFO-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-B-04,accepted,pricing improved,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-07-B-05,BAFO-HCDN-B-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-B-05,partially accepted,risk remains,SRC-HCDN-BAFO-B
BAFOR-HCDN-LOT-HCDN-07-C-01,BAFO-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-C-01,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-07-C-02,BAFO-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-C-02,rejected,commitment clarified,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-07-C-03,BAFO-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-C-03,alternative offered,requires contract language,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-07-C-04,BAFO-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-C-04,accepted,pricing improved,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-07-C-05,BAFO-HCDN-C-LOT-HCDN-07,LOT-HCDN-07,Security Identity and Compliance,BAFOQ-HCDN-LOT-HCDN-07-C-05,partially accepted,risk remains,SRC-HCDN-BAFO-C
BAFOR-HCDN-LOT-HCDN-08-A-01,BAFO-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-A-01,partially accepted,risk remains,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-08-A-02,BAFO-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-A-02,rejected,commitment clarified,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-08-A-03,BAFO-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-A-03,alternative offered,requires contract language,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-08-A-04,BAFO-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-A-04,accepted,pricing improved,SRC-HCDN-BAFO-A
BAFOR-HCDN-LOT-HCDN-08-A-05,BAFO-HCDN-A-LOT-HCDN-08,LOT-HCDN-08,Integration and Interoperability,BAFOQ-HCDN-LOT-HCDN-08-A-05,partially accepted,risk remains,SRC-HCDN-BAFO-A
