contract_id,vendor_id,vendor_public_reference,contract_type,service_tower,business_function,scope,effective_date,expiration_date,term_status,pricing_model,value_disclosure_mode,termination_rights,minimum_commitment,rate_card_id,service_credit_terms,inflation_provision,change_control_terms,subcontracting_terms,data_residency,transition_assistance,sla_history_source,invoice_source,change_order_source,lot_id,proposal_id,bafo_revision_id,evaluation_criteria_id,risk_note
CONT-HCDN-0012,VEND-HCDN-085,Synthetic Healthcare Supplier 085,telecom services,Revenue Cycle Technology,Care Management,Epic support and optimization,2020-04-01,2026-12-31,renewal within 12 months,unit rate,indexed,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-013,standard service credits,fixed or negotiated escalator,standard change-control language,subcontractor approval required,US data residency,transition assistance explicit,SRC-HCDN-SLA-013,SRC-HCDN-INV-013,SRC-HCDN-CO-013,LOT-HCDN-04,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-013,standard commercial review
CONT-HCDN-0013,VEND-HCDN-092,Synthetic Healthcare Supplier 092,cybersecurity services,Cloud Infrastructure and Data Center,Finance,claims operations,2021-05-01,2027-12-31,renewal within 24 months,per member per month,trend-only,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-014,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-014,SRC-HCDN-INV-014,SRC-HCDN-CO-014,LOT-HCDN-05,,,EVAL-HCDN-014,standard commercial review
CONT-HCDN-0014,VEND-HCDN-099,Synthetic Healthcare Supplier 099,AI/document automation SOW,Workplace and Contact Center,Coding,Medicare Advantage quality services,2022-06-01,2028-12-31,active multi-year,per claim,withheld,standard termination rights,minimum annual commitment applies,RATE-HCDN-015,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-015,SRC-HCDN-INV-015,SRC-HCDN-CO-015,LOT-HCDN-06,,,EVAL-HCDN-015,standard commercial review
CONT-HCDN-0015,VEND-HCDN-106,Synthetic Healthcare Supplier 106,MSA,Security Identity and Compliance,Payer Contracting,risk adjustment analytics,2023-07-01,2026-12-31,extension option,per encounter,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-016,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-016,SRC-HCDN-INV-016,SRC-HCDN-CO-016,LOT-HCDN-07,PROP-HCDN-01,,EVAL-HCDN-016,standard commercial review
CONT-HCDN-0016,VEND-HCDN-113,Synthetic Healthcare Supplier 113,SOW,Integration and Interoperability,Digital Front Door,prior authorization operations,2020-08-01,2027-12-31,transition assistance required,consumption,range,termination limited during transition,no minimum beyond SOW baseline,RATE-HCDN-017,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance explicit,SRC-HCDN-SLA-017,SRC-HCDN-INV-017,SRC-HCDN-CO-017,LOT-HCDN-08,,,EVAL-HCDN-017,high exit-term sensitivity
CONT-HCDN-0017,VEND-HCDN-120,Synthetic Healthcare Supplier 120,rate card,ERP and Corporate Platforms,Contact Center,revenue-cycle outsourcing,2021-09-01,2028-12-31,exit rights need review,hybrid fixed plus variable,indexed,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-018,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-018,SRC-HCDN-INV-018,SRC-HCDN-CO-018,LOT-HCDN-09,,,EVAL-HCDN-018,standard commercial review
CONT-HCDN-0018,VEND-HCDN-127,Synthetic Healthcare Supplier 127,Epic support agreement,Clinical and Epic AMS,Ambulatory Care,cloud/data platform operations,2022-01-01,2026-12-31,renewal within 12 months,committed spend,trend-only,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-019,standard service credits,CPI escalator above threshold,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-019,SRC-HCDN-INV-019,SRC-HCDN-CO-019,LOT-HCDN-01,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-019,standard commercial review
CONT-HCDN-0019,VEND-HCDN-134,Synthetic Healthcare Supplier 134,claims admin agreement,Payer Platform Operations,Emergency Department,SQL Server/EDW managed services,2023-02-01,2027-12-31,renewal within 24 months,outcome-linked,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-020,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-020,SRC-HCDN-INV-020,SRC-HCDN-CO-020,LOT-HCDN-02,,,EVAL-HCDN-020,standard commercial review
CONT-HCDN-0020,VEND-HCDN-141,Synthetic Healthcare Supplier 141,PBM services SOW,Data Analytics and AI,Inpatient,contact center operations,2020-03-01,2028-12-31,active multi-year,fixed fee,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-021,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,PHI/data residency review required,transition assistance explicit,SRC-HCDN-SLA-021,SRC-HCDN-INV-021,SRC-HCDN-CO-021,LOT-HCDN-03,,,EVAL-HCDN-021,supplier concentration
CONT-HCDN-0021,VEND-HCDN-148,Synthetic Healthcare Supplier 148,BPO services SOW,Revenue Cycle Technology,Surgery,payment integrity,2021-04-01,2026-12-31,extension option,T&M,range,standard termination rights,minimum annual commitment applies,RATE-HCDN-022,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-022,SRC-HCDN-INV-022,SRC-HCDN-CO-022,LOT-HCDN-04,PROP-HCDN-01,,EVAL-HCDN-022,standard commercial review
CONT-HCDN-0022,VEND-HCDN-155,Synthetic Healthcare Supplier 155,cloud commit,Cloud Infrastructure and Data Center,Imaging,identity/security operations,2022-05-01,2027-12-31,transition assistance required,unit rate,indexed,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-023,standard service credits,fixed or negotiated escalator,change-control ambiguity,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-023,SRC-HCDN-INV-023,SRC-HCDN-CO-023,LOT-HCDN-05,,,EVAL-HCDN-023,standard commercial review
CONT-HCDN-0023,VEND-HCDN-162,Synthetic Healthcare Supplier 162,data platform subscription,Workplace and Contact Center,Lab,interoperability services,2023-06-01,2028-12-31,exit rights need review,per member per month,trend-only,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-024,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-024,SRC-HCDN-INV-024,SRC-HCDN-CO-024,LOT-HCDN-06,,,EVAL-HCDN-024,standard commercial review
CONT-HCDN-0024,VEND-HCDN-169,Synthetic Healthcare Supplier 169,software subscription,Security Identity and Compliance,Pharmacy,Epic support and optimization,2020-07-01,2026-12-31,renewal within 12 months,per claim,withheld,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-025,standard service credits,fixed or negotiated escalator,standard change-control language,subcontractor approval required,US data residency,transition assistance explicit,SRC-HCDN-SLA-025,SRC-HCDN-INV-025,SRC-HCDN-CO-025,LOT-HCDN-07,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-001,high exit-term sensitivity
CONT-HCDN-0025,VEND-HCDN-176,Synthetic Healthcare Supplier 176,professional services SOW,Integration and Interoperability,Oncology,claims operations,2021-08-01,2027-12-31,renewal within 24 months,per encounter,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-026,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-026,SRC-HCDN-INV-026,SRC-HCDN-CO-026,LOT-HCDN-08,,,EVAL-HCDN-002,standard commercial review
CONT-HCDN-0026,VEND-HCDN-183,Synthetic Healthcare Supplier 183,maintenance agreement,ERP and Corporate Platforms,Cardiology,Medicare Advantage quality services,2022-09-01,2028-12-31,active multi-year,consumption,range,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-027,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-027,SRC-HCDN-INV-027,SRC-HCDN-CO-027,LOT-HCDN-09,,,EVAL-HCDN-003,standard commercial review
CONT-HCDN-0027,VEND-HCDN-190,Synthetic Healthcare Supplier 190,telecom services,Clinical and Epic AMS,Data and Analytics,risk adjustment analytics,2023-01-01,2026-12-31,extension option,hybrid fixed plus variable,indexed,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-028,standard service credits,CPI escalator above threshold,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-028,SRC-HCDN-INV-028,SRC-HCDN-CO-028,LOT-HCDN-01,PROP-HCDN-01,,EVAL-HCDN-004,standard commercial review
CONT-HCDN-0028,VEND-HCDN-197,Synthetic Healthcare Supplier 197,cybersecurity services,Payer Platform Operations,Clinical Analytics,prior authorization operations,2020-02-01,2027-12-31,transition assistance required,committed spend,trend-only,standard termination rights,minimum annual commitment applies,RATE-HCDN-029,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance explicit,SRC-HCDN-SLA-029,SRC-HCDN-INV-029,SRC-HCDN-CO-029,LOT-HCDN-02,,,EVAL-HCDN-005,standard commercial review
CONT-HCDN-0029,VEND-HCDN-204,Synthetic Healthcare Supplier 204,AI/document automation SOW,Data Analytics and AI,Actuarial,revenue-cycle outsourcing,2021-03-01,2028-12-31,exit rights need review,outcome-linked,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-030,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-030,SRC-HCDN-INV-030,SRC-HCDN-CO-030,LOT-HCDN-03,,,EVAL-HCDN-006,standard commercial review
CONT-HCDN-0030,VEND-HCDN-211,Synthetic Healthcare Supplier 211,MSA,Revenue Cycle Technology,Departmental Reporting,cloud/data platform operations,2022-04-01,2026-12-31,renewal within 12 months,fixed fee,exact,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-031,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,PHI/data residency review required,transition assistance to confirm,SRC-HCDN-SLA-031,SRC-HCDN-INV-031,SRC-HCDN-CO-031,LOT-HCDN-04,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-007,supplier concentration
CONT-HCDN-0031,VEND-HCDN-218,Synthetic Healthcare Supplier 218,SOW,Cloud Infrastructure and Data Center,AI Transformation,SQL Server/EDW managed services,2023-05-01,2027-12-31,renewal within 24 months,T&M,range,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-032,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-032,SRC-HCDN-INV-032,SRC-HCDN-CO-032,LOT-HCDN-05,,,EVAL-HCDN-008,standard commercial review
CONT-HCDN-0032,VEND-HCDN-225,Synthetic Healthcare Supplier 225,rate card,Workplace and Contact Center,Technology,contact center operations,2020-06-01,2028-12-31,active multi-year,unit rate,indexed,termination limited during transition,no minimum beyond SOW baseline,RATE-HCDN-033,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance explicit,SRC-HCDN-SLA-033,SRC-HCDN-INV-033,SRC-HCDN-CO-033,LOT-HCDN-06,,,EVAL-HCDN-009,high exit-term sensitivity
CONT-HCDN-0033,VEND-HCDN-232,Synthetic Healthcare Supplier 232,Epic support agreement,Security Identity and Compliance,Security,payment integrity,2021-07-01,2026-12-31,extension option,per member per month,trend-only,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-034,standard service credits,fixed or negotiated escalator,change-control ambiguity,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-034,SRC-HCDN-INV-034,SRC-HCDN-CO-034,LOT-HCDN-07,PROP-HCDN-01,,EVAL-HCDN-010,standard commercial review
CONT-HCDN-0034,VEND-HCDN-239,Synthetic Healthcare Supplier 239,claims admin agreement,Integration and Interoperability,Procurement,identity/security operations,2022-08-01,2027-12-31,transition assistance required,per claim,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-035,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-035,SRC-HCDN-INV-035,SRC-HCDN-CO-035,LOT-HCDN-08,,,EVAL-HCDN-011,standard commercial review
CONT-HCDN-0035,VEND-HCDN-246,Synthetic Healthcare Supplier 246,PBM services SOW,ERP and Corporate Platforms,HR,interoperability services,2023-09-01,2028-12-31,exit rights need review,per encounter,exact,standard termination rights,minimum annual commitment applies,RATE-HCDN-036,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-036,SRC-HCDN-INV-036,SRC-HCDN-CO-036,LOT-HCDN-09,,,EVAL-HCDN-012,standard commercial review
CONT-HCDN-0036,VEND-HCDN-253,Synthetic Healthcare Supplier 253,BPO services SOW,Clinical and Epic AMS,Supply Chain,Epic support and optimization,2020-01-01,2026-12-31,renewal within 12 months,consumption,range,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-037,standard service credits,CPI escalator above threshold,standard change-control language,subcontractor approval required,US data residency,transition assistance explicit,SRC-HCDN-SLA-001,SRC-HCDN-INV-037,SRC-HCDN-CO-037,LOT-HCDN-01,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-013,standard commercial review
CONT-HCDN-0037,VEND-HCDN-260,Synthetic Healthcare Supplier 260,cloud commit,Payer Platform Operations,Privacy,claims operations,2021-02-01,2027-12-31,renewal within 24 months,hybrid fixed plus variable,indexed,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-038,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-002,SRC-HCDN-INV-038,SRC-HCDN-CO-038,LOT-HCDN-02,,,EVAL-HCDN-014,standard commercial review
CONT-HCDN-0038,VEND-HCDN-267,Synthetic Healthcare Supplier 267,data platform subscription,Data Analytics and AI,Compliance,Medicare Advantage quality services,2022-03-01,2028-12-31,active multi-year,committed spend,trend-only,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-039,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-003,SRC-HCDN-INV-039,SRC-HCDN-CO-039,LOT-HCDN-03,,,EVAL-HCDN-015,standard commercial review
CONT-HCDN-0039,VEND-HCDN-274,Synthetic Healthcare Supplier 274,software subscription,Revenue Cycle Technology,Provider Network,risk adjustment analytics,2023-04-01,2026-12-31,extension option,outcome-linked,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-040,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-004,SRC-HCDN-INV-040,SRC-HCDN-CO-040,LOT-HCDN-04,PROP-HCDN-01,,EVAL-HCDN-016,standard commercial review
CONT-HCDN-0040,VEND-HCDN-281,Synthetic Healthcare Supplier 281,professional services SOW,Cloud Infrastructure and Data Center,Value-Based Care,prior authorization operations,2020-05-01,2027-12-31,transition assistance required,fixed fee,exact,termination limited during transition,no minimum beyond SOW baseline,RATE-HCDN-041,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,PHI/data residency review required,transition assistance explicit,SRC-HCDN-SLA-005,SRC-HCDN-INV-041,SRC-HCDN-CO-041,LOT-HCDN-05,,,EVAL-HCDN-017,high exit-term sensitivity
CONT-HCDN-0041,VEND-HCDN-288,Synthetic Healthcare Supplier 288,maintenance agreement,Workplace and Contact Center,Clinical Operations,revenue-cycle outsourcing,2021-06-01,2028-12-31,exit rights need review,T&M,range,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-042,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-006,SRC-HCDN-INV-042,SRC-HCDN-CO-042,LOT-HCDN-06,,,EVAL-HCDN-018,standard commercial review
CONT-HCDN-0042,VEND-HCDN-295,Synthetic Healthcare Supplier 295,telecom services,Security Identity and Compliance,Revenue Cycle,cloud/data platform operations,2022-07-01,2026-12-31,renewal within 12 months,unit rate,indexed,termination for convenience with notice,minimum annual commitment applies,RATE-HCDN-043,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-007,SRC-HCDN-INV-043,SRC-HCDN-CO-043,LOT-HCDN-07,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-019,standard commercial review
CONT-HCDN-0043,VEND-HCDN-302,Synthetic Healthcare Supplier 302,cybersecurity services,Integration and Interoperability,Patient Access,SQL Server/EDW managed services,2023-08-01,2027-12-31,renewal within 24 months,per member per month,trend-only,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-044,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-008,SRC-HCDN-INV-044,SRC-HCDN-CO-044,LOT-HCDN-08,,,EVAL-HCDN-020,standard commercial review
CONT-HCDN-0044,VEND-HCDN-309,Synthetic Healthcare Supplier 309,AI/document automation SOW,ERP and Corporate Platforms,Interoperability,contact center operations,2020-09-01,2028-12-31,active multi-year,per claim,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-045,standard service credits,fixed or negotiated escalator,change-control ambiguity,subcontracting permitted with controls,US data residency,transition assistance explicit,SRC-HCDN-SLA-009,SRC-HCDN-INV-045,SRC-HCDN-CO-045,LOT-HCDN-09,,,EVAL-HCDN-021,standard commercial review
CONT-HCDN-0045,VEND-HCDN-316,Synthetic Healthcare Supplier 316,MSA,Clinical and Epic AMS,Population Health,payment integrity,2021-01-01,2026-12-31,extension option,per encounter,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-046,service credits capped and under-defined,CPI escalator above threshold,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-010,SRC-HCDN-INV-046,SRC-HCDN-CO-046,LOT-HCDN-01,PROP-HCDN-01,,EVAL-HCDN-022,standard commercial review
CONT-HCDN-0046,VEND-HCDN-323,Synthetic Healthcare Supplier 323,SOW,Payer Platform Operations,Health Plan Operations,identity/security operations,2022-02-01,2027-12-31,transition assistance required,consumption,range,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-047,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-011,SRC-HCDN-INV-047,SRC-HCDN-CO-047,LOT-HCDN-02,,,EVAL-HCDN-023,standard commercial review
CONT-HCDN-0047,VEND-HCDN-330,Synthetic Healthcare Supplier 330,rate card,Data Analytics and AI,Medicare Advantage,interoperability services,2023-03-01,2028-12-31,exit rights need review,hybrid fixed plus variable,indexed,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-048,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-012,SRC-HCDN-INV-048,SRC-HCDN-CO-048,LOT-HCDN-03,,,EVAL-HCDN-024,standard commercial review
CONT-HCDN-0048,VEND-HCDN-337,Synthetic Healthcare Supplier 337,Epic support agreement,Revenue Cycle Technology,Claims Operations,Epic support and optimization,2020-04-01,2026-12-31,renewal within 12 months,committed spend,trend-only,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-049,standard service credits,fixed or negotiated escalator,standard change-control language,subcontractor approval required,US data residency,transition assistance explicit,SRC-HCDN-SLA-013,SRC-HCDN-INV-001,SRC-HCDN-CO-049,LOT-HCDN-04,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-001,high exit-term sensitivity
CONT-HCDN-0049,VEND-HCDN-344,Synthetic Healthcare Supplier 344,claims admin agreement,Cloud Infrastructure and Data Center,Utilization Management,claims operations,2021-05-01,2027-12-31,renewal within 24 months,outcome-linked,withheld,standard termination rights,minimum annual commitment applies,RATE-HCDN-050,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-014,SRC-HCDN-INV-002,SRC-HCDN-CO-050,LOT-HCDN-05,,,EVAL-HCDN-002,standard commercial review
CONT-HCDN-0050,VEND-HCDN-351,Synthetic Healthcare Supplier 351,PBM services SOW,Workplace and Contact Center,Member Services,Medicare Advantage quality services,2022-06-01,2028-12-31,active multi-year,fixed fee,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-051,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,PHI/data residency review required,transition assistance to confirm,SRC-HCDN-SLA-015,SRC-HCDN-INV-003,SRC-HCDN-CO-051,LOT-HCDN-06,,,EVAL-HCDN-003,supplier concentration
