infra_id,site_or_zone,component_type,hosting_model,technology_stack,business_function,service_tower,sensitivity,capacity_status,resilience_status
INFRA-HCDN-00024,Oracle/UNIX estate,compute cluster,hybrid,Power BI Report Server,Pharmacy,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00025,SQL Server estate zone,database platform,hybrid,Databricks lakehouse,Oncology,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00026,primary clinical data center,network zone,owned data center,Azure data services,Cardiology,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00027,secondary resilience data center,storage tier,owned data center,AWS data and AI candidate,Data and Analytics,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00028,private cloud east,container platform,private cloud,Java/.NET custom,Clinical Analytics,Payer Platform Operations,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00029,private cloud central,integration runtime,private cloud,API/interoperability gateway,Actuarial,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00030,Azure data foundation landing zone,edge appliance,Azure,HL7/FHIR engine,Departmental Reporting,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00031,Azure AI/use-case landing zone,security sensor,Azure,claims-administration platform,AI Transformation,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00032,AWS transformation sandbox,observability collector,AWS,care-management platform,Technology,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00033,AWS future-agentic landing zone,desktop/endpoint group,AWS,security/IAM stack,Security,Security Identity and Compliance,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00034,Epic hosting zone,cloud resource group,hybrid,Epic ecosystem,Procurement,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00035,clinic edge footprint,backup/DR tier,hybrid,SQL Server/SSIS/SSAS/SSRS,HR,ERP and Corporate Platforms,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00036,contact center footprint,compute cluster,hybrid,legacy EDW,Supply Chain,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00037,Oracle/UNIX estate,database platform,hybrid,Oracle database,Privacy,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00038,SQL Server estate zone,network zone,hybrid,flat-file/SFTP,Compliance,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00039,primary clinical data center,storage tier,owned data center,Access/Excel shadow reporting,Provider Network,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00040,secondary resilience data center,container platform,owned data center,Tableau Server,Value-Based Care,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00041,private cloud east,integration runtime,private cloud,Power BI Report Server,Clinical Operations,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00042,private cloud central,edge appliance,private cloud,Databricks lakehouse,Revenue Cycle,Security Identity and Compliance,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00043,Azure data foundation landing zone,security sensor,Azure,Azure data services,Patient Access,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00044,Azure AI/use-case landing zone,observability collector,Azure,AWS data and AI candidate,Interoperability,ERP and Corporate Platforms,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00045,AWS transformation sandbox,desktop/endpoint group,AWS,Java/.NET custom,Population Health,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00046,AWS future-agentic landing zone,cloud resource group,AWS,API/interoperability gateway,Health Plan Operations,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00047,Epic hosting zone,backup/DR tier,hybrid,HL7/FHIR engine,Medicare Advantage,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00048,clinic edge footprint,compute cluster,hybrid,claims-administration platform,Claims Operations,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00049,contact center footprint,database platform,hybrid,care-management platform,Utilization Management,Cloud Infrastructure and Data Center,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00050,Oracle/UNIX estate,network zone,hybrid,security/IAM stack,Member Services,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00051,SQL Server estate zone,storage tier,hybrid,Epic ecosystem,Quality and Stars,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00052,primary clinical data center,container platform,owned data center,SQL Server/SSIS/SSAS/SSRS,Risk Adjustment,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00053,secondary resilience data center,integration runtime,owned data center,legacy EDW,Care Management,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00054,private cloud east,edge appliance,private cloud,Oracle database,Finance,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00055,private cloud central,security sensor,private cloud,flat-file/SFTP,Coding,Payer Platform Operations,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00056,Azure data foundation landing zone,observability collector,Azure,Access/Excel shadow reporting,Payer Contracting,Data Analytics and AI,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00057,Azure AI/use-case landing zone,desktop/endpoint group,Azure,Tableau Server,Digital Front Door,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00058,AWS transformation sandbox,cloud resource group,AWS,Power BI Report Server,Contact Center,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00059,AWS future-agentic landing zone,backup/DR tier,AWS,Databricks lakehouse,Ambulatory Care,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00060,Epic hosting zone,compute cluster,hybrid,Azure data services,Emergency Department,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00061,clinic edge footprint,database platform,hybrid,AWS data and AI candidate,Inpatient,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00062,contact center footprint,network zone,hybrid,Java/.NET custom,Surgery,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00063,Oracle/UNIX estate,storage tier,hybrid,API/interoperability gateway,Imaging,Clinical and Epic AMS,enterprise confidential,capacity constrained,resilience evidence required
INFRA-HCDN-00064,SQL Server estate zone,container platform,hybrid,HL7/FHIR engine,Lab,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00065,primary clinical data center,integration runtime,owned data center,claims-administration platform,Pharmacy,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00066,secondary resilience data center,edge appliance,owned data center,care-management platform,Oncology,Revenue Cycle Technology,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00067,private cloud east,security sensor,private cloud,security/IAM stack,Cardiology,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00068,private cloud central,observability collector,private cloud,Epic ecosystem,Data and Analytics,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00069,Azure data foundation landing zone,desktop/endpoint group,Azure,SQL Server/SSIS/SSAS/SSRS,Clinical Analytics,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00070,Azure AI/use-case landing zone,cloud resource group,Azure,legacy EDW,Actuarial,Integration and Interoperability,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00071,AWS transformation sandbox,backup/DR tier,AWS,Oracle database,Departmental Reporting,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00072,AWS future-agentic landing zone,compute cluster,AWS,flat-file/SFTP,AI Transformation,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00073,Epic hosting zone,database platform,hybrid,Access/Excel shadow reporting,Technology,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00074,clinic edge footprint,network zone,hybrid,Tableau Server,Security,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00075,contact center footprint,storage tier,hybrid,Power BI Report Server,Procurement,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00076,Oracle/UNIX estate,container platform,hybrid,Databricks lakehouse,HR,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00077,SQL Server estate zone,integration runtime,hybrid,Azure data services,Supply Chain,Workplace and Contact Center,PHI/restricted,capacity constrained,resilience mapped
INFRA-HCDN-00078,primary clinical data center,edge appliance,owned data center,AWS data and AI candidate,Privacy,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00079,secondary resilience data center,security sensor,owned data center,Java/.NET custom,Compliance,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00080,private cloud east,observability collector,private cloud,API/interoperability gateway,Provider Network,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00081,private cloud central,desktop/endpoint group,private cloud,HL7/FHIR engine,Value-Based Care,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00082,Azure data foundation landing zone,cloud resource group,Azure,claims-administration platform,Clinical Operations,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00083,Azure AI/use-case landing zone,backup/DR tier,Azure,care-management platform,Revenue Cycle,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00084,AWS transformation sandbox,compute cluster,AWS,security/IAM stack,Patient Access,Revenue Cycle Technology,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00085,AWS future-agentic landing zone,database platform,AWS,Epic ecosystem,Interoperability,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00086,Epic hosting zone,network zone,hybrid,SQL Server/SSIS/SSAS/SSRS,Population Health,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00087,clinic edge footprint,storage tier,hybrid,legacy EDW,Health Plan Operations,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00088,contact center footprint,container platform,hybrid,Oracle database,Medicare Advantage,Integration and Interoperability,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00089,Oracle/UNIX estate,integration runtime,hybrid,flat-file/SFTP,Claims Operations,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00090,SQL Server estate zone,edge appliance,hybrid,Access/Excel shadow reporting,Utilization Management,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00091,primary clinical data center,security sensor,owned data center,Tableau Server,Member Services,Payer Platform Operations,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00092,secondary resilience data center,observability collector,owned data center,Power BI Report Server,Quality and Stars,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00093,private cloud east,desktop/endpoint group,private cloud,Databricks lakehouse,Risk Adjustment,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00094,private cloud central,cloud resource group,private cloud,Azure data services,Care Management,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00095,Azure data foundation landing zone,backup/DR tier,Azure,AWS data and AI candidate,Finance,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00096,Azure AI/use-case landing zone,compute cluster,Azure,Java/.NET custom,Coding,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00097,AWS transformation sandbox,database platform,AWS,API/interoperability gateway,Payer Contracting,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00098,AWS future-agentic landing zone,network zone,AWS,HL7/FHIR engine,Digital Front Door,ERP and Corporate Platforms,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00099,Epic hosting zone,storage tier,hybrid,claims-administration platform,Contact Center,Clinical and Epic AMS,PHI/restricted,normal capacity,resilience evidence required
INFRA-HCDN-00100,clinic edge footprint,container platform,hybrid,care-management platform,Ambulatory Care,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00101,contact center footprint,integration runtime,hybrid,security/IAM stack,Emergency Department,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00102,Oracle/UNIX estate,edge appliance,hybrid,Epic ecosystem,Inpatient,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00103,SQL Server estate zone,security sensor,hybrid,SQL Server/SSIS/SSAS/SSRS,Surgery,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00104,primary clinical data center,observability collector,owned data center,legacy EDW,Imaging,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00105,secondary resilience data center,desktop/endpoint group,owned data center,Oracle database,Lab,Security Identity and Compliance,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00106,private cloud east,cloud resource group,private cloud,flat-file/SFTP,Pharmacy,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00107,private cloud central,backup/DR tier,private cloud,Access/Excel shadow reporting,Oncology,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00108,Azure data foundation landing zone,compute cluster,Azure,Tableau Server,Cardiology,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00109,Azure AI/use-case landing zone,database platform,Azure,Power BI Report Server,Data and Analytics,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00110,AWS transformation sandbox,network zone,AWS,Databricks lakehouse,Clinical Analytics,Data Analytics and AI,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00111,AWS future-agentic landing zone,storage tier,AWS,Azure data services,Actuarial,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00112,Epic hosting zone,container platform,hybrid,AWS data and AI candidate,Departmental Reporting,Cloud Infrastructure and Data Center,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00113,clinic edge footprint,integration runtime,hybrid,Java/.NET custom,AI Transformation,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00114,contact center footprint,edge appliance,hybrid,API/interoperability gateway,Technology,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00115,Oracle/UNIX estate,security sensor,hybrid,HL7/FHIR engine,Security,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00116,SQL Server estate zone,observability collector,hybrid,claims-administration platform,Procurement,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00117,primary clinical data center,desktop/endpoint group,owned data center,care-management platform,HR,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00118,secondary resilience data center,cloud resource group,owned data center,security/IAM stack,Supply Chain,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00119,private cloud east,backup/DR tier,private cloud,Epic ecosystem,Privacy,Data Analytics and AI,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00120,private cloud central,compute cluster,private cloud,SQL Server/SSIS/SSAS/SSRS,Compliance,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00121,Azure data foundation landing zone,database platform,Azure,legacy EDW,Provider Network,Cloud Infrastructure and Data Center,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00122,Azure AI/use-case landing zone,network zone,Azure,Oracle database,Value-Based Care,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00123,AWS transformation sandbox,storage tier,AWS,flat-file/SFTP,Clinical Operations,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00124,AWS future-agentic landing zone,container platform,AWS,Access/Excel shadow reporting,Revenue Cycle,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00125,Epic hosting zone,integration runtime,hybrid,Tableau Server,Patient Access,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00126,clinic edge footprint,edge appliance,hybrid,Power BI Report Server,Interoperability,Clinical and Epic AMS,enterprise confidential,capacity constrained,resilience evidence required
INFRA-HCDN-00127,contact center footprint,security sensor,hybrid,Databricks lakehouse,Population Health,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00128,Oracle/UNIX estate,observability collector,hybrid,Azure data services,Health Plan Operations,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00129,SQL Server estate zone,desktop/endpoint group,hybrid,AWS data and AI candidate,Medicare Advantage,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00130,primary clinical data center,cloud resource group,owned data center,Java/.NET custom,Claims Operations,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00131,secondary resilience data center,backup/DR tier,owned data center,API/interoperability gateway,Utilization Management,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00132,private cloud east,compute cluster,private cloud,HL7/FHIR engine,Member Services,Security Identity and Compliance,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00133,private cloud central,database platform,private cloud,claims-administration platform,Quality and Stars,Integration and Interoperability,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00134,Azure data foundation landing zone,network zone,Azure,care-management platform,Risk Adjustment,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00135,Azure AI/use-case landing zone,storage tier,Azure,security/IAM stack,Care Management,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00136,AWS transformation sandbox,container platform,AWS,Epic ecosystem,Finance,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00137,AWS future-agentic landing zone,integration runtime,AWS,SQL Server/SSIS/SSAS/SSRS,Coding,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00138,Epic hosting zone,edge appliance,hybrid,legacy EDW,Payer Contracting,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00139,clinic edge footprint,security sensor,hybrid,Oracle database,Digital Front Door,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00140,contact center footprint,observability collector,hybrid,flat-file/SFTP,Contact Center,Workplace and Contact Center,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00141,Oracle/UNIX estate,desktop/endpoint group,hybrid,Access/Excel shadow reporting,Ambulatory Care,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00142,SQL Server estate zone,cloud resource group,hybrid,Tableau Server,Emergency Department,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00143,primary clinical data center,backup/DR tier,owned data center,Power BI Report Server,Inpatient,ERP and Corporate Platforms,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00144,secondary resilience data center,compute cluster,owned data center,Databricks lakehouse,Surgery,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00145,private cloud east,database platform,private cloud,Azure data services,Imaging,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00146,private cloud central,network zone,private cloud,AWS data and AI candidate,Lab,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00147,Azure data foundation landing zone,storage tier,Azure,Java/.NET custom,Pharmacy,Revenue Cycle Technology,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00148,Azure AI/use-case landing zone,container platform,Azure,API/interoperability gateway,Oncology,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00149,AWS transformation sandbox,integration runtime,AWS,HL7/FHIR engine,Cardiology,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00150,AWS future-agentic landing zone,edge appliance,AWS,claims-administration platform,Data and Analytics,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00151,Epic hosting zone,security sensor,hybrid,care-management platform,Clinical Analytics,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00152,clinic edge footprint,observability collector,hybrid,security/IAM stack,Actuarial,ERP and Corporate Platforms,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00153,contact center footprint,desktop/endpoint group,hybrid,Epic ecosystem,Departmental Reporting,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00154,Oracle/UNIX estate,cloud resource group,hybrid,SQL Server/SSIS/SSAS/SSRS,AI Transformation,Payer Platform Operations,PHI/restricted,capacity constrained,resilience mapped
INFRA-HCDN-00155,SQL Server estate zone,backup/DR tier,hybrid,legacy EDW,Technology,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00156,primary clinical data center,compute cluster,owned data center,Oracle database,Security,Revenue Cycle Technology,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00157,secondary resilience data center,database platform,owned data center,flat-file/SFTP,Procurement,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00158,private cloud east,network zone,private cloud,Access/Excel shadow reporting,HR,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00159,private cloud central,storage tier,private cloud,Tableau Server,Supply Chain,Security Identity and Compliance,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00160,Azure data foundation landing zone,container platform,Azure,Power BI Report Server,Privacy,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00161,Azure AI/use-case landing zone,integration runtime,Azure,Databricks lakehouse,Compliance,ERP and Corporate Platforms,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00162,AWS transformation sandbox,edge appliance,AWS,Azure data services,Provider Network,Clinical and Epic AMS,enterprise confidential,normal capacity,resilience evidence required
INFRA-HCDN-00163,AWS future-agentic landing zone,security sensor,AWS,AWS data and AI candidate,Value-Based Care,Payer Platform Operations,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00164,Epic hosting zone,observability collector,hybrid,Java/.NET custom,Clinical Operations,Data Analytics and AI,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00165,clinic edge footprint,desktop/endpoint group,hybrid,API/interoperability gateway,Revenue Cycle,Revenue Cycle Technology,PHI/restricted,normal capacity,resilience mapped
INFRA-HCDN-00166,contact center footprint,cloud resource group,hybrid,HL7/FHIR engine,Patient Access,Cloud Infrastructure and Data Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00167,Oracle/UNIX estate,backup/DR tier,hybrid,claims-administration platform,Interoperability,Workplace and Contact Center,enterprise confidential,normal capacity,resilience mapped
INFRA-HCDN-00168,SQL Server estate zone,compute cluster,hybrid,care-management platform,Population Health,Security Identity and Compliance,enterprise confidential,capacity constrained,resilience mapped
INFRA-HCDN-00169,primary clinical data center,database platform,owned data center,security/IAM stack,Health Plan Operations,Integration and Interoperability,enterprise confidential,normal capacity,resilience mapped
