risk_id,risk_name,business_function,severity,response,linked_control_id
RISK-HCDN-0097,RAF evidence gap,Payer Contracting,high,monitor,CTRL-HCDN-0098
RISK-HCDN-0098,PHI/privacy exposure,Digital Front Door,medium,accept pending evidence,CTRL-HCDN-0099
RISK-HCDN-0099,claims leakage,Contact Center,low,requires executive decision,CTRL-HCDN-0100
RISK-HCDN-0100,prior-auth SLA breach,Ambulatory Care,critical,mitigate,CTRL-HCDN-0101
RISK-HCDN-0101,provider-directory inaccuracy,Emergency Department,high,monitor,CTRL-HCDN-0102
RISK-HCDN-0102,SQL Server end-of-life,Inpatient,medium,accept pending evidence,CTRL-HCDN-0103
RISK-HCDN-0103,measure definition conflict,Surgery,low,requires executive decision,CTRL-HCDN-0104
RISK-HCDN-0104,cloud cost overrun,Imaging,critical,mitigate,CTRL-HCDN-0105
RISK-HCDN-0105,vendor concentration,Lab,high,monitor,CTRL-HCDN-0106
RISK-HCDN-0106,Epic upgrade disruption,Pharmacy,medium,accept pending evidence,CTRL-HCDN-0107
RISK-HCDN-0107,AWS/Azure operating-model conflict,Oncology,low,requires executive decision,CTRL-HCDN-0108
RISK-HCDN-0108,Star Rating degradation,Cardiology,critical,mitigate,CTRL-HCDN-0109
RISK-HCDN-0109,RAF evidence gap,Data and Analytics,high,monitor,CTRL-HCDN-0110
RISK-HCDN-0110,PHI/privacy exposure,Clinical Analytics,medium,accept pending evidence,CTRL-HCDN-0111
RISK-HCDN-0111,claims leakage,Actuarial,low,requires executive decision,CTRL-HCDN-0112
RISK-HCDN-0112,prior-auth SLA breach,Departmental Reporting,critical,mitigate,CTRL-HCDN-0113
RISK-HCDN-0113,provider-directory inaccuracy,AI Transformation,high,monitor,CTRL-HCDN-0114
RISK-HCDN-0114,SQL Server end-of-life,Technology,medium,accept pending evidence,CTRL-HCDN-0115
RISK-HCDN-0115,measure definition conflict,Security,low,requires executive decision,CTRL-HCDN-0116
RISK-HCDN-0116,cloud cost overrun,Procurement,critical,mitigate,CTRL-HCDN-0117
RISK-HCDN-0117,vendor concentration,HR,high,monitor,CTRL-HCDN-0118
RISK-HCDN-0118,Epic upgrade disruption,Supply Chain,medium,accept pending evidence,CTRL-HCDN-0119
RISK-HCDN-0119,AWS/Azure operating-model conflict,Privacy,low,requires executive decision,CTRL-HCDN-0120
RISK-HCDN-0120,Star Rating degradation,Compliance,critical,mitigate,CTRL-HCDN-0121
RISK-HCDN-0121,RAF evidence gap,Provider Network,high,monitor,CTRL-HCDN-0122
RISK-HCDN-0122,PHI/privacy exposure,Value-Based Care,medium,accept pending evidence,CTRL-HCDN-0123
RISK-HCDN-0123,claims leakage,Clinical Operations,low,requires executive decision,CTRL-HCDN-0124
RISK-HCDN-0124,prior-auth SLA breach,Revenue Cycle,critical,mitigate,CTRL-HCDN-0125
RISK-HCDN-0125,provider-directory inaccuracy,Patient Access,high,monitor,CTRL-HCDN-0126
RISK-HCDN-0126,SQL Server end-of-life,Interoperability,medium,accept pending evidence,CTRL-HCDN-0127
RISK-HCDN-0127,measure definition conflict,Population Health,low,requires executive decision,CTRL-HCDN-0128
RISK-HCDN-0128,cloud cost overrun,Health Plan Operations,critical,mitigate,CTRL-HCDN-0129
RISK-HCDN-0129,vendor concentration,Medicare Advantage,high,monitor,CTRL-HCDN-0130
RISK-HCDN-0130,Epic upgrade disruption,Claims Operations,medium,accept pending evidence,CTRL-HCDN-0131
RISK-HCDN-0131,AWS/Azure operating-model conflict,Utilization Management,low,requires executive decision,CTRL-HCDN-0132
RISK-HCDN-0132,Star Rating degradation,Member Services,critical,mitigate,CTRL-HCDN-0133
RISK-HCDN-0133,RAF evidence gap,Quality and Stars,high,monitor,CTRL-HCDN-0134
RISK-HCDN-0134,PHI/privacy exposure,Risk Adjustment,medium,accept pending evidence,CTRL-HCDN-0135
RISK-HCDN-0135,claims leakage,Care Management,low,requires executive decision,CTRL-HCDN-0136
RISK-HCDN-0136,prior-auth SLA breach,Finance,critical,mitigate,CTRL-HCDN-0137
RISK-HCDN-0137,provider-directory inaccuracy,Coding,high,monitor,CTRL-HCDN-0138
RISK-HCDN-0138,SQL Server end-of-life,Payer Contracting,medium,accept pending evidence,CTRL-HCDN-0139
RISK-HCDN-0139,measure definition conflict,Digital Front Door,low,requires executive decision,CTRL-HCDN-0140
RISK-HCDN-0140,cloud cost overrun,Contact Center,critical,mitigate,CTRL-HCDN-0141
RISK-HCDN-0141,vendor concentration,Ambulatory Care,high,monitor,CTRL-HCDN-0142
RISK-HCDN-0142,Epic upgrade disruption,Emergency Department,medium,accept pending evidence,CTRL-HCDN-0143
RISK-HCDN-0143,AWS/Azure operating-model conflict,Inpatient,low,requires executive decision,CTRL-HCDN-0144
RISK-HCDN-0144,Star Rating degradation,Surgery,critical,mitigate,CTRL-HCDN-0145
RISK-HCDN-0145,RAF evidence gap,Imaging,high,monitor,CTRL-HCDN-0146
RISK-HCDN-0146,PHI/privacy exposure,Lab,medium,accept pending evidence,CTRL-HCDN-0147
RISK-HCDN-0147,claims leakage,Pharmacy,low,requires executive decision,CTRL-HCDN-0148
RISK-HCDN-0148,prior-auth SLA breach,Oncology,critical,mitigate,CTRL-HCDN-0149
RISK-HCDN-0149,provider-directory inaccuracy,Cardiology,high,monitor,CTRL-HCDN-0150
RISK-HCDN-0150,SQL Server end-of-life,Data and Analytics,medium,accept pending evidence,CTRL-HCDN-0151
RISK-HCDN-0151,measure definition conflict,Clinical Analytics,low,requires executive decision,CTRL-HCDN-0152
RISK-HCDN-0152,cloud cost overrun,Actuarial,critical,mitigate,CTRL-HCDN-0153
RISK-HCDN-0153,vendor concentration,Departmental Reporting,high,monitor,CTRL-HCDN-0154
RISK-HCDN-0154,Epic upgrade disruption,AI Transformation,medium,accept pending evidence,CTRL-HCDN-0155
RISK-HCDN-0155,AWS/Azure operating-model conflict,Technology,low,requires executive decision,CTRL-HCDN-0156
RISK-HCDN-0156,Star Rating degradation,Security,critical,mitigate,CTRL-HCDN-0157
RISK-HCDN-0157,RAF evidence gap,Procurement,high,monitor,CTRL-HCDN-0158
RISK-HCDN-0158,PHI/privacy exposure,HR,medium,accept pending evidence,CTRL-HCDN-0159
RISK-HCDN-0159,claims leakage,Supply Chain,low,requires executive decision,CTRL-HCDN-0160
RISK-HCDN-0160,prior-auth SLA breach,Privacy,critical,mitigate,CTRL-HCDN-0161
RISK-HCDN-0161,provider-directory inaccuracy,Compliance,high,monitor,CTRL-HCDN-0162
RISK-HCDN-0162,SQL Server end-of-life,Provider Network,medium,accept pending evidence,CTRL-HCDN-0163
RISK-HCDN-0163,measure definition conflict,Value-Based Care,low,requires executive decision,CTRL-HCDN-0164
RISK-HCDN-0164,cloud cost overrun,Clinical Operations,critical,mitigate,CTRL-HCDN-0165
RISK-HCDN-0165,vendor concentration,Revenue Cycle,high,monitor,CTRL-HCDN-0166
RISK-HCDN-0166,Epic upgrade disruption,Patient Access,medium,accept pending evidence,CTRL-HCDN-0167
RISK-HCDN-0167,AWS/Azure operating-model conflict,Interoperability,low,requires executive decision,CTRL-HCDN-0168
RISK-HCDN-0168,Star Rating degradation,Population Health,critical,mitigate,CTRL-HCDN-0169
RISK-HCDN-0169,RAF evidence gap,Health Plan Operations,high,monitor,CTRL-HCDN-0170
RISK-HCDN-0170,PHI/privacy exposure,Medicare Advantage,medium,accept pending evidence,CTRL-HCDN-0171
RISK-HCDN-0171,claims leakage,Claims Operations,low,requires executive decision,CTRL-HCDN-0172
RISK-HCDN-0172,prior-auth SLA breach,Utilization Management,critical,mitigate,CTRL-HCDN-0173
RISK-HCDN-0173,provider-directory inaccuracy,Member Services,high,monitor,CTRL-HCDN-0174
RISK-HCDN-0174,SQL Server end-of-life,Quality and Stars,medium,accept pending evidence,CTRL-HCDN-0175
RISK-HCDN-0175,measure definition conflict,Risk Adjustment,low,requires executive decision,CTRL-HCDN-0176
RISK-HCDN-0176,cloud cost overrun,Care Management,critical,mitigate,CTRL-HCDN-0177
RISK-HCDN-0177,vendor concentration,Finance,high,monitor,CTRL-HCDN-0178
RISK-HCDN-0178,Epic upgrade disruption,Coding,medium,accept pending evidence,CTRL-HCDN-0179
RISK-HCDN-0179,AWS/Azure operating-model conflict,Payer Contracting,low,requires executive decision,CTRL-HCDN-0180
RISK-HCDN-0180,Star Rating degradation,Digital Front Door,critical,mitigate,CTRL-HCDN-0181
RISK-HCDN-0181,RAF evidence gap,Contact Center,high,monitor,CTRL-HCDN-0182
RISK-HCDN-0182,PHI/privacy exposure,Ambulatory Care,medium,accept pending evidence,CTRL-HCDN-0183
RISK-HCDN-0183,claims leakage,Emergency Department,low,requires executive decision,CTRL-HCDN-0184
RISK-HCDN-0184,prior-auth SLA breach,Inpatient,critical,mitigate,CTRL-HCDN-0185
RISK-HCDN-0185,provider-directory inaccuracy,Surgery,high,monitor,CTRL-HCDN-0186
RISK-HCDN-0186,SQL Server end-of-life,Imaging,medium,accept pending evidence,CTRL-HCDN-0187
RISK-HCDN-0187,measure definition conflict,Lab,low,requires executive decision,CTRL-HCDN-0188
RISK-HCDN-0188,cloud cost overrun,Pharmacy,critical,mitigate,CTRL-HCDN-0189
RISK-HCDN-0189,vendor concentration,Oncology,high,monitor,CTRL-HCDN-0190
RISK-HCDN-0190,Epic upgrade disruption,Cardiology,medium,accept pending evidence,CTRL-HCDN-0191
RISK-HCDN-0191,AWS/Azure operating-model conflict,Data and Analytics,low,requires executive decision,CTRL-HCDN-0192
RISK-HCDN-0192,Star Rating degradation,Clinical Analytics,critical,mitigate,CTRL-HCDN-0193
RISK-HCDN-0193,RAF evidence gap,Actuarial,high,monitor,CTRL-HCDN-0194
RISK-HCDN-0194,PHI/privacy exposure,Departmental Reporting,medium,accept pending evidence,CTRL-HCDN-0195
RISK-HCDN-0195,claims leakage,AI Transformation,low,requires executive decision,CTRL-HCDN-0196
RISK-HCDN-0196,prior-auth SLA breach,Technology,critical,mitigate,CTRL-HCDN-0197
RISK-HCDN-0197,provider-directory inaccuracy,Security,high,monitor,CTRL-HCDN-0198
RISK-HCDN-0198,SQL Server end-of-life,Procurement,medium,accept pending evidence,CTRL-HCDN-0199
RISK-HCDN-0199,measure definition conflict,HR,low,requires executive decision,CTRL-HCDN-0200
RISK-HCDN-0200,cloud cost overrun,Supply Chain,critical,mitigate,CTRL-HCDN-0201
RISK-HCDN-0201,vendor concentration,Privacy,high,monitor,CTRL-HCDN-0202
RISK-HCDN-0202,Epic upgrade disruption,Compliance,medium,accept pending evidence,CTRL-HCDN-0203
RISK-HCDN-0203,AWS/Azure operating-model conflict,Provider Network,low,requires executive decision,CTRL-HCDN-0204
RISK-HCDN-0204,Star Rating degradation,Value-Based Care,critical,mitigate,CTRL-HCDN-0205
RISK-HCDN-0205,RAF evidence gap,Clinical Operations,high,monitor,CTRL-HCDN-0206
RISK-HCDN-0206,PHI/privacy exposure,Revenue Cycle,medium,accept pending evidence,CTRL-HCDN-0207
RISK-HCDN-0207,claims leakage,Patient Access,low,requires executive decision,CTRL-HCDN-0208
RISK-HCDN-0208,prior-auth SLA breach,Interoperability,critical,mitigate,CTRL-HCDN-0209
RISK-HCDN-0209,provider-directory inaccuracy,Population Health,high,monitor,CTRL-HCDN-0210
RISK-HCDN-0210,SQL Server end-of-life,Health Plan Operations,medium,accept pending evidence,CTRL-HCDN-0211
RISK-HCDN-0211,measure definition conflict,Medicare Advantage,low,requires executive decision,CTRL-HCDN-0212
RISK-HCDN-0212,cloud cost overrun,Claims Operations,critical,mitigate,CTRL-HCDN-0213
RISK-HCDN-0213,vendor concentration,Utilization Management,high,monitor,CTRL-HCDN-0214
RISK-HCDN-0214,Epic upgrade disruption,Member Services,medium,accept pending evidence,CTRL-HCDN-0215
RISK-HCDN-0215,AWS/Azure operating-model conflict,Quality and Stars,low,requires executive decision,CTRL-HCDN-0216
RISK-HCDN-0216,Star Rating degradation,Risk Adjustment,critical,mitigate,CTRL-HCDN-0217
RISK-HCDN-0217,RAF evidence gap,Care Management,high,monitor,CTRL-HCDN-0218
RISK-HCDN-0218,PHI/privacy exposure,Finance,medium,accept pending evidence,CTRL-HCDN-0219
RISK-HCDN-0219,claims leakage,Coding,low,requires executive decision,CTRL-HCDN-0220
RISK-HCDN-0220,prior-auth SLA breach,Payer Contracting,critical,mitigate,CTRL-HCDN-0221
RISK-HCDN-0221,provider-directory inaccuracy,Digital Front Door,high,monitor,CTRL-HCDN-0222
RISK-HCDN-0222,SQL Server end-of-life,Contact Center,medium,accept pending evidence,CTRL-HCDN-0223
RISK-HCDN-0223,measure definition conflict,Ambulatory Care,low,requires executive decision,CTRL-HCDN-0224
RISK-HCDN-0224,cloud cost overrun,Emergency Department,critical,mitigate,CTRL-HCDN-0225
RISK-HCDN-0225,vendor concentration,Inpatient,high,monitor,CTRL-HCDN-0226
RISK-HCDN-0226,Epic upgrade disruption,Surgery,medium,accept pending evidence,CTRL-HCDN-0227
RISK-HCDN-0227,AWS/Azure operating-model conflict,Imaging,low,requires executive decision,CTRL-HCDN-0228
RISK-HCDN-0228,Star Rating degradation,Lab,critical,mitigate,CTRL-HCDN-0229
RISK-HCDN-0229,RAF evidence gap,Pharmacy,high,monitor,CTRL-HCDN-0230
RISK-HCDN-0230,PHI/privacy exposure,Oncology,medium,accept pending evidence,CTRL-HCDN-0231
RISK-HCDN-0231,claims leakage,Cardiology,low,requires executive decision,CTRL-HCDN-0232
RISK-HCDN-0232,prior-auth SLA breach,Data and Analytics,critical,mitigate,CTRL-HCDN-0233
RISK-HCDN-0233,provider-directory inaccuracy,Clinical Analytics,high,monitor,CTRL-HCDN-0234
RISK-HCDN-0234,SQL Server end-of-life,Actuarial,medium,accept pending evidence,CTRL-HCDN-0235
RISK-HCDN-0235,measure definition conflict,Departmental Reporting,low,requires executive decision,CTRL-HCDN-0236
RISK-HCDN-0236,cloud cost overrun,AI Transformation,critical,mitigate,CTRL-HCDN-0237
RISK-HCDN-0237,vendor concentration,Technology,high,monitor,CTRL-HCDN-0238
RISK-HCDN-0238,Epic upgrade disruption,Security,medium,accept pending evidence,CTRL-HCDN-0239
RISK-HCDN-0239,AWS/Azure operating-model conflict,Procurement,low,requires executive decision,CTRL-HCDN-0240
RISK-HCDN-0240,Star Rating degradation,HR,critical,mitigate,CTRL-HCDN-0241
RISK-HCDN-0241,RAF evidence gap,Supply Chain,high,monitor,CTRL-HCDN-0242
RISK-HCDN-0242,PHI/privacy exposure,Privacy,medium,accept pending evidence,CTRL-HCDN-0243
RISK-HCDN-0243,claims leakage,Compliance,low,requires executive decision,CTRL-HCDN-0244
RISK-HCDN-0244,prior-auth SLA breach,Provider Network,critical,mitigate,CTRL-HCDN-0245
RISK-HCDN-0245,provider-directory inaccuracy,Value-Based Care,high,monitor,CTRL-HCDN-0246
RISK-HCDN-0246,SQL Server end-of-life,Clinical Operations,medium,accept pending evidence,CTRL-HCDN-0247
RISK-HCDN-0247,measure definition conflict,Revenue Cycle,low,requires executive decision,CTRL-HCDN-0248
RISK-HCDN-0248,cloud cost overrun,Patient Access,critical,mitigate,CTRL-HCDN-0249
RISK-HCDN-0249,vendor concentration,Interoperability,high,monitor,CTRL-HCDN-0250
RISK-HCDN-0250,Epic upgrade disruption,Population Health,medium,accept pending evidence,CTRL-HCDN-0251
RISK-HCDN-0251,AWS/Azure operating-model conflict,Health Plan Operations,low,requires executive decision,CTRL-HCDN-0252
RISK-HCDN-0252,Star Rating degradation,Medicare Advantage,critical,mitigate,CTRL-HCDN-0253
RISK-HCDN-0253,RAF evidence gap,Claims Operations,high,monitor,CTRL-HCDN-0254
RISK-HCDN-0254,PHI/privacy exposure,Utilization Management,medium,accept pending evidence,CTRL-HCDN-0255
RISK-HCDN-0255,claims leakage,Member Services,low,requires executive decision,CTRL-HCDN-0256
RISK-HCDN-0256,prior-auth SLA breach,Quality and Stars,critical,mitigate,CTRL-HCDN-0257
RISK-HCDN-0257,provider-directory inaccuracy,Risk Adjustment,high,monitor,CTRL-HCDN-0258
RISK-HCDN-0258,SQL Server end-of-life,Care Management,medium,accept pending evidence,CTRL-HCDN-0259
RISK-HCDN-0259,measure definition conflict,Finance,low,requires executive decision,CTRL-HCDN-0260
RISK-HCDN-0260,cloud cost overrun,Coding,critical,mitigate,CTRL-HCDN-0261
RISK-HCDN-0261,vendor concentration,Payer Contracting,high,monitor,CTRL-HCDN-0262
RISK-HCDN-0262,Epic upgrade disruption,Digital Front Door,medium,accept pending evidence,CTRL-HCDN-0263
RISK-HCDN-0263,AWS/Azure operating-model conflict,Contact Center,low,requires executive decision,CTRL-HCDN-0264
RISK-HCDN-0264,Star Rating degradation,Ambulatory Care,critical,mitigate,CTRL-HCDN-0265
RISK-HCDN-0265,RAF evidence gap,Emergency Department,high,monitor,CTRL-HCDN-0266
RISK-HCDN-0266,PHI/privacy exposure,Inpatient,medium,accept pending evidence,CTRL-HCDN-0267
RISK-HCDN-0267,claims leakage,Surgery,low,requires executive decision,CTRL-HCDN-0268
RISK-HCDN-0268,prior-auth SLA breach,Imaging,critical,mitigate,CTRL-HCDN-0269
RISK-HCDN-0269,provider-directory inaccuracy,Lab,high,monitor,CTRL-HCDN-0270
RISK-HCDN-0270,SQL Server end-of-life,Pharmacy,medium,accept pending evidence,CTRL-HCDN-0271
RISK-HCDN-0271,measure definition conflict,Oncology,low,requires executive decision,CTRL-HCDN-0272
RISK-HCDN-0272,cloud cost overrun,Cardiology,critical,mitigate,CTRL-HCDN-0273
RISK-HCDN-0273,vendor concentration,Data and Analytics,high,monitor,CTRL-HCDN-0274
RISK-HCDN-0274,Epic upgrade disruption,Clinical Analytics,medium,accept pending evidence,CTRL-HCDN-0275
RISK-HCDN-0275,AWS/Azure operating-model conflict,Actuarial,low,requires executive decision,CTRL-HCDN-0276
RISK-HCDN-0276,Star Rating degradation,Departmental Reporting,critical,mitigate,CTRL-HCDN-0277
RISK-HCDN-0277,RAF evidence gap,AI Transformation,high,monitor,CTRL-HCDN-0278
RISK-HCDN-0278,PHI/privacy exposure,Technology,medium,accept pending evidence,CTRL-HCDN-0279
RISK-HCDN-0279,claims leakage,Security,low,requires executive decision,CTRL-HCDN-0280
RISK-HCDN-0280,prior-auth SLA breach,Procurement,critical,mitigate,CTRL-HCDN-0281
