application_id,application_name,family,family_code,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,evidence_gap,roadmap_disposition
APP-HCDN-00064,Epic ASAP upgrade 03,Epic clinical and revenue-cycle footprint,EPIC,Emergency Department,critical workflow,edge/clinic footprint,Epic ASAP,development,high,Data Analytics and AI,VEND-HCDN-065,CONT-HCDN-0065,source-backed candidate,current
APP-HCDN-00065,Epic Ambulatory production 03,Epic clinical and revenue-cycle footprint,EPIC,Ambulatory Care,departmental mart app,on-prem data center,Epic Ambulatory,production,medium,Cloud Infrastructure and Data Center,VEND-HCDN-066,CONT-HCDN-0066,stale/duplicate candidate,current
APP-HCDN-00066,Epic MyChart nonproduction 03,Epic clinical and revenue-cycle footprint,EPIC,Digital Front Door,reporting platform,Azure foundation workload,Epic MyChart,nonproduction,critical,Security Identity and Compliance,VEND-HCDN-067,CONT-HCDN-0067,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00067,Epic Care Everywhere reporting 03,Epic clinical and revenue-cycle footprint,EPIC,Interoperability,integration runtime,AWS future-agentic candidate,Epic Care Everywhere,test,medium,ERP and Corporate Platforms,VEND-HCDN-068,CONT-HCDN-0068,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00068,Epic Bridges extract 03,Epic clinical and revenue-cycle footprint,EPIC,Integration Services,AI/use-case platform,Oracle/UNIX estate,Epic Bridges,DR,high,Payer Platform Operations,VEND-HCDN-069,CONT-HCDN-0069,source-backed candidate,current
APP-HCDN-00069,Epic Tapestry upgrade 03,Epic clinical and revenue-cycle footprint,EPIC,Health Plan Operations,shadow reporting,edge/clinic footprint,Epic Tapestry,development,medium,Revenue Cycle Technology,VEND-HCDN-070,CONT-HCDN-0070,source-backed candidate,current
APP-HCDN-00070,Epic Hyperspace production 04,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,legacy inherited app,on-prem data center,Epic Hyperspace,production,medium,Workplace and Contact Center,VEND-HCDN-071,CONT-HCDN-0071,source-backed candidate,current
APP-HCDN-00071,Epic Chronicles nonproduction 04,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,modernization target,Azure foundation workload,Epic Chronicles,nonproduction,medium,Integration and Interoperability,VEND-HCDN-072,CONT-HCDN-0072,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00072,Epic Clarity reporting 04,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,system of record,AWS future-agentic candidate,Epic Clarity,test,high,Clinical and Epic AMS,VEND-HCDN-073,CONT-HCDN-0073,lineage or ownership conflict,future AWS agentic/transformation candidate
APP-HCDN-00073,Epic Caboodle extract 04,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,critical workflow,Oracle/UNIX estate,Epic Caboodle,DR,medium,Data Analytics and AI,VEND-HCDN-074,CONT-HCDN-0074,source-backed candidate,current
APP-HCDN-00074,Epic Cogito upgrade 04,Epic clinical and revenue-cycle footprint,EPIC,Clinical Analytics,departmental mart app,edge/clinic footprint,Epic Cogito,development,medium,Cloud Infrastructure and Data Center,VEND-HCDN-075,CONT-HCDN-0075,source-backed candidate,current
APP-HCDN-00075,Epic Healthy Planet production 04,Epic clinical and revenue-cycle footprint,EPIC,Population Health,reporting platform,on-prem data center,Epic Healthy Planet,production,medium,Security Identity and Compliance,VEND-HCDN-076,CONT-HCDN-0076,source-backed candidate,current
APP-HCDN-00076,Epic Resolute HB nonproduction 04,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,integration runtime,Azure foundation workload,Epic Resolute HB,nonproduction,high,ERP and Corporate Platforms,VEND-HCDN-077,CONT-HCDN-0077,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00077,Epic Resolute PB reporting 04,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,AI/use-case platform,AWS future-agentic candidate,Epic Resolute PB,test,critical,Payer Platform Operations,VEND-HCDN-078,CONT-HCDN-0078,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00078,Epic Cadence extract 04,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,shadow reporting,Oracle/UNIX estate,Epic Cadence,DR,medium,Revenue Cycle Technology,VEND-HCDN-079,CONT-HCDN-0079,stale/duplicate candidate,current
APP-HCDN-00079,Epic Prelude upgrade 04,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,legacy inherited app,edge/clinic footprint,Epic Prelude,development,medium,Workplace and Contact Center,VEND-HCDN-080,CONT-HCDN-0080,source-backed candidate,current
APP-HCDN-00080,Epic Grand Central production 04,Epic clinical and revenue-cycle footprint,EPIC,Bed Management,modernization target,on-prem data center,Epic Grand Central,production,high,Integration and Interoperability,VEND-HCDN-081,CONT-HCDN-0081,source-backed candidate,current
APP-HCDN-00081,Epic Willow nonproduction 04,Epic clinical and revenue-cycle footprint,EPIC,Pharmacy,system of record,Azure foundation workload,Epic Willow,nonproduction,medium,Clinical and Epic AMS,VEND-HCDN-082,CONT-HCDN-0082,lineage or ownership conflict,Azure current foundation/use-case footprint
APP-HCDN-00082,Epic Beacon reporting 04,Epic clinical and revenue-cycle footprint,EPIC,Oncology,critical workflow,AWS future-agentic candidate,Epic Beacon,test,medium,Data Analytics and AI,VEND-HCDN-083,CONT-HCDN-0083,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00083,Epic Radiant extract 04,Epic clinical and revenue-cycle footprint,EPIC,Imaging,departmental mart app,Oracle/UNIX estate,Epic Radiant,DR,medium,Cloud Infrastructure and Data Center,VEND-HCDN-084,CONT-HCDN-0084,source-backed candidate,current
APP-HCDN-00084,Epic Cupid upgrade 04,Epic clinical and revenue-cycle footprint,EPIC,Cardiology,reporting platform,edge/clinic footprint,Epic Cupid,development,high,Security Identity and Compliance,VEND-HCDN-085,CONT-HCDN-0085,source-backed candidate,current
APP-HCDN-00085,Epic OpTime production 04,Epic clinical and revenue-cycle footprint,EPIC,Surgery,integration runtime,on-prem data center,Epic OpTime,production,medium,ERP and Corporate Platforms,VEND-HCDN-086,CONT-HCDN-0086,source-backed candidate,current
APP-HCDN-00086,Epic Anesthesia nonproduction 04,Epic clinical and revenue-cycle footprint,EPIC,Surgery,AI/use-case platform,Azure foundation workload,Epic Anesthesia,nonproduction,medium,Payer Platform Operations,VEND-HCDN-087,CONT-HCDN-0087,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00087,Epic ASAP reporting 04,Epic clinical and revenue-cycle footprint,EPIC,Emergency Department,shadow reporting,AWS future-agentic candidate,Epic ASAP,test,medium,Revenue Cycle Technology,VEND-HCDN-088,CONT-HCDN-0088,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00088,Epic Ambulatory extract 04,Epic clinical and revenue-cycle footprint,EPIC,Ambulatory Care,legacy inherited app,Oracle/UNIX estate,Epic Ambulatory,DR,critical,Workplace and Contact Center,VEND-HCDN-089,CONT-HCDN-0089,source-backed candidate,current
APP-HCDN-00089,Epic MyChart upgrade 04,Epic clinical and revenue-cycle footprint,EPIC,Digital Front Door,modernization target,edge/clinic footprint,Epic MyChart,development,medium,Integration and Interoperability,VEND-HCDN-090,CONT-HCDN-0090,source-backed candidate,current
APP-HCDN-00090,Epic Care Everywhere production 04,Epic clinical and revenue-cycle footprint,EPIC,Interoperability,system of record,on-prem data center,Epic Care Everywhere,production,medium,Clinical and Epic AMS,VEND-HCDN-091,CONT-HCDN-0091,lineage or ownership conflict,current
APP-HCDN-00091,Epic Bridges nonproduction 04,Epic clinical and revenue-cycle footprint,EPIC,Integration Services,critical workflow,Azure foundation workload,Epic Bridges,nonproduction,medium,Data Analytics and AI,VEND-HCDN-092,CONT-HCDN-0092,stale/duplicate candidate,Azure current foundation/use-case footprint
APP-HCDN-00092,Epic Tapestry reporting 04,Epic clinical and revenue-cycle footprint,EPIC,Health Plan Operations,departmental mart app,AWS future-agentic candidate,Epic Tapestry,test,high,Cloud Infrastructure and Data Center,VEND-HCDN-093,CONT-HCDN-0093,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00093,Epic Hyperspace extract 05,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,reporting platform,Oracle/UNIX estate,Epic Hyperspace,DR,medium,Security Identity and Compliance,VEND-HCDN-094,CONT-HCDN-0094,source-backed candidate,current
APP-HCDN-00094,Epic Chronicles upgrade 05,Epic clinical and revenue-cycle footprint,EPIC,Clinical Operations,integration runtime,edge/clinic footprint,Epic Chronicles,development,medium,ERP and Corporate Platforms,VEND-HCDN-095,CONT-HCDN-0095,source-backed candidate,current
APP-HCDN-00095,Epic Clarity production 05,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,AI/use-case platform,on-prem data center,Epic Clarity,production,medium,Payer Platform Operations,VEND-HCDN-096,CONT-HCDN-0096,source-backed candidate,current
APP-HCDN-00096,Epic Caboodle nonproduction 05,Epic clinical and revenue-cycle footprint,EPIC,Data and Analytics,shadow reporting,Azure foundation workload,Epic Caboodle,nonproduction,high,Revenue Cycle Technology,VEND-HCDN-097,CONT-HCDN-0097,source-backed candidate,Azure current foundation/use-case footprint
APP-HCDN-00097,Epic Cogito reporting 05,Epic clinical and revenue-cycle footprint,EPIC,Clinical Analytics,legacy inherited app,AWS future-agentic candidate,Epic Cogito,test,medium,Workplace and Contact Center,VEND-HCDN-098,CONT-HCDN-0098,source-backed candidate,future AWS agentic/transformation candidate
APP-HCDN-00098,Epic Healthy Planet extract 05,Epic clinical and revenue-cycle footprint,EPIC,Population Health,modernization target,Oracle/UNIX estate,Epic Healthy Planet,DR,medium,Integration and Interoperability,VEND-HCDN-099,CONT-HCDN-0099,source-backed candidate,current
APP-HCDN-00099,Epic Resolute HB upgrade 05,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,system of record,edge/clinic footprint,Epic Resolute HB,development,critical,Clinical and Epic AMS,VEND-HCDN-100,CONT-HCDN-0100,lineage or ownership conflict,current
APP-HCDN-00100,Epic Resolute PB production 05,Epic clinical and revenue-cycle footprint,EPIC,Revenue Cycle,critical workflow,on-prem data center,Epic Resolute PB,production,high,Data Analytics and AI,VEND-HCDN-101,CONT-HCDN-0101,source-backed candidate,current
APP-HCDN-00101,Epic Cadence nonproduction 05,Epic clinical and revenue-cycle footprint,EPIC,Patient Access,departmental mart app,Azure foundation workload,Epic Cadence,nonproduction,medium,Cloud Infrastructure and Data Center,VEND-HCDN-102,CONT-HCDN-0102,source-backed candidate,Azure current foundation/use-case footprint
